screening_sequence,batch_checkpoint,covidence_number,title,first_author,publication_year,publication_language,abstract_available_yes_no,decision_yes_maybe_no,primary_reason_code,evidence_supporting_decision,concise_private_rationale,confidence_high_medium_low,record_type,protocol_or_results,actual_clinical_results_reported_yes_no_unclear,outcomes_planned_only_yes_no_not_applicable,general_anaesthesia_yes_no_unclear,randomized_yes_no_unclear,active_comparator_type,common_background_care_balanced_yes_no_unclear,ERAS_identical_between_groups_yes_no_not_applicable_unclear,intervention_effect_separable_yes_no_unclear,timing_eligible_yes_no_unclear,timing_description,surrogate_only_yes_no_unclear,translation_required_yes_no,possible_companion_report_yes_no,vote_registered_yes_no,post_vote_timestamp,interface_issue,notes
11,050,280,[Effect of electroacupuncture at Baihui (GV 20) and Sishencong (EX-HN 1) on presurgical anxiety in patients with gynecological laparoscopic surgery].,Zheng,2022,Chinese,yes,Yes,INCLUDE_CLEAR,Patients undergoing gynecological laparoscopic surgery were randomized among EA medication and saline-control groups; the EA-versus-control contrast is independently estimable and clinical outcomes were reported.,Eligible randomized preoperative EA with a separable no-EA control contrast.,high,primary_results,results,yes,not_applicable,yes,yes,saline control,yes,not_applicable,yes,yes,EA sessions were delivered 24 hours and 2 hours before anaesthesia induction.,no,yes,no,yes,2026-07-23T14:28:39.296Z,,
12,050,281,Mechanism of electroacupuncture at acupoints of the lung meridian through PKA/PKC regulation of TRPV1 in chronic cough after lung surgery in guinea pigs.,Wang,2023,English,yes,No,EXCLUDE_ANIMAL,The title and methods explicitly describe a guinea-pig experiment.,Non-human laboratory study.,high,animal_study,results,no,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,no,no,yes,2026-07-23T14:29:22.772Z,,
13,050,282,Efficacy of Low-Frequency Electroacupuncture on Urinary Retention After Spinal Anesthesia.,Olia,2023,English,yes,No,EXCLUDE_NO_GENERAL_ANAESTHESIA,The randomized orthopedic-surgery trial explicitly states that participants received spinal anaesthesia with no general-anaesthesia component.,Spinal-only anaesthesia is outside the protocol scope.,high,primary_results,results,yes,not_applicable,no,yes,no intervention,yes,not_applicable,yes,yes,EA was delivered for 20 minutes in PACU.,no,no,no,yes,2026-07-23T14:30:05.861Z,,
14,050,283,"Methods, Complications, and Outcomes in a Randomized Clinical Trial of Electroacupuncture After Colorectal Cancer Surgery.",Yen,2023,English,no,Maybe,POSSIBLE_COMPANION_REPORT,The title identifies outcomes from a randomized postoperative EA trial but the absent abstract prevents determining whether this brief report contains original secondary results or is only commentary.,A potentially eligible companion or secondary report cannot be reliably classified from the citation alone.,medium,secondary_report,results,unclear,not_applicable,yes,yes,unclear,unclear,not_applicable,unclear,unclear,Only described as after colorectal cancer surgery; exact EA start time is unavailable.,unclear,no,yes,yes,2026-07-23T14:30:44.606Z,,
15,050,285,Methods Complications and Outcomes in a Randomized Clinical Trial of Electroacupuncture After Colorectal Cancer Surgery-Reply.,Wang,2023,English,no,No,EXCLUDE_PUBLICATION_TYPE,The citation explicitly identifies a reply occupying two journal pages and provides no original-results abstract.,Reply letter without original participant results.,high,letter,results,no,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,no,no,yes,2026-07-23T14:31:27.287Z,,
16,050,286,Methods Complications and Outcomes in a Randomized Clinical Trial of Electroacupuncture After Colorectal Cancer Surgery.,Hu,2023,English,no,No,EXCLUDE_PUBLICATION_TYPE,The citation is a one-page JAMA Surgery correspondence item linked by title to the accompanying published reply and provides no participant-results abstract.,Brief correspondence without original participant results.,high,letter,results,no,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,no,no,yes,2026-07-23T14:32:12.591Z,,
17,050,287,Effect of Electroacupuncture on the Treatment of Pneumonia in Patients with Hypertensive Intracerebral Hemorrhage.,Jiang,2023,English,yes,No,EXCLUDE_TIMING,EA was initiated as a 14-day treatment for pneumonia already established as a postoperative complication rather than as acute perioperative prophylaxis.,Treatment of an established postoperative complication does not support an eligible start by 24 postoperative hours.,high,primary_results,results,yes,not_applicable,unclear,yes,routine basic treatment,yes,not_applicable,yes,no,EA was given for 14 days after postoperative pneumonia had developed.,no,no,no,yes,2026-07-23T14:32:55.002Z,,
18,050,289,Electroacupuncture at Baliao point alleviates post-operative pain and anal distension after procedure for prolapse and hemorrhoids (stapled hemorrhoidopexy): a prospective randomized clinical trial.,Shen,2023,English,yes,Maybe,UNCERTAIN_GENERAL_ANAESTHESIA,The randomized EA-versus-surgery-only trial appears perioperative but the abstract does not state the anaesthetic technique for stapled hemorrhoidopexy which may be performed under general or non-general anaesthesia.,Full text could realistically confirm eligible general anaesthesia.,medium,primary_results,results,yes,not_applicable,unclear,yes,no EA/usual care,yes,not_applicable,yes,unclear,EA timing was not stated; outcomes began at 8 postoperative hours.,no,no,no,yes,2026-07-23T14:33:52.977Z,,ChiCTR2100043519.
19,050,290,[Effect of electroacupuncture at different time points on postoperative urination function in patients with mixed hemorrhoids surgery].,He,2023,Chinese,yes,No,EXCLUDE_NO_GENERAL_ANAESTHESIA,The randomized hemorrhoid-surgery trial explicitly used lumbar anaesthesia without a general-anaesthesia component.,Lumbar regional anaesthesia alone is outside the protocol scope.,high,primary_results,results,yes,not_applicable,no,yes,no acupuncture,yes,not_applicable,yes,yes,EA was delivered before lumbar anaesthesia immediately after lumbar anaesthesia or 6 hours postoperatively.,no,yes,no,yes,2026-07-23T14:34:44.862Z,,
20,050,291,"Letter to the Editor Regarding ""Effect of Transcutaneous Electrical Acupoint Stimulation Combined with Transversus Abdominis Plane Block on Postoperative Recovery in Elderly Patients Undergoing Laparoscopic Gastric Cancer Surgery: A Randomized Controlled""",Yuan,2023,English,no,No,EXCLUDE_PUBLICATION_TYPE,The title explicitly identifies a letter to the editor and no participant-results abstract is present.,Correspondence without original participant results.,high,letter,results,no,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,no,no,yes,2026-07-23T14:35:24.269Z,,
21,050,295,Perioperative transcutaneous electrical acupoint stimulations as part of an enhanced recovery after surgery protocol for living donors undergoing nephrectomy: A randomized controlled clinical trial.,Hou,2023,English,yes,Yes,INCLUDE_CLEAR,Living kidney donors undergoing laparotomy nephrectomy were randomized to TEAS at named acupoints or identical electrode placement without stimulation and clinical recovery outcomes were reported.,Eligible randomized perioperative TEAS with a separable sham comparison; the record supports stimulation as the only systematic group difference.,high,primary_results,results,yes,not_applicable,yes,yes,sham TEAS,yes,yes,yes,yes,TEAS was delivered one day before surgery before anaesthesia induction and one day after surgery.,no,no,no,yes,2026-07-23T14:36:19.256Z,,ChiCTR2000029891.
22,050,297,"Transcutaneous Electrical Acupoint Stimulation Improves Postoperative Sleep Quality in Patients Undergoing Laparoscopic Gastrointestinal Tumor Surgery: A Prospective, Randomized Controlled Trial.",Wang,2023,English,yes,Yes,INCLUDE_CLEAR,Patients undergoing laparoscopic gastrointestinal tumor resection were randomized to perioperative TEAS at named acupoints or identical sham electrode placement and clinical recovery outcomes were reported.,Eligible randomized perioperative TEAS with a separable sham comparison.,high,primary_results,results,yes,not_applicable,yes,yes,sham TEAS,yes,not_applicable,yes,yes,Three TEAS sessions were delivered during the perioperative period.,no,no,no,yes,2026-07-23T14:37:11.381Z,,ChiCTR2100054971.
23,050,298,Transcutaneous Electrical Acupoint Stimulation Accelerates the Recovery of Patients Undergoing Laparoscopic Myomectomy: A Randomized Controlled Trial.,Pan,2023,English,yes,Yes,INCLUDE_CLEAR,Women undergoing laparoscopic myomectomy with propofol-remifentanil BIS-guided general anaesthesia were randomized to perioperative TEAS or control and multiple clinical recovery outcomes were reported.,Eligible randomized perioperative TEAS with a separable control contrast.,high,primary_results,results,yes,not_applicable,yes,yes,usual care/no TEAS,yes,not_applicable,yes,yes,TEAS began 30 minutes before surgery continued through anaesthesia and was repeated in PACU.,no,no,no,yes,2026-07-23T14:37:50.867Z,,
24,050,299,Effects of electroacupuncture on perioperative anxiety and stress response in patients undergoing surgery for gastric or colorectal cancer: Study protocol for a randomized controlled trial.,Hou,2023,English,yes,No,EXCLUDE_PROTOCOL_NO_RESULTS,The title and abstract explicitly identify a planned randomized trial and use future-tense methods without participant outcomes.,Study protocol rather than an original results publication.,high,protocol,protocol,no,yes,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,no,no,yes,2026-07-23T14:38:29.194Z,,ChiCTR2000037127; planned study title matches the publication title; corresponding author not visible in the Covidence record.
25,050,300,[Effect of transcutaneous acupoint electrical stimulation at Neiguan (PC 6) on general anesthesia under preserving spontaneous breathing in thoracoscopic lobectomy].,Ding,2023,Chinese,yes,Maybe,UNCERTAIN_RANDOMIZATION,The TEAS and control groups otherwise meet core criteria but the abstract only says that patients were divided between groups without stating or describing random allocation.,Full text could plausibly confirm randomized assignment despite ambiguous translated grouping language.,medium,primary_results,results,yes,not_applicable,yes,unclear,no TEAS/usual care,yes,not_applicable,yes,yes,TEAS began 30 minutes before anaesthesia induction and continued through surgery.,no,yes,no,yes,2026-07-23T14:39:22.112Z,,
26,050,301,Effect of electroacupuncture on discomfort during gastroscopy: A randomised controlled trial.,Yin,2023,English,yes,No,EXCLUDE_NON_SURGICAL,The trial explicitly studied routine gastroscopy performed without sedatives rather than an operative surgical procedure.,Non-operative unsedated endoscopy is outside the protocol population.,high,primary_results,results,yes,not_applicable,no,yes,sham acupuncture,yes,not_applicable,yes,yes,EA was delivered for 30 minutes before gastroscopy.,no,no,no,yes,2026-07-23T15:04:19.120Z,"",Gastroscopy was explicitly performed without sedatives.
27,050,302,[Transcutaneous electrical acupoint stimulation combined with electroacupuncture for rapid recovery after abdominal surgery: a randomized controlled trial].,Li,2023,Chinese,yes,Maybe,UNCERTAIN_TIMING,"Separate randomized TEAS and EA arms are independently comparable with the same ERAS control, but stimulation began only on the first postoperative day without an exact elapsed start time.",The full report could confirm that at least one modality-specific session began within 24 postoperative hours.,medium,primary_results,results,yes,not_applicable,yes,yes,ERAS usual care,yes,yes,yes,unclear,TEAS and EA began on postoperative day 1; exact elapsed hours were not stated.,no,yes,no,yes,2026-07-23T15:05:13.662Z,"",Separate TEAS-only and EA-only arms are extractable; the combined arm need not be used.
28,050,304,Efficacy and safety of transcutaneous electrical acupoints stimulation for preoperative anxiety in thoracoscopic surgery: study protocol for a randomised controlled trial.,Wu,2023,English,yes,No,EXCLUDE_PROTOCOL_NO_RESULTS,The title and future-tense methods explicitly identify a planned randomized trial without participant outcome results.,Study protocol rather than an original results publication.,high,protocol,protocol,no,yes,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,no,no,yes,2026-07-23T15:05:56.221Z,"",NCT04895852; planned study title matches the publication title; corresponding author not visible in the Covidence record.
29,050,305,The Effect of Transcutaneous Electrical Acupoint Stimulation on High-Risk Patients with PONV Undergoing Laparoscopic Gynecologic Surgery: A Randomized Controlled Trial.,Qin,2023,English,yes,Yes,INCLUDE_CLEAR,"Patients undergoing laparoscopic gynecologic surgery under general anaesthesia were randomized to preoperative TEAS at named acupoints or identical sham electrodes, with both groups receiving the same antiemetics.",Eligible randomized perioperative TEAS with a separable sham comparison and balanced background medication.,high,primary_results,results,yes,not_applicable,yes,yes,sham TEAS,yes,not_applicable,yes,yes,TEAS began 30 minutes before surgery.,no,no,no,yes,2026-07-23T15:06:31.118Z,"",Both groups received dexamethasone and palonosetron.
30,050,307,Electroacupuncture alleviates pain after total knee arthroplasty through regulating neuroplasticity: A resting-state functional magnetic resonance imaging study.,Kang,2023,English,yes,Maybe,UNCERTAIN_GENERAL_ANAESTHESIA,"The randomized EA-versus-sham trial reports acute pain after total knee arthroplasty, but the anaesthetic technique is not stated and TKA may use general or neuraxial anaesthesia.",Full text could realistically confirm general anaesthesia and timely postoperative EA.,medium,primary_results,results,yes,not_applicable,unclear,yes,sham electroacupuncture,yes,not_applicable,yes,unclear,EA was delivered for 5 days after TKA; the exact first-treatment time was not stated.,no,no,no,yes,2026-07-23T15:07:10.320Z,"",Clinical pain was measured in addition to fMRI outcomes.
31,050,308,Transcutaneous Electrical Acupoints Stimulation Improves Spontaneous Voiding Recovery After Laparoscopic Cholecystectomy: A Randomized Clinical Trial.,Zhang,2023,English,yes,Yes,INCLUDE_CLEAR,Participants undergoing laparoscopic cholecystectomy were randomized to intraoperative and postoperative TEAS or sham TEAS and multiple clinical recovery outcomes were reported.,Eligible randomized perioperative TEAS with a separable sham comparison.,high,primary_results,results,yes,not_applicable,yes,yes,sham TEAS,yes,not_applicable,yes,yes,TEAS was delivered intraoperatively and postoperatively.,no,no,no,yes,2026-07-23T15:07:46.008Z,"",""
32,050,309,Effect of transcutaneous electrical acupoint stimulation on bone metabolism in patients with immobilisation after foot and ankle fracture surgery: a randomised controlled trial study protocol.,Guo,2022,English,yes,No,EXCLUDE_PROTOCOL_NO_RESULTS,The title and future-tense methods explicitly identify a planned randomized trial without participant outcomes.,Study protocol rather than an original results publication.,high,protocol,protocol,no,yes,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,no,no,yes,2026-07-23T15:08:16.483Z,"",ChiCTR2000039944; planned study title matches the publication title; corresponding author not visible in the Covidence record.
33,050,310,Evaluation of the effects of manual acupuncture and electroacupuncture at LI4 and LI11 on perception thresholds: a prospective crossover trial.,Oyamaguchi,2023,English,yes,No,EXCLUDE_NON_SURGICAL,The crossover experiment enrolled healthy volunteers and did not involve operative surgery.,Healthy-volunteer sensory experiment outside the perioperative surgical population.,high,primary_results,results,yes,not_applicable,no,unclear,manual acupuncture and no acupuncture,yes,not_applicable,yes,not_applicable,No surgical timing.,yes,no,no,yes,2026-07-23T15:08:46.311Z,"",UMIN000017983.
34,050,311,Electroacupuncture Before Gastrectomy Accelerates Recovery from Gastrointestinal Dysfunction: A Feasibility Study.,Wang,2022,English,yes,Yes,INCLUDE_CLEAR,"Patients undergoing open gastrectomy were randomized to needle EA at named acupoints within 30 minutes before surgery or usual care, with clinical recovery outcomes and adverse events reported.",Eligible randomized preoperative EA with a separable usual-care comparison.,high,primary_results,results,yes,not_applicable,yes,yes,usual care,yes,not_applicable,yes,yes,EA was delivered within 30 minutes before surgery.,no,no,no,yes,2026-07-23T15:09:16.367Z,"",""
35,050,313,Combined acupuncture-medicine anesthesia used in thyroid surgery: A systematic review and meta-analysis.,Zhang,2023,English,yes,No,EXCLUDE_PUBLICATION_TYPE,The title and methods explicitly identify a systematic review and meta-analysis of 18 prior randomized trials.,Secondary evidence synthesis without original participant-level trial results.,high,systematic_review,results,no,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,no,no,yes,2026-07-23T15:09:52.046Z,"",""
36,050,314,Magnetic resonance imaging assessment of the therapeutic effect of combined electroacupuncture and stem cells in acute peripheral nerve injury.,Chen,2022,English,yes,No,EXCLUDE_ANIMAL,The methods explicitly describe randomized experiments in adult Sprague-Dawley rats.,Non-human laboratory study.,high,animal_study,results,no,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,no,no,yes,2026-07-23T15:10:25.664Z,"",""
37,050,315,Transcutaneous electrical acupoint stimulation to reduce opioid consumption in patients undergoing inguinal hernia repair: protocol for a randomized controlled trial.,Agrawal,2022,English,yes,No,EXCLUDE_PROTOCOL_NO_RESULTS,The title and future-tense methods explicitly identify a planned three-arm randomized trial without participant outcomes.,Study protocol rather than an original results publication.,high,protocol,protocol,no,yes,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,no,no,yes,2026-07-23T15:10:51.360Z,"",ISRCTN76428396; planned study title matches the publication title; corresponding author not visible in the Covidence record.
38,050,316,Transcutaneous electrical acupoint stimulation combined with an integrated perioperative nursing program prevents subsyndromal delirium in older patients after joint replacement.,Qian,2022,English,yes,No,EXCLUDE_INSEPARABLE_INTERVENTION,"The experimental arm received both TEAS and an integrated perioperative nursing program, while the control arm received routine care only.",The independent effect of TEAS cannot be separated from the additional nursing program.,high,primary_results,results,yes,not_applicable,unclear,yes,routine care,no,no,no,unclear,The abstract describes a perioperative program but does not state exact TEAS timing.,no,no,no,yes,2026-07-23T15:11:23.602Z,"",""
39,050,317,Acupoint Stimulation for Enhanced Recovery After Colon Surgery: A Prospective Multicenter Randomized Controlled Trial.,Lu,2022,English,yes,Yes,INCLUDE_CLEAR,"Patients undergoing laparoscopic colon surgery within an ERAS pathway were randomized to perioperative TEAS or no stimulation, with clinical recovery and analgesic outcomes reported.",Eligible randomized perioperative TEAS with a separable no-stimulation comparison and common ERAS care.,high,primary_results,results,yes,not_applicable,yes,yes,no stimulation,yes,yes,yes,yes,TEAS began 30 minutes before surgery and continued daily for 3 postoperative days.,no,no,no,yes,2026-07-23T15:11:48.977Z,"",""
40,050,320,"Transcutaneous electrical acupoint stimulation for reducing cognitive dysfunction in lumbar spine surgery: A randomized, controlled trail.",Wang,2022,English,yes,Yes,INCLUDE_CLEAR,Older adults undergoing lumbar spine surgery under explicit general anaesthesia were randomized to perioperative TEAS schedules or sham TEAS and postoperative cognitive outcomes were reported.,Eligible randomized perioperative TEAS with a separable sham comparison.,high,primary_results,results,yes,not_applicable,yes,yes,sham TEAS,yes,not_applicable,yes,yes,TEAS began 30 minutes before surgery and continued daily postoperatively.,no,no,no,yes,2026-07-23T15:12:23.622Z,"",ChiCTR2200063030.
41,050,322,Thoracic Jia-Ji electro-acupuncture mitigates low skeletal muscle atrophy and improves motor function recovery following thoracic spinal cord injury in rats.,Zhang,2022,English,yes,No,EXCLUDE_ANIMAL,The title and methods explicitly describe experiments in Sprague-Dawley rats.,Non-human laboratory study.,high,animal_study,results,no,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,no,no,yes,2026-07-23T15:13:06.799Z,"",""
42,050,323,Effect of transcutaneous electrical acupoint stimulation on bone loss for patients with foot and ankle fracture: a pragmatic randomized controlled trial.,Guo,2022,English,yes,Maybe,UNCERTAIN_TIMING,"The randomized TEAS-versus-routine-care trial treated patients after fracture fixation, but the abstract does not state when the first TEAS session began and initiation within 24 postoperative hours remains possible.",Full text could confirm an eligible early postoperative start.,medium,primary_results,results,yes,not_applicable,unclear,yes,routine orthopedic treatment,yes,not_applicable,yes,unclear,TEAS was delivered after surgical fixation during immobilization; the first-treatment time was not stated.,no,no,yes,yes,2026-07-23T15:13:50.911Z,"",ChiCTR2000039944; results report linked to protocol record #309.
43,050,324,"Effect of Transcutaneous Acupoint Electrical Stimulation on Urinary Retention and Urinary ATP in Elderly Patients After Laparoscopic Cholecystectomy: A Prospective, Randomized, Controlled Clinical Trial.",Zhang,2022,English,yes,Yes,INCLUDE_CLEAR,"Older patients undergoing laparoscopic cholecystectomy were randomized to TEAS before anaesthesia induction through the early postoperative period or identical sham stimulation, with clinical outcomes reported.",Eligible randomized perioperative TEAS with a separable sham comparison.,high,secondary_report,results,yes,not_applicable,yes,yes,sham TEAS,yes,not_applicable,yes,yes,TEAS began before anaesthesia induction and continued for 45 minutes after surgery.,no,no,yes,yes,2026-07-23T15:14:24.349Z,"",Likely companion/subgroup report from the laparoscopic cholecystectomy trial represented by record #308.
44,050,325,Effect of electroacupuncture on the repair of stress ulcer injury in neurocritical patients: A randomized clinical trial.,Li,2022,English,yes,No,EXCLUDE_NON_SURGICAL,The study enrolled adult neurocritical-care patients with stress ulcers and does not identify an operative surgical procedure.,Critical-care treatment population rather than eligible operative surgery.,high,primary_results,results,yes,not_applicable,no,yes,control treatment,unclear,not_applicable,yes,not_applicable,No qualifying surgery was identified.,no,no,no,yes,2026-07-23T15:14:49.846Z,"",ChiCTR2100046701.
45,050,326,Efficacy of electroacupuncture combined with intravenous patient-controlled analgesia after cesarean delivery: a randomized clinical trial.,Jin,2022,English,yes,Maybe,UNCERTAIN_GENERAL_ANAESTHESIA,"The randomized EA-versus-sham trial after cesarean delivery otherwise meets intervention timing comparator and outcome criteria, but the anaesthetic technique is not stated.","Full text could realistically confirm a general-anaesthesia component, although cesarean delivery commonly uses neuraxial anaesthesia.",medium,primary_results,results,yes,not_applicable,unclear,yes,sham electroacupuncture,yes,not_applicable,yes,yes,EA sessions began 6 hours after surgery and continued at 12 24 and 48 hours.,no,no,no,yes,2026-07-23T15:15:19.321Z,"",All groups received fentanyl patient-controlled intravenous analgesia.
46,050,327,Efficacy of electroacupuncture in assisting postoperative healing of distal radius fractures: study protocol for a randomized controlled trial.,Fu,2022,English,yes,No,EXCLUDE_PROTOCOL_NO_RESULTS,"The abstract states that this is a study protocol, 222 patients will be recruited and randomized, and all outcomes are described in the future tense.",Protocol only; no randomized clinical results are reported.,high,protocol,protocol,no,yes,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,no,no,yes,2026-07-23T15:17:01.057Z,none,DOI 10.1186/s13018-022-03415-8; ChiCTR2200062857; planned study title matches the publication title; corresponding author not visible in the Covidence record.
