result_id,model_id,decision,construct,window,modality,comparator,population,rationale,factor
V33-OD-0276,ponv24_TEAS_sham_point_window_sensitivity,SENSITIVITY,PONV_24h_including_point_window_uncertain,0-24 h,TEAS,sham,Outcome-specific analyzed population,Adds Lu2022 24h assessment; cumulative window not presumed in main body. v36: Liang2021 removed (no-stimulation control without sham procedure).,1
AUDIT-0359,ponv24_TEAS_sham_point_window_sensitivity,SENSITIVITY,PONV_24h_including_point_window_uncertain,0–24 h,TEAS,sham,Intention-to-treat; all randomized participants analyzed,Adds Lu2022 24h assessment; cumulative window not presumed in main body. v36: Liang2021 removed (no-stimulation control without sham procedure).,1
AUDIT-0127,ponv24_TEAS_sham_point_window_sensitivity,SENSITIVITY,PONV_24h_including_point_window_uncertain,24 h after surgery,TEAS,sham,Available-case,Adds Lu2022 24h assessment; cumulative window not presumed in main body. v36: Liang2021 removed (no-stimulation control without sham procedure).,1
AUDIT-0077,nausea24_EA_usual,INCLUDE,nausea_0_24h,0–24 h after surgery,EA,usual_care,Available-case,Source construct/window/contrast reviewed; direct data admitted.,1
V34-OD-0759,nausea24_EA_usual,INCLUDE,nausea_0_24h,0-24 h after surgery,EA,usual_care,Intention-to-treat (90/90 retained),Source construct/window/contrast reviewed; direct data admitted.,1
V33-OD-0055,vomiting24_EA_usual,INCLUDE,vomiting_0_24h,0-24 h after surgery,EA,usual_care,Outcome-specific analyzed population,Source construct/window/contrast reviewed; direct data admitted.,1
AUDIT-0078,vomiting24_EA_usual,INCLUDE,vomiting_0_24h,0–24 h after surgery,EA,usual_care,Available-case,Source construct/window/contrast reviewed; direct data admitted.,1
V33-OD-0371,nausea24_TEAS_sham,INCLUDE,nausea_0_24h,0-24 h postoperative,TEAS,sham,Outcome-specific analyzed population,Source construct/window/contrast reviewed; direct data admitted.,1
V33-OD-0293,nausea24_TEAS_sham,INCLUDE,nausea_0_24h,Postoperative day 1,TEAS,sham,Outcome-specific analyzed population,Source construct/window/contrast reviewed; direct data admitted.,1
AUDIT-0292,nausea24_TEAS_sham,INCLUDE,nausea_0_24h,0–24 h,TEAS,sham,Intention-to-treat,Source construct/window/contrast reviewed; direct data admitted.,1
AUDIT-0293,nausea24_TEAS_sham,INCLUDE,nausea_0_24h,0–24 h,TEAS,sham,Intention-to-treat,Source construct/window/contrast reviewed; direct data admitted.,1
V33-OD-0372,vomiting24_TEAS_sham,INCLUDE,vomiting_0_24h,0-24 h postoperative,TEAS,sham,Outcome-specific analyzed population,v36: Pan2023 moved to usual-care body (control did not undergo TEAS; no sham procedure).,1
V33-OD-0296,vomiting24_TEAS_sham,INCLUDE,vomiting_0_24h,Postoperative day 1,TEAS,sham,Outcome-specific analyzed population,v36: Pan2023 moved to usual-care body (control did not undergo TEAS; no sham procedure).,1
V33-OD-0277,vomiting24_TEAS_sham,INCLUDE,vomiting_0_24h,0-24 h,TEAS,sham,Outcome-specific analyzed population,v36: Pan2023 moved to usual-care body (control did not undergo TEAS; no sham procedure).,1
AUDIT-0294,vomiting24_TEAS_sham,INCLUDE,vomiting_0_24h,0–24 h,TEAS,sham,Intention-to-treat,v36: Pan2023 moved to usual-care body (control did not undergo TEAS; no sham procedure).,1
AUDIT-0295,vomiting24_TEAS_sham,INCLUDE,vomiting_0_24h,0–24 h,TEAS,sham,Intention-to-treat,v36: Pan2023 moved to usual-care body (control did not undergo TEAS; no sham procedure).,1
AUDIT-0100,vomiting24_TEAS_usual,INCLUDE,vomiting_0_24h,Within 24 h after operation,TEAS,usual_care,Unstated,v36: Pan2023 no-TEAS control; supportive comparison.,1
V33-OD-0278,persistent_nausea24_TEAS_sham,INCLUDE,persistent_nausea_over5min_0_24h,0-24 h,TEAS,sham,Outcome-specific analyzed population,Source construct/window/contrast reviewed; direct data admitted.,1
V33-OD-0139,nausea48_TEAS_sham,INCLUDE,nausea_0_48h,0-48 h,TEAS,sham,Outcome-specific analyzed population,Source construct/window/contrast reviewed; direct data admitted.,1
V33-OD-0140,vomiting48_TEAS_sham,INCLUDE,vomiting_0_48h,0-48 h,TEAS,sham,Outcome-specific analyzed population,Source construct/window/contrast reviewed; direct data admitted.,1
V33-OD-0056,ponv48_TEAS_sham,INCLUDE,composite_PONV_0_48h,Within 48 h,TEAS,sham,Outcome-specific analyzed population,v36: Xiong2021 control had electrodes applied and connected without stimulation (sham); formerly ponv48_TEAS_usual.,1
V33-OD-0019,nausea6to24_EA_usual,INCLUDE,nausea_6_24h,6-24 h postoperatively,EA,usual_care,Outcome-specific analyzed population,Source construct/window/contrast reviewed; direct data admitted.,1
V33-OD-0021,nausea6to24_EA_usual,INCLUDE,nausea_6_24h,6-24 h postoperatively,EA,usual_care,Outcome-specific analyzed population,Source construct/window/contrast reviewed; direct data admitted.,1
V33-OD-0023,nausea6to24_EA_usual,INCLUDE,nausea_6_24h,6-24 h postoperatively,EA,usual_care,Outcome-specific analyzed population,Source construct/window/contrast reviewed; direct data admitted.,1
V33-OD-0020,vomiting6to24_EA_usual,INCLUDE,vomiting_6_24h,6-24 h postoperatively,EA,usual_care,Outcome-specific analyzed population,Source construct/window/contrast reviewed; direct data admitted.,1
V33-OD-0022,vomiting6to24_EA_usual,INCLUDE,vomiting_6_24h,6-24 h postoperatively,EA,usual_care,Outcome-specific analyzed population,Source construct/window/contrast reviewed; direct data admitted.,1
V33-OD-0024,vomiting6to24_EA_usual,INCLUDE,vomiting_6_24h,6-24 h postoperatively,EA,usual_care,Outcome-specific analyzed population,Source construct/window/contrast reviewed; direct data admitted.,1
V33-OD-0163,pain24_rest_TEAS_sham,INCLUDE,pain_rest_approximately24h,24 h,TEAS,sham,Outcome-specific analyzed population,Source construct/window/contrast reviewed; direct data admitted.,1
V33-OD-0367,pain24_rest_TEAS_sham,INCLUDE,pain_rest_approximately24h,POD1 (~24 h),TEAS,sham,Outcome-specific analyzed population,Source construct/window/contrast reviewed; direct data admitted.,1
V33-OD-0064,pain24_rest_TEAS_sham,INCLUDE,pain_rest_approximately24h,24 h,TEAS,sham,Outcome-specific analyzed population,Source construct/window/contrast reviewed; direct data admitted.,1
V33-OD-0164,pain24_movement_TEAS_sham,INCLUDE,pain_movement_approximately24h,24 h,TEAS,sham,Outcome-specific analyzed population,Source construct/window/contrast reviewed; direct data admitted.,1
V33-OD-0201,pain24_movement_EA_sham,INCLUDE,pain_movement_approximately24h,POD1,EA,sham,Outcome-specific analyzed population,Source construct/window/contrast reviewed; direct data admitted.,0.1
V33-OD-0202,pain24_movement_EA_sham,INCLUDE,pain_movement_approximately24h,POD1,EA,sham,Outcome-specific analyzed population,Source construct/window/contrast reviewed; direct data admitted.,0.1
V33-OD-0201,pain24_movement_EA_sham_with_He,SENSITIVITY,pain_movement_approximately24h,POD1,EA,sham,Outcome-specific analyzed population,He2026 reported SDs conflict with threshold counts; retain literal SD only as diagnostic.,0.1
V33-OD-0202,pain24_movement_EA_sham_with_He,SENSITIVITY,pain_movement_approximately24h,POD1,EA,sham,Outcome-specific analyzed population,He2026 reported SDs conflict with threshold counts; retain literal SD only as diagnostic.,0.1
V33-OD-0218,pain24_movement_EA_sham_with_He,SENSITIVITY,pain_movement_approximately24h,24 h,EA,sham,Outcome-specific analyzed population,He2026 reported SDs conflict with threshold counts; retain literal SD only as diagnostic.,1
V33-OD-0219,pain24_rest_EA_sham_He_reported_SD,SENSITIVITY,pain_rest_approximately24h,24 h,EA,sham,Outcome-specific analyzed population,He2026 extremely small repeated SDs cannot be reconciled with threshold counts; no fabricated replacement.,1
V33-OD-0015,pain24_unclassified_TEAS_sham,SENSITIVITY,pain_setting_unspecified_24h,24 h postoperatively,TEAS,sham,Outcome-specific analyzed population,Rest/movement not established. Never use this mixed-setting body to assert registered pain co-outcome criterion.,1
V33-OD-0071,pain24_unclassified_TEAS_sham,SENSITIVITY,pain_setting_unspecified_24h,POD1,TEAS,sham,Outcome-specific analyzed population,Rest/movement not established. Never use this mixed-setting body to assert registered pain co-outcome criterion.,1
V33-OD-0075,pain24_unclassified_TEAS_sham,SENSITIVITY,pain_setting_unspecified_24h,24 h,TEAS,sham,Outcome-specific analyzed population,Rest/movement not established. Never use this mixed-setting body to assert registered pain co-outcome criterion.,1
V33-OD-0142,pain24_unclassified_TEAS_sham,SENSITIVITY,pain_setting_unspecified_24h,24 h,TEAS,sham,Outcome-specific analyzed population,Rest/movement not established. Never use this mixed-setting body to assert registered pain co-outcome criterion.,1
V33-OD-0158,pain24_unclassified_TEAS_sham,SENSITIVITY,pain_setting_unspecified_24h,24 h,TEAS,sham,Outcome-specific analyzed population,Rest/movement not established. Never use this mixed-setting body to assert registered pain co-outcome criterion.,1
V33-OD-0221,pain24_unclassified_TEAS_sham,SENSITIVITY,pain_setting_unspecified_24h,24 h,TEAS,sham,Outcome-specific analyzed population,Rest/movement not established. Never use this mixed-setting body to assert registered pain co-outcome criterion.,1
AUDIT-0342,pain24_unclassified_TEAS_sham,SENSITIVITY,pain_setting_unspecified_24h,24 h,TEAS,sham,Modified intention-to-treat / completer analysis reported in Table 1,Rest/movement not established. Never use this mixed-setting body to assert registered pain co-outcome criterion.,1
V33-OD-0187,pain24_Lee_low_arm_only,SENSITIVITY,pain_setting_unspecified_24h,24 h,TEAS,sham,Outcome-specific analyzed population,Available low-frequency arm only; not admitted as a complete multiarm evidence body.,1
V33-OD-0118,pain24_Ng_unspecified,SENSITIVITY,pain_setting_unspecified_POD1,POD1,EA,sham,Outcome-specific analyzed population,Source construct/window/contrast reviewed; direct data admitted.,1
AUDIT-0002,pain6to24_movement_EA_usual,SENSITIVITY,pain_movement_interval6_24h,6–24 h,EA,usual_care,Per-protocol,Interval summary cannot be assumed a point24h co-outcome.,1
AUDIT-0003,pain6to24_movement_EA_usual,SENSITIVITY,pain_movement_interval6_24h,6–24 h,EA,usual_care,Per-protocol,Interval summary cannot be assumed a point24h co-outcome.,1
AUDIT-0004,pain6to24_movement_EA_usual,SENSITIVITY,pain_movement_interval6_24h,6–24 h,EA,usual_care,Per-protocol,Interval summary cannot be assumed a point24h co-outcome.,1
V33-OD-0028,flatus_TEAS_sham,INCLUDE,time_first_flatus,Postoperative,TEAS,sham,Outcome-specific analyzed population,Source construct/window/contrast reviewed; direct data admitted. v38: Zheng continuous data held for unresolved source inconsistency; no inferred SD corrections. Wu2025 pre-intervention dose excluded where relevant.,1
V33-OD-0082,flatus_TEAS_sham,INCLUDE,time_first_flatus,Postoperative,TEAS,sham,Outcome-specific analyzed population,Source construct/window/contrast reviewed; direct data admitted. v38: Zheng continuous data held for unresolved source inconsistency; no inferred SD corrections. Wu2025 pre-intervention dose excluded where relevant.,1
V33-OD-0134,flatus_TEAS_sham,INCLUDE,time_first_flatus,Postoperative,TEAS,sham,Outcome-specific analyzed population,Source construct/window/contrast reviewed; direct data admitted. v38: Zheng continuous data held for unresolved source inconsistency; no inferred SD corrections. Wu2025 pre-intervention dose excluded where relevant.,1
V33-OD-0223,flatus_TEAS_sham,INCLUDE,time_first_flatus,Postoperative,TEAS,sham,Outcome-specific analyzed population,Source construct/window/contrast reviewed; direct data admitted. v38: Zheng continuous data held for unresolved source inconsistency; no inferred SD corrections. Wu2025 pre-intervention dose excluded where relevant.,1
V33-OD-0239,flatus_TEAS_sham,INCLUDE,time_first_flatus,Postoperative,TEAS,sham,Outcome-specific analyzed population,Source construct/window/contrast reviewed; direct data admitted. v38: Zheng continuous data held for unresolved source inconsistency; no inferred SD corrections. Wu2025 pre-intervention dose excluded where relevant.,1
V33-OD-0062,flatus_TEAS_sham,INCLUDE,time_first_flatus,Postoperative,TEAS,sham,Outcome-specific analyzed population,Source construct/window/contrast reviewed; direct data admitted. v38: Zheng continuous data held for unresolved source inconsistency; no inferred SD corrections. Wu2025 pre-intervention dose excluded where relevant.,1
AUDIT-0251,flatus_TEAS_sham,INCLUDE,time_first_flatus,Postoperative,TEAS,sham,Available-case/completer analysis,Source construct/window/contrast reviewed; direct data admitted. v38: Zheng continuous data held for unresolved source inconsistency; no inferred SD corrections. Wu2025 pre-intervention dose excluded where relevant.,1
AUDIT-0252,flatus_TEAS_sham,INCLUDE,time_first_flatus,Postoperative,TEAS,sham,Available-case/completer analysis,Source construct/window/contrast reviewed; direct data admitted. v38: Zheng continuous data held for unresolved source inconsistency; no inferred SD corrections. Wu2025 pre-intervention dose excluded where relevant.,1
AUDIT-0253,flatus_TEAS_sham,INCLUDE,time_first_flatus,Postoperative,TEAS,sham,Available-case/completer analysis,Source construct/window/contrast reviewed; direct data admitted. v38: Zheng continuous data held for unresolved source inconsistency; no inferred SD corrections. Wu2025 pre-intervention dose excluded where relevant.,1
V33-OD-0117,flatus_EA_sham,INCLUDE,time_first_flatus,Postoperative,EA,sham,Outcome-specific analyzed population,Source construct/window/contrast reviewed; direct data admitted.,24
V33-OD-0002,flatus_EA_usual,INCLUDE,time_first_flatus,From surgery to first flatus,EA,usual_care,Outcome-specific analyzed population,Source construct/window/contrast reviewed; direct data admitted.,1
