study,status,window,finding,denominator,limitation,pdf_pages,source_excerpt,source_pdf,source_pdf_sha256,source_text,source_text_sha256
Luo 2026,Explicit zero local events,0–48 h,No electrode-site pain/erythema or other clinically significant AEs reported.,138 TEAS / 139 sham,Specific short-term reporting; not long-term safety proof.,5,"adverse effects commonly associated with palono­ setron—were recorded in either group. Furthermore, no adverse cutaneous reactions (e.g., pain or erythema) were observed at the electrode application sites. Overall, no other clinically significant adverse events were reported. Discussion This study demonstrates that TEA",TEAS EA Verification/Source PDFs/covidence_35_verified.pdf,c0f7a5e88ad8a000c8179382c1d55220fe9e798b9a4f8f6480f348d112898f51,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Luo_2026.txt,d78b6bebb3aa3642b8b5a9a99c772013234a200c47e79926604564d8250c9a12
Ma 2026,Explicit zero local/serious events,Trial period,"No serious TEAS/study-related AEs; no skin irritation, burns or discomfort requiring discontinuation.","Use report-specific treated population, not assumed denominator",Definition excludes discomfort not requiring discontinuation; do not expand it to all discomfort.,10,"Adverse Events No serious adverse events attributable to TEAS or study procedures were reported during the trial period. All patients tolerated the TEAS intervention well, with no reports of skin irritation, burns, or discomfort requiring discontinuatio",TEAS EA Verification/Source PDFs/117210.pdf,792cd9b25f49e9a14ef853c8c7e8240cee879bd9660bed9d2acc1184a832fbf3,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Ma_2026.txt,34c68d87a053d9542eaeaa0d01487fe85302c97e8f38f0430731a40ad08a1ec3
Ng 2013,Explicit zero intervention-related events,Hospital trial,No acupuncture-related AE reported; no withdrawals.,55 EA / 55 sham / 55 no acupuncture,"Maintain separate comparator groups, not a duplicated EA denominator.",3,"rop- out, and all recruited patients were available for analysis of primary and secondary outcomes. No adverse event related to the use of acupuncture was reported. The study groups were similar with respect to demo- graphic data and surgical details (Table 1). There was also no significant difference in the overal",TEAS EA Verification/Source PDFs/covidence_1970_ng_2013.pdf,18ce931a2b3a17e4ba1f7b4f0ddfac5274721367802ebdcdf92d027afa51c781,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Ng_2013.txt,89e82a9b20269584ae144effd81710991e2cff5668d00d7a6bf1de569153115d
Ntritsou 2014,Narrative zero selected harms,Immediate and three months as worded,No arrhythmias; no immediate haemorrhage or pain after three months; no peripheral nerve/capillary/muscle injury described.,35 EA / 35 control,"Discussion mixes own trial and citations; retain limited wording, not exhaustive serious-AE ascertainment.",6,"e patients were monitored with invasive arterial pressure recording and none developed arrhythmias. The patients did not display any adverse effects such as immediate haemorrhage or pain after 3 months. None of the patients reported injury to the peripheral nerves, capillaries or muscle fibres.20 36 44 45 Three children develo",TEAS EA Verification/Source PDFs/covidence_729_full_article.pdf,f75d422117f1c9468f6bfaf215e0c43c38fd842380657e42e1508b6a9aa13242,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Ntritsou_2014.txt,31b132a8f58768d2e537797831ba682e9b0285bd3889cf6c527d206522a8a91f
Sim 2002,Explicit zero procedure-related complications,Hospital trial,No complications related to EA procedures; bruising and persistent insertion-site pain were monitored.,30 sham / 30 preoperative EA / 30 postoperative EA,Two EA arms must not be compared twice to the same control as independent trials.,6,"% guessed acupuncture and the remaining patients thought they were in the control group. There were no complications related to the EA procedures. Sixty-five percent of patients who received EA stated, when asked, that they would not mind receiving EA for future surgery. Discussion This study showed that preoperative EA, w",TEAS EA Verification/Source PDFs/covidence_952_full_article.pdf,1cf418faabb4104db030b3f0b0196783cd6198d2ff5ed51c539c88ca51e6bd8a,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Sim_2002.txt,fa50aa41641dfb362037afbb8faf008fc3f60adb525f604a504214d0705b8019
Sun 2017,Explicit zero intervention-related events,0–48 h,"No TEAS-related side effects. Local irritation, redness, dermatitis and muscle ache were monitored.","91 / 91 / 89 active; 90 sham, analysed",361 analysed of 380 randomized; avoid silently using 380 as complete safety follow-up.,3,"patient satisfactory rate was higher in groups TSS, TTS, and TST compared with group SSS (Table 2). No side effect related to TEAS was observed during the postoperative 48 hours. Assessed for eligibility (N=435) Excluded (n=55) Not eligible (n=36) Declined to participate (n=19) Randomization (n=380) Group TSS (n=95) With",TEAS EA Verification/Source PDFs/sun2017-2.pdf,08bff012301811eee2caa149fca626ae6787f61dcee2951fce77830ac7b5de44,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Sun_2017.txt,b9fed9b42dcde9b403fcae7fb65484109cba0fba9d0182d4c14ac6c63c2ec19a
Szmit 2021,Nonzero local events,Postoperative observation,Mild redness/itching in one TEAS and two sham participants; no specific treatment or discomfort reported.,"Trial has TEAS, sham and usual-care arms; verify event-specific population before pooling",Do not mix mild skin reactions with opioid sedation/pruritus endpoints.,9,"EAS device was uncomfortable. In one patient in the study group and two patients in the sham group, skin irritation (redness and itching) was observed; however, the severity of these symptoms was mild, and no subjects reported discomfort nor required specific treatment. Sedation, pruritus, vomiting, and other side",TEAS EA Verification/Source PDFs/pdf-3.pdf,2a45730009de55f8953ed7f8d3e052d8e3a72e2ee51620b4ed800fcc67542b89,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Szmit_2021.txt,c15af01d31dbd49a8bbcb8228709855cbadfa87eacbc7e6759e8cce4debe8ec8
Tu 2024,Explicit zero intervention-related events,0–24 h,"No AEs observed during 0–24 h follow-up; prespecified TEAS adverse events include arrhythmia, fainting, pain and infection.",57 TEAS / 58 sham analysed,"Zero among observed participants, not all possible events or later follow-up.",4, score was significantly higher in the sham TEAS group than in the TEAS group (P = 0.001; Table 5). AEs were not observed in any patient during the 0–24- h testing period. 4. Discussion The main finding of the present study was that TEAS at P6 may prevent vomiting and reduce pain scores but it may not reduce the de­ gre,TEAS EA Verification/Source PDFs/study_244_Tu_2023.pdf,1824c6c671f079873a5d612106952736a050d5201fa906089b59943bfb9dcd61,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Tu_2024.txt,e80fd7ad75c9780493301454a8dda16b4c7293c60c8c45cf887b112daeaf1f32
Wong 2006,Explicit zero intervention-related events,Study follow-up,No mortality/complication/adverse reaction such as infection or bleeding related to acupuncture.,Report-specific observed population,Qualifying phrase related to acupuncture must remain; not a claim of zero all-cause events.,4," ble 2). There was no mortality, complication, or adverse reaction (such as infection and bleeding) related to acu- puncture in both groups. None of the patients in the SA group questioned whether they were receiving genuine acupuncture or not. The average usage of PCA morphine in the two study arms showed no sign",TEAS EA Verification/Source PDFs/covidence_912_wong_2006.pdf,898210345f2f104e6b98a21b11532d3b53872ab18a90e0b9e232052d2718b877,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Wong_2006.txt,1c2072bd2a767e53ddd91d76178603b8b1ecffee130c347f20a5c53ce5d8d77a
Yang 2020,"Nonzero intervention-related events, unquantified",Trial follow-up,"No serious EA-related events; hematoma, sleeplessness and mild/transient sharp pain described without counts.",Arm-specific event counts unavailable,Cannot compute RR or treat as zero. Retain event types and missing frequency.,5,"hospitalization. There were no serious EA-related adverse events reported throughout the study. The most commonly reported adverse events were hematoma, sleeplessness, and mild or transient sharp pain. Discussion In this feasibility study, we found that Chinese patients under­ going segmentectomy or lobectomy by VATS could accep",TEAS EA Verification/Source PDFs/covidence_464_verified.pdf,74195fd297db01dd46bc70ce30960d6ada974359a832f17219120a2cb8491d14,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Yang_2020.txt,d80261b4779f86971f979429aa386bb7b120d2281c4c0854f8618bfcc1744bb3
Yang 2024,Nonzero intervention-related withdrawal,Postoperative treatment,One participant discontinued EA due to discomfort.,EA arm; verify allocation/treated denominator before pooling,Do not discard because efficacy follow-up may be complete.,4,"sibility study4, most pa­ tients were satisfied with the frequency and duration of acupuncture, and only one patient discontinued EA postoperatively due to discomfort. Our protocol of three treatment sessions may seem to demand patients’ time, it was well accepted4. From clinical point of view, it might be easier to use single ",TEAS EA Verification/Source PDFs/covidence_1930_full_article.pdf,6c2160c1111226035fb3a46cd41746f84d6f420d24c10b329cffcf82e1c8580f,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Yang_2024.txt,c26a89b854144c0dee728371de177d707396a154147ce9063a16dc4c0b2176c9
Yeh 2011,Explicit zero events; overlap hold,Study period,No AES-associated adverse effects described for AES groups.,Do not sum with Yeh 2010,Probable shared trial family and existing model hold retained.,5,"e patients pushed buttons (p = 0.004) and the amount of opiate required (p = 0.023). The AES groups had not adverse effects associated with AES intervention during the present study period. 5. Discussion As shown in Fig. 3, pain in all groups decreased gradually over time. However, the participants in the AES group decrea",TEAS EA Verification/Source PDFs/covidence_828_full_article.pdf,f0616419764d81993b6427b4cb4a46af14743f42a5262b8d8a1918d3de66e74a,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Yeh_2011.txt,4cdd78f12f2cef325791f74037135435c1656deecee647547b55d600f76c7a3c
Zhou 2021,Narrative zero adverse events,Entire trial,No adverse reaction/event reported.,TEAS vs usual care,Ascertainment and attribution detail limited; not all-trial safety proof.,9," gastrointestinal function, which may be related to the modula­ tion of inflammation. And there was no adverse reaction during the entire trial. Therefore, TEAS can be used as an adjuvant therapy to enhance the postoperative recovery for patients with gastric cancer. Disclosure We declare that we do not have any comme",TEAS EA Verification/Source PDFs/getfile.php-5.pdf,187c314f6ed2ab4d736d5f0c790f362884c8fe767db1969c617f0ca9abc2b7a7,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Zhou_2021.txt,5fa7e3832528d01e2e9785a013512ea22eb929004fbc6aabe7990ded62be7167
Zhou 2025,Explicit zero local skin irritation,POD1–3,Local acupoint skin irritation 0 vs 0 in Table 6; other perioperative events tabulated separately.,48 TEAS / 49 sham analysed,"Specific skin endpoint, not zero all-cause adverse events.",8,ypertension 2 (4.2) 3 (6.1) 0.510 Hypotension 1 (2.0) 2 (4.1) 1.000 Hypoxemia 1 (2.0) 1 (2.0) 1.000 Skin irritation at acupoints 0 (0.0) 0 (0.0) 1.000 Note: Data presented as n (%). https://doi.org/10.2147/TCRM.S507856 Therapeutics and Clinical Risk Management 2025:21 1182 Zhou et al Powered by TCPDF (www.tcpdf.org) Powered by,TEAS EA Verification/Source PDFs/105119.pdf,d9bf76bd7e244dd4513f686ee9be168122d8db4ced699a7f881f93237b3cb52b,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Zhou_2025.txt,38b208d76d539a13ff08f8d64b3f562ae95f71a58076aa61464983f48af82af4
Zhang 2023,Nonzero intervention-related events,Trial follow-up,Treatment-related redness 2 vs 1; itching 0 vs 1. Voiding-related gross hematuria 2 vs 1 is separate. No serious AEs reported.,922 TEAS / 916 sham,Do not sum redness and itching as unique affected patients without overlap information or include voiding-related events as TEAS-caused.,7,) Voiding-related adverse events Gross hematuria 2 (0.1) 1 (0.1) Lower urinary tract infections 0 0 Treatment-related adverse events Redness 2 (0.2) 1 (0.1) Itching 0 1 (0.1) Values are expressed as numbers (percentages) unless otherwise indicated World J Surg (2023) 47:1153–1162 1159 123,TEAS EA Verification/Source PDFs/covidence_308_full_article.pdf,8dec75fafabcec621210b06873dbb8fd42d70c04d4a8490a0f0cd1e2ed1eff44,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Zhang_2023.txt,dea95730149c0ffb1a1c7b30633521e359be248bcd22c197a45ffe82caa98fde
Wu 2025,Explicit zero local/serious events,Acute postoperative follow-up,No local itching/erythema/pain/discomfort; no other serious AEs reported. Dizziness 8 vs 10.,50 TEAS / 50 sham,Dizziness is not automatically TEAS-caused harm.,7,"cluding local skin reactions such as itching and erythema, as well as pain or local discomfort, and none of these adverse reactions were observed. No other serious adverse events were observed during the trial (Table 2). Discussion Our results demonstrated that TEAS significantly reduced pain intensity 24 h post-surgery, as evidenced by the lo",TEAS EA Verification/Source PDFs/103940.pdf,2fc3db1859c4af6dc85f9a357a2468eb54b002d2c7f87658c9113c207a8beb53,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Wu_2025.txt,aebc2703278c084d7aa54d27cd5ed11fb08e4efb39fa2dd5d2055572dd10bb0d
Zhu 2022,Nonzero intervention-related events,Treatment and three-day follow-up,Three Comb-arm patients had needling-site pain/itching; two declined second EA session. Symptoms <2 h; no further events reported.,Comb 98 analysed; original allocated/treated denominator must be checked,Do not omit treatment refusal or assume analysed denominator captures all treatment-emergent events.,7,"everity of PON or POV, incidence of postopera- tive analgesic use, or QoR-15 scores. Adverse events Three patients in Group Comb experienced pain and itch- ing at the needling sites, and two declined the second EA treatment. These minor and tolerable symptoms lasted <2 h, did not cause persistent visible signs, and did not req",TEAS EA Verification/Source PDFs/covidence_381_full_article.pdf,81b253dfbb68322da8383e775b391e0eb829702de456e01224fa82bf6b56bde0,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Zhu_2022.txt,05525cc39995cbf106b4333ebda36a4b0bd94c5711ce4e43728efb0d5d04a5a2
He 2026 (hepatectomy/JIS),"All-cause serious outcome, attribution unreported",6 months,Deaths: 2/80 TEAS vs 0/79 control.,80 TEAS / 79 control in Table 3,"No causal attribution provided. Not TEAS-caused mortality, but directly contradicts blanket no serious outcomes across corpus.",8,"1 ± 9.4 0.05 Effective PCA deliveries 4.8 ± 5.5 6.4 ± 10.9 0.05 QoR-15 score 118 (75) 116 (80) 0.69 6m after surgery Death 2 (2.5) 0 (0) 0.1 Data were presented as mean ± standard deviation, median (range) or number (percentage). TEAS: transcutaneous electrical acupoint stimulation; PACU: post-anesthesia care unit;",TEAS EA Verification/Source PDFs/covidence_25_verified.pdf,4fc22447f980bacde9572ec5b1998318f5c4c38aedd82b7809644644e00d7e96,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/He_2026_hepatectomy_JIS.txt,6c3919eefe5fdf3383eebd9d2a94a898af9c7eb91bbfaeb40d4ef86fd2a8d03b
Liu 2026 (ESD),Postoperative bleeding withdrawals; attribution unreported,Postoperative follow-up,Figure 1: two TEAS and one sham participant dropped out because of postoperative bleeding.,64 TEAS / 65 sham randomized; 58/62 completers,Do not infer TEAS causation; do not erase excluded participants from all-cause complication reporting.,4,"nated from the study. Two patients from the TEAS group and 1 from the sham group dropped out due to postoperative bleeding. Three patients from the TEAS group and 1 from the sham group withdrew from the trial. Finally, a total of 120 patients completed the entire research, 58 in the TEAS group and 62 in the sham group (F",TEAS EA Verification/Source PDFs/covidence_69_full_article.pdf,0ec8f5810960f2beec2574fbd8779b1cc4402a328d3c844cbd146357dab63623,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Liu_2026_ESD.txt,61f76a56d37729977f5f38c5a72becdb297a8cc2f8e61aaec57d349a599f4c96
Coura 2011,Limited anaesthetic/opioid side-effect report,Acute follow-up,One control patient sufficiently drowsy to reduce PCA rate; no treatment-group side effects reported.,Source analysed population,"Context is analgesia/PCA side effects, not a complete needle/device-harm survey.",3,"ontrol group was sufficiently drowsy for the anaesthetics to reduce the rate of PCA infusion, while no side effects were reported in the treatment group. The average hospitalisation time was 8.5±5.7 days in the treatment group and 10.7±11.2 days in the control group (p=0.55). O) "" 5 , 17.00 u 16.00 a (A O «I» >« 14.00 cs C 13.0",TEAS EA Verification/Source PDFs/covidence_819_full_article.pdf,4e6e6512dd139c7b914b56c3b22b6c05eb6c884675c03db02a924eec5a6f7be6,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Coura_2011.txt,ab457355ac7da7e12d0e633e71ed1f94dc4b70f752bbf4d99de3f58181be3b31
Huang 2017,Limited selected side-effect report,Trial follow-up,All 80 completed trial; no adverse effects such as intraoperative awareness or dizziness reported.,20 per randomized arm,Not specific surveillance for skin/needle/device events.,4,"ients, 80 patients met the inclusion cri- teria and were randomized to the 4 study groups (Fig. 1). All 80 patients completed the trial and reported no adverse effects such as intraoperative awareness or dizziness. No differences in anesthesia duration, operation duration, and one-lung ventilation duration were observed amo",TEAS EA Verification/Source PDFs/covidence_666_full_article.pdf,aebf2cb5816d3f198cd3a6b5c0ed9d22ad96abac984d877a70077e9c95f4c317,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Huang_2017.txt,f2eeca2c55a0f24afc440c3019d8586af52fd37a344883df7a2f568f0c7dc875
Zhan 2020,Limited anaesthetic side-effect report,24–72 h,"Only nausea, vomiting and dizziness reported; no other adverse reactions found.",30 per group,No dedicated TEAS-related harm definition; keep separate from direct intervention safety.,3,"in Table 4. In this trial, the postoperative adverse reactions were nausea, vomiting and dizziness, no other adverse reactions were found. Com- pared with usual care group, TAP + TEAS group showed significantly less anesthesia related adverse reactions at 24, 48 and 72 h (p < 0.0001). Moreover, the incidence of postoperative",TEAS EA Verification/Source PDFs/covidence_1389_full_article.pdf,29bd9ef73831d7db7c4c06fd0b685eff6a1ff9d942165f2b2b265f8021c8be76,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Zhan_2020.txt,171aac41f3396598b1a2e6d00f4c8980c1e6f8fcf7de4c1d0765f86d8699de4f
