study,kind,instrument,window,population,source_values,synthesis_disposition,pdf_pages,source_excerpt,source_pdf,source_pdf_sha256,source_text,source_text_sha256
Xing 2022,QoR,QoR-15,POD1 / POD3 / POD7,29 NTG / 29 NG (both TAP block),Mean±SD NTG vs NG: POD1 90.86±12.36 vs 85.97±11.07; POD3 116.38±10.82 vs 100.55±10.06; POD7 130.66±10.20 vs 116.97±11.01,"Use TEAS+TAPB vs sham+TAPB, not general-anesthesia-only G arm (unequal cointervention). Separate time points.",5," in Fig. 3, the QoR-15 scores on POD 1 (G group, 77.10 ± 10.16; NG group, 85.97 ± 11.07; NTG group, 90.86 ± 12.36) in the NG and NTG groups were significantly higher than those in the G group (P \ 0.05). The QoR-15 scores on POD 3 (G group, 96.55 ± 10.51; NG group, 100.55 ± 10.06; NTG group, 116.38 ± 10.82) and ",TEAS EA Verification/Source PDFs/s40122-022-00429-2.pdf,ef7826ca61ea657ea56689464a863c5340af1703488c259420346131727062c3,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Xing_2022.txt,b7777b307e38b0d85457e7ce3439bbfc8aac27ba8adc43e57eace188c2857533
Yao 2015,QoR,QoR-40,24 h,35 TEAS / 36 sham,Mean±SD: 176.5±10.2 vs 164.8±14.7,Numerically ready with Yu 2020 in sham stratum; new result-specific assessment required.,4,"29 Physical independence 20.6 (2.4) 19.7 (3.0) 0.152 Pain 31.7 (2.4) 29.2 (3.6) 0.001 Global QoR-40 176.5 (10.2) 164.8 (14.7) <0.001 Values are mean (SD). TEAS: transcutaneous electric acupoint stimulation; C: control. undergoing gynecological laparoscopic surgery. In addition, TEAS reduces the incidence of gen",retrieved_pdfs/039_yao_2015.pdf,769574c60b55724c5f5d1bb988ebb6cbd252be9b95734e3b11bf61bf5ae9272f,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Yao_2015.txt,8a196fed942d9398e2dae6aa32a56cd978655acfc586f73b184f49271205bf77
Yu 2020,QoR,QoR-40,POD1 / POD2,30 TEAS / 30 sham,Mean±SD: POD1 175.33±9.66 vs 166.07±8.44; POD2 191.40±5.74 vs 187.73±5.47,POD1 numerically ready with Yao 2015. POD2 separate; retain discrepancy between source adjusted tests and unadjusted contrasts.,1,"nd MMSE scores of T1 and T2 were higher in the TEAS group (P < 0.05) (QoR-40: T1, 166.07 ± 8.44 vs. 175.33 ± 9.66; T2, 187.73 ± 5.47 vs. 191.40 ± 5.74), (MMSE: T1, 24.60 ± 2.35 vs. 26.10 ± 2.78; T2, 26.53 ± 2.94 vs. 27.83 ± 2.73). VAS scores of T1 and T2 were lower (P < 0.05) in the TEAS group (T1, 4.73 ± 1.53 v",TEAS EA Verification/Source PDFs/s13063-019-3892-4.pdf,12fbd503870f7f12216ff5f2544b159c66fecd557d4838bcabceec1aa151fb69,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Yu_2020.txt,a1018b46eec1d8df75bd7c11d0a7ce0f5ec19a70194a7812a651c55f003871a1
Zheng 2025,QoR,QoR-40,6 / 24 / 48 h,42 TEAS / 43 sham,48 h totals 184.0 vs 181.0; text also reports −2.9% and −2.0% for 48 h with different CIs; Figure 2.,"Descriptive/source-conflict hold: effect unit, contrast and dispersion not reconciled. Do not derive an SD from conflicting CIs.",5," group had a significantly higher total score (184.0) compared to the control group (181.0), with a difference of −2.9% (95% CI: −4.07, −1.78, P<0.001). Additionally, the scores across all five dimensions were significantly higher in the TEAS group than in the control group at the same time point (P<0.001). Multiple c",TEAS EA Verification/Source PDFs/109499.pdf,a99722242c4b1800916d66613b5a0ed223a91f853e14ecce929740eb91dc466b,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Zheng_2025.txt,f705fbb6461077adb4811c7414cf0b4a068dc8f766c3eddcfe0f9c69849f17a2
Zhou 2025,QoR,QoR-15,POD1 / POD2 / POD3,48 TEAS / 49 sham,Mean±SD: POD1 112.00±10.67 vs 107.62±10.27; POD2 120.88±10.91 vs 117.02±8.79; POD3 124.82±9.60 vs 124.84±9.60,POD1 numerically ready. POD3 source P=.275 inconsistent with near-identical means/SDs: flag before quantitative release; never copy source P values as derived tests.,7,89 Physical independence 14.85±2.79 15.12±2.47 0.617 Pain 14.18±2.91 12.47±2.92 0.005* Global score 112.00±10.67 107.62±10.27 0.042* POD 2 Emotional state 31.35±3.19 30.22±3.29 0.089 Physical comfort 39.62±3.14 38.78±3.43 0.207 Psychological support 17.85±1.40 18.08±1.48 0.439 Physical independence 15.52±2.25 1,TEAS EA Verification/Source PDFs/105119.pdf,d9bf76bd7e244dd4513f686ee9be168122d8db4ced699a7f881f93237b3cb52b,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Zhou_2025.txt,38b208d76d539a13ff08f8d64b3f562ae95f71a58076aa61464983f48af82af4
Zhu 2022,QoR,QoR-15,Postoperative; exact assessment time not specified,EA Pre 101 / Comb 98 / Post 100; usual care 101,Mean±SD: Pre 142.94±6.82; Comb 144.74±5.21; Post 144.61±5.35; usual 144.23±4.95,Unspecified-window EA/usual-care result. Do not label 24 h. Combine compatible active arms only with shared control counted once.,8,"8.38 ± 6.11## 18.47 ± 6.47# 18.82 ± 7.50# 21.56 ± 8.07 4.615 400 0.003** Overall QoR-15 (mean ± SD) 142.94 ± 6.82 144.74 ± 5.21 144.61 ± 5.35 144.23 ± 4.95 2.138 400 0.095 SD: standard deviation; QoR: quality of recovery; NRS: numeric rating scale. *p < 0.05, **p < 0.01 between groups; #p < 0.05, ##p < 0.",TEAS EA Verification/Source PDFs/covidence_381_full_article.pdf,81b253dfbb68322da8383e775b391e0eb829702de456e01224fa82bf6b56bde0,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Zhu_2022.txt,05525cc39995cbf106b4333ebda36a4b0bd94c5711ce4e43728efb0d5d04a5a2
Guo 2023,Quality of life,EORTC-QLQ-C30,6 / 12 months,55 TEAS / 55 sham; 128 randomized,Global health mean±SD: 6 mo 75.61±10.98 vs 70.00±10.71; 12 mo 74.70±11.78 vs 69.70±11.82. Additional domains Table 3.,"Single study, long-term health-related quality of life; separate from acute QoR. Completer analysis excludes 18 randomized participants.",7,"03 Financial difficulties 2.42 ± 8.74 0.61 ± 4.50 0.172 2.42 ± 8.74 0.60 ± 4.50 0.172 Global health 75.61 ± 10.98 70 ± 10.71 0.007 74.70 ± 11.78 69.70 ± 11.82 0.029 Abbreviations: EORTC-QLQ-C30, European Organization for Research and Treatment of Cancer Quality of Life Questionnaire. a Indicates Mann-Whitney U t",retrieved_pdfs/006_guo_2023.pdf,939a5c0639ee8f9d570b5f1de578831009fb452fc1caabbb1c7879faf8849434,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Guo_2023.txt,d5aae1d9d83f5b3168a1bb4a8f079e1dd4ea10a158c18fa429935ae7f5d8c45c
Huang 2017,Quality of life,SF-12 PCS/MCS,1 month,74/80 with follow-up; arm-specific follow-up n unresolved,"PCS mean±SD control 37±8, 2/100Hz 35±9, 2Hz 36±8, 100Hz 36±10; MCS 53±9, 54±9, 50±8, 51±7",Single study; retain separate PCS/MCS. Do not assign randomized n=20 to every follow-up arm; six missing scores.,6,"8 h score, mean (SD) 2.9 (0.7) 3.5 (0.6) 3.1 (0.5) 2.8 (0.7) PONV morbidity (%) 35 25 26 5* Table 6 SF-12 quality of life scores PCS physical component score, MCS mental component score * Post vs. pre: con, P = 0.046; 2/100 Hz, P = 0.038; 2 Hz, P = 0.029; 100 Hz, P = 0.041 Indicator Con 2/100 Hz 2 Hz 100 Hz Preoperative PCS, m",TEAS EA Verification/Source PDFs/covidence_666_full_article.pdf,aebf2cb5816d3f198cd3a6b5c0ed9d22ad96abac984d877a70077e9c95f4c317,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Huang_2017.txt,f2eeca2c55a0f24afc440c3019d8586af52fd37a344883df7a2f568f0c7dc875
Chen 2015,Satisfaction,10-point numerical scale,24 h,41 TEAS / 42 sham,Median (IQR): 8 (6–8) vs 6 (5–7),Report medians; not mean±SD.,4,"0.001 Dizziness [n (%)] 12 (29.3) 27 (64.2) 0.001 Duration of PACU stay (min) 26 (6) 37 (7) < 0.001 Patient’s satisfaction 8 (6-8) 6 (5-7) 0.002 Values are mean (SD), median (IQR), or number (%). TEAS, transcutaneous electric acupoint stimulation; C, control; PONV, postoperative nausea and vomiting; PACU, post anesthesia",037_chen_2015_thyroidectomy_lund.pdf,60361dc28f099a330d13fe98c9e96d8f94334920f0eaffd65c450ffd6dc87bfc,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Chen_2015.txt,37b87d059f4b25bb9ece8af035f6c340ce347d8c1739a2e4ce558214300f104a
Gu 2019,Satisfaction,Four ordered categories,36 h,58 TEAS / 59 sham,Very satisfied/satisfied/moderately/not: 32/19/7/0 vs 9/32/16/2,Report counts. Narrative 67.3%/42.4% conflicts with table; do not use it. No common prespecified binary threshold across studies.,5,sfied(n/ %) Moderately satisfied (n/%) Not satisfied (n/%) C-TEAS 9/15.3 32/54.2 16/27.1 2/3 L-TEAS 32/55.2 19/33.8 7/12.1 0/0 χ2 20.47 5.49 4.19 2.00 P value 0.00* 0.02* 0.04* 0.16 Note: The data are shown as the number of cases/percentage; *P < 0.05 vs. the C-TEAS group. S. Gu et al. European Journal of ,TEAS EA Verification/Source PDFs/covidence_1471_full_article.pdf,b6fb0c0901f5f6716bd6cc6facc06f0844dca5c5e9d357527f55936d5de0aa33,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Gu_2019.txt,79b7b4ee6ceb49dc416d01e51925dde4e18cdabf892323ac1a6ce297604f7773
Liu 2026 (ESD),Satisfaction,0–100 verbal score,Follow-up period; exact measurement time unclear,58 TEAS / 62 sham,Table 2 x-bar±s: 73.0±28.5 vs 48.8±21.2; prose calls these mean ranks.,Hold pooling until timing and mean vs mean-rank conflict resolved; preserve table and prose.,6," to fi rst eating 73.1d12.1 75.3d13.3 –2.6 (–4.5 to 2.1) 0.350 Patients' satisfaction (score, x–ds) 73.0d28.5 48.8d21.2 –24.5 (–30.1, 6.4) 0.000 Notes: RR: risk ratio. NRS: Numeric Rating Scale. The same below. P value is obtained by Student's t-test. †P value is obtained by Mann-Whitney U test. ‡P valu",TEAS EA Verification/Source PDFs/covidence_69_full_article.pdf,0ec8f5810960f2beec2574fbd8779b1cc4402a328d3c844cbd146357dab63623,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Liu_2026_ESD.txt,61f76a56d37729977f5f38c5a72becdb297a8cc2f8e61aaec57d349a599f4c96
Lu 2021,Satisfaction,Analgesia satisfaction score,By 24 h,198 single / 190 multiple / 188 sham,Mean±SD: 8.2±1.1 / 8.4±0.9 / 8.2±0.9,Scale endpoints not located in main report; do not assume same scale as Chen/Yao. Combine active arms only once if pooling justified.,5,"0.7 0.4 ± 0.7 0.3 ± 0.7 0.03 <0.001 0.008 0.19 0.18 (0.02,0.34) 0.10 (−0.06,0.26) 0.08 (−0.08,0.24) Patient's satisfaction score 8.2 ± 0.9 8.2 ± 1.1 8.4 ± 0.9 0.16 Data were presented as mean ± SD, median (IQR) or number of patients (percentage). In multiple comparisons between each two groups, the type I error was corrected t",TEAS EA Verification/Source PDFs/covidence_414_full_article.pdf,7f03819dbf9b4b292cfed8ba78be7233349e036cc4f9cb144cfa1e0db17094a7,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Lu_2021.txt,f6cd5adfe410b378cfda06841e100b5c7e740d3cd3fc24a0a83a0231cf7265a9
Ntritsou 2014,Satisfaction,6-point Likert verbal rating,24 h,35 EA / 35 control,All patients described as satisfied; arm distribution absent from main report; source claims significance with P>0.01.,Narrative only until ordinal distribution retrieved. Do not treat everyone satisfied as identical ordinal scores or replace > with <.,4," between groups were observed in the partial assessments of each parameter (see online supplement). All the patients reported that they were satisfied with the analgesic technique used, but a significant difference was observed between the groups (p>0.01) with the EA group showing superiority. DISCUSSION In this study, 91.4",TEAS EA Verification/Source PDFs/covidence_729_full_article.pdf,f75d422117f1c9468f6bfaf215e0c43c38fd842380657e42e1508b6a9aa13242,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Ntritsou_2014.txt,31b132a8f58768d2e537797831ba682e9b0285bd3889cf6c527d206522a8a91f
Sim 2002,Satisfaction,Satisfaction/willingness to repeat EA,Day before discharge,"Three groups, 30 per group",65% of patients receiving EA would accept EA for future surgery; arm-specific counts absent.,Descriptive acceptability. Do not manufacture numerator from rounded percentage or comparative denominator.,6,"s thought they were in the control group. There were no complications related to the EA procedures. Sixty-five percent of patients who received EA stated, when asked, that they would not mind receiving EA for future surgery. Discussion This study showed that preoperative EA, when used in conjunction with conventional",TEAS EA Verification/Source PDFs/covidence_952_full_article.pdf,1cf418faabb4104db030b3f0b0196783cd6198d2ff5ed51c539c88ca51e6bd8a,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Sim_2002.txt,fa50aa41641dfb362037afbb8faf008fc3f60adb525f604a504214d0705b8019
Sun 2017,Satisfaction,5-point scale; extremely satisfied,"Postoperative assessment, exact time unclear",TSS 91 / TTS 91 / TST 89 / sham SSS 90,"Extremely satisfied: TSS 98.9%, TTS 100%, TST 100%, SSS 88.9%; table includes percentage CIs.",Report percentages as printed; no unverified integer reconstruction or mixing with Yao threshold ≥8/10.,5,"ecation (h) 63.4 ± 22.9 63.6 ± 19.8 61.8 ± 15.7 57.3 ± 20.6 0.127 Satisfaction (%) 88.9 (82.4-95.4) 98.9 (96.7-101.1)* 100 (100-100)* 100 (100-100)* < 0.001 Continuous variables are presented as mean ± SD and categorical variables are presented as percentage (95% confidential interval). *Compared with group SSS, P <",TEAS EA Verification/Source PDFs/sun2017-2.pdf,08bff012301811eee2caa149fca626ae6787f61dcee2951fce77830ac7b5de44,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Sun_2017.txt,b9fed9b42dcde9b403fcae7fb65484109cba0fba9d0182d4c14ac6c63c2ec19a
Szmit 2021,Satisfaction,"Pain satisfactorily treated, interview",Follow-up interview; exact timing unclear,Three-arm trial,Nearly 90% overall; no significant group difference stated; no arm-specific counts.,"Narrative only, not a comparative event estimate.",9," compared to sham (p = 0.024) and control group (p = 0.001) (Figure 5). On the follow-up interview, nearly 90% of the study patients reported that their postoperative pain was “satisfactorily” treated, and there were no significant differences among the three groups. No patient complained that the electrical ",TEAS EA Verification/Source PDFs/pdf-3.pdf,2a45730009de55f8953ed7f8d3e052d8e3a72e2ee51620b4ed800fcc67542b89,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Szmit_2021.txt,c15af01d31dbd49a8bbcb8228709855cbadfa87eacbc7e6759e8cce4debe8ec8
Yao 2015,Satisfaction,1–10 numerical scale; threshold ≥8,24 h,35 TEAS / 36 sham,Median (IQR) 8 (6–8) vs 6 (5–7); ≥8: 18/35 vs 6/36,Report ordinal and source-defined threshold separately. Do not pool against Sun’s 5/5 endpoint.,4,"%) 19 (52.8%) 0.004 Patient’s satisfaction score 8 (6–8) 6 (5–7) 0.002 Satisfaction score ≥8, n (%) 18 (51.4%) 6 (16.7%) 0.002 Values are mean (SD), median (IQR), or number (%). TEAS: transcutaneous electric acupoint stimulation; C: control; PACU: postanesthesia care unit. The Hegu (LI4) belongs to the Large ",retrieved_pdfs/039_yao_2015.pdf,769574c60b55724c5f5d1bb988ebb6cbd252be9b95734e3b11bf61bf5ae9272f,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Yao_2015.txt,8a196fed942d9398e2dae6aa32a56cd978655acfc586f73b184f49271205bf77
Huang 2024,Acceptability,VAS acceptance and discomfort (0–100),POD1–3,36 contralateral / 37 ipsilateral / 35 sham in Table 4,Acceptance POD1 mean±SD: 84.44±8.36 / 84.16±9.39 / 83.06±7.45; full POD1–3 results in Table 4.,Separate construct from satisfaction with analgesia. Table population/AE-percent conflict disclosed in safety register.,10,.26 16.78 ± 8.66 17.77 ± 8.95 Day 3 12.25 ± 10.13 12.57 ± 8.91 16.11 ± 8.64 Acceptance of EAa Day 1 84.44 ± 8.36 84.16 ± 9.39 83.06 ± 7.45 Day 2 87.69 ± 6.75 87.57 ± 7.40 85.89 ± 8.37 Day 3 90.97 ± 7.22 91.22 ± 7.32 87.26 ± 9.20 Assessment of blindingb 27 (71.05) 29 (76.32) 29 (76.32) Side effects of acu,TEAS EA Verification/Source PDFs/covidence_245_full_article.pdf,728873a206e9cc158128f082bbe4a4cd75de6f417e9cd52738e8d1b23d883644,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Huang_2024.txt,16b7fdc84f1ceb6ccdf5ed4b96fdedb4d249cfd80431ee2ff7a4cd0073ed92ba
Yang 2024,Acceptability,Narrative acceptability,Perioperative treatment course,EA arm; no satisfaction denominator,Most patients satisfied with frequency/duration; one discontinued EA because of discomfort.,Narrative only; do not translate most into a percentage or a validated PROM.,4,"sibility study4, most pa­ tients were satisfied with the frequency and duration of acupuncture, and only one patient discontinued EA postoperatively due to discomfort. Our protocol of three treatment sessions may seem to demand patients’ time, it was well accepted4. From clinical point of view, it might be easier to use single ",TEAS EA Verification/Source PDFs/covidence_1930_full_article.pdf,6c2160c1111226035fb3a46cd41746f84d6f420d24c10b329cffcf82e1c8580f,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Yang_2024.txt,c26a89b854144c0dee728371de177d707396a154147ce9063a16dc4c0b2176c9
