model_id,label,certainty,risk_of_bias,inconsistency,indirectness,imprecision,publication_bias,risk_of_bias_downgrades,inconsistency_downgrades,indirectness_downgrades,imprecision_downgrades,publication_bias_downgrades,reviewer,review_date,decision_status
persistent_nausea24_TEAS_sham,V38 DELEGATED AI REVIEW COMPLETE,Low,Serious: Gao incomplete patient masking and unverified result-level prospective analysis plan.,Not downgraded solely for one trial; consistency cannot be assessed.,"Direct for the explicitly named outcome, window and comparator; not interchangeable with another construct or proof across all surgeries.",Serious: relatively few persistent-nausea events despite N=1655; wide relative reduction range leaves uncertain absolute magnitude.,"No separate downgrade: sparse evidence cannot rule out missing results, but specific evidence is insufficient to assert publication bias. Historical selection completeness is disclosed separately.",1,0,0,1,0,AI assistant under user delegation,2026-09-20,ADOPTED v38
nausea48_TEAS_sham,V38 DELEGATED AI REVIEW COMPLETE,Low,"Very serious: entire body is Luo; verified failed sensory masking and subjective nausea imply High measurement risk, compounded by unblinded care and uncertain prespecification.",Not downgraded solely for one trial; consistency cannot be assessed.,"Direct for the explicitly named outcome, window and comparator; not interchangeable with another construct or proof across all surgeries.","Not downgraded again: 77 nausea events (24/138 vs 53/139), RR CI 0.30–0.69 supports reduction. Not confused with the 36-event vomiting result; dominant uncertainty is bias.","No separate downgrade: sparse evidence cannot rule out missing results, but specific evidence is insufficient to assert publication bias. Historical selection completeness is disclosed separately.",2,0,0,0,0,AI assistant under user delegation,2026-09-20,ADOPTED v38
vomiting48_TEAS_sham,V38 DELEGATED AI REVIEW COMPLETE,Low,"Serious: Luo clinical-care/prespecification concerns. Observable vomiting measurement Low, not copied from nausea.",Not downgraded solely for one trial; consistency cannot be assessed.,"Direct for the explicitly named outcome, window and comparator; not interchangeable with another construct or proof across all surgeries.",Serious: 36 events in 277 participants and wide relative/absolute reduction range.,"No separate downgrade: sparse evidence cannot rule out missing results, but specific evidence is insufficient to assert publication bias. Historical selection completeness is disclosed separately.",1,0,0,1,0,AI assistant under user delegation,2026-09-20,ADOPTED v38
ponv48_TEAS_sham,V38 DELEGATED AI REVIEW COMPLETE,Low,"Serious: Xiong concealment, clinical awareness, sensory masking and prespecification concerns. Five pre-randomization eligibility exclusions are not attrition.",Not downgraded solely for one trial; consistency cannot be assessed.,"Direct for the explicitly named outcome, window and comparator; not interchangeable with another construct or proof across all surgeries.","Serious, not very serious: N=62/37 events and RR CI 0.34–0.85; sparse information, but interval does not encompass major benefit AND harm.","No separate downgrade: sparse evidence cannot rule out missing results, but specific evidence is insufficient to assert publication bias. Historical selection completeness is disclosed separately.",1,0,0,1,0,AI assistant under user delegation,2026-09-20,ADOPTED v38
nausea6to24_EA_usual,V38 DELEGATED AI REVIEW COMPLETE,Moderate,Serious: all three Zhu active arms assessed; sequence implementation/prespecification concerns and patient-report concerns for nausea. Vomiting measurement itself Low.,Not downgraded solely for one trial; consistency cannot be assessed.,"Direct for the explicitly named outcome, window and comparator; not interchangeable with another construct or proof across all surgeries.",Not downgraded: N=400 and intervals wholly support reduction. Single-trial status or no registered symptom MCID does not automatically imply imprecision; no minimum important benefit claimed.,"No separate downgrade: sparse evidence cannot rule out missing results, but specific evidence is insufficient to assert publication bias. Historical selection completeness is disclosed separately.",1,0,0,0,0,AI assistant under user delegation,2026-09-20,ADOPTED v38
vomiting6to24_EA_usual,V38 DELEGATED AI REVIEW COMPLETE,Moderate,Serious: all three Zhu active arms assessed; sequence implementation/prespecification concerns and patient-report concerns for nausea. Vomiting measurement itself Low.,Not downgraded solely for one trial; consistency cannot be assessed.,"Direct for the explicitly named outcome, window and comparator; not interchangeable with another construct or proof across all surgeries.",Not downgraded: N=400 and intervals wholly support reduction. Single-trial status or no registered symptom MCID does not automatically imply imprecision; no minimum important benefit claimed.,"No separate downgrade: sparse evidence cannot rule out missing results, but specific evidence is insufficient to assert publication bias. Historical selection completeness is disclosed separately.",1,0,0,0,0,AI assistant under user delegation,2026-09-20,ADOPTED v38
pain24_rest_TEAS_sham,V38 DELEGATED AI REVIEW COMPLETE,Moderate,Serious: exact pain results assessed; Liu masking/Xing sensory-unmasking and prospective-selection concerns. Prior blanket High assignments not sustained.,No downgrade: contrasts compatible with little average difference; movement body single trial.,"Direct for the explicitly named outcome, window and comparator; not interchangeable with another construct or proof across all surgeries.",Not downgraded for registered +1 pain-worsening decision: full CIs lie within −1 to +1. Standalone average-pain evidence is NOT paired opioid/pain proof or a formal noninferiority trial.,"No separate downgrade: sparse evidence cannot rule out missing results, but specific evidence is insufficient to assert publication bias. Historical selection completeness is disclosed separately.",1,0,0,0,0,AI assistant under user delegation,2026-09-20,ADOPTED v38
pain24_movement_TEAS_sham,V38 DELEGATED AI REVIEW COMPLETE,Moderate,Serious: exact pain results assessed; Liu masking/Xing sensory-unmasking and prospective-selection concerns. Prior blanket High assignments not sustained.,No downgrade: contrasts compatible with little average difference; movement body single trial.,"Direct for the explicitly named outcome, window and comparator; not interchangeable with another construct or proof across all surgeries.",Not downgraded for registered +1 pain-worsening decision: full CIs lie within −1 to +1. Standalone average-pain evidence is NOT paired opioid/pain proof or a formal noninferiority trial.,"No separate downgrade: sparse evidence cannot rule out missing results, but specific evidence is insufficient to assert publication bias. Historical selection completeness is disclosed separately.",1,0,0,0,0,AI assistant under user delegation,2026-09-20,ADOPTED v38
pain24_rest_TEAS_usual,V38 DELEGATED AI REVIEW COMPLETE,Not rated — insufficient evidence,No eligible quantitative evidence body.,No eligible quantitative evidence body.,No eligible quantitative evidence body.,No eligible quantitative evidence body.,No eligible quantitative evidence body.,0,0,0,0,0,AI assistant under user delegation,2026-09-20,ADOPTED v38
pain24_movement_EA_sham,V38 DELEGATED AI REVIEW COMPLETE,Moderate,Serious: both Huang arms assessed; missing-measurement handling and sensory masking concerns.,Not downgraded solely for one trial; consistency cannot be assessed.,"Direct for the explicitly named outcome, window and comparator; not interchangeable with another construct or proof across all surgeries.",Not downgraded for +1 worsening margin: CI −0.73 to +0.05 excludes important average worsening. Does not establish paired opioid reduction or broad analgesic benefit.,"No separate downgrade: sparse evidence cannot rule out missing results, but specific evidence is insufficient to assert publication bias. Historical selection completeness is disclosed separately.",1,0,0,0,0,AI assistant under user delegation,2026-09-20,ADOPTED v38
pain24_rest_EA_sham,V38 DELEGATED AI REVIEW COMPLETE,Not rated — insufficient evidence,No eligible quantitative evidence body.,No eligible quantitative evidence body.,No eligible quantitative evidence body.,No eligible quantitative evidence body.,No eligible quantitative evidence body.,0,0,0,0,0,AI assistant under user delegation,2026-09-20,ADOPTED v38
flatus_TEAS_sham,V38 DELEGATED AI REVIEW COMPLETE,Very low,Serious: exact patient-report/missingness/prespecification concerns. Zheng continuous data excluded for source/construct uncertainty.,Very serious: clinically disparate magnitudes and prediction interval includes no improvement/delay; unstable expected benefit.,"Direct for the explicitly named outcome, window and comparator; not interchangeable with another construct or proof across all surgeries.",No extra downgrade: mean CI favours earlier passage; setting uncertainty counted under inconsistency.,"No separate downgrade: sparse evidence cannot rule out missing results, but specific evidence is insufficient to assert publication bias. Historical selection completeness is disclosed separately.",1,2,0,0,0,AI assistant under user delegation,2026-09-20,ADOPTED v38
flatus_TEAS_usual,V38 DELEGATED AI REVIEW COMPLETE,Not rated — insufficient evidence,No eligible quantitative evidence body.,No eligible quantitative evidence body.,No eligible quantitative evidence body.,No eligible quantitative evidence body.,No eligible quantitative evidence body.,0,0,0,0,0,AI assistant under user delegation,2026-09-20,ADOPTED v38
flatus_EA_sham,V38 DELEGATED AI REVIEW COMPLETE,Very low,Serious: Ng nonopaque envelopes and incomplete prospective analysis-plan verification.,Not downgraded solely for one trial; consistency cannot be assessed.,"Direct for the explicitly named outcome, window and comparator; not interchangeable with another construct or proof across all surgeries.","Very serious: N=110, CI allows materially earlier flatus and no benefit/delay.","No separate downgrade: sparse evidence cannot rule out missing results, but specific evidence is insufficient to assert publication bias. Historical selection completeness is disclosed separately.",1,0,0,2,0,AI assistant under user delegation,2026-09-20,ADOPTED v38
flatus_EA_usual,V38 DELEGATED AI REVIEW COMPLETE,Low,Serious: open-label reporting including High measurement risk in Huang/Yang2024; all Zhu arms assessed.,"Serious: magnitude varies by surgery, bowel care and baseline recovery.","Direct for the explicitly named outcome, window and comparator; not interchangeable with another construct or proof across all surgeries.",No extra downgrade: average CI favours earlier flatus; no invented MCID or broad faster-recovery claim.,"No separate downgrade: sparse evidence cannot rule out missing results, but specific evidence is insufficient to assert publication bias. Historical selection completeness is disclosed separately.",1,1,0,0,0,AI assistant under user delegation,2026-09-20,ADOPTED v38
bowelsounds_TEAS_sham,V38 DELEGATED AI REVIEW COMPLETE,Very low,Serious: Gu/Gao exact assessments now available; concealment/prespecification concerns. Zheng dispersion held out.,Serious: different recovery profiles/auscultation schedules undermine stable magnitude.,"Direct for the explicitly named outcome, window and comparator; not interchangeable with another construct or proof across all surgeries.","Serious: k=2 main MD −6.09h, CI −20.32 to +8.15; meaningful improvement and delay possible.","No separate downgrade: sparse evidence cannot rule out missing results, but specific evidence is insufficient to assert publication bias. Historical selection completeness is disclosed separately.",1,1,0,1,0,AI assistant under user delegation,2026-09-20,ADOPTED v38
defecation_TEAS_sham,V38 DELEGATED AI REVIEW COMPLETE,Very low,Serious: all exact assessments completed; missingness/prespecification and open-label reporting in EA usual-care.,Serious: varying surgery and bowel-management/laxative protocols.,"Direct for the explicitly named outcome, window and comparator; not interchangeable with another construct or proof across all surgeries.",Serious: intervals include important earlier defecation and no benefit/delay.,"No separate downgrade: sparse evidence cannot rule out missing results, but specific evidence is insufficient to assert publication bias. Historical selection completeness is disclosed separately.",1,1,0,1,0,AI assistant under user delegation,2026-09-20,ADOPTED v38
defecation_EA_sham,V38 DELEGATED AI REVIEW COMPLETE,Low,Serious: Ng concealment/prespecification concerns.,Not downgraded solely for one trial; consistency cannot be assessed.,"Direct for the explicitly named outcome, window and comparator; not interchangeable with another construct or proof across all surgeries.","Serious: N=110 and wide magnitude interval, about 6–37h earlier; sparse information despite excluding null.","No separate downgrade: sparse evidence cannot rule out missing results, but specific evidence is insufficient to assert publication bias. Historical selection completeness is disclosed separately.",1,0,0,1,0,AI assistant under user delegation,2026-09-20,ADOPTED v38
defecation_EA_usual,V38 DELEGATED AI REVIEW COMPLETE,Very low,Serious: all exact assessments completed; missingness/prespecification and open-label reporting in EA usual-care.,Serious: varying surgery and bowel-management/laxative protocols.,"Direct for the explicitly named outcome, window and comparator; not interchangeable with another construct or proof across all surgeries.",Serious: intervals include important earlier defecation and no benefit/delay.,"No separate downgrade: sparse evidence cannot rule out missing results, but specific evidence is insufficient to assert publication bias. Historical selection completeness is disclosed separately.",1,1,0,1,0,AI assistant under user delegation,2026-09-20,ADOPTED v38
opioid48_EA_usual_PCA,V38 DELEGATED AI REVIEW COMPLETE,Very low,Very serious: An/Wong entire bodies High for informative missingness; complications/reoperations can strongly affect opioid demand.,Not downgraded solely for one trial; consistency cannot be assessed.,"Direct for labelled PCA-device exposure, not total systemic 24h opioid. No extra penalty merely for a different explicit question.",Serious: small trials/wide magnitude intervals; 72h CI includes no reduction/increased dose.,"No separate downgrade: sparse evidence cannot rule out missing results, but specific evidence is insufficient to assert publication bias. Historical selection completeness is disclosed separately.",2,0,0,1,0,AI assistant under user delegation,2026-09-20,ADOPTED v38
opioid72_EA_sham_PCA,V38 DELEGATED AI REVIEW COMPLETE,Very low,Very serious: An/Wong entire bodies High for informative missingness; complications/reoperations can strongly affect opioid demand.,Not downgraded solely for one trial; consistency cannot be assessed.,"Direct for labelled PCA-device exposure, not total systemic 24h opioid. No extra penalty merely for a different explicit question.",Serious: small trials/wide magnitude intervals; 72h CI includes no reduction/increased dose.,"No separate downgrade: sparse evidence cannot rule out missing results, but specific evidence is insufficient to assert publication bias. Historical selection completeness is disclosed separately.",2,0,0,1,0,AI assistant under user delegation,2026-09-20,ADOPTED v38
intraop_remifentanil_TEAS_sham,V38 DELEGATED AI REVIEW COMPLETE,Low,Serious: four retained trials have missingness/prespecification concerns. Zheng source uncertainty and Wu2025 pre-treatment dose excluded.,"Serious: surgery duration, baseline dose and observed effects differ substantially.","Direct for the explicitly named outcome, window and comparator; not interchangeable with another construct or proof across all surgeries.",No extra downgrade: average interval supports lower intraoperative dose; not postoperative opioid sparing/patient-important benefit.,"No separate downgrade: sparse evidence cannot rule out missing results, but specific evidence is insufficient to assert publication bias. Historical selection completeness is disclosed separately.",1,1,0,0,0,AI assistant under user delegation,2026-09-20,ADOPTED v38
intraop_remifentanil_TEAS_usual,V38 DELEGATED AI REVIEW COMPLETE,Very low,Very serious: Pan High for informative exclusions/unblinded titration; Liang missingness concerns despite masked anaesthetist.,Serious: opposite observed directions in two small studies.,"Direct for the explicitly named outcome, window and comparator; not interchangeable with another construct or proof across all surgeries.",Very serious: k=2 interval spans very large decreases/increases.,"No separate downgrade: sparse evidence cannot rule out missing results, but specific evidence is insufficient to assert publication bias. Historical selection completeness is disclosed separately.",2,1,0,2,0,AI assistant under user delegation,2026-09-20,ADOPTED v38
intraop_remifentanil_EA_usual,V38 DELEGATED AI REVIEW COMPLETE,Low,Serious: Zhu sequence implementation/prespecification concerns; all arms assessed; masked anaesthesia supports Low measurement risk.,Not downgraded solely for one trial; consistency cannot be assessed.,"Direct for the explicitly named outcome, window and comparator; not interchangeable with another construct or proof across all surgeries.",Serious: N=400 but CI spans lower and increased dose; magnitude uncertain without registered dose MCID.,"No separate downgrade: sparse evidence cannot rule out missing results, but specific evidence is insufficient to assert publication bias. Historical selection completeness is disclosed separately.",1,0,0,1,0,AI assistant under user delegation,2026-09-20,ADOPTED v38
intraop_remifentanil_EA_sham,V38 DELEGATED AI REVIEW COMPLETE,Very low,"Very serious: Ntritsou unblinded clinician titration High, compounded by missingness/prespecification concerns.",Not downgraded solely for one trial; consistency cannot be assessed.,"Direct for the explicitly named outcome, window and comparator; not interchangeable with another construct or proof across all surgeries.",Very serious: N=70; interval spans very large decreases/increases.,"No separate downgrade: sparse evidence cannot rule out missing results, but specific evidence is insufficient to assert publication bias. Historical selection completeness is disclosed separately.",2,0,0,2,0,AI assistant under user delegation,2026-09-20,ADOPTED v38
pethidine24_TEAS_usual_rescue,V38 DELEGATED AI REVIEW COMPLETE,Very low,Very serious: Oztas rescue determined by unblinded clinical/patient decisions; both exact contrasts High. Active TENS does not establish assessor masking.,Not downgraded solely for one trial; consistency cannot be assessed.,"Direct for the explicitly named outcome, window and comparator; not interchangeable with another construct or proof across all surgeries.",Very serious: N=31 per contrast; intervals allow substantial reductions/increases; rescue component is not total systemic consumption.,"No separate downgrade: sparse evidence cannot rule out missing results, but specific evidence is insufficient to assert publication bias. Historical selection completeness is disclosed separately.",2,0,0,2,0,AI assistant under user delegation,2026-09-20,ADOPTED v38
pethidine24_TEAS_active_rescue,V38 DELEGATED AI REVIEW COMPLETE,Very low,Very serious: Oztas rescue determined by unblinded clinical/patient decisions; both exact contrasts High. Active TENS does not establish assessor masking.,Not downgraded solely for one trial; consistency cannot be assessed.,"Direct for the explicitly named outcome, window and comparator; not interchangeable with another construct or proof across all surgeries.",Very serious: N=31 per contrast; intervals allow substantial reductions/increases; rescue component is not total systemic consumption.,"No separate downgrade: sparse evidence cannot rule out missing results, but specific evidence is insufficient to assert publication bias. Historical selection completeness is disclosed separately.",2,0,0,2,0,AI assistant under user delegation,2026-09-20,ADOPTED v38
ponv24_TEAS_active,V38 DELEGATED AI REVIEW COMPLETE,Very low,Serious: Song result-level prespecification concerns; matched active-current sensory masking otherwise credible.,Not downgraded solely for one trial; consistency cannot be assessed.,Direct for active non-acupoint electrical control; not inert-sham efficacy. No penalty for answering its own labelled question.,Very serious: N=85 and sparse events; interval spans very large reduction through no benefit/slight increase.,"No separate downgrade: sparse evidence cannot rule out missing results, but specific evidence is insufficient to assert publication bias. Historical selection completeness is disclosed separately.",1,0,0,2,0,AI assistant under user delegation,2026-09-20,ADOPTED v38
