report,trial_id,modality,comparator,tier,basis,n_outcome_mentions,excerpt,checked,documented_reason,E2_disposition
He 2026 (breast/WJCO),He_2026_breast_WJCO,EA,Sham-Controlled (Placebo Double-Blind),B2,"Opioid-outcome phrase with numeric data, but no 24-hour window marker nearby",2,"controlled trials further demonstrate that acupuncture at Zusanli and Sanyinjiao reduces postoperative pain and perioperative analgesic requirements[10,11]. Therefore, Zusanli and Sanyinjiao were selected based on both traditional theory and contemporary evidence. To reduce performance and assessment bias",B2: re-checked under E2,A5 (no quantity reported),NOT ADMITTED
Hou 2023,Hou_2023,TEAS,Sham-Controlled (Placebo Double-Blind),B2,"Opioid-outcome phrase with numeric data, but no 24-hour window marker nearby",1,"warranted to explore such coordination. Continuous perioperative TEAS intervention was associated with decreased intraoperative opioid consumptions and improved postoperative recovery in a group of patients undergoing video-assisted thoracoscopic lobectomy and patients received sinusotomy [40,41]. In contrast to",B2: re-checked under E2,A4/A5 (non-opioid rescue; no sufentanil total),NOT ADMITTED
Huang 2017,Huang_2017,TEAS,Sham-Controlled (Placebo Double-Blind),B2,"Opioid-outcome phrase with numeric data, but no 24-hour window marker nearby",18,"was divided into the physical component score and mental component score. Sample size In the pre-study, the intraoperative opioid dosage in the control group was 0.1620 (0.035) µg kg−1 min−1. On the 61 J Anesth (2017) 31:58–65 1 3 basis of this value and assuming a two-tailed α of 0.05 and a",B2: re-checked under E2,No postoperative quantity,NOT ADMITTED
Huang 2024,Huang_2024,EA,Sham-Controlled (Placebo Double-Blind),B2,"Opioid-outcome phrase with numeric data, but no 24-hour window marker nearby",6,"postoperative analgesic approach is multimodal analgesia,9 which can effectively improve postoperative outcomes and reduce opioid consumption.10,11 However, the use of any one or more medications is associated with side effects (such as psychological dependence and gastrointestinal-related events),12 and it",B2: re-checked under E2,A5 (median of counts; not converted per Methods line 317),NOT ADMITTED
Li 2021,Li_2021,TEAS,Sham-Controlled (Placebo Double-Blind),B2,"Opioid-outcome phrase with numeric data, but no 24-hour window marker nearby",1,"age, gender, BMI, hypertension, anemia, previous abdominal surgery, intraoperative dosage of sufentanil, infusion volume and sufentanil dosage 48 h after operation (P > 0.05). Multivariate logistic regression analysis was conducted on factors with P < 0.1. Intraoperative infusion volume and duration of",B2: re-checked under E2,A2 (48 h),NOT ADMITTED
Li 2022,Li_2022,EA,Sham-Controlled (Placebo Double-Blind),B2,"Opioid-outcome phrase with numeric data, but no 24-hour window marker nearby",1,"Clin Exp Med. 2015;8:5781–5787. 11. Samuelsen PJ, Nielsen CS, Wilsgaard T, Stubhaug A, Svendsen K, Eggen AE. Pain sensitivity and analgesic use among 10,486 adults: the tromsø study. BMC Pharmacol T Oxicol. 2017;18:45. doi:10.1186/s40360-017-0149-2 Journal of Pain Research 2022:15 https://doi.org/10.2147/JPR.S365587",B2: re-checked under E2,A5 (frequency only),NOT ADMITTED
Liang 2021,Liang_2021,TEAS,Usual care / no stimulation (no sham procedure described),B2,"Opioid-outcome phrase with numeric data, but no 24-hour window marker nearby",5,"3.8(1.9), P  0.045]. Conclusions. TEAS could significantly prevent the incidence and severity of CRBD, reduce the postoperative analgesic requirement in the early postoperative period, and promote the quality of early recovery in patients undergoing TURP. 1. Introduction Urinary catheterization is an extensively",B2: re-checked under E2,A4/A5 (drug and unit unidentified),NOT ADMITTED
Liu 2026 (ESD),Liu_2026_ESD,TEAS,Sham-Controlled (Placebo Double-Blind),B2,"Opioid-outcome phrase with numeric data, but no 24-hour window marker nearby",5,"local infusion of bupivacaine and triamcinolone acetonide, can alleviate abdominal pain after ESD while reduce intraoperative opioid consumption and decrease patients' physical activity. (12-14) Our previous study also found that intraoperative dexmedetomidine could significantly relieve post-ESD pain and reduce",B2: re-checked under E2,A5 (proportion only),NOT ADMITTED
Liu 2026 (burn),Liu_2026_burn,TEAS,Sham-Controlled (Placebo Double-Blind),B2,"Opioid-outcome phrase with numeric data, but no 24-hour window marker nearby",10,to investigate whether preoperative application of TEAS used for preemptive analgesia in burn patients reduces intraoperative opioid dosage and its impact on patients’ postoperative recovery. Methods Patients and study design This study protocol was approved by the Science and Technology Ethics Committee of the,B2: re-checked under E2,A5 (no quantity); A4 (butorphanol co-infused),NOT ADMITTED
Lu 2021,Lu_2021,TEAS,Sham-Controlled (Placebo Double-Blind),B2,"Opioid-outcome phrase with numeric data, but no 24-hour window marker nearby",2,"were frequently used [31]. In our previous studies, we used the 2/10 Hz protocol and found it to be effective for reducing opioid consumption in patients undergoing sinusotomy and ambulatory breast surgery. Therefore, in this study, we followed the stimulation protocol described in our previous studies. In the",B2: re-checked under E2,No postoperative quantity,NOT ADMITTED
Lu 2022,Lu_2022,TEAS,Sham-Controlled (Placebo Double-Blind),B2,"Opioid-outcome phrase with numeric data, but no 24-hour window marker nearby",1,"3 days after surgery. The use of opioid-based analgesia is usually thought to exacerbate postoperative ileus.31–33 The decreased opioid use in our study may contribute to the better bowel function recovery. In our study, frequency of stimulation was set at 2Hz/10Hz, which is a low frequency. Both low frequency and",B2: re-checked under E2,No postoperative quantity,NOT ADMITTED
Ma 2026,Ma_2026,TEAS,Sham-Controlled (Placebo Double-Blind),B2,"Opioid-outcome phrase with numeric data, but no 24-hour window marker nearby",2,"prolongs hospital stay and delays functional recovery but also increases the risk of chronic postsurgical pain and long-term opioid use.2,3 Breast cancer patients scheduled for elective surgery represent a particularly vulnerable population, facing both surgical trauma and profound psychological distress related",B2: re-checked under E2,No postoperative quantity,NOT ADMITTED
Ng 2013,Ng_2013,EA,Sham-Controlled (Placebo Double-Blind),B2,"Opioid-outcome phrase with numeric data, but no 24-hour window marker nearby",11,"postoperative ileus after surgery.17,18 Therefore, the significant reduction in postoperative pain and opioid-based analgesic consumption associated with the use of EA may be another factor that contributes to the reduction of duration of postoperative ileus in the EA group. However, it is difficult to",B2: re-checked under E2,A4 (pethidine unfactored); A2 (window unstated),NOT ADMITTED
Pan 2023,Pan_2023,TEAS,Usual care / no stimulation (no sham procedure described),B2,"Opioid-outcome phrase with numeric data, but no 24-hour window marker nearby",3,"3. Chen L, Tang J, White PF, et al. The effect of location of transcutaneous electrical nerve stimulation on postoperative opioid analgesic requirement: acupoint versus nonacupoint stimulation. Anesth Analg. 1998;87(5):1129–1134. 14. Mo Y, Zhang A, Zheng B, et al. [Effect of transcutaneous electrical acupoint",B2: re-checked under E2,A5 (proportion only),NOT ADMITTED
Song 2020,Song_2020,TEAS,Active non-acupoint electrical stimulation (separate active-control class),B2,"Opioid-outcome phrase with numeric data, but no 24-hour window marker nearby",5,the Two Groups TEAS Group (n=42) Control Group (n=43) P Age 57.33±10.0 60.19±8.2 0.152 Gender (Male/Female) 17/25 15/28 0.595 Total dose of Sufentanil (μg) 18.54±2.3 19.09±2.7 0.322 Intraoperative fluid input volume 1046.43±325.2 1111.63±415.9 0.424 Duration of surgery 111.02±32.9 124.91±48.2 0.125 Urine volume,B2: re-checked under E2,A4 (butorphanol unfactored),NOT ADMITTED
Sun 2017,Sun_2017,TEAS,Sham-Controlled (Placebo Double-Blind),B2,"Opioid-outcome phrase with numeric data, but no 24-hour window marker nearby",8,"measured by VAS as the most severe pain experienced during coughing. Secondary outcomes included intraoperative propofol and opioid consumption, incidence of postoperative nausea and vomiting, supplementary analgesic and antiemetic requirements within 48 hours, extubation time, length of stay in PACU, time of",B2: re-checked under E2,A5 (proportion only),NOT ADMITTED
Wu 2022,Wu_2022,TEAS,Sham-Controlled (Placebo Double-Blind),B2,"Opioid-outcome phrase with numeric data, but no 24-hour window marker nearby",2,"Schoenfeld AJ, Nwosu K, Jiang W, Yau AL, Chaudhary MA, Scully RE, Koehlmoos T, Kang JD, Haider AH. Risk Factors for Prolonged Opioid Use Following Spine Surgery, and the Association with Surgical Intensity, Among OpioidNaive Patients. J bone joint Surg Am volume. 2017;99(15):1247–52. 30. Gan TJ, Diemunsch P",B2: re-checked under E2,A5 (proportion only),NOT ADMITTED
Xiong 2021,Xiong_2021,TEAS,"Sham-Controlled (electrodes placed, no current)",B2,"Opioid-outcome phrase with numeric data, but no 24-hour window marker nearby",8,"at 2, 24, and 48 h after surgery. Clinically important PONV was calculated as described previously [22]. Data on antiemetic and analgesic use were also collected from medical records. Pain intensity was measured and recorded using a pain visual analogue scale (VAS, from 0 = no pain to 10 = pain as bad as it",B2: re-checked under E2,A5 (no quantity),NOT ADMITTED
Yao 2015,Yao_2015,TEAS,Sham-Controlled (Placebo Double-Blind),B2,"Opioid-outcome phrase with numeric data, but no 24-hour window marker nearby",5,"vol. 112, no. 6, pp. 1075–1082, 2014. [7] B. Wetzel, D. Pavlovic, R. Kuse et al., “The effect of auricular acupuncture on fentanyl requirement during hip arthroplasty: a randomized controlled trial,” Clinical Journal of Pain, vol. 27, no. 3, pp. 262–267, 2011. [8] K.-M. Man, S. S. Man, J.-L. Shen et al",B2: re-checked under E2,A5 (median count),NOT ADMITTED
Yeh 2010,Yeh_probable_family,TEAS,Sham-Controlled (Placebo Double-Blind),B2,"Opioid-outcome phrase with numeric data, but no 24-hour window marker nearby",19,"operating room; After surgery II, 2 hours after returning to the ward from the operating room. fScheife post hoc test. opioid analgesic requirements in patients who had lower abdominal surgery or were in the first stage of labor.'' Regardless of the different meridian points used in different types of surgery",B2: re-checked under E2,HOLD persists (cohort overlap; E2 does not resolve source questions),HOLD
Yu 2020,Yu_2020,TEAS,Sham-Controlled (Placebo Double-Blind),B2,"Opioid-outcome phrase with numeric data, but no 24-hour window marker nearby",6,"S, Fitzgerald PC, et al. Dose ranging study on the effect of preoperative dexamethasone on postoperative quality of recovery and opioid consumption after ambulatory gynaecological surgery. Br J Anaesth. 2011;107:362–71. 13. Myles PS, Williams DL, Hendrata M, et al. Patient satisfaction after anaesthesia and surgery:",B2: re-checked under E2,A5 (proportion only),NOT ADMITTED
Zhang 2023,Zhang_2023,TEAS,Sham-Controlled (Placebo Double-Blind),B2,"Opioid-outcome phrase with numeric data, but no 24-hour window marker nearby",5,"50.0 (700.0–800.0) 750.0 (700.0–850.0) Median [IQR] blood loss (mL) 50.0 (30.0–50.0) 50.0 (30.0–50.0) Median [IQR] intraoperative opioid dosage, intravenous morphine equivalents (mg) 30.0 (25.0–35.0) 30.0 (25.0–35.0) PCIA 837 (90.8) 838 (91.5) Median [IQR] post-surgery opioid dosage within 48 h, intravenous morphine",B2: re-checked under E2,A2 (48 h); A5 (median),NOT ADMITTED
Chen 2015 (Hyperalgesia),Chen_2015_Hyperalgesia,TEAS,Sham-Controlled (Placebo Double-Blind),B3,Opioid mentioned; no numeric outcome data co-located,3,"pain as indicated by enhanced pain sensitivity, decreased mechanical pain threshold, increased postoperative pain scores, and opioid consumption during remifentanil withdrawal. Although, the precise mechanisms of remifentgical nociception or a consequence of nerve and tissue trauma [13]. Our results that",Not re-examined individually (automated signal: no numeric opioid data),,NOT RE-EXAMINED
Gao 2022,Gao_2022,TEAS,Sham-Controlled (Placebo Double-Blind),B3,Opioid mentioned; no numeric outcome data co-located,2,"gastrectomy for gastric cancer significantly reduced the incidence of PONV, decreased early postoperative pain intensity and analgesic dosage, shortened the time of exhaust and excretion, promoted the recovery of gastrointestinal function, and improved patient satisfaction (26). Stimulation of P6 alone or",Not re-examined individually (automated signal: no numeric opioid data),,NOT RE-EXAMINED
Jiang 2026,Jiang_2026,TEAS,Sham-Controlled (Placebo Double-Blind),B3,Opioid mentioned; no numeric outcome data co-located,1,"involving neurogenic, inflammatory, and pharmacological mechanisms, including sympathetic overactivation, cytokine release, and opioid use, all of which delay gastrointestinal motility [6]. It is generally believed that the early phase of the reaction to surgery is mediated neurally and involves neural reflexes",Not re-examined individually (automated signal: no numeric opioid data),,NOT RE-EXAMINED
Liu 2015,Liu_2015,TEAS,Sham-Controlled (Placebo Double-Blind),B3,Opioid mentioned; no numeric outcome data co-located,7,"target plasma concentration in TEAS patients was significantly lower at some time points during supratentorial craniotomy, and total sufentanil consumption was significantly higher in the sham group (p<0.05). Postoperative recovery and pain were significantly improved by TEAS (p<0.001), without the postoperative",Not re-examined individually (automated signal: no numeric opioid data),,NOT RE-EXAMINED
Luo 2026,Luo_2026,TEAS,Sham-Controlled (Placebo Double-Blind),B3,Opioid mentioned; no numeric outcome data co-located,3,"age, BMI, ASA physical status, Apfel simplified risk score [14], duration of anesthesia and surgery, perioperative opioid consumption, and length of hospital stay—were recorded. The primary outcome was the incidence of nausea and vomiting within the first 48 h postoperatively. Secondary outcomes",Not re-examined individually (automated signal: no numeric opioid data),,NOT RE-EXAMINED
Wang 2023,Wang_2023,TEAS,Sham-Controlled (Placebo Double-Blind),B3,Opioid mentioned; no numeric outcome data co-located,1,"have side effects, risks and limitations that cannot be entirely avoided [40]. In our study, the VAS scores and reduction in analgesic requirement 72 h after surgery revealed that perioperative TEAS played a potential important role in reducing acute postoperative pain. We also found that the TEAS group had",Not re-examined individually (automated signal: no numeric opioid data),,NOT RE-EXAMINED
Wang 2024,Wang_2024,TEAS,Sham-Controlled (Placebo Double-Blind),B3,Opioid mentioned; no numeric outcome data co-located,1,"and axillary dissection was not well balanced in the MNVP-ODT and MNVP-OD groups. Although the mean surgical time and opioid consumption of the different treatment subgroups were similar, it would be better if the number of different surgical types was balanced. In conclusion, our study confirmed that",Not re-examined individually (automated signal: no numeric opioid data),,NOT RE-EXAMINED
Wu 2016,Wu_2016,TEAS,Sham-Controlled (Placebo Double-Blind),B3,Opioid mentioned; no numeric outcome data co-located,1,exclusion criteria were as follows: i) The detection of a local or systemic infection; ii) a history of chronic pain or regular opioid consumption; iii) a body mass index of >40 kg/m2; iv) evidence of body temperature disturbances; or v) they had previously experienced acupuncture/TAES therapies. The present study,Not re-examined individually (automated signal: no numeric opioid data),,NOT RE-EXAMINED
Xing 2022,Xing_2022,TEAS,Sham-Controlled (Placebo Double-Blind),B3,Opioid mentioned; no numeric outcome data co-located,1,"with adverse effects such as PONV [22]. Ultrasound-guided TAPB as a supplement to abdominal surgical analgesia can reduce opioid use and facilitate patient recovery after surgery [11], but it has relatively limited efficacy. TEAS is a combination of transcutaneous electrical nerve stimulation and acupuncture",Not re-examined individually (automated signal: no numeric opioid data),,NOT RE-EXAMINED
Zhan 2020,Zhan_2020,TEAS,Usual Care (Open-Label Control),B3,Opioid mentioned; no numeric outcome data co-located,1,"of TAP + TEAS. Third, some patients maybe really need extra analgesic treatments as well as TAP, TEAS and PCIA. Actually, the analgesic requirement could be an indicator of analgesic effect. 5. Conclusions In conclusion, our study combined ultrasonography guided TAP block and TEAS together in abdominal",Not re-examined individually (automated signal: no numeric opioid data),,NOT RE-EXAMINED
Zhang 2014,Zhang_2014,TEAS,Sham-Controlled (Placebo Double-Blind),B3,Opioid mentioned; no numeric outcome data co-located,5,combination with general anaesthesia; the focus has shifted towards using acupuncture to reduce intra-operative anaesthetic and opioid requirements [7]. Several clinical trials have been conducted to evaluate the effect of electroacupuncture on the consumption of intra-operative anaesthetics and on drug-related,Not re-examined individually (automated signal: no numeric opioid data),,NOT RE-EXAMINED
Zheng 2025,Zheng_2025,TEAS,Sham-Controlled (Placebo Double-Blind),B3,Opioid mentioned; no numeric outcome data co-located,3,"clinically significant. These benefits may be attributed to attenuated stress responses, improved sleep quality, and decreased analgesic requirements. Keywords: laparoscopic surgery, gynecological surgery, transcutaneous electrical acupoint stimulation, postoperative recovery, postoperative nausea and vomiting",Not re-examined individually (automated signal: no numeric opioid data),,NOT RE-EXAMINED
Zhou 2021,Zhou_2021,TEAS,Usual Care (Open-Label Control),B3,Opioid mentioned; no numeric outcome data co-located,1,"by 17.8%, opioids consumption by 31.1%, and equivalent dose of morphine by approximately 3.9 mg, which meant that the average morphine consumption of patients in TG reduced by nearly half dosage. In terms of gastrointestinal function, it demonstrated a better recovery in TG. In addition, the length of",Not re-examined individually (automated signal: no numeric opioid data),,NOT RE-EXAMINED
Gao 2021,Gao_2021,TEAS,Sham-Controlled (Placebo Double-Blind),B4,No opioid-outcome phrase in source text,0,,Not re-examined individually (automated signal: no numeric opioid data),,NOT RE-EXAMINED
Guo 2023,Guo_2023,TEAS,Sham-Controlled (Placebo Double-Blind),B4,No opioid-outcome phrase in source text,0,,Not re-examined individually (automated signal: no numeric opioid data),,NOT RE-EXAMINED
Huang 2025,Huang_2025,EA,Usual care / standard care,B4,No opioid-outcome phrase in source text,0,,Not re-examined individually (automated signal: no numeric opioid data),,NOT RE-EXAMINED
Liu 2021,Liu_2021,TEAS,"Sham-Controlled (electrodes placed, no current)",B4,No opioid-outcome phrase in source text,0,,Not re-examined individually (automated signal: no numeric opioid data),,NOT RE-EXAMINED
Liu 2025,Liu_2025,EA,Sham-Controlled (Placebo Double-Blind),B4,No opioid-outcome phrase in source text,0,,Not re-examined individually (automated signal: no numeric opioid data),,NOT RE-EXAMINED
Long 2025,Long_2025,UNCLEAR,Sham-Controlled (Placebo Double-Blind),B4,No opioid-outcome phrase in source text,0,,Not re-examined individually (automated signal: no numeric opioid data),,NOT RE-EXAMINED
Zhang 2018,Zhang_2018,TEAS,Sham-Controlled (Placebo Double-Blind),B4,No opioid-outcome phrase in source text,0,,Not re-examined individually (automated signal: no numeric opioid data),,NOT RE-EXAMINED
