record_id,study,family,outcome,window,intervention,comparator,modality_before,modality_after,modality_basis,comparator_before,comparator_after,comparator_basis,resolved
V33-OD-0316,Oztas 2019,pain,Resting postoperative pain after stimulation,22 h after surgery / after intervention,"Postoperative TAES at ST25, P6, ST36 and LI4 (2–100 Hz; max 12 mA; 30 min ×6)",Incision-periphery TENS (2–100 Hz; max 12 mA; 30 min ×6),MODALITY_REVIEW_REQUIRED,TEAS,surface marker 'taes',CONTROL_TYPE_REVIEW_REQUIRED,Active Electrical,control-site marker 'incision-periphery tens',YES
V33-OD-0317,Oztas 2019,pain,Resting postoperative pain after stimulation,42 h after surgery / after intervention,"Postoperative TAES at ST25, P6, ST36 and LI4 (2–100 Hz; max 12 mA; 30 min ×6)",No electrical-stimulation intervention + standard PCA analgesia,MODALITY_REVIEW_REQUIRED,TEAS,surface marker 'taes',Usual care,Usual care,already set,YES
V33-OD-0318,Oztas 2019,pain,Resting postoperative pain after stimulation,42 h after surgery / after intervention,"Postoperative TAES at ST25, P6, ST36 and LI4 (2–100 Hz; max 12 mA; 30 min ×6)",Incision-periphery TENS (2–100 Hz; max 12 mA; 30 min ×6),MODALITY_REVIEW_REQUIRED,TEAS,surface marker 'taes',CONTROL_TYPE_REVIEW_REQUIRED,Active Electrical,control-site marker 'incision-periphery tens',YES
V33-OD-0319,Oztas 2019,pain,Resting postoperative pain after stimulation,46 h after surgery / after intervention,"Postoperative TAES at ST25, P6, ST36 and LI4 (2–100 Hz; max 12 mA; 30 min ×6)",No electrical-stimulation intervention + standard PCA analgesia,MODALITY_REVIEW_REQUIRED,TEAS,surface marker 'taes',Usual care,Usual care,already set,YES
V33-OD-0320,Oztas 2019,pain,Resting postoperative pain after stimulation,46 h after surgery / after intervention,"Postoperative TAES at ST25, P6, ST36 and LI4 (2–100 Hz; max 12 mA; 30 min ×6)",Incision-periphery TENS (2–100 Hz; max 12 mA; 30 min ×6),MODALITY_REVIEW_REQUIRED,TEAS,surface marker 'taes',CONTROL_TYPE_REVIEW_REQUIRED,Active Electrical,control-site marker 'incision-periphery tens',YES
V33-OD-0325,Song 2020,pain,Postoperative VAS pain score,2 h after surgery,Perioperative TEAS: PC6/HT7 preoperatively; PC6/HT7/ST36/LI4 postoperatively (2/10 Hz; 30-min sessions),Active nonacupoint electrical stimulation with matched timing/frequency,TEAS,TEAS,already set,CONTROL_TYPE_REVIEW_REQUIRED,Active Electrical,control-site marker 'nonacupoint',YES
V33-OD-0326,Song 2020,pain,Postoperative VAS pain score,4 h after surgery,Perioperative TEAS: PC6/HT7 preoperatively; PC6/HT7/ST36/LI4 postoperatively (2/10 Hz; 30-min sessions),Active nonacupoint electrical stimulation with matched timing/frequency,TEAS,TEAS,already set,CONTROL_TYPE_REVIEW_REQUIRED,Active Electrical,control-site marker 'nonacupoint',YES
V33-OD-0327,Song 2020,pain,Postoperative VAS pain score,6 h after surgery,Perioperative TEAS: PC6/HT7 preoperatively; PC6/HT7/ST36/LI4 postoperatively (2/10 Hz; 30-min sessions),Active nonacupoint electrical stimulation with matched timing/frequency,TEAS,TEAS,already set,CONTROL_TYPE_REVIEW_REQUIRED,Active Electrical,control-site marker 'nonacupoint',YES
V33-OD-0328,Song 2020,pain,Postoperative VAS pain score,24 h after surgery,Perioperative TEAS: PC6/HT7 preoperatively; PC6/HT7/ST36/LI4 postoperatively (2/10 Hz; 30-min sessions),Active nonacupoint electrical stimulation with matched timing/frequency,TEAS,TEAS,already set,CONTROL_TYPE_REVIEW_REQUIRED,Active Electrical,control-site marker 'nonacupoint',YES
V33-OD-0355,Szmit 2021,pain,VAS pain at discharge,At discharge; exact postoperative clock time not reported,Postoperative TEAS: bilateral LI4 + ipsilateral peri-incisional ashi points; alternating 2/100 Hz; 30 min every 2 h through 24 h,PCA only / no TEAS,TEAS,TEAS,already set,CONTROL_TYPE_REVIEW_REQUIRED,Usual care,no-device marker 'no teas',YES
V33-OD-0363,Zhang 2018,pain,VAS pain score,Postoperative day 1,"Postoperative needleless TEA at bilateral ST36 and PC6; 25 Hz, 0.5-ms pulse width, 2–10 mA; 1 h twice daily on POD1–3",Active electrical stimulation at non-acupoints with the same stimulation method,MODALITY_REVIEW_REQUIRED,EA,needle marker 'needle',CONTROL_TYPE_REVIEW_REQUIRED,Active Electrical,control-site marker 'non-acupoint',YES
V33-OD-0364,Zhang 2018,pain,VAS pain score,Postoperative day 2,"Postoperative needleless TEA at bilateral ST36 and PC6; 25 Hz, 0.5-ms pulse width, 2–10 mA; 1 h twice daily on POD1–3",Active electrical stimulation at non-acupoints with the same stimulation method,MODALITY_REVIEW_REQUIRED,EA,needle marker 'needle',CONTROL_TYPE_REVIEW_REQUIRED,Active Electrical,control-site marker 'non-acupoint',YES
V33-OD-0365,Zhang 2018,pain,VAS pain score,Postoperative day 3,"Postoperative needleless TEA at bilateral ST36 and PC6; 25 Hz, 0.5-ms pulse width, 2–10 mA; 1 h twice daily on POD1–3",Active electrical stimulation at non-acupoints with the same stimulation method,MODALITY_REVIEW_REQUIRED,EA,needle marker 'needle',CONTROL_TYPE_REVIEW_REQUIRED,Active Electrical,control-site marker 'non-acupoint',YES
AUDIT-0327,Wang 2024,pain,Postoperative pain VAS,2 h,SNVP: ondansetron+dexamethasone+TEAS (SNVP-ODT),SNVP: ondansetron+dexamethasone (SNVP-OD),TEAS,TEAS,already set,CONTROL_TYPE_REVIEW_REQUIRED,Usual care,comparator is the intervention's co-intervention without stimulation,YES
AUDIT-0328,Wang 2024,pain,Postoperative pain VAS,6 h,SNVP: ondansetron+dexamethasone+TEAS (SNVP-ODT),SNVP: ondansetron+dexamethasone (SNVP-OD),TEAS,TEAS,already set,CONTROL_TYPE_REVIEW_REQUIRED,Usual care,comparator is the intervention's co-intervention without stimulation,YES
AUDIT-0329,Wang 2024,pain,Postoperative pain VAS,12 h,SNVP: ondansetron+dexamethasone+TEAS (SNVP-ODT),SNVP: ondansetron+dexamethasone (SNVP-OD),TEAS,TEAS,already set,CONTROL_TYPE_REVIEW_REQUIRED,Usual care,comparator is the intervention's co-intervention without stimulation,YES
AUDIT-0330,Wang 2024,pain,Postoperative pain VAS,24 h,SNVP: ondansetron+dexamethasone+TEAS (SNVP-ODT),SNVP: ondansetron+dexamethasone (SNVP-OD),TEAS,TEAS,already set,CONTROL_TYPE_REVIEW_REQUIRED,Usual care,comparator is the intervention's co-intervention without stimulation,YES
AUDIT-0331,Wang 2024,pain,Postoperative pain VAS,36 h,SNVP: ondansetron+dexamethasone+TEAS (SNVP-ODT),SNVP: ondansetron+dexamethasone (SNVP-OD),TEAS,TEAS,already set,CONTROL_TYPE_REVIEW_REQUIRED,Usual care,comparator is the intervention's co-intervention without stimulation,YES
V33-OD-0056,Xiong 2021,ponv,Any PONV,Within 48 h,TEAS + dexamethasone + tropisetron,Dexamethasone + tropisetron,TEAS,TEAS,already set,CONTROL_TYPE_REVIEW_REQUIRED,Usual care,comparator is the intervention minus the stimulation component,YES
V33-OD-0057,Xiong 2021,ponv,Clinically important PONV,Within 48 h,TEAS + dexamethasone + tropisetron,Dexamethasone + tropisetron,TEAS,TEAS,already set,CONTROL_TYPE_REVIEW_REQUIRED,Usual care,comparator is the intervention minus the stimulation component,YES
V33-OD-0085,Wang 2024,ponv,PONV incidence,6-12 h,SNVP: ondansetron+dexamethasone+TEAS,SNVP: ondansetron+dexamethasone,TEAS,TEAS,already set,CONTROL_TYPE_REVIEW_REQUIRED,Usual care,comparator is the intervention's co-intervention without stimulation,YES
V33-OD-0086,Wang 2024,ponv,PONV incidence,12-24 h,SNVP: ondansetron+dexamethasone+TEAS,SNVP: ondansetron+dexamethasone,TEAS,TEAS,already set,CONTROL_TYPE_REVIEW_REQUIRED,Usual care,comparator is the intervention's co-intervention without stimulation,YES
V33-OD-0087,Wang 2024,ponv,Any PONV over reported follow-up,0-36 h,SNVP: ondansetron+dexamethasone+TEAS,SNVP: ondansetron+dexamethasone,TEAS,TEAS,already set,CONTROL_TYPE_REVIEW_REQUIRED,Usual care,comparator is the intervention's co-intervention without stimulation,YES
V33-OD-0088,Wang 2024,ponv,PONV incidence,0-2 h,MNVP: ondansetron+dexamethasone+TEAS,MNVP: ondansetron+dexamethasone,TEAS,TEAS,already set,CONTROL_TYPE_REVIEW_REQUIRED,Usual care,comparator is the intervention's co-intervention without stimulation,YES
V33-OD-0089,Wang 2024,ponv,PONV incidence,2-6 h,MNVP: ondansetron+dexamethasone+TEAS,MNVP: ondansetron+dexamethasone,TEAS,TEAS,already set,CONTROL_TYPE_REVIEW_REQUIRED,Usual care,comparator is the intervention's co-intervention without stimulation,YES
V33-OD-0090,Wang 2024,ponv,Any PONV over reported follow-up,0-36 h,MNVP: ondansetron+dexamethasone+TEAS,MNVP: ondansetron+dexamethasone,TEAS,TEAS,already set,CONTROL_TYPE_REVIEW_REQUIRED,Usual care,comparator is the intervention's co-intervention without stimulation,YES
