screening_sequence,covidence_number,title,first_author,publication_year,language,abstract_available_yes_no,decision_yes_maybe_no,primary_reason_code,concise_evidence_from_title_or_abstract,concise_private_rationale,confidence_high_medium_low,protocol_or_results,cointerventions_balanced_yes_no_unclear,intervention_effect_separable_yes_no_unclear,translation_required_yes_no,possible_companion_report_yes_no,timestamp,interface_issue,notes
11,81,[Involvement of basolateral amygdala in electroacupuncture induced alleviation of myocardial mitochondrial injury in rats with acute myocardial ischemia].,Wang,2025,English,yes,No,EXCLUDE_ANIMAL,Methods explicitly describe male rats with acute myocardial ischemia.,Animal experiment.,high,results,unclear,yes,no,no,2026-07-23T10:53:59.841Z,,
12,82,"Efficacy of transcutaneous electrical acupoint stimulation for the treatment of gastrointestinal dysfunction in patients after cardiac surgery with cardiopulmonary bypass: study protocol for a superiority, single-centre, single-blind, randomised controlle",Liao,2025,English,yes,No,EXCLUDE_PROTOCOL_NO_RESULTS,"Abstract states the study aims to investigate efficacy, will randomize 426 patients, and is pre-result.",Protocol without participant outcome results.,high,protocol,no,yes,no,no,2026-07-23T10:53:59.841Z,,ChiCTR2300077211
13,83,Efficacy of preoperative transcutaneous electrical acupoint stimulation in reducing postoperative delirium in older adults undergoing orthopedic surgery: a randomized controlled trial.,Sun,2025,English,yes,Maybe,UNCERTAIN_GENERAL_ANAESTHESIA,Randomized preoperative TEAS versus placebo in older orthopedic-surgery patients with clinical results; anesthesia type is not stated.,"All other visible elements appear eligible, but general anaesthesia requires confirmation.",medium,results,yes,yes,no,no,2026-07-23T10:53:59.841Z,,ChiCTR-INR-17012951
14,84,Massage and electroacupuncture as a combined method versus epidural analgesia for chronic low back pain management.,Papanikolaou,2025,English,yes,No,EXCLUDE_NON_SURGICAL,Trial treats chronic low back pain over weekly outpatient sessions.,Chronic non-perioperative pain population without operative surgery.,high,results,no,no,no,no,2026-07-23T10:53:59.841Z,,
15,85,Study on the neuroimmune regulatory mechanism of electroacupuncture at Zusanli acupoint for postoperative intestinal paralysis after gastrointestinal surgery.,Xu,2025,English,yes,Maybe,UNCERTAIN_GENERAL_ANAESTHESIA,Randomized EA plus conventional treatment after gastrointestinal surgery with clinical recovery results; anesthesia type is not stated.,Eligible timing is plausible but general anaesthesia requires confirmation.,medium,results,yes,yes,no,no,2026-07-23T10:53:59.841Z,,
16,86,Effects of transcutaneous electrical acupoint stimulation on recovery after internal spinal fixation: a randomised controlled trial.,Zhang,2025,English,yes,Yes,INCLUDE_CLEAR,Randomized TEAS-assisted general anaesthesia versus balanced general anaesthesia-only control beginning before induction with clinical recovery outcomes.,Clearly eligible TEAS randomized trial.,high,results,yes,yes,no,no,2026-07-23T10:53:59.841Z,,ITMCTR2025000399
17,88,Electro-acupuncture for quality of life during adjuvant chemotherapy in gastric cancer: a randomized trial.,Zhu,2026,English,yes,No,EXCLUDE_TIMING,EA was delivered during adjuvant chemotherapy cycles following gastrectomy.,Stimulation occurred outside the acute perioperative window and not by postoperative hour 24.,high,results,yes,yes,no,no,2026-07-23T10:53:59.841Z,,EAGER; NCT04360577
18,89,Impact of transcutaneous electrical acupoint stimulation on postoperative recovery in older adults following pterygium excision: a prospective randomized controlled trial.,Wu,2025,English,yes,Maybe,UNCERTAIN_GENERAL_ANAESTHESIA,Randomized perioperative TEAS versus inactive electrodes for pterygium excision; anesthesia type is not stated.,"Otherwise potentially eligible, but general anaesthesia is uncertain for this minor procedure.",medium,results,yes,yes,no,no,2026-07-23T10:53:59.841Z,,ChiCTR2200056062
19,90,[Electroacupuncture of scalp acupoints alleviates neurological deficits by regulating PPAR γ/NF-κB signaling pathway and inducing polarization of microglia in rats with ischemic stroke].,Bao,2025,English,yes,No,EXCLUDE_ANIMAL,Methods explicitly describe rats with ischemic stroke.,Animal experiment.,high,results,unclear,yes,no,no,2026-07-23T10:53:59.841Z,,
20,91,"The Clinical Efficacy and Safety of Electroacupuncture (EA) in Perioperative Rehabilitation of Rotator Cuff Repair Surgery: A Protocol for a Single-Centre, Randomized Controlled Trial.",Liu,2025,English,yes,No,EXCLUDE_PROTOCOL_NO_RESULTS,Title identifies a randomized trial protocol and abstract uses future-tense enrollment and outcomes.,Protocol without participant outcome results.,high,protocol,yes,yes,no,no,2026-07-23T10:53:59.841Z,,ChiCTR2500103323
21,92,Acupoint electrical stimulation at neiguan and zusanli points on serum cytokines.,Ye,2025,English,yes,No,EXCLUDE_INELIGIBLE_ACTIVE_COMPARATOR,Two groups received active transcutaneous electrical stimulation at different recognized acupoints.,Head-to-head active acupoint stimulation does not estimate TEAS against an eligible comparator.,high,results,yes,yes,no,no,2026-07-23T10:56:01.344Z,,
22,93,Effect of Transcutaneous Electrical Acupoint Stimulation on Postoperative Sleep Disorders in Older Patients After Urologic Laparoscopic Surgery by Regulating Intestinal Microbiota: Study Protocol for a Prospective Controlled Trial.,Liu,2025,English,yes,No,EXCLUDE_PROTOCOL_NO_RESULTS,Title says study protocol and abstract describes a trial that will randomize 124 patients.,Protocol without participant outcome results.,high,protocol,yes,yes,no,no,2026-07-23T10:56:01.344Z,,ChiCTR2400086911
23,95,Effect of electroacupuncture on interleukin-6 and procalcitonin expression in the astrocytes and neurons of the spinal cord dorsal horn in a rat model of incisional pain.,Jin,2025,English,yes,No,EXCLUDE_ANIMAL,Methods explicitly describe an incisional-pain rat model.,Animal experiment.,high,results,unclear,yes,no,no,2026-07-23T10:56:01.344Z,,
24,96,Preoperative electroacupuncture for prevention of postoperative delirium in older adults undergoing total knee arthroplasty: protocol for a multicenter randomized controlled trial.,Zhuo,2025,English,yes,No,EXCLUDE_PROTOCOL_NO_RESULTS,Title states protocol and abstract describes a trial that will enroll 1460 participants.,Protocol without participant outcome results.,high,protocol,yes,yes,no,no,2026-07-23T10:56:01.344Z,,
25,97,Electroacupuncture in Patients With Early Urinary Incontinence After Radical Prostatectomy: A Randomized Clinical Trial.,Niu,2025,English,yes,No,EXCLUDE_TIMING,EA began 4 to 6 weeks after radical prostatectomy.,No eligible stimulation session occurred by postoperative hour 24.,high,results,yes,yes,no,no,2026-07-23T10:56:01.344Z,,NCT04972669
26,98,Application of Meridian flow injection acupoint application combined with transcutaneous electrical acupoint stimulation in patients undergoing gastroenteroscopy.,Hong,2025,English,yes,No,EXCLUDE_INSEPARABLE_INTERVENTION,Observation group received acupoint application plus transcutaneous acupoint electrical stimulation while control received routine care.,TEAS is embedded in an inseparable multimodal intervention with an unbalanced acupoint application.,high,results,no,no,no,no,2026-07-23T10:56:01.344Z,,
27,100,Comment on 'Transcutaneous electrical acupoint stimulation accelerates gastrointestinal function recovery after abdominal surgery: a systemic review and meta-analysis of randomized controlled trials'.,Huang,2025,English,no,No,EXCLUDE_PUBLICATION_TYPE,Title explicitly identifies a comment on a systematic review; no abstract is available.,Commentary without original trial results.,high,other,unclear,unclear,no,no,2026-07-23T10:56:01.344Z,,
28,101,Effect of electroacupuncture on hippocampal protein lactylation in a rat model of vascular dementia.,Chen,2025,English,yes,No,EXCLUDE_ANIMAL,Methods explicitly describe a vascular-dementia rat model.,Animal experiment.,high,results,unclear,yes,no,no,2026-07-23T10:56:01.344Z,,
29,102,[Effect of electroacupuncture on learning and memory abilities in vascular dementia rats via the NCOA4/FTH1 signaling pathway-mediated ferritinophagy].,Sun,2025,English,yes,No,EXCLUDE_ANIMAL,Methods explicitly describe vascular-dementia rats.,Animal experiment.,high,results,unclear,yes,no,no,2026-07-23T10:56:01.344Z,,
30,103,Study protocol: a randomized controlled clinical trial on the use of electroacupuncture for postoperative abdominal distension following laparoscopic cholecystectomy.,Kong,2025,English,yes,No,EXCLUDE_PROTOCOL_NO_RESULTS,Title states study protocol and abstract reports expected outcomes and planned treatment.,Protocol without participant outcome results.,high,protocol,yes,yes,no,no,2026-07-23T10:56:01.344Z,,ChiCTR2300073134
31,104,Electroacupuncture combined with subanesthetic alfaxalone as a novel target for alleviating neuropathic pain.,Liu,2025,English,yes,No,EXCLUDE_ANIMAL,Methods explicitly describe a spared-nerve-injury mouse model.,Animal experiment.,high,results,no,no,no,no,2026-07-23T10:57:44.952Z,,
32,105,"[Electroacupuncture of ""Tianshu"" (ST25) alleviates ulcerative colitis by activating sacral parasympathetic postganglionic neurons of the pelvic ganglion in mice].",Luo,2025,English,yes,No,EXCLUDE_ANIMAL,Methods explicitly describe mice with ulcerative colitis.,Animal experiment.,high,results,unclear,yes,no,no,2026-07-23T10:57:44.952Z,,
33,106,Effect of electroacupuncture intervention before and after operation on perioperative neurocognitive disorders in elderly patients with hip fractures: A randomized controlled trial.,Long,2025,English,yes,Maybe,UNCERTAIN_GENERAL_ANAESTHESIA,Randomized pre- and postoperative EA in elderly hip-fracture surgery with extubation and recovery outcomes; anesthesia type is not explicitly stated.,General anaesthesia is strongly plausible but requires confirmation under the locked rule.,medium,results,unclear,yes,no,no,2026-07-23T10:57:44.952Z,,
34,107,Analgesic effects of electroacupuncture via the EphBs-p38 MAPK signaling pathway and microglial suppression in the chronic constriction injury rat model of neuropathic pain.,Ying,2025,English,yes,No,EXCLUDE_ANIMAL,Methods explicitly describe a chronic-constriction-injury rat model.,Animal experiment.,high,results,no,no,no,no,2026-07-23T10:57:44.952Z,,
35,109,[Effect of perioperative transcutaneous electrical acupoint stimulation on postoperative fatigue syndrome in elderly patients].,Cheng,2025,English,yes,Maybe,UNCERTAIN_GENERAL_ANAESTHESIA,Randomized TEAS versus sham from before induction through laparoscopic gastrectomy with clinical results; anesthesia type is not stated.,"Otherwise eligible, but general anaesthesia needs full-text confirmation.",medium,results,yes,yes,no,no,2026-07-23T10:57:44.952Z,,
36,112,Improvement of Urinary Incontinence after Radical Prostatectomy with Electroacupuncture Combined with Supervised Pelvic Floor Muscle Exercises: A Retrospective Study.,Wu,2025,English,yes,No,EXCLUDE_NON_RANDOMIZED,Title and methods explicitly identify a retrospective study.,Non-randomized retrospective comparison.,high,results,yes,yes,no,no,2026-07-23T10:57:44.952Z,,
37,113,Effect of Transcutaneous Electrical Acupoint Stimulation at the Sanyinjiao Point on Preventing Bladder Spasm after Transurethral Laser Prostatectomy.,Sui,2025,English,yes,No,EXCLUDE_NON_RANDOMIZED,Methods explicitly state that medical data were retrospectively collected and groups were based on treatment received.,Non-randomized retrospective comparison.,high,results,yes,yes,no,no,2026-07-23T10:57:44.952Z,,
38,114,Electroacupuncture versus sham electroacupuncture in treating low anterior resection syndrome after rectal cancer surgery: Study protocol for a randomized controlled trial.,Wang,2025,English,yes,No,EXCLUDE_PROTOCOL_NO_RESULTS,Title says study protocol and abstract describes a trial that will be carried out.,Protocol without participant outcome results.,high,protocol,yes,yes,no,no,2026-07-23T10:57:44.952Z,,ITMCTR2024000195
39,115,Efficacy of Transcutaneous Electrical Acupoint Stimulation Applied During the Post-Anesthesia Recovery Period in Improving Postoperative Recovery Quality After Gynecological Laparoscopic Surgery: A Randomized Controlled Trial.,Zhou,2025,English,yes,Maybe,UNCERTAIN_GENERAL_ANAESTHESIA,Randomized sham-controlled TEAS during post-anesthesia recovery after gynecologic laparoscopy; anesthesia type is not explicitly stated.,"Eligible timing and outcomes are present, but general anaesthesia needs confirmation.",medium,results,yes,yes,no,no,2026-07-23T10:57:44.952Z,,
40,117,[Effects of transcutaneous electrical acupoint stimulation at Neiguan (PC6) and Jianshi (PC5) on autonomic nervous function and inflammatory factors in frail elderly patients after surgery].,Zhang,2025,English,yes,Yes,INCLUDE_CLEAR,Randomized TEAS versus inactive control during laparoscopic colorectal surgery under general anesthesia with clinical recovery outcomes.,Clearly eligible TEAS randomized trial.,high,results,yes,yes,no,no,2026-07-23T10:57:44.952Z,,
41,118,Comparison of the efficacy of acupoint stimulation therapy in the treatment of pain in musculoskeletal diseases: A network meta-analysis based on randomized controlled trials.,Liu,2025,English,yes,No,EXCLUDE_PUBLICATION_TYPE,Title and abstract explicitly identify a network meta-analysis.,Secondary evidence synthesis rather than a primary randomized trial report.,high,other,unclear,unclear,no,no,2026-07-23T10:59:24.284Z,,
42,119,Electroacupuncture Prevent and Treat Perioperative Cognitive Impairment in Elderly Patients Undergoing Hip Surgery: A Protocol for a Randomized Controlled Trial.,Fang,2025,English,yes,No,EXCLUDE_PROTOCOL_NO_RESULTS,Title identifies a randomized trial protocol and abstract describes planned randomization and outcomes.,Protocol without participant outcome results.,high,protocol,yes,yes,no,no,2026-07-23T10:59:24.284Z,,ITMCTR2024000298
43,121,[Application of transcutaneous electrical acupoint stimulation in preoperative analgesia for intertrochanteric fracture of femur in elderly patients].,Zhou,2025,English,yes,Maybe,UNCERTAIN_GENERAL_ANAESTHESIA,Randomized sham-controlled preoperative TEAS for elderly hip-fracture patients; anesthesia type is not stated.,"Perioperative eligibility is plausible, but general anaesthesia requires confirmation.",medium,results,yes,yes,no,no,2026-07-23T10:59:24.284Z,,
44,122,Transcutaneous Electrical Acupoint Stimulation (TEAS) Facilitates Postoperative Recovery in Day Lung Cancer Surgery: A Randomized Controlled Trial.,Wu,2025,English,yes,Maybe,UNCERTAIN_GENERAL_ANAESTHESIA,Randomized sham-controlled TEAS in PACU after thoracoscopic lung surgery; anesthesia type is not explicitly stated.,"Eligible timing and outcomes are present, but general anaesthesia needs confirmation.",medium,results,yes,yes,no,no,2026-07-23T10:59:24.284Z,,ChiCTR2200066600
45,123,Effect of electroacupuncture on hypertensive and sympathetic excitability mechanism mediated by the paraventricular nucleus of the hypothalamus in spontaneous hypertensive rats.,Jiao,2025,English,yes,No,EXCLUDE_ANIMAL,Methods explicitly describe spontaneously hypertensive rats.,Animal experiment.,high,results,unclear,yes,no,no,2026-07-23T10:59:24.284Z,,
46,124,[Effect of electroacupuncture on intestinal function after gastric cancer surgery].,Guan,2025,English,yes,Maybe,UNCERTAIN_GENERAL_ANAESTHESIA,Randomized EA versus placebo EA began one hour after gastrectomy with clinical recovery results; anesthesia type is not stated.,"Timing, comparator and outcomes appear eligible, but general anaesthesia requires confirmation.",medium,results,yes,yes,no,no,2026-07-23T10:59:24.284Z,,
47,125,Governor Vessel combined with local acupoints electroacupuncture improves the therapeutic effect of nerve conduit transplantation bridging long segment defects of the median nerve.,Cheng,2025,English,yes,No,EXCLUDE_ANIMAL,Abstract explicitly describes experimental rats with median-nerve defects.,Animal experiment.,high,results,no,no,no,no,2026-07-23T10:59:24.284Z,,
48,126,Effects of different frequencies of electroacupuncture stimulation on the electroencephalogram and intracranial levels of prostaglandin D2 and adenosine in rats under propofol anesthesia.,Chai,2025,English,yes,No,EXCLUDE_ANIMAL,Methods explicitly describe rats anesthetized with propofol.,Animal experiment.,high,results,unclear,yes,no,no,2026-07-23T10:59:24.284Z,,
49,127,"Does perioperative electroacupuncture reduce the incidence of atrial fibrillation after lung cancer surgery? A randomized, controlled, assessor-blinded clinical trial.",Zhou,2025,English,yes,Maybe,UNCERTAIN_GENERAL_ANAESTHESIA,Randomized perioperative EA versus sham in lung-cancer surgery with clinical results; anesthesia type is not stated.,"The trial otherwise appears eligible, but general anaesthesia requires confirmation.",medium,results,yes,yes,no,no,2026-07-23T10:59:24.284Z,,ChiCTR2100047499
50,128,Effectiveness of an immediate postoperative electroacupuncture session for the recovery of gastrointestinal function after laparoscopic cholecystectomy: a randomized controlled trial.,Li,2025,English,yes,Maybe,UNCERTAIN_GENERAL_ANAESTHESIA,Randomized EA versus control immediately after laparoscopic cholecystectomy with clinical recovery outcomes; anesthesia type is not stated.,"Eligible timing and outcomes are present, but general anaesthesia requires confirmation.",medium,results,yes,yes,no,no,2026-07-23T10:59:24.284Z,,ChiCTR2200064748
