dataset,analysis,study_count,effect_type,comparator,modality,exclusions,unresolved_holds,pooling_status,study_names
v34_qor40_24h_TEAS_Usual_care.csv,qor40_24h,1,MD,Usual care,TEAS,Only explicit selected independent contrasts; see not-pooled register,New result-specific RoB pending; source-specific holds excluded,k=1: no pooled estimate,Pan 2023
v34_gi_first_defecation_EA_Usual_care.csv,gi_first_defecation,3,MD,Usual care,EA,Only explicit selected independent contrasts; see not-pooled register,New result-specific RoB pending; source-specific holds excluded,REML + Hartung-Knapp,Yang 2024; Huang 2025; Yang 2020
v34_gi_first_defecation_EA_Sham.csv,gi_first_defecation,1,MD,Sham,EA,Only explicit selected independent contrasts; see not-pooled register,New result-specific RoB pending; source-specific holds excluded,k=1: no pooled estimate,Ng 2013
v34_gi_first_defecation_TEAS_Sham.csv,gi_first_defecation,3,MD,Sham,TEAS,Only explicit selected independent contrasts; see not-pooled register,New result-specific RoB pending; source-specific holds excluded,REML + Hartung-Knapp,Lu 2022; Gu 2019; Gao 2021
v34_rescue_opioid_binary_24h_TEAS_Sham.csv,rescue_opioid_binary_24h,1,logRR,Sham,TEAS,Only explicit selected independent contrasts; see not-pooled register,New result-specific RoB pending; source-specific holds excluded,k=1: no pooled estimate,Yu 2020
v34_primary_24h_mme_EA_Usual_care.csv,primary_24h_mme,3,MD,Usual care,EA,Only explicit selected independent contrasts; see not-pooled register,New result-specific RoB pending; source-specific holds excluded,REML + Hartung-Knapp,Seevaunnamtum 2016; Yang 2024; El-Rakshy 2009
v34_primary_24h_mme_TEAS_Sham.csv,primary_24h_mme,4,MD,Sham,TEAS,Only explicit selected independent contrasts; see not-pooled register,New result-specific RoB pending; source-specific holds excluded,REML + Hartung-Knapp,Chen 1998; Chen 2020; He 2026 (hepatectomy/JIS); Szmit 2021
v34_native_gi_recovery.csv,gi_recovery,17,Native MD / logRR where valid; medians/graph/NR held,Separated in comparator_type; no automatic pooling,Separated in modality; no automatic pooling,See eligibility and model status on every row,16 non-include rows,PREPARED EVIDENCE MAP: exact definition/window/arm selection required,Gao 2021; Gu 2019; Huang 2025; Jiang 2026; Li 2021; Lu 2022; Ng 2013; Pan 2023; Sun 2017; Wang 2023; Xing 2022; Yang 2020; Yang 2024; Zhang 2018; Zheng 2025; Zhou 2025; Zhu 2022
v34_native_postoperative_opioid_other_windows.csv,postoperative_opioid_other_windows,60,Native MD / logRR where valid; medians/graph/NR held,Separated in comparator_type; no automatic pooling,Separated in modality; no automatic pooling,See eligibility and model status on every row,67 non-include rows,PREPARED EVIDENCE MAP: exact definition/window/arm selection required,An 2014; Ao 2021; Chen 1998; Chen 2015 (Hyperalgesia); Chen 2020; Coura 2011; El-Rakshy 2009; Gao 2021; Gao 2022; Grech 2016; Guo 2023; He 2026 (hepatectomy/JIS); Hou 2023; Huang 2017; Huang 2024; Huang 2025; Jiang 2026; Jin 2023; Lee 2011; Li 2021; Li 2022; Liang 2021; Lin 2002; Liu 2015; Liu 2021; Liu 2025; Liu 2026 (ESD); Liu 2026 (burn); Long 2025; Lu 2021; Lu 2022; Luo 2026; Ma 2026; Ng 2013; Ntritsou 2014; Oztas 2019; Seevaunnamtum 2016; Sim 2002; Sun 2017; Szmit 2021; Wang 2023; Wang 2024; Wong 2006; Wu 2016; Wu 2022; Wu 2025; Xie 2014; Xing 2022; Xiong 2021; Yang 2024; Yeh 2010; Yeh 2011; Zhan 2020; Zhang 2014; Zhang 2018; Zhang 2023; Zhang 2025; Zheng 2025; Zhou 2021; Zhou 2025
v34_native_qor40.csv,qor40,7,Native MD / logRR where valid; medians/graph/NR held,Separated in comparator_type; no automatic pooling,Separated in modality; no automatic pooling,See eligibility and model status on every row,5 non-include rows,PREPARED EVIDENCE MAP: exact definition/window/arm selection required,Chen 2015; Huang 2025; Liang 2021; Pan 2023; Yao 2015; Yu 2020; Zheng 2025
v34_native_pain.csv,pain,49,Native MD / logRR where valid; medians/graph/NR held,Separated in comparator_type; no automatic pooling,Separated in modality; no automatic pooling,See eligibility and model status on every row,105 non-include rows,PREPARED EVIDENCE MAP: exact definition/window/arm selection required,Ao 2021; Chen 2020; Gao 2021; Gao 2022; Grech 2016; Gu 2019; Guo 2023; He 2026 (breast/WJCO); Hou 2023; Huang 2024; Huang 2025; Jiang 2026; Lee 2011; Li 2021; Li 2022; Liang 2021; Liu 2015; Liu 2021; Liu 2025; Liu 2026 (ESD); Liu 2026 (burn); Long 2025; Lu 2021; Lu 2022; Luo 2026; Ma 2026; Ng 2013; Oztas 2019; Pan 2023; Sim 2002; Song 2020; Sun 2017; Szmit 2021; Tu 2024; Wang 2023; Wang 2024; Wu 2016; Wu 2022; Wu 2025; Xing 2022; Yang 2020; Yu 2020; Zhan 2020; Zhang 2018; Zhang 2025; Zheng 2025; Zhou 2021; Zhou 2025; Zhu 2022
v34_native_nausea.csv,nausea,16,Native MD / logRR where valid; medians/graph/NR held,Separated in comparator_type; no automatic pooling,Separated in modality; no automatic pooling,See eligibility and model status on every row,12 non-include rows,PREPARED EVIDENCE MAP: exact definition/window/arm selection required,Gao 2021; Gao 2022; Liu 2015; Lu 2021; Luo 2026; Ma 2026; Oztas 2019; Pan 2023; Sun 2017; Szmit 2021; Tu 2024; Yang 2020; Yao 2015; Zhang 2014; Zheng 2025; Zhu 2022
v34_native_vomiting.csv,vomiting,18,Native MD / logRR where valid; medians/graph/NR held,Separated in comparator_type; no automatic pooling,Separated in modality; no automatic pooling,See eligibility and model status on every row,7 non-include rows,PREPARED EVIDENCE MAP: exact definition/window/arm selection required,Gao 2021; Gao 2022; Huang 2025; Liu 2015; Lu 2021; Luo 2026; Ma 2026; Oztas 2019; Pan 2023; Sun 2017; Tu 2024; Wang 2024; Yang 2020; Yang 2024; Yao 2015; Zhang 2014; Zheng 2025; Zhu 2022
v34_native_qor15.csv,qor15,3,Native MD / logRR where valid; medians/graph/NR held,Separated in comparator_type; no automatic pooling,Separated in modality; no automatic pooling,See eligibility and model status on every row,6 non-include rows,PREPARED EVIDENCE MAP: exact definition/window/arm selection required,Lu 2022; Zhou 2025; Zhu 2022
v34_native_ponv.csv,ponv,24,Native MD / logRR where valid; medians/graph/NR held,Separated in comparator_type; no automatic pooling,Separated in modality; no automatic pooling,See eligibility and model status on every row,7 non-include rows,PREPARED EVIDENCE MAP: exact definition/window/arm selection required,Chen 2015; Chen 2015 (Hyperalgesia); Gao 2022; Gu 2019; He 2026 (hepatectomy/JIS); Hou 2023; Jiang 2026; Li 2021; Liang 2021; Liu 2026 (ESD); Liu 2026 (burn); Long 2025; Lu 2021; Lu 2022; Sim 2002; Song 2020; Wang 2023; Wang 2024; Wu 2016; Xing 2022; Xiong 2021; Yu 2020; Zheng 2025; Zhou 2025
v34_native_analgesic_proxies_and_nonopioid_rescue.csv,analgesic_proxies_and_nonopioid_rescue,25,Native MD / logRR where valid; medians/graph/NR held,Separated in comparator_type; no automatic pooling,Separated in modality; no automatic pooling,See eligibility and model status on every row,22 non-include rows,PREPARED EVIDENCE MAP: exact definition/window/arm selection required,Ao 2021; Chen 2015 (Hyperalgesia); Gu 2019; He 2026 (hepatectomy/JIS); Hou 2023; Huang 2025; Jin 2023; Liang 2021; Liu 2021; Long 2025; Lu 2021; Lu 2022; Ntritsou 2014; Oztas 2019; Pan 2023; Song 2020; Sun 2017; Wang 2023; Xing 2022; Yang 2020; Yao 2015; Zhang 2025; Zheng 2025; Zhou 2025; Zhu 2022
v34_native_intraoperative_opioid.csv,intraoperative_opioid,20,Native MD / logRR where valid; medians/graph/NR held,Separated in comparator_type; no automatic pooling,Separated in modality; no automatic pooling,See eligibility and model status on every row,11 non-include rows,PREPARED EVIDENCE MAP: exact definition/window/arm selection required,Gao 2022; Guo 2023; Huang 2017; Jiang 2026; Liang 2021; Liu 2015; Liu 2026 (burn); Lu 2021; Ntritsou 2014; Pan 2023; Sim 2002; Song 2020; Sun 2017; Wang 2024; Wu 2022; Wu 2025; Xing 2022; Zhang 2014; Zheng 2025; Zhu 2022
v34_native_adverse_events_and_cognition.csv,adverse_events_and_cognition,15,Native MD / logRR where valid; medians/graph/NR held,Separated in comparator_type; no automatic pooling,Separated in modality; no automatic pooling,See eligibility and model status on every row,6 non-include rows,PREPARED EVIDENCE MAP: exact definition/window/arm selection required,Gao 2021; Guo 2023; Huang 2025; Jiang 2026; Liang 2021; Liu 2021; Liu 2025; Long 2025; Song 2020; Sun 2017; Tu 2024; Wang 2023; Yu 2020; Zhang 2023; Zheng 2025
v34_native_functional_recovery_and_other.csv,functional_recovery_and_other,17,Native MD / logRR where valid; medians/graph/NR held,Separated in comparator_type; no automatic pooling,Separated in modality; no automatic pooling,See eligibility and model status on every row,16 non-include rows,PREPARED EVIDENCE MAP: exact definition/window/arm selection required,Grech 2016; Gu 2019; Jiang 2026; Liu 2015; Liu 2025; Long 2025; Lu 2021; Lu 2022; Ma 2026; Pan 2023; Song 2020; Sun 2017; Wang 2023; Yang 2020; Zhang 2014; Zhang 2018; Zheng 2025
v34_native_rescue_antiemetic.csv,rescue_antiemetic,7,Native MD / logRR where valid; medians/graph/NR held,Separated in comparator_type; no automatic pooling,Separated in modality; no automatic pooling,See eligibility and model status on every row,3 non-include rows,PREPARED EVIDENCE MAP: exact definition/window/arm selection required,Luo 2026; Pan 2023; Sun 2017; Tu 2024; Xiong 2021; Yu 2020; Zhu 2022
v34_native_rescue_opioid_use.csv,rescue_opioid_use,4,Native MD / logRR where valid; medians/graph/NR held,Separated in comparator_type; no automatic pooling,Separated in modality; no automatic pooling,See eligibility and model status on every row,0 non-include rows,PREPARED EVIDENCE MAP: exact definition/window/arm selection required,Liu 2026 (ESD); Liu 2026 (burn); Tu 2024; Yu 2020
v34_native_rescue_opioid_frequency.csv,rescue_opioid_frequency,5,Native MD / logRR where valid; medians/graph/NR held,Separated in comparator_type; no automatic pooling,Separated in modality; no automatic pooling,See eligibility and model status on every row,5 non-include rows,PREPARED EVIDENCE MAP: exact definition/window/arm selection required,Chen 2015; He 2026 (breast/WJCO); Oztas 2019; Tu 2024; Wu 2016
v34_native_los.csv,los,11,Native MD / logRR where valid; medians/graph/NR held,Separated in comparator_type; no automatic pooling,Separated in modality; no automatic pooling,See eligibility and model status on every row,4 non-include rows,PREPARED EVIDENCE MAP: exact definition/window/arm selection required,Gao 2021; Huang 2025; Jiang 2026; Li 2021; Long 2025; Pan 2023; Wang 2023; Wu 2016; Yang 2020; Zhang 2018; Zheng 2025
v34_native_time_to_first_rescue.csv,time_to_first_rescue,1,Native MD / logRR where valid; medians/graph/NR held,Separated in comparator_type; no automatic pooling,Separated in modality; no automatic pooling,See eligibility and model status on every row,1 non-include rows,PREPARED EVIDENCE MAP: exact definition/window/arm selection required,Yao 2015
