record_id,comparison_id,study,endpoint_family,outcome,window,time_class,statistic_type,modality,comparator_type,intervention,comparator,unit,n_i,n_c,mean_i,sd_i,mean_c,sd_c,events_i,events_c,eligibility,reason,rob2,analysis_population,source,source_location,selected_model,effect,se,measure,effect_note,scale_factor,hedges_g,hedges_se
V33-OD-0096,TU24_TEAS_vs_SHAM_PAIN6_24,Tu 2024,Pain — unspecified context,VAS pain intensity,6-24 h,6-24h,Median/IQR,TEAS,Sham,Postoperative TEAS,Sham/no current,VAS 0-10,57,58,,,,,,,NARRATIVE ONLY,Median and original dispersion preserved; no mean/SD conversion or MD pooling.,ROB2_RESULT_SPECIFIC_PENDING,,https://drive.google.com/file/d/1xQ9SbXVZblphUrb0-T9xpnAXk-_z5nBX/view?usp=drivesdk,Pain outcome 6-24 h,,,,,,1,,
V33-OD-0099,SUN17_TSS_vs_SSS_ACTIVITY24,Sun 2017,Pain — movement/activity,Activity-evoked VAS,24 h,24 h point,Median/IQR,TEAS,Sham,Preoperative true TEAS only,All-period sham TEAS (SSS),VAS 0-10,91,90,,,,,,,NARRATIVE ONLY,Median and original dispersion preserved; no mean/SD conversion or MD pooling.,EXISTING_RESULT_SPECIFIC: Some concerns,,https://drive.google.com/file/d/1lELlw0IpkhqoB8OuintAI22fxKfNEcEd/view?usp=drivesdk,"Primary activity-pain outcome, 24 h",,,,,,1,,
V33-OD-0100,SUN17_TTS_vs_SSS_ACTIVITY24,Sun 2017,Pain — movement/activity,Activity-evoked VAS,24 h,24 h point,Median/IQR,TEAS,Sham,Preoperative + intraoperative true TEAS,All-period sham TEAS (SSS),VAS 0-10,91,90,,,,,,,NARRATIVE ONLY,Median and original dispersion preserved; no mean/SD conversion or MD pooling.,EXISTING_RESULT_SPECIFIC: Some concerns,,https://drive.google.com/file/d/1lELlw0IpkhqoB8OuintAI22fxKfNEcEd/view?usp=drivesdk,"Primary activity-pain outcome, 24 h",,,,,,1,,
V33-OD-0101,SUN17_TST_vs_SSS_ACTIVITY24,Sun 2017,Pain — movement/activity,Activity-evoked VAS,24 h,24 h point,Median/IQR,TEAS,Sham,Preoperative + postoperative true TEAS,All-period sham TEAS (SSS),VAS 0-10,89,90,,,,,,,NARRATIVE ONLY,Median and original dispersion preserved; no mean/SD conversion or MD pooling.,EXISTING_RESULT_SPECIFIC: Some concerns,,https://drive.google.com/file/d/1lELlw0IpkhqoB8OuintAI22fxKfNEcEd/view?usp=drivesdk,"Primary activity-pain outcome, 24 h",,,,,,1,,
V33-OD-0118,NG13_EA_vs_SHAM_PAINPOD1,Ng 2013,Pain — unspecified context,VAS pain intensity,POD1,pod1,Mean/SD,EA,Sham,Electroacupuncture,Sham acupuncture,VAS 0-10,55,55,5.6,2,5.8,1.9,,,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",ROB2_RESULT_SPECIFIC_PENDING,,https://drive.google.com/file/d/1R1zCiyfWvuSp99Hi2U_K1__8kgdi90gd/view?usp=drivesdk,Pain outcome / POD1,,-0.2,0.371973,MD,Native MD; no pooled interpretation without compatible model.,1,-0.101817,0.190816
V33-OD-0121,MA26_T_vs_S_PAIN24,Ma 2026,Pain — rest,Resting NRS pain,24 h,24 h point,Graph-only continuous data,TEAS,CONTROL_TYPE_REVIEW_REQUIRED,Group T: sleep disturbance + preop TEAS,"Group S: sleep disturbance, no TEAS",NRS 0-10,17,16,,,,,,,GRAPH ONLY,No new graph digitization; historical digitized data require their original validation before pooling.,EXISTING_RESULT_SPECIFIC: High,,https://drive.google.com/file/d/1tMEOwvRWIMeEmBmKfeHEt7YF10yxslUe/view?usp=drivesdk,Figure / 24-h postoperative NRS,,,,,,1,,
V33-OD-0126,LU21_COMB_vs_SHAM_CHRONIC6M,Lu 2021,Chronic pain,Post-mastectomy chronic pain incidence,6 months,6 months,Events/total,TEAS,Sham,Combined PC6+CV17 TEAS,Sham/no current,participants,190,188,,,,,42,65,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",EXISTING_RESULT_SPECIFIC: High,,https://drive.google.com/file/d/1MgD_OucfiyNEDdDe3osh8W01U1yYZs08/view?usp=drivesdk,Table 2 / primary 6-month chronic pain,,-0.4473,0.16915,logRR,Uncorrected log risk ratio,1,,
V33-OD-0127,LU21_SINGLE_vs_SHAM_CHRONIC6M,Lu 2021,Chronic pain,Post-mastectomy chronic pain incidence,6 months,6 months,Events/total,TEAS,Sham,Single PC6 TEAS,Sham/no current,participants,198,188,,,,,72,65,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",EXISTING_RESULT_SPECIFIC: High,,https://drive.google.com/file/d/1MgD_OucfiyNEDdDe3osh8W01U1yYZs08/view?usp=drivesdk,Table 2 / primary 6-month chronic pain,,0.050454,0.137491,logRR,Uncorrected log risk ratio,1,,
V33-OD-0142,LUO26_TEAS_vs_SHAM_NRS24,Luo 2026,Pain — unspecified context,Postoperative NRS pain,24 h,24 h point,Mean/SD,TEAS,Sham,Intraoperative PC6 TEAS + standard antiemetics,Sham/no current + standard antiemetics,NRS 0-10,138,139,1.3,0.92,1.65,0.95,,,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",ROB2_RESULT_SPECIFIC_PENDING,,https://drive.google.com/file/d/1xxZle6mPpcnmHLblJbsy1kA4CyQHpvm2/view?usp=drivesdk,Postoperative pain table / 24 h,,-0.35,0.112366,MD,Native MD; no pooled interpretation without compatible model.,1,-0.37324,0.121211
V33-OD-0147,LONG25_TEAS_vs_CTRL_VAS24,Long 2025,Pain — unspecified context,VAS pain intensity,24 h,24 h point,Mean/SD,EA,Sham,Perioperative electrical acupoint stimulation,Electrodes/no current,VAS 0-10,27,26,2.78,0.97,3.96,0.96,,,HOLD,"Unresolved source conflict or undefined endpoint; printed values retained, excluded from quantitative models.",ROB2_RESULT_SPECIFIC_PENDING,,https://drive.google.com/file/d/1LDqtQLq9-kZLP0Vv_G3iiK8QKjy4pRXP/view?usp=drivesdk,Table 7 / Figure 9,,,,,,1,,
V33-OD-0155,LI21_TEAS_vs_SHAM_PAIN6,Li 2021,Pain — unspecified context,VAS ≥4,6 h,6h,Events/total,TEAS,Sham,Perioperative TEAS,Sham-point/no current,participants,140,140,,,,,30,50,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",ROB2_RESULT_SPECIFIC_PENDING,,https://drive.google.com/file/d/1NvcLlsb17N6EMhtHs_L_WBnf40wsrtRz/view?usp=drivesdk,Postoperative pain table / 6 h,,-0.510826,0.197605,logRR,Uncorrected log risk ratio,1,,
V33-OD-0157,LIU26ESD_TEAS_vs_SHAM_MODPAIN24,Liu 2026 (ESD),Pain — unspecified context,Moderate-to-severe pain (NRS ≥4),Within 24 h,within 24h,Events/total,TEAS,Sham,Perioperative TEAS,Sham-point/no current,participants,58,62,,,,,22,40,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",EXISTING_RESULT_SPECIFIC: High,,https://drive.google.com/file/d/1Hp7pCBP8iXkGGYVhlFY0BHTeaaM7bhdY/view?usp=drivesdk,Primary outcome / NRS ≥4 within 24 h,,-0.531146,0.192572,logRR,Uncorrected log risk ratio,1,,
V33-OD-0158,LIU26ESD_TEAS_vs_SHAM_NRS24,Liu 2026 (ESD),Pain — unspecified context,NRS pain intensity,24 h,24 h point,Mean/SD,TEAS,Sham,Perioperative TEAS,Sham-point/no current,NRS 0-10,58,62,1.2,1.3,2.8,1.9,,,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",ROB2_RESULT_SPECIFIC_PENDING,,https://drive.google.com/file/d/1Hp7pCBP8iXkGGYVhlFY0BHTeaaM7bhdY/view?usp=drivesdk,Serial NRS results / 24 h,,-1.6,0.295574,MD,Native MD; no pooled interpretation without compatible model.,1,-0.97067,0.193122
V33-OD-0163,LIU21_TEAS_vs_CTRL_VASREST24,Liu 2021,Pain — rest,VAS at rest,24 h,24 h point,Mean/SD,TEAS,Sham,Perioperative TEAS,Electrodes/no current,VAS,50,50,2.52,0.505,2.66,0.626,,,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",ROB2_RESULT_SPECIFIC_PENDING,,https://drive.google.com/file/d/1TA4BstaUWY3EdQbDNEvvGxF35ekGanrm/view?usp=drivesdk,Table 2 / 24-h rest VAS,,-0.14,0.113745,MD,Native MD; no pooled interpretation without compatible model.,1,-0.244275,0.200744
V33-OD-0164,LIU21_TEAS_vs_CTRL_VASCOUGH24,Liu 2021,Pain — cough,VAS with coughing,24 h,24 h point,Mean/SD,TEAS,Sham,Perioperative TEAS,Electrodes/no current,VAS,50,50,3.2,0.571,3.16,0.681,,,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",ROB2_RESULT_SPECIFIC_PENDING,,https://drive.google.com/file/d/1TA4BstaUWY3EdQbDNEvvGxF35ekGanrm/view?usp=drivesdk,Table 2 / 24-h coughing VAS,,0.04,0.125682,MD,Native MD; no pooled interpretation without compatible model.,1,0.063164,0.20005
V33-OD-0170,LIU26BURN_TEAS_vs_SHAM_FVAS24,Liu 2026 (burn),Pain — rest,Resting F-VAS pain,24 h,24 h point,Graph-only continuous data,TEAS,Sham,Pre-induction TEAS,Placebo/sham TEAS,F-VAS 0-100 mm,43,43,,,,,,,GRAPH ONLY,No new graph digitization; historical digitized data require their original validation before pooling.,ROB2_RESULT_SPECIFIC_PENDING,,https://drive.google.com/file/d/1mvekGtHD2JAKCRbIXrvLw1Nz7hbQ1dZ3/view?usp=drivesdk,Figure 5 / F3 24 h,,,,,,1,,
V33-OD-0174,LIU25_EA_vs_CTRL_PAIN24,Liu 2025,Pain — unspecified context,VAS pain intensity,24 h,24 h point,Graph-only continuous data,EA,Sham,Perioperative electroacupuncture,Control/sham procedure,VAS 0-10,38,39,,,,,,,GRAPH ONLY,No new graph digitization; historical digitized data require their original validation before pooling.,ROB2_RESULT_SPECIFIC_PENDING,,https://drive.google.com/file/d/1SHBSKFaeE4G3PXTGVMm7TR8L0H9EgtsD/view?usp=drivesdk,Figure 2 / 24-h pain,,,,,,1,,
V33-OD-0176,LI22_EA_vs_SHAM_NRS24,Li 2022,Pain — unspecified context,Postoperative NRS pain,24 h,24 h point,Median/IQR,EA,Sham,Preoperative electroacupuncture,Sham electroacupuncture,NRS 0-10,39,40,,,,,,,NARRATIVE ONLY,Median and original dispersion preserved; no mean/SD conversion or MD pooling.,EXISTING_RESULT_SPECIFIC: Some concerns,,https://drive.google.com/file/d/1rQTrwnCvj72poJrGGvYjpxSZXvUhSD0u/view?usp=drivesdk,24-h postoperative NRS,,,,,,1,,
V33-OD-0177,LI22_EA_vs_SHAM_MPT24,Li 2022,Pain — unspecified context,Mechanical pain threshold around surgical incision,24 h,24 h point,Source-reported direction; exact value not promoted,EA,Sham,Preoperative electroacupuncture,Sham electroacupuncture,mechanical threshold,39,40,,,,,,,HOLD,Nonstandard or incomplete statistic; no inferred quantities.,ROB2_RESULT_SPECIFIC_PENDING,,https://drive.google.com/file/d/1rQTrwnCvj72poJrGGvYjpxSZXvUhSD0u/view?usp=drivesdk,Mechanical-threshold longitudinal result,,,,,,1,,
V33-OD-0187,LEE11_LOW_vs_SHAM_VAS24,Lee 2011,Pain — unspecified context,VAS pain intensity,24 h,24 h point,Mean/SD,MODALITY_REVIEW_REQUIRED,Sham,Low-frequency dense-sparse SSP,Sham SSP,VAS 0-10,10,12,1.21,1.31,2.54,0.86,,,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",ROB2_RESULT_SPECIFIC_PENDING,,https://drive.google.com/file/d/1kQDSBtx3OpFOsim5oUMwhpfHOqaMy8Q9/view?usp=drivesdk,24-h VAS table,,-1.33,0.482953,MD,Native MD; no pooled interpretation without compatible model.,1,-1.178356,0.463563
V33-OD-0201,HUANG24_CONTRA_vs_SHAM_VASD1,Huang 2024,Pain — movement/activity,VAS during walking/knee movement,POD1,pod1,Mean/SD,EA,Sham,Contralateral EA,Bilateral sham EA,VAS 0-100,38,38,53.16,9.99,56.71,9.84,,,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",EXISTING_RESULT_SPECIFIC: Some concerns,,https://drive.google.com/file/d/1z-76QoxqmtMRV32wOpem7jAyDnuD6fb8/view?usp=drivesdk,Primary serial VAS / Day 1,,-3.55,2.274722,MD,Native MD; no pooled interpretation without compatible model.,1,-0.354392,0.23121
V33-OD-0202,HUANG24_IPSI_vs_SHAM_VASD1,Huang 2024,Pain — movement/activity,VAS during walking/knee movement,POD1,pod1,Mean/SD,EA,Sham,Ipsilateral EA,Bilateral sham EA,VAS 0-100,38,38,53.5,10.79,56.71,9.84,,,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",EXISTING_RESULT_SPECIFIC: Some concerns,,https://drive.google.com/file/d/1z-76QoxqmtMRV32wOpem7jAyDnuD6fb8/view?usp=drivesdk,Primary serial VAS / Day 1,,-3.21,2.368931,MD,Native MD; no pooled interpretation without compatible model.,1,-0.307706,0.230769
V33-OD-0206,HOU23_TEAS_vs_SHAM_PAIN_D2,Hou 2023,Pain — unspecified context,VAS-P pain,"D2 = one day after surgery, not exact clock-time 24 h","d2 = one day after surgery, not exact clock-time 24h",Median/IQR,TEAS,Sham,Perioperative TEAS,Sham/no-current TEAS,VAS 0-100 mm,36,36,,,,,,,NARRATIVE ONLY,Median and original dispersion preserved; no mean/SD conversion or MD pooling.,ROB2_RESULT_SPECIFIC_PENDING,,https://drive.google.com/file/d/161WdTRehgwvDHvQ8OkRf8U9TbUmVQgaR/view?usp=drivesdk,Postoperative pain / D2,,,,,,1,,
V33-OD-0217,HEBREAST26_EA_vs_SHAM_MODMOV24,He 2026 (breast/WJCO),Pain — movement/activity,Moderate-to-severe movement-evoked pain (VAS >4),24 h,24 h point,Events/total,EA,Sham,Perioperative EA + flurbiprofen,Sham acupuncture + flurbiprofen,participants,65,65,,,,,32,42,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",EXISTING_RESULT_SPECIFIC: Some concerns,,https://drive.google.com/file/d/1D6Js5nTN2AwL5-BB-NIJVoCKVtcbcczH/view?usp=drivesdk,Primary outcome / 24-h movement pain,,-0.271934,0.155853,logRR,Uncorrected log risk ratio,1,,
V33-OD-0218,HEBREAST26_EA_vs_SHAM_VASMOV24,He 2026 (breast/WJCO),Pain — movement/activity,Movement VAS,24 h,24 h point,Mean/SD,EA,Sham,Perioperative EA + flurbiprofen,Sham acupuncture + flurbiprofen,VAS,65,65,2.862,0.233,3.954,0.233,,,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",ROB2_RESULT_SPECIFIC_PENDING,,https://drive.google.com/file/d/1D6Js5nTN2AwL5-BB-NIJVoCKVtcbcczH/view?usp=drivesdk,Postoperative VAS table,,-1.092,0.040871,MD,Native MD; no pooled interpretation without compatible model.,1,-4.65918,0.338026
V33-OD-0219,HEBREAST26_EA_vs_SHAM_VASREST24,He 2026 (breast/WJCO),Pain — rest,Resting VAS,24 h,24 h point,Mean/SD,EA,Sham,Perioperative EA + flurbiprofen,Sham acupuncture + flurbiprofen,VAS,65,65,1.789,0.174,2.692,0.174,,,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",ROB2_RESULT_SPECIFIC_PENDING,,https://drive.google.com/file/d/1D6Js5nTN2AwL5-BB-NIJVoCKVtcbcczH/view?usp=drivesdk,Postoperative VAS table,,-0.903,0.030522,MD,Native MD; no pooled interpretation without compatible model.,1,-5.159188,0.364888
V33-OD-0221,GU19_LTEAS_vs_CTEAS_VAS24,Gu 2019,Pain — unspecified context,VAS pain intensity,24 h,24 h point,Mean/SD,TEAS,Sham,Long-duration TEAS,Sham/no-current TEAS,VAS 0-10,58,59,1.98,0.39,2.72,0.73,,,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",ROB2_RESULT_SPECIFIC_PENDING,,https://drive.google.com/file/d/1ipQFXfERgAVmgNKMpLkvaaecYJVSTDiw/view?usp=drivesdk,Figure 3 / 24-h VAS,,-0.74,0.107957,MD,Native MD; no pooled interpretation without compatible model.,1,-1.25316,0.202242
V33-OD-0233,GUO23_PAINPOD1,Guo 2023,Pain — unspecified context,NRS pain intensity,POD1,pod1,Graph-only continuous data,TEAS,Sham,Perioperative TEAS,Sham/no-current TEAS,NRS,55,55,,,,,,,GRAPH ONLY,No new graph digitization; historical digitized data require their original validation before pooling.,ROB2_RESULT_SPECIFIC_PENDING,,https://drive.google.com/file/d/1Idfl7rfZhgAUJHDpsmgzp17ADiGvrU8C/view?usp=drivesdk,Figure 3B,,,,,,1,,
V33-OD-0237,GRECH16_EA_vs_CTRL_PAIN,Grech 2016,Pain — unspecified context,Postoperative VAS pain,PACU and POD1-3,pacu and pod1-3,Graph-only continuous data,EA,Sham,Intraoperative low-frequency EA,Sham/control,VAS 0-10,,,,,,,,,GRAPH ONLY,No new graph digitization; historical digitized data require their original validation before pooling.,ROB2_RESULT_SPECIFIC_PENDING,,https://drive.google.com/file/d/1U3KShiAZKL8n9hxSpBkhuhuQHW2EN-IY/view?usp=drivesdk,Postoperative pain figures,,,,,,1,,
V33-OD-0265,WU16_TAES_vs_ACTIVE_REST24,Wu 2016,Pain — rest,VAS pain intensity at rest,24 h postoperatively,24 h point,Graph-only continuous data,MODALITY_REVIEW_REQUIRED,CONTROL_TYPE_REVIEW_REQUIRED,Perioperative true-acupoint TAES (LI4/PC6/SI3/SJ6),Active nonacupoint electrical stimulation (identical 2/100-Hz current),VAS 0-10,27,27,,,,,,,GRAPH ONLY,No new graph digitization; historical digitized data require their original validation before pooling.,ROB2_RESULT_SPECIFIC_PENDING,,https://drive.google.com/file/d/1CXkJN0GF45qOQtRcL7EbgmbypBrNnmri/view?usp=drivesdk,Figure 1A / 24-h point,,,,,,1,,
V33-OD-0266,WU16_TAES_vs_UC_REST24,Wu 2016,Pain — rest,VAS pain intensity at rest,24 h postoperatively,24 h point,Graph-only continuous data,MODALITY_REVIEW_REQUIRED,CONTROL_TYPE_REVIEW_REQUIRED,Perioperative true-acupoint TAES (LI4/PC6/SI3/SJ6),No-TAES thoracotomy control,VAS 0-10,27,27,,,,,,,GRAPH ONLY,No new graph digitization; historical digitized data require their original validation before pooling.,ROB2_RESULT_SPECIFIC_PENDING,,https://drive.google.com/file/d/1CXkJN0GF45qOQtRcL7EbgmbypBrNnmri/view?usp=drivesdk,Figure 1A / 24-h point,,,,,,1,,
V33-OD-0267,WU16_TAES_vs_ACTIVE_COUGH24,Wu 2016,Pain — cough,VAS pain intensity during coughing,24 h postoperatively,24 h point,Graph-only continuous data,MODALITY_REVIEW_REQUIRED,CONTROL_TYPE_REVIEW_REQUIRED,Perioperative true-acupoint TAES (LI4/PC6/SI3/SJ6),Active nonacupoint electrical stimulation (identical 2/100-Hz current),VAS 0-10,27,27,,,,,,,GRAPH ONLY,No new graph digitization; historical digitized data require their original validation before pooling.,ROB2_RESULT_SPECIFIC_PENDING,,https://drive.google.com/file/d/1CXkJN0GF45qOQtRcL7EbgmbypBrNnmri/view?usp=drivesdk,Figure 1B / 24-h point,,,,,,1,,
V33-OD-0268,WU16_TAES_vs_UC_COUGH24,Wu 2016,Pain — cough,VAS pain intensity during coughing,24 h postoperatively,24 h point,Graph-only continuous data,MODALITY_REVIEW_REQUIRED,CONTROL_TYPE_REVIEW_REQUIRED,Perioperative true-acupoint TAES (LI4/PC6/SI3/SJ6),No-TAES thoracotomy control,VAS 0-10,27,27,,,,,,,GRAPH ONLY,No new graph digitization; historical digitized data require their original validation before pooling.,ROB2_RESULT_SPECIFIC_PENDING,,https://drive.google.com/file/d/1CXkJN0GF45qOQtRcL7EbgmbypBrNnmri/view?usp=drivesdk,Figure 1B / 24-h point,,,,,,1,,
