record_id,comparison_id,study,endpoint_family,outcome,window,time_class,statistic_type,modality,comparator_type,intervention,comparator,unit,n_i,n_c,mean_i,sd_i,mean_c,sd_c,events_i,events_c,eligibility,reason,rob2,analysis_population,source,source_location,selected_model,effect,se,measure,effect_note,scale_factor,hedges_g,hedges_se,not_pooled_reason
V33-OD-0016,COURA11_EA_vs_SHAM,Coura 2011,Postoperative opioid dose (native window/unit),Cumulative fentanyl,First 24 h postoperatively,first 24h postoperatively,Mean/SD,EA,Sham,Preoperative EA,Sham stimulation,µg/kg fentanyl,13,9,13.1,2.2,16.3,1.6,,,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",EXISTING_RESULT_SPECIFIC: High,,https://drive.google.com/file/d/120NJxCmxsdiyqWTXzjmaUWAaVa1i8iZz/view?usp=drivesdk,Published cumulative first-24-h fentanyl result,,-3.2,0.810402,MD,Native MD; no pooled interpretation without compatible model.,1,-1.553284,0.492816,"Native numeric candidate, not newly pooled: exact outcome definition/time/scale or prespecified arm selection requires a model-specific decision. No automatic pooling of the gap-fill audit."
V33-OD-0017,AO21_TEAS_vs_SHAM_VAS,Ao 2021,Pain — unspecified context,VAS pain intensity,24 h postoperatively,24 h point,Graph-digitized mean/SD,TEAS,Sham,TEAS,Sham/no current,VAS 0-10,32,33,2.51,0.49,2.95,0.53,,,CONDITIONAL,No new graph digitization; historical digitized data require their original validation before pooling.,ROB2_RESULT_SPECIFIC_PENDING,,https://drive.google.com/file/d/1tNFnY0fJpx53hrtY4DIaE1RsNjE55Xvd/view?usp=drivesdk,Figure-only 24-h VAS,,,,,,1,,,No new graph digitization; historical digitized data require their original validation before pooling.
V33-OD-0018,AO21_TEAS_vs_SHAM_OPIOID24,Ao 2021,Postoperative opioid dose (native window/unit),Cumulative postoperative sufentanil,Exact 0-24 h,exact 0-24h,Not reported,TEAS,Sham,TEAS,Sham/no current,µg sufentanil,32,33,,,,,,,NOT REPORTED,Accessed source does not supply the requested numerical result.,ROB2_RESULT_SPECIFIC_PENDING,,https://drive.google.com/file/d/1tNFnY0fJpx53hrtY4DIaE1RsNjE55Xvd/view?usp=drivesdk,Article reports 48-h PCA framework only,,,,,,1,,,Accessed source does not supply the requested numerical result.
V33-OD-0019,ZHU22_PRE_vs_USUAL_PON,Zhu 2022,Nausea,Postoperative nausea,6-24 h postoperatively,6-24h postoperatively,Events/total,EA,Usual care,EA day before surgery,Usual care alone,participants with nausea,101,101,,,,,11,27,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",ROB2_RESULT_SPECIFIC_PENDING,,https://drive.google.com/file/d/1vux5IaubjInusplW6GJ2SsxhzibtSCe-/view?usp=drivesdk,Table 2,,-0.897942,0.328853,logRR,Uncorrected log risk ratio,1,,,"Native numeric candidate, not newly pooled: exact outcome definition/time/scale or prespecified arm selection requires a model-specific decision. No automatic pooling of the gap-fill audit."
V33-OD-0020,ZHU22_PRE_vs_USUAL_POV,Zhu 2022,Vomiting,Postoperative vomiting,6-24 h postoperatively,6-24h postoperatively,Events/total,EA,Usual care,EA day before surgery,Usual care alone,participants with vomiting,101,101,,,,,5,22,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",EXISTING_RESULT_SPECIFIC: Some concerns,,https://drive.google.com/file/d/1vux5IaubjInusplW6GJ2SsxhzibtSCe-/view?usp=drivesdk,Table 2,,-1.481605,0.475029,logRR,Uncorrected log risk ratio,1,,,"Native numeric candidate, not newly pooled: exact outcome definition/time/scale or prespecified arm selection requires a model-specific decision. No automatic pooling of the gap-fill audit."
V33-OD-0021,ZHU22_30_vs_USUAL_PON,Zhu 2022,Nausea,Postoperative nausea,6-24 h postoperatively,6-24h postoperatively,Events/total,EA,Usual care,EA 30 min before surgery,Usual care alone,participants with nausea,98,101,,,,,18,27,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",ROB2_RESULT_SPECIFIC_PENDING,,https://drive.google.com/file/d/1vux5IaubjInusplW6GJ2SsxhzibtSCe-/view?usp=drivesdk,Table 2,,-0.375312,0.269235,logRR,Uncorrected log risk ratio,1,,,"Native numeric candidate, not newly pooled: exact outcome definition/time/scale or prespecified arm selection requires a model-specific decision. No automatic pooling of the gap-fill audit."
V33-OD-0022,ZHU22_30_vs_USUAL_POV,Zhu 2022,Vomiting,Postoperative vomiting,6-24 h postoperatively,6-24h postoperatively,Events/total,EA,Usual care,EA 30 min before surgery,Usual care alone,participants with vomiting,98,101,,,,,8,22,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",EXISTING_RESULT_SPECIFIC: Some concerns,,https://drive.google.com/file/d/1vux5IaubjInusplW6GJ2SsxhzibtSCe-/view?usp=drivesdk,Table 2,,-0.981448,0.387749,logRR,Uncorrected log risk ratio,1,,,"Native numeric candidate, not newly pooled: exact outcome definition/time/scale or prespecified arm selection requires a model-specific decision. No automatic pooling of the gap-fill audit."
V33-OD-0023,ZHU22_COMB_vs_USUAL_PON,Zhu 2022,Nausea,Postoperative nausea,6-24 h postoperatively,6-24h postoperatively,Events/total,EA,Usual care,EA day before + 30 min before,Usual care alone,participants with nausea,100,101,,,,,11,27,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",ROB2_RESULT_SPECIFIC_PENDING,,https://drive.google.com/file/d/1vux5IaubjInusplW6GJ2SsxhzibtSCe-/view?usp=drivesdk,Table 2,,-0.887991,0.328702,logRR,Uncorrected log risk ratio,1,,,"Native numeric candidate, not newly pooled: exact outcome definition/time/scale or prespecified arm selection requires a model-specific decision. No automatic pooling of the gap-fill audit."
V33-OD-0024,ZHU22_COMB_vs_USUAL_POV,Zhu 2022,Vomiting,Postoperative vomiting,6-24 h postoperatively,6-24h postoperatively,Events/total,EA,Usual care,EA day before + 30 min before,Usual care alone,participants with vomiting,100,101,,,,,9,22,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",EXISTING_RESULT_SPECIFIC: Some concerns,,https://drive.google.com/file/d/1vux5IaubjInusplW6GJ2SsxhzibtSCe-/view?usp=drivesdk,Table 2,,-0.883868,0.369682,logRR,Uncorrected log risk ratio,1,,,"Native numeric candidate, not newly pooled: exact outcome definition/time/scale or prespecified arm selection requires a model-specific decision. No automatic pooling of the gap-fill audit."
V33-OD-0025,ZHOU25_TEAS_vs_SHAM_QOR15,Zhou 2025,QoR-15,Global QoR-15,POD1,pod1,Mean/SD,TEAS,Sham,PACU TEAS,Sham/no current,QoR-15 points,48,49,112,10.67,107.62,10.27,,,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",EXISTING_RESULT_SPECIFIC: High,,https://drive.google.com/file/d/1gpNBuoukUttXKWiAAeZSqdIaaHSMOwDU/view?usp=drivesdk,"Table 2, p7",,4.38,2.127054,MD,Native MD; no pooled interpretation without compatible model.,1,0.415034,0.205254,"Native numeric candidate, not newly pooled: exact outcome definition/time/scale or prespecified arm selection requires a model-specific decision. No automatic pooling of the gap-fill audit."
V33-OD-0026,ZHOU25_TEAS_vs_SHAM_PAINREST,Zhou 2025,Pain — rest,Resting pain VAS,POD1,pod1,Median/IQR,TEAS,Sham,PACU TEAS,Sham/no current,VAS 0-10,48,49,,,,,,,NARRATIVE ONLY,Median and original dispersion preserved; no mean/SD conversion or MD pooling.,ROB2_RESULT_SPECIFIC_PENDING,,https://drive.google.com/file/d/1gpNBuoukUttXKWiAAeZSqdIaaHSMOwDU/view?usp=drivesdk,"Table 3, p8",,,,,,1,,,Median and original dispersion preserved; no mean/SD conversion or MD pooling.
V33-OD-0027,ZHOU25_TEAS_vs_SHAM_PONV,Zhou 2025,PONV composite,PONV incidence,POD1,pod1,Events/total,TEAS,Sham,PACU TEAS,Sham/no current,participants,48,49,,,,,10,19,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",ROB2_RESULT_SPECIFIC_PENDING,,https://drive.google.com/file/d/1gpNBuoukUttXKWiAAeZSqdIaaHSMOwDU/view?usp=drivesdk,"Table 4, p8",,-0.621235,0.333752,logRR,Uncorrected log risk ratio,1,,,"Native numeric candidate, not newly pooled: exact outcome definition/time/scale or prespecified arm selection requires a model-specific decision. No automatic pooling of the gap-fill audit."
V33-OD-0028,ZHOU25_TEAS_vs_SHAM_FLATUS,Zhou 2025,GI — first flatus,Time to first flatus,Postoperative,postoperative,Mean/SD,TEAS,Sham,PACU TEAS,Sham/no current,hours,48,49,14.1,3.19,15.88,3.78,,,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",ROB2_RESULT_SPECIFIC_PENDING,,https://drive.google.com/file/d/1gpNBuoukUttXKWiAAeZSqdIaaHSMOwDU/view?usp=drivesdk,Postoperative recovery-time table,,-1.78,0.709649,MD,Native MD; no pooled interpretation without compatible model.,1,-0.504466,0.206284,"Native numeric candidate, not newly pooled: exact outcome definition/time/scale or prespecified arm selection requires a model-specific decision. No automatic pooling of the gap-fill audit."
V33-OD-0029,ZHOU25_TEAS_vs_SHAM_RESCUE,Zhou 2025,Rescue analgesia — drug class unresolved,Any rescue analgesia,POD1-POD3,pod1-pod3,Events/total,TEAS,Sham,PACU TEAS,Sham/no current,participants,48,49,,,,,6,13,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",ROB2_RESULT_SPECIFIC_PENDING,,https://drive.google.com/file/d/1gpNBuoukUttXKWiAAeZSqdIaaHSMOwDU/view?usp=drivesdk,"Table 3, p8",,-0.752571,0.449831,logRR,Uncorrected log risk ratio,1,,,"Native numeric candidate, not newly pooled: exact outcome definition/time/scale or prespecified arm selection requires a model-specific decision. No automatic pooling of the gap-fill audit."
V33-OD-0030,ZHOU25_TEAS_vs_SHAM_OPIOID24,Zhou 2025,Postoperative opioid dose (native window/unit),Exact cumulative postoperative opioid dose,0-24 h,0-24h,Not reported,TEAS,Sham,PACU TEAS,Sham/no current,mg/µg,48,49,,,,,,,NOT REPORTED,Accessed source does not supply the requested numerical result.,ROB2_RESULT_SPECIFIC_PENDING,,https://drive.google.com/file/d/1gpNBuoukUttXKWiAAeZSqdIaaHSMOwDU/view?usp=drivesdk,Not numerically reported,,,,,,1,,,Accessed source does not supply the requested numerical result.
V33-OD-0031,ZHOU21_TEAS_vs_UC_PAIN,Zhou 2021,Pain — unspecified context,Average postoperative pain,POD1-POD5 average,pod1-pod5 average,Mean/SD,TEAS,Usual care,Postoperative TEAS + ERAS,ERAS/usual care,pain score,41,40,2.55,0.21,3.1,0.42,,,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",ROB2_RESULT_SPECIFIC_PENDING,,https://drive.google.com/file/d/1PxYyULBv_ZjWeqAm_bNYkDn_j2_lNYLq/view?usp=drivesdk,"Table 3, p6",,-0.55,0.074065,MD,Native MD; no pooled interpretation without compatible model.,1,-1.646922,0.257164,"Native numeric candidate, not newly pooled: exact outcome definition/time/scale or prespecified arm selection requires a model-specific decision. No automatic pooling of the gap-fill audit."
V33-OD-0032,ZHOU21_TEAS_vs_UC_OPIOIDUSE,Zhou 2021,Postoperative opioid dose (native window/unit),Any postoperative opioid use,Postoperative window not clearly defined as 0-24 h,postoperative window not clearly defined as 0-24h,Events/total,TEAS,Usual care,Postoperative TEAS + ERAS,ERAS/usual care,participants,41,40,,,,,18,30,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",ROB2_RESULT_SPECIFIC_PENDING,,https://drive.google.com/file/d/1PxYyULBv_ZjWeqAm_bNYkDn_j2_lNYLq/view?usp=drivesdk,Table 3,,-0.535518,0.198743,logRR,Uncorrected log risk ratio,1,,,"Native numeric candidate, not newly pooled: exact outcome definition/time/scale or prespecified arm selection requires a model-specific decision. No automatic pooling of the gap-fill audit."
V33-OD-0033,ZHENG25_TEAS_vs_SHAM_PONV,Zheng 2025,PONV composite,Any PONV,Within 24 h postoperatively,within 24h postoperatively,Events/total,TEAS,Sham,Perioperative TEAS,Sham/no current,participants,42,43,,,,,18,29,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",EXISTING_RESULT_SPECIFIC: Some concerns,,https://drive.google.com/file/d/1-JWKZgQXaQQQBZgMSDqyIP-vG9aAxBqb/view?usp=drivesdk,Primary outcome / 24-h PONV result,,-0.453394,0.207299,logRR,Uncorrected log risk ratio,1,,,"Native numeric candidate, not newly pooled: exact outcome definition/time/scale or prespecified arm selection requires a model-specific decision. No automatic pooling of the gap-fill audit."
V33-OD-0035,ZHENG25_TEAS_vs_SHAM_PCA_PRESS,Zheng 2025,PCA/PCIA button presses,Total PCIA button presses,Postoperative; exact pump duration NR,postoperative; exact pump duration nr,Mean/SD,TEAS,Sham,Perioperative TEAS,Sham/no current,presses,42,43,6.3,2.2,10.7,3.9,,,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",ROB2_RESULT_SPECIFIC_PENDING,,https://drive.google.com/file/d/1-JWKZgQXaQQQBZgMSDqyIP-vG9aAxBqb/view?usp=drivesdk,Postoperative PCIA results,,-4.4,0.684806,MD,Native MD; no pooled interpretation without compatible model.,1,-1.3728,0.241145,"Native numeric candidate, not newly pooled: exact outcome definition/time/scale or prespecified arm selection requires a model-specific decision. No automatic pooling of the gap-fill audit."
V33-OD-0036,ZHENG25_TEAS_vs_SHAM_OPIOID24,Zheng 2025,Postoperative opioid dose (native window/unit),Exact cumulative postoperative sufentanil mass,0-24 h,0-24h,Not reported,TEAS,Sham,Perioperative TEAS,Sham/no current,µg sufentanil,42,43,,,,,,,NOT REPORTED,Accessed source does not supply the requested numerical result.,ROB2_RESULT_SPECIFIC_PENDING,,https://drive.google.com/file/d/1-JWKZgQXaQQQBZgMSDqyIP-vG9aAxBqb/view?usp=drivesdk,PCIA formulation section / missing outcome,,,,,,1,,,Accessed source does not supply the requested numerical result.
V33-OD-0037,ZHAN20_TAPTEAS_vs_TAP_PAIN24,Zhan 2020,Pain — unspecified context,VAS pain intensity,24 h postoperatively,24 h point,Source-format ambiguous,TEAS,CONTROL_TYPE_REVIEW_REQUIRED,TAP block + postoperative TEAS,TAP block,VAS,30,30,,,,,,,HOLD,"Unresolved source statistic, denominator or timepoint.",EXISTING_RESULT_SPECIFIC: High,,https://drive.google.com/file/d/1GYG7JxUOQxbt724-Ng7dWv3sYeC8dDSr/view?usp=drivesdk,"Table 2, p4",,,,,,1,,,"Unresolved source statistic, denominator or timepoint."
V33-OD-0038,ZHAN20_TAPTEAS_vs_TAP_OPIOID24,Zhan 2020,Postoperative opioid dose (native window/unit),Actual cumulative postoperative sufentanil consumption,0-24 h,0-24h,Not reported,TEAS,CONTROL_TYPE_REVIEW_REQUIRED,TAP block + postoperative TEAS,TAP block,µg sufentanil,30,30,,,,,,,NOT REPORTED,Accessed source does not supply the requested numerical result.,ROB2_RESULT_SPECIFIC_PENDING,,https://drive.google.com/file/d/1GYG7JxUOQxbt724-Ng7dWv3sYeC8dDSr/view?usp=drivesdk,PCIA protocol / exact 24-h opioid section,,,,,,1,,,Accessed source does not supply the requested numerical result.
V33-OD-0039,ZHANG25_TEAS_vs_SHAM_SUFPOD1,Zhang 2025,Postoperative opioid dose (native window/unit),Total sufentanil consumption,POD1; approximately 24 h but exact clock window not explicit,pod1; approximately 24h but exact clock window not explicit,Mean/SD,TEAS,Sham,Perioperative TEAS,Sub-sensory sham,µg sufentanil,45,48,50.53,4.46,53.79,5.14,,,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",EXISTING_RESULT_SPECIFIC: High,,https://drive.google.com/file/d/1eHx6Hk16vmIfMgoiZ5eNae4zmCR5ktwJ/view?usp=drivesdk,"Table 4, p9",,-3.26,0.996215,MD,Native MD; no pooled interpretation without compatible model.,1,-0.670315,0.21324,"Native numeric candidate, not newly pooled: exact outcome definition/time/scale or prespecified arm selection requires a model-specific decision. No automatic pooling of the gap-fill audit."
V33-OD-0040,ZHANG25_TEAS_vs_SHAM_RESCUE,Zhang 2025,Rescue analgesia — drug class unresolved,Any rescue analgesia demand,POD1 / postoperative period reported in Table 4,pod1 / postoperative period reported in table 4,Events/total,TEAS,Sham,Perioperative TEAS,Sub-sensory sham,participants,45,48,,,,,14,29,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",ROB2_RESULT_SPECIFIC_PENDING,,https://drive.google.com/file/d/1eHx6Hk16vmIfMgoiZ5eNae4zmCR5ktwJ/view?usp=drivesdk,"Table 4, p9",,-0.6637,0.250711,logRR,Uncorrected log risk ratio,1,,,"Native numeric candidate, not newly pooled: exact outcome definition/time/scale or prespecified arm selection requires a model-specific decision. No automatic pooling of the gap-fill audit."
V33-OD-0041,ZHANG25_TEAS_vs_SHAM_VISCERAL_POD1,Zhang 2025,Pain — unspecified context,Moderate-to-severe visceral pain,POD1,pod1,Events/total,TEAS,Sham,Perioperative TEAS,Sub-sensory sham,participants,45,48,,,,,4,18,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",ROB2_RESULT_SPECIFIC_PENDING,,https://drive.google.com/file/d/1eHx6Hk16vmIfMgoiZ5eNae4zmCR5ktwJ/view?usp=drivesdk,"Figure 3D, p8",,-1.439539,0.512348,logRR,Uncorrected log risk ratio,1,,,"Native numeric candidate, not newly pooled: exact outcome definition/time/scale or prespecified arm selection requires a model-specific decision. No automatic pooling of the gap-fill audit."
V33-OD-0042,ZHANG23_TEAS_vs_SHAM_VOID,Zhang 2023,Urinary recovery,Time to first spontaneous void,Postoperative,postoperative,Median/IQR,TEAS,Sham,TEAS,Sham/no current,hours,922,916,,,,,,,NARRATIVE ONLY,Median and original dispersion preserved; no mean/SD conversion or MD pooling.,EXISTING_RESULT_SPECIFIC: High,,https://drive.google.com/file/d/1LXNXNhVJaOcYXBODulFUuMD4FQXC5dph/view?usp=drivesdk,Table 2 / primary spontaneous-void outcome,,,,,,1,,,Median and original dispersion preserved; no mean/SD conversion or MD pooling.
V33-OD-0043,ZHANG23_TEAS_vs_SHAM_DELAYED,Zhang 2023,Urinary recovery,Delayed urinary recovery (>12 h without spontaneous void),Postoperative,postoperative,Events/total,TEAS,Sham,TEAS,Sham/no current,participants,922,916,,,,,103,173,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",ROB2_RESULT_SPECIFIC_PENDING,,https://drive.google.com/file/d/1LXNXNhVJaOcYXBODulFUuMD4FQXC5dph/view?usp=drivesdk,Table 2 / delayed urinary recovery,,-0.525091,0.115381,logRR,Uncorrected log risk ratio,1,,,"Native numeric candidate, not newly pooled: exact outcome definition/time/scale or prespecified arm selection requires a model-specific decision. No automatic pooling of the gap-fill audit."
