audit_row,study,v33_study_rows_compared,closest_v33_rows,disposition,match_v33_row,rationale
15,Zhu 2022,12,20;22;24,ADDED,,"Study-level review: distinct result, time window, arm, distribution or source-unavailability record; raw source preserved. Closest text matches are candidates, not automatic merges."
16,Zhu 2022,12,20;22;24,ADDED,,"Study-level review: distinct result, time window, arm, distribution or source-unavailability record; raw source preserved. Closest text matches are candidates, not automatic merges."
17,Zhu 2022,12,19;21;23,ADDED,,"Study-level review: distinct result, time window, arm, distribution or source-unavailability record; raw source preserved. Closest text matches are candidates, not automatic merges."
18,Zhu 2022,12,19;21;23,ADDED,,"Study-level review: distinct result, time window, arm, distribution or source-unavailability record; raw source preserved. Closest text matches are candidates, not automatic merges."
19,Zhu 2022,12,19;21;23,ADDED,,"Study-level review: distinct result, time window, arm, distribution or source-unavailability record; raw source preserved. Closest text matches are candidates, not automatic merges."
20,Zhu 2022,12,373;374;375,AMBIGUOUS_HOLD,,"Study-level review: distinct result, time window, arm, distribution or source-unavailability record; raw source preserved. Closest text matches are candidates, not automatic merges."
21,Zhu 2022,12,373;374;375,AMBIGUOUS_HOLD,,"Study-level review: distinct result, time window, arm, distribution or source-unavailability record; raw source preserved. Closest text matches are candidates, not automatic merges."
22,Zhu 2022,12,373;374;375,AMBIGUOUS_HOLD,,"Study-level review: distinct result, time window, arm, distribution or source-unavailability record; raw source preserved. Closest text matches are candidates, not automatic merges."
23,Zhu 2022,12,19;21;23,ADDED,,"Study-level review: distinct result, time window, arm, distribution or source-unavailability record; raw source preserved. Closest text matches are candidates, not automatic merges."
24,Zhu 2022,12,20;22;24,ADDED,,"Study-level review: distinct result, time window, arm, distribution or source-unavailability record; raw source preserved. Closest text matches are candidates, not automatic merges."
25,Zhu 2022,12,376;377;378,ADDED,,"Study-level review: distinct result, time window, arm, distribution or source-unavailability record; raw source preserved. Closest text matches are candidates, not automatic merges."
26,Zhu 2022,12,20;22;24,ADDED,,"Study-level review: distinct result, time window, arm, distribution or source-unavailability record; raw source preserved. Closest text matches are candidates, not automatic merges."
27,Zhu 2022,12,20;22;24,ADDED,,"Study-level review: distinct result, time window, arm, distribution or source-unavailability record; raw source preserved. Closest text matches are candidates, not automatic merges."
28,Zhu 2022,12,19;21;23,ADDED,,"Study-level review: distinct result, time window, arm, distribution or source-unavailability record; raw source preserved. Closest text matches are candidates, not automatic merges."
29,Zhu 2022,12,20;22;24,ADDED,,"Study-level review: distinct result, time window, arm, distribution or source-unavailability record; raw source preserved. Closest text matches are candidates, not automatic merges."
30,Zhu 2022,12,376;377;378,ADDED,,"Study-level review: distinct result, time window, arm, distribution or source-unavailability record; raw source preserved. Closest text matches are candidates, not automatic merges."
31,Zhu 2022,12,20;22;24,ADDED,,"Study-level review: distinct result, time window, arm, distribution or source-unavailability record; raw source preserved. Closest text matches are candidates, not automatic merges."
32,Zhu 2022,12,20;22;24,ADDED,,"Study-level review: distinct result, time window, arm, distribution or source-unavailability record; raw source preserved. Closest text matches are candidates, not automatic merges."
33,Zhu 2022,12,19;21;23,ADDED,,"Study-level review: distinct result, time window, arm, distribution or source-unavailability record; raw source preserved. Closest text matches are candidates, not automatic merges."
34,Zhu 2022,12,20;22;24,ADDED,,"Study-level review: distinct result, time window, arm, distribution or source-unavailability record; raw source preserved. Closest text matches are candidates, not automatic merges."
35,Zhu 2022,12,376;377;378,ADDED,,"Study-level review: distinct result, time window, arm, distribution or source-unavailability record; raw source preserved. Closest text matches are candidates, not automatic merges."
36,Zhu 2022,12,20;22;24,ADDED,,"Study-level review: distinct result, time window, arm, distribution or source-unavailability record; raw source preserved. Closest text matches are candidates, not automatic merges."
37,Zhu 2022,12,20;22;24,ADDED,,"Study-level review: distinct result, time window, arm, distribution or source-unavailability record; raw source preserved. Closest text matches are candidates, not automatic merges."
38,Zhu 2022,12,19;21;23,ADDED,,"Study-level review: distinct result, time window, arm, distribution or source-unavailability record; raw source preserved. Closest text matches are candidates, not automatic merges."
39,Zhu 2022,12,20;22;24,ADDED,,"Study-level review: distinct result, time window, arm, distribution or source-unavailability record; raw source preserved. Closest text matches are candidates, not automatic merges."
40,Zhu 2022,12,20;22;24,ADDED,,"Study-level review: distinct result, time window, arm, distribution or source-unavailability record; raw source preserved. Closest text matches are candidates, not automatic merges."
41,Zhu 2022,12,19;21;23,ADDED,,"Study-level review: distinct result, time window, arm, distribution or source-unavailability record; raw source preserved. Closest text matches are candidates, not automatic merges."
42,Zhu 2022,12,20;22;24,ADDED,,"Study-level review: distinct result, time window, arm, distribution or source-unavailability record; raw source preserved. Closest text matches are candidates, not automatic merges."
43,Zhu 2022,12,20;22;24,ADDED,,"Study-level review: distinct result, time window, arm, distribution or source-unavailability record; raw source preserved. Closest text matches are candidates, not automatic merges."
44,Zhu 2022,12,19;21;23,ADDED,,"Study-level review: distinct result, time window, arm, distribution or source-unavailability record; raw source preserved. Closest text matches are candidates, not automatic merges."
45,Zhu 2022,12,20;22;24,ADDED,,"Study-level review: distinct result, time window, arm, distribution or source-unavailability record; raw source preserved. Closest text matches are candidates, not automatic merges."
46,Zhu 2022,12,20;22;24,ADDED,,"Study-level review: distinct result, time window, arm, distribution or source-unavailability record; raw source preserved. Closest text matches are candidates, not automatic merges."
47,Zhu 2022,12,19;21;23,ADDED,,"Study-level review: distinct result, time window, arm, distribution or source-unavailability record; raw source preserved. Closest text matches are candidates, not automatic merges."
48,Zhu 2022,12,20;22;24,ADDED,,"Study-level review: distinct result, time window, arm, distribution or source-unavailability record; raw source preserved. Closest text matches are candidates, not automatic merges."
49,Zhu 2022,12,20;22;24,ADDED,,"Study-level review: distinct result, time window, arm, distribution or source-unavailability record; raw source preserved. Closest text matches are candidates, not automatic merges."
50,Zhu 2022,12,20;22;24,ADDED,,"Study-level review: distinct result, time window, arm, distribution or source-unavailability record; raw source preserved. Closest text matches are candidates, not automatic merges."
51,Zhu 2022,12,20;22;24,ADDED,,"Study-level review: distinct result, time window, arm, distribution or source-unavailability record; raw source preserved. Closest text matches are candidates, not automatic merges."
52,Zhu 2022,12,19;21;23,ADDED,,"Study-level review: distinct result, time window, arm, distribution or source-unavailability record; raw source preserved. Closest text matches are candidates, not automatic merges."
53,Zhu 2022,12,20;22;24,ADDED,,"Study-level review: distinct result, time window, arm, distribution or source-unavailability record; raw source preserved. Closest text matches are candidates, not automatic merges."
54,Zhu 2022,12,20;22;24,ADDED,,"Study-level review: distinct result, time window, arm, distribution or source-unavailability record; raw source preserved. Closest text matches are candidates, not automatic merges."
55,Zhu 2022,12,20;22;24,ADDED,,"Study-level review: distinct result, time window, arm, distribution or source-unavailability record; raw source preserved. Closest text matches are candidates, not automatic merges."
56,Zhu 2022,12,20;22;24,ADDED,,"Study-level review: distinct result, time window, arm, distribution or source-unavailability record; raw source preserved. Closest text matches are candidates, not automatic merges."
57,Zhu 2022,12,19;21;23,ADDED,,"Study-level review: distinct result, time window, arm, distribution or source-unavailability record; raw source preserved. Closest text matches are candidates, not automatic merges."
58,Zhu 2022,12,20;22;24,ADDED,,"Study-level review: distinct result, time window, arm, distribution or source-unavailability record; raw source preserved. Closest text matches are candidates, not automatic merges."
59,Zhu 2022,12,20;22;24,ADDED,,"Study-level review: distinct result, time window, arm, distribution or source-unavailability record; raw source preserved. Closest text matches are candidates, not automatic merges."
60,Zhu 2022,12,20;22;24,ADDED,,"Study-level review: distinct result, time window, arm, distribution or source-unavailability record; raw source preserved. Closest text matches are candidates, not automatic merges."
61,Zhu 2022,12,20;22;24,ADDED,,"Study-level review: distinct result, time window, arm, distribution or source-unavailability record; raw source preserved. Closest text matches are candidates, not automatic merges."
62,Zhu 2022,12,19;21;23,ADDED,,"Study-level review: distinct result, time window, arm, distribution or source-unavailability record; raw source preserved. Closest text matches are candidates, not automatic merges."
63,Zhu 2022,12,20;22;24,ADDED,,"Study-level review: distinct result, time window, arm, distribution or source-unavailability record; raw source preserved. Closest text matches are candidates, not automatic merges."
64,Zhu 2022,12,19;21;23,ADDED,,"Study-level review: distinct result, time window, arm, distribution or source-unavailability record; raw source preserved. Closest text matches are candidates, not automatic merges."
65,Zhu 2022,12,20;22;24,ADDED,,"Study-level review: distinct result, time window, arm, distribution or source-unavailability record; raw source preserved. Closest text matches are candidates, not automatic merges."
66,Zhu 2022,12,19;21;23,ADDED,,"Study-level review: distinct result, time window, arm, distribution or source-unavailability record; raw source preserved. Closest text matches are candidates, not automatic merges."
67,Zhu 2022,12,20;22;24,ADDED,,"Study-level review: distinct result, time window, arm, distribution or source-unavailability record; raw source preserved. Closest text matches are candidates, not automatic merges."
68,Yang 2020,2,2;380,ADDED,,"Study-level review: distinct result, time window, arm, distribution or source-unavailability record; raw source preserved. Closest text matches are candidates, not automatic merges."
69,Yang 2020,2,2;380,ADDED,,"Study-level review: distinct result, time window, arm, distribution or source-unavailability record; raw source preserved. Closest text matches are candidates, not automatic merges."
70,Yang 2020,2,2;380,ADDED,,"Study-level review: distinct result, time window, arm, distribution or source-unavailability record; raw source preserved. Closest text matches are candidates, not automatic merges."
71,Yang 2020,2,2;380,ADDED,,"Study-level review: distinct result, time window, arm, distribution or source-unavailability record; raw source preserved. Closest text matches are candidates, not automatic merges."
72,Yang 2020,2,2;380,ADDED,,"Study-level review: distinct result, time window, arm, distribution or source-unavailability record; raw source preserved. Closest text matches are candidates, not automatic merges."
73,Yang 2020,2,2;380,ADDED,,"Study-level review: distinct result, time window, arm, distribution or source-unavailability record; raw source preserved. Closest text matches are candidates, not automatic merges."
74,Yang 2020,2,380;2,AMBIGUOUS_HOLD,,"Study-level review: distinct result, time window, arm, distribution or source-unavailability record; raw source preserved. Closest text matches are candidates, not automatic merges."
75,Yang 2020,2,2;380,NOT_ANALYSIS_ELIGIBLE,,"Study-level review: distinct result, time window, arm, distribution or source-unavailability record; raw source preserved. Closest text matches are candidates, not automatic merges."
76,Yang 2020,2,2;380,NOT_ANALYSIS_ELIGIBLE,,"Study-level review: distinct result, time window, arm, distribution or source-unavailability record; raw source preserved. Closest text matches are candidates, not automatic merges."
77,Yang 2020,2,2;380,ADDED,,"Study-level review: distinct result, time window, arm, distribution or source-unavailability record; raw source preserved. Closest text matches are candidates, not automatic merges."
78,Yang 2020,2,380;2,ADDED,,"Study-level review: distinct result, time window, arm, distribution or source-unavailability record; raw source preserved. Closest text matches are candidates, not automatic merges."
79,Yang 2020,2,2;380,NOT_ANALYSIS_ELIGIBLE,,"Study-level review: distinct result, time window, arm, distribution or source-unavailability record; raw source preserved. Closest text matches are candidates, not automatic merges."
80,Yang 2020,2,2;380,NOT_ANALYSIS_ELIGIBLE,,"Study-level review: distinct result, time window, arm, distribution or source-unavailability record; raw source preserved. Closest text matches are candidates, not automatic merges."
81,Yang 2020,2,2;380,NOT_ANALYSIS_ELIGIBLE,,"Study-level review: distinct result, time window, arm, distribution or source-unavailability record; raw source preserved. Closest text matches are candidates, not automatic merges."
82,Yang 2020,2,2;380,AMBIGUOUS_HOLD,,"Study-level review: distinct result, time window, arm, distribution or source-unavailability record; raw source preserved. Closest text matches are candidates, not automatic merges."
83,Yang 2020,2,2;380,ADDED,,"Study-level review: distinct result, time window, arm, distribution or source-unavailability record; raw source preserved. Closest text matches are candidates, not automatic merges."
84,Yang 2020,2,380;2,ADDED,,"Study-level review: distinct result, time window, arm, distribution or source-unavailability record; raw source preserved. Closest text matches are candidates, not automatic merges."
85,Yang 2020,2,2;380,NOT_ANALYSIS_ELIGIBLE,,"Study-level review: distinct result, time window, arm, distribution or source-unavailability record; raw source preserved. Closest text matches are candidates, not automatic merges."
86,Yang 2020,2,2;380,NOT_ANALYSIS_ELIGIBLE,,"Study-level review: distinct result, time window, arm, distribution or source-unavailability record; raw source preserved. Closest text matches are candidates, not automatic merges."
87,Yang 2020,2,2;380,AMBIGUOUS_HOLD,,"Study-level review: distinct result, time window, arm, distribution or source-unavailability record; raw source preserved. Closest text matches are candidates, not automatic merges."
88,Yang 2020,2,2;380,AMBIGUOUS_HOLD,,"Study-level review: distinct result, time window, arm, distribution or source-unavailability record; raw source preserved. Closest text matches are candidates, not automatic merges."
89,Yang 2020,2,2;380,ADDED,,"Study-level review: distinct result, time window, arm, distribution or source-unavailability record; raw source preserved. Closest text matches are candidates, not automatic merges."
90,Yang 2020,2,380;2,ADDED,,"Study-level review: distinct result, time window, arm, distribution or source-unavailability record; raw source preserved. Closest text matches are candidates, not automatic merges."
91,Yang 2020,2,2;380,NOT_ANALYSIS_ELIGIBLE,,"Study-level review: distinct result, time window, arm, distribution or source-unavailability record; raw source preserved. Closest text matches are candidates, not automatic merges."
92,Yang 2020,2,2;380,NOT_ANALYSIS_ELIGIBLE,,"Study-level review: distinct result, time window, arm, distribution or source-unavailability record; raw source preserved. Closest text matches are candidates, not automatic merges."
93,Yang 2020,2,380;2,ADDED,,"Study-level review: distinct result, time window, arm, distribution or source-unavailability record; raw source preserved. Closest text matches are candidates, not automatic merges."
94,Yang 2020,2,380;2,ADDED,,"Study-level review: distinct result, time window, arm, distribution or source-unavailability record; raw source preserved. Closest text matches are candidates, not automatic merges."
95,Pan 2023,2,379;10,AMBIGUOUS_HOLD,,"Study-level review: distinct result, time window, arm, distribution or source-unavailability record; raw source preserved. Closest text matches are candidates, not automatic merges."
96,Pan 2023,2,379;10,AMBIGUOUS_HOLD,,"Study-level review: distinct result, time window, arm, distribution or source-unavailability record; raw source preserved. Closest text matches are candidates, not automatic merges."
97,Pan 2023,2,10;379,NOT_REPORTED_ADDED,,"Study-level review: distinct result, time window, arm, distribution or source-unavailability record; raw source preserved. Closest text matches are candidates, not automatic merges."
98,Pan 2023,2,10;379,AMBIGUOUS_HOLD,,"Study-level review: distinct result, time window, arm, distribution or source-unavailability record; raw source preserved. Closest text matches are candidates, not automatic merges."
99,Pan 2023,2,10;379,ADDED,,"Study-level review: distinct result, time window, arm, distribution or source-unavailability record; raw source preserved. Closest text matches are candidates, not automatic merges."
100,Pan 2023,2,10;379,ADDED,,"Study-level review: distinct result, time window, arm, distribution or source-unavailability record; raw source preserved. Closest text matches are candidates, not automatic merges."
101,Pan 2023,2,10;379,NOT_REPORTED_ADDED,,"Study-level review: distinct result, time window, arm, distribution or source-unavailability record; raw source preserved. Closest text matches are candidates, not automatic merges."
102,Pan 2023,2,379;10,AMBIGUOUS_HOLD,,"Study-level review: distinct result, time window, arm, distribution or source-unavailability record; raw source preserved. Closest text matches are candidates, not automatic merges."
103,Pan 2023,2,10;379,ADDED,,"Study-level review: distinct result, time window, arm, distribution or source-unavailability record; raw source preserved. Closest text matches are candidates, not automatic merges."
104,Pan 2023,2,379;10,AMBIGUOUS_HOLD,,"Study-level review: distinct result, time window, arm, distribution or source-unavailability record; raw source preserved. Closest text matches are candidates, not automatic merges."
105,Pan 2023,2,10;379,ADDED,,"Study-level review: distinct result, time window, arm, distribution or source-unavailability record; raw source preserved. Closest text matches are candidates, not automatic merges."
106,Pan 2023,2,10;379,ADDED,,"Study-level review: distinct result, time window, arm, distribution or source-unavailability record; raw source preserved. Closest text matches are candidates, not automatic merges."
107,Pan 2023,2,10;379,ADDED,,"Study-level review: distinct result, time window, arm, distribution or source-unavailability record; raw source preserved. Closest text matches are candidates, not automatic merges."
108,Pan 2023,2,379;10,ADDED,,"Study-level review: distinct result, time window, arm, distribution or source-unavailability record; raw source preserved. Closest text matches are candidates, not automatic merges."
109,Pan 2023,2,379;10,ADDED,,"Study-level review: distinct result, time window, arm, distribution or source-unavailability record; raw source preserved. Closest text matches are candidates, not automatic merges."
110,Pan 2023,2,379;10,ADDED,,"Study-level review: distinct result, time window, arm, distribution or source-unavailability record; raw source preserved. Closest text matches are candidates, not automatic merges."
111,Pan 2023,2,10;379,NOT_ANALYSIS_ELIGIBLE,,"Study-level review: distinct result, time window, arm, distribution or source-unavailability record; raw source preserved. Closest text matches are candidates, not automatic merges."
112,Pan 2023,2,10;379,NOT_ANALYSIS_ELIGIBLE,,"Study-level review: distinct result, time window, arm, distribution or source-unavailability record; raw source preserved. Closest text matches are candidates, not automatic merges."
113,Pan 2023,2,10;379,NOT_ANALYSIS_ELIGIBLE,,"Study-level review: distinct result, time window, arm, distribution or source-unavailability record; raw source preserved. Closest text matches are candidates, not automatic merges."
114,Pan 2023,2,10;379,AMBIGUOUS_HOLD,,"Study-level review: distinct result, time window, arm, distribution or source-unavailability record; raw source preserved. Closest text matches are candidates, not automatic merges."
115,Pan 2023,2,379;10,ADDED,,"Study-level review: distinct result, time window, arm, distribution or source-unavailability record; raw source preserved. Closest text matches are candidates, not automatic merges."
116,Pan 2023,2,10;379,ADDED,,"Study-level review: distinct result, time window, arm, distribution or source-unavailability record; raw source preserved. Closest text matches are candidates, not automatic merges."
117,Pan 2023,2,10;379,ADDED,,"Study-level review: distinct result, time window, arm, distribution or source-unavailability record; raw source preserved. Closest text matches are candidates, not automatic merges."
118,Pan 2023,2,10;379,ADDED,,"Study-level review: distinct result, time window, arm, distribution or source-unavailability record; raw source preserved. Closest text matches are candidates, not automatic merges."
119,Pan 2023,2,10;379,ADDED,,"Study-level review: distinct result, time window, arm, distribution or source-unavailability record; raw source preserved. Closest text matches are candidates, not automatic merges."
120,Pan 2023,2,10;379,ADDED,,"Study-level review: distinct result, time window, arm, distribution or source-unavailability record; raw source preserved. Closest text matches are candidates, not automatic merges."
121,Lu 2022,6,136;134;135,NOT_ANALYSIS_ELIGIBLE,,"Study-level review: distinct result, time window, arm, distribution or source-unavailability record; raw source preserved. Closest text matches are candidates, not automatic merges."
122,Lu 2022,6,136;133;135,NOT_ANALYSIS_ELIGIBLE,,"Study-level review: distinct result, time window, arm, distribution or source-unavailability record; raw source preserved. Closest text matches are candidates, not automatic merges."
123,Lu 2022,6,134;135;133,NOT_ANALYSIS_ELIGIBLE,,"Study-level review: distinct result, time window, arm, distribution or source-unavailability record; raw source preserved. Closest text matches are candidates, not automatic merges."
124,Lu 2022,6,133;136;135,NOT_ANALYSIS_ELIGIBLE,,"Study-level review: distinct result, time window, arm, distribution or source-unavailability record; raw source preserved. Closest text matches are candidates, not automatic merges."
125,Lu 2022,6,134;135;133,NOT_ANALYSIS_ELIGIBLE,,"Study-level review: distinct result, time window, arm, distribution or source-unavailability record; raw source preserved. Closest text matches are candidates, not automatic merges."
126,Lu 2022,6,133;136;135,NOT_ANALYSIS_ELIGIBLE,,"Study-level review: distinct result, time window, arm, distribution or source-unavailability record; raw source preserved. Closest text matches are candidates, not automatic merges."
127,Lu 2022,6,133;137;136,ADDED,,"Study-level review: distinct result, time window, arm, distribution or source-unavailability record; raw source preserved. Closest text matches are candidates, not automatic merges."
128,Lu 2022,6,133;136;137,ADDED,,"Study-level review: distinct result, time window, arm, distribution or source-unavailability record; raw source preserved. Closest text matches are candidates, not automatic merges."
129,Lu 2022,6,133;136;137,ADDED,,"Study-level review: distinct result, time window, arm, distribution or source-unavailability record; raw source preserved. Closest text matches are candidates, not automatic merges."
130,Lu 2022,6,133;136;134,AMBIGUOUS_HOLD,,"Study-level review: distinct result, time window, arm, distribution or source-unavailability record; raw source preserved. Closest text matches are candidates, not automatic merges."
131,Lu 2022,6,133;136;134,NOT_ANALYSIS_ELIGIBLE,,"Study-level review: distinct result, time window, arm, distribution or source-unavailability record; raw source preserved. Closest text matches are candidates, not automatic merges."
132,Lu 2022,6,133;136;134,NOT_ANALYSIS_ELIGIBLE,,"Study-level review: distinct result, time window, arm, distribution or source-unavailability record; raw source preserved. Closest text matches are candidates, not automatic merges."
133,Lu 2022,6,136;137;134,NOT_ANALYSIS_ELIGIBLE,,"Study-level review: distinct result, time window, arm, distribution or source-unavailability record; raw source preserved. Closest text matches are candidates, not automatic merges."
134,Lu 2022,6,137;136;138,NOT_ANALYSIS_ELIGIBLE,,"Study-level review: distinct result, time window, arm, distribution or source-unavailability record; raw source preserved. Closest text matches are candidates, not automatic merges."
135,Lu 2022,6,136;137;134,NOT_ANALYSIS_ELIGIBLE,,"Study-level review: distinct result, time window, arm, distribution or source-unavailability record; raw source preserved. Closest text matches are candidates, not automatic merges."
136,Lu 2022,6,137;136;138,NOT_ANALYSIS_ELIGIBLE,,"Study-level review: distinct result, time window, arm, distribution or source-unavailability record; raw source preserved. Closest text matches are candidates, not automatic merges."
137,Lu 2022,6,134;135;133,ADDED,,"Study-level review: distinct result, time window, arm, distribution or source-unavailability record; raw source preserved. Closest text matches are candidates, not automatic merges."
138,Li 2021,5,156;153;154,ALREADY_PRESENT,155,Exact semantic and numerical match; retain existing row
139,Li 2021,5,154;152;153,ADDED,,"Study-level review: distinct result, time window, arm, distribution or source-unavailability record; raw source preserved. Closest text matches are candidates, not automatic merges."
140,Li 2021,5,156;153;154,ADDED,,"Study-level review: distinct result, time window, arm, distribution or source-unavailability record; raw source preserved. Closest text matches are candidates, not automatic merges."
141,Li 2021,5,154;152;153,ADDED,,"Study-level review: distinct result, time window, arm, distribution or source-unavailability record; raw source preserved. Closest text matches are candidates, not automatic merges."
142,Li 2021,5,156;153;154,ADDED,,"Study-level review: distinct result, time window, arm, distribution or source-unavailability record; raw source preserved. Closest text matches are candidates, not automatic merges."
143,Li 2021,5,156;154;152,ADDED,,"Study-level review: distinct result, time window, arm, distribution or source-unavailability record; raw source preserved. Closest text matches are candidates, not automatic merges."
144,Li 2021,5,156;153;154,ADDED,,"Study-level review: distinct result, time window, arm, distribution or source-unavailability record; raw source preserved. Closest text matches are candidates, not automatic merges."
145,Li 2021,5,156;154;152,ADDED,,"Study-level review: distinct result, time window, arm, distribution or source-unavailability record; raw source preserved. Closest text matches are candidates, not automatic merges."
146,Li 2021,5,156;153;154,ADDED,,"Study-level review: distinct result, time window, arm, distribution or source-unavailability record; raw source preserved. Closest text matches are candidates, not automatic merges."
147,Li 2021,5,156;154;152,ADDED,,"Study-level review: distinct result, time window, arm, distribution or source-unavailability record; raw source preserved. Closest text matches are candidates, not automatic merges."
148,Li 2021,5,156;153;154,ADDED,,"Study-level review: distinct result, time window, arm, distribution or source-unavailability record; raw source preserved. Closest text matches are candidates, not automatic merges."
149,Li 2021,5,156;154;152,ADDED,,"Study-level review: distinct result, time window, arm, distribution or source-unavailability record; raw source preserved. Closest text matches are candidates, not automatic merges."
150,Li 2021,5,156;153;152,ADDED,,"Study-level review: distinct result, time window, arm, distribution or source-unavailability record; raw source preserved. Closest text matches are candidates, not automatic merges."
151,Gu 2019,8,221;225;228,ADDED,,"Study-level review: distinct result, time window, arm, distribution or source-unavailability record; raw source preserved. Closest text matches are candidates, not automatic merges."
152,Gu 2019,8,221;226;225,ADDED,,"Study-level review: distinct result, time window, arm, distribution or source-unavailability record; raw source preserved. Closest text matches are candidates, not automatic merges."
153,Gu 2019,8,221;227;225,GRAPH_ONLY_ADDED,,"Study-level review: distinct result, time window, arm, distribution or source-unavailability record; raw source preserved. Closest text matches are candidates, not automatic merges."
154,Gu 2019,8,221;227;225,GRAPH_ONLY_ADDED,,"Study-level review: distinct result, time window, arm, distribution or source-unavailability record; raw source preserved. Closest text matches are candidates, not automatic merges."
155,Gu 2019,8,227;225;226,GRAPH_ONLY_ADDED,,"Study-level review: distinct result, time window, arm, distribution or source-unavailability record; raw source preserved. Closest text matches are candidates, not automatic merges."
156,Gu 2019,8,228;225;226,AMBIGUOUS_HOLD,,"Study-level review: distinct result, time window, arm, distribution or source-unavailability record; raw source preserved. Closest text matches are candidates, not automatic merges."
157,Gu 2019,8,223;224;228,ADDED,,"Study-level review: distinct result, time window, arm, distribution or source-unavailability record; raw source preserved. Closest text matches are candidates, not automatic merges."
158,Gu 2019,8,222;223;224,ADDED,,"Study-level review: distinct result, time window, arm, distribution or source-unavailability record; raw source preserved. Closest text matches are candidates, not automatic merges."
159,Gu 2019,8,222;224;223,ADDED,,"Study-level review: distinct result, time window, arm, distribution or source-unavailability record; raw source preserved. Closest text matches are candidates, not automatic merges."
160,Gu 2019,8,223;224;228,ADDED,,"Study-level review: distinct result, time window, arm, distribution or source-unavailability record; raw source preserved. Closest text matches are candidates, not automatic merges."
161,Huang 2025,3,200;198;199,NOT_ANALYSIS_ELIGIBLE,,"Study-level review: distinct result, time window, arm, distribution or source-unavailability record; raw source preserved. Closest text matches are candidates, not automatic merges."
162,Huang 2025,3,198;200;199,NOT_ANALYSIS_ELIGIBLE,,"Study-level review: distinct result, time window, arm, distribution or source-unavailability record; raw source preserved. Closest text matches are candidates, not automatic merges."
163,Huang 2025,3,198;200;199,NOT_ANALYSIS_ELIGIBLE,,"Study-level review: distinct result, time window, arm, distribution or source-unavailability record; raw source preserved. Closest text matches are candidates, not automatic merges."
164,Huang 2025,3,200;199;198,NOT_ANALYSIS_ELIGIBLE,,"Study-level review: distinct result, time window, arm, distribution or source-unavailability record; raw source preserved. Closest text matches are candidates, not automatic merges."
165,Huang 2025,3,200;199;198,NOT_ANALYSIS_ELIGIBLE,,"Study-level review: distinct result, time window, arm, distribution or source-unavailability record; raw source preserved. Closest text matches are candidates, not automatic merges."
166,Huang 2025,3,200;199;198,NOT_ANALYSIS_ELIGIBLE,,"Study-level review: distinct result, time window, arm, distribution or source-unavailability record; raw source preserved. Closest text matches are candidates, not automatic merges."
167,Huang 2025,3,199;198;200,NOT_ANALYSIS_ELIGIBLE,,"Study-level review: distinct result, time window, arm, distribution or source-unavailability record; raw source preserved. Closest text matches are candidates, not automatic merges."
168,Huang 2025,3,200;198;199,ADDED,,"Study-level review: distinct result, time window, arm, distribution or source-unavailability record; raw source preserved. Closest text matches are candidates, not automatic merges."
169,Huang 2025,3,198;199;200,ADDED,,"Study-level review: distinct result, time window, arm, distribution or source-unavailability record; raw source preserved. Closest text matches are candidates, not automatic merges."
