previous_covidence_number,next_covidence_number,missing_number_or_range,screening_sequence,previous_vote_registered,queue_order_confirmed,visible_record_bypassed,status,action_taken,timestamp,notes
"570","572","571","90","yes","yes","no","explained_as_queue_number_gap","Continued to distinct #572 after #570 detached.","2026-07-26T11:04:39.135Z","No visible unscreened citation was bypassed."
"582","639","583-638","101","yes","yes","no","explained_as_queue_number_gap","Continued to distinct #639 after #582 detached and the active queue remained ascending.","2026-07-26T11:08:12.910Z","No visible unscreened citation was bypassed; Covidence numbers need not be consecutive."
"640","642","641","103","yes","yes","no","explained_as_queue_number_gap","Continued to distinct #642 after #640 detached.","2026-07-26T11:09:03.350Z","No visible unscreened citation was bypassed."
"644","646","645","106","yes","yes","no","explained_as_queue_number_gap","Continued to distinct #646 after #644 detached.","2026-07-26T11:09:58.344Z","No visible unscreened citation was bypassed."
"655","657","","","yes","","","","","","Covidence ID absent from current pending queue; no card was bypassed."
"657","659","","","yes","","","","","","Covidence ID absent from current pending queue; no card was bypassed."
"666","668","","","yes","","","","","","Covidence ID absent from current pending queue; no card was bypassed."
"674","676","","","yes","","","","","","Covidence ID absent from current pending queue; no card was bypassed."
"679","681","","","yes","","","","","","Covidence ID absent from current pending queue; no card was bypassed."
"687","689","","","yes","","","","","","Covidence ID absent from current pending queue; no card was bypassed."
"696","749","","","yes","","","","","","Covidence ID range absent from current pending queue; no card was bypassed."
"760","762","","","yes","","","","","","Covidence ID absent from current pending queue; no card was bypassed."
"780","782","","","yes","","","","","","Covidence ID absent from current pending queue; no card was bypassed."
"800","852","","","yes","","","","","","Covidence ID range absent from current pending queue; no card was bypassed."
"866","868","","","yes","","","","","","Covidence ID absent from current pending queue; no card was bypassed."
"898","900","","","yes","","","","","","Covidence ID absent from current pending queue; no card was bypassed."
"903","966","","","yes","","","","","","Covidence ID range absent from current pending queue; no card was bypassed."
"970","972","","","yes","","","","","","Covidence ID absent from current pending queue; no card was bypassed."
"1011","1013","","","yes","","","","","","Covidence ID absent from current pending queue; no card was bypassed."
"1013","1015","","","yes","","","","","","Covidence ID absent from current pending queue; no card was bypassed."
"1019","1096","","","yes","","","","","","Covidence ID range absent from current pending queue; no card was bypassed."
"1100","1102","","","yes","","","","","","Covidence ID absent from current pending queue; no card was bypassed."
"1102","1105","","","yes","","","","","","Covidence ID absent from current pending queue; no card was bypassed."
"1107","1110","","","yes","","","","","","Covidence ID absent from current pending queue; no card was bypassed."
"1110","1113","","","yes","","","","","","Covidence ID absent from current pending queue; no card was bypassed."
"1117","1119","","","yes","","","","","","Covidence ID absent from current pending queue; no card was bypassed."
"1131","1136","","","yes","","","","","","Covidence ID absent from current pending queue; no card was bypassed."
"1138","1140","","","yes","","","","","","Covidence ID absent from current pending queue; no card was bypassed."
"1141","1144","","","yes","","","","","","Covidence ID absent from current pending queue; no card was bypassed."
"1145","1154","","","yes","","","","","","Covidence ID absent from current pending queue; no card was bypassed."
"1157","1159","","","yes","","","","","","Covidence ID absent from current pending queue; no card was bypassed."
"1162","1166","","","yes","","","","","","Covidence ID absent from current pending queue; no card was bypassed."
"1167","1169","","","yes","","","","","","Covidence ID absent from current pending queue; no card was bypassed."
"1173","1243","","","yes","","","","","","Covidence ID range absent from current pending queue; no card was bypassed."
"1245","1247","","","yes","","","","","","Covidence ID absent from current pending queue; no card was bypassed."
"1251","1256","","","yes","","","","","","Covidence ID absent from current pending queue; no card was bypassed."
"1256","1259","","","yes","","","","","","Covidence ID absent from current pending queue; no card was bypassed."
"1262","1264","","","yes","","","","","","Covidence ID absent from current pending queue; no card was bypassed."
"1283","1288","","","yes","","","","","","Covidence ID absent from current pending queue; no card was bypassed."
"1289","1293","","","yes","","","","","","Covidence ID absent from current pending queue; no card was bypassed."
"1293","1295","","","yes","","","","","","Covidence ID absent from current pending queue; no card was bypassed."
"1296","1298","","","yes","","","","","","Covidence ID absent from current pending queue; no card was bypassed."
"1301","1307","","","yes","","","","","","Covidence ID absent from current pending queue; no card was bypassed."
"1307","1314","","","yes","","","","","","Covidence ID absent from current pending queue; no card was bypassed."
"1314","1319","","","yes","","","","","","Covidence ID absent from current pending queue; no card was bypassed."
"1323","1325","","","yes","","","","","","Covidence ID absent from current pending queue; no card was bypassed."
"1325","1329","","","yes","","","","","","Covidence ID absent from current pending queue; no card was bypassed."
"1329","1495","","","yes","","","","","","Covidence ID range absent from current pending queue; no card was bypassed."
"1497","1499","","","yes","","","","","","Covidence ID absent from current pending queue; no card was bypassed."
"1500","1502","","","yes","","","","","","Covidence ID absent from current pending queue; no card was bypassed."
"1503","1506","","","yes","","","","","","Covidence ID absent from current pending queue; no card was bypassed."
"1506","1508","","","yes","","","","","","Covidence ID absent from current pending queue; no card was bypassed."
"1509","1511","","","yes","","","","","","Covidence ID absent from current pending queue; no card was bypassed."
"1512","1514","","","yes","","","","","","Covidence ID absent from current pending queue; no card was bypassed."
"1519","1523","","","yes","","","","","","Covidence ID absent from current pending queue; no card was bypassed."
"1523","1525","","","yes","","","","","","Covidence ID absent from current pending queue; no card was bypassed."
"1539","1541","","","yes","","","","","","Covidence ID absent from current pending queue; no card was bypassed."
"1543","1546","","","yes","","","","","","Covidence ID absent from current pending queue; no card was bypassed."
"1547","1549","","","yes","","","","","","Covidence ID absent from current pending queue; no card was bypassed."
"1553","1556","","","yes","","","","","","Covidence ID absent from current pending queue; no card was bypassed."
"1557","1559","","","yes","","","","","","Covidence ID absent from current pending queue; no card was bypassed."
"1564","1630","","","yes","","","","","","Covidence ID range absent from current pending queue; no card was bypassed."
"1634","1636","","","yes","","","","","","Covidence ID absent from current pending queue; no card was bypassed."
"1649","1651","","","yes","","","","","","Covidence ID absent from current pending queue; no card was bypassed."
"1654","1656","","","yes","","","","","","Covidence ID absent from current pending queue; no card was bypassed."
"1677","1679","","","yes","","","","","","Covidence ID absent from current pending queue; no card was bypassed."
"1679","1690","","","yes","","","","","","Covidence ID absent from current pending queue; no card was bypassed."
"1690","1692","","","yes","","","","","","Covidence ID absent from current pending queue; no card was bypassed."
"1692","1695","","","yes","","","","","","Covidence ID absent from current pending queue; no card was bypassed."
"1696","1702","","","yes","","","","","","Covidence ID absent from current pending queue; no card was bypassed."
"1702","1771","","","yes","","","","","","Observed after the 500th vote; next pending record was not screened."
