screening_sequence,covidence_number,title,first_author,publication_year,publication_language,abstract_available_yes_no,decision_yes_maybe_no,primary_reason_code,evidence_supporting_decision,concise_private_rationale,confidence_high_medium_low,protocol_or_results,general_anaesthesia_yes_no_unclear,randomized_yes_no_unclear,active_comparator_type,common_background_care_balanced_yes_no_unclear,ERAS_identical_between_groups_yes_no_not_applicable_unclear,intervention_effect_separable_yes_no_unclear,timing_eligible_yes_no_unclear,clinical_outcome_reported_yes_no_unclear,surrogate_only_yes_no_unclear,translation_required_yes_no,possible_companion_report_yes_no,post_vote_timestamp,interface_issue,notes
14,214,Electroacupuncture and Growth Hormone for Quadriceps Atrophy Management Post-Anterior Cruciate Ligament Reconstruction: A Prospective Study.,Xu,2024,English,yes,No,EXCLUDE_TIMING,EA treated established quadriceps atrophy during rehabilitation after ACL reconstruction with outcomes at three and six months.,The record strongly indicates later postoperative rehabilitation rather than stimulation by postoperative hour 24.,high,results,unclear,yes,routine rehabilitation plus identical growth hormone,yes,not_applicable,yes,no,yes,no,no,no,2026-07-23T13:03:47.361Z,,
15,215,Transcutaneous electrical acupoint stimulation to prevent dizziness after microvascular decompression for hemifacial spasm: A randomized controlled trial.,Hou,2024,English,yes,Yes,INCLUDE_CLEAR,Adults undergoing microvascular decompression under total intravenous general anaesthesia were randomized to TEAS at GB20 and PC6 or sham immediately after extubation.,All core criteria are explicit with eligible early postoperative timing and clinical outcomes.,high,results,yes,yes,sham TEAS,yes,not_applicable,yes,yes,yes,no,no,no,2026-07-23T13:04:17.659Z,,
16,217,[Effect of transcutaneous electrical acupoint stimulation on postoperative cough in lung cancer patients undergoing video-assisted thoracoscopic surgery].,Wang,2024,Chinese,yes,Yes,INCLUDE_CLEAR,Randomized VATS trial compares TEAS at named body acupoints with identical sham pads and reports cough and multiple clinical recovery outcomes.,Eligible separable TEAS contrast with preoperative stimulation and highly evident general anaesthesia.,high,results,yes,yes,sham TEAS,yes,not_applicable,yes,yes,yes,no,yes,no,2026-07-23T13:04:47.663Z,,
17,219,Intraoperative transcutaneous electroacupoint stimulation on early postoperative fatigue in patients with Parkinson's disease undergoing deep brain stimulation surgery.,Fu,2024,English,yes,Yes,INCLUDE_CLEAR,Randomized DBS-surgery trial compares intraoperative TEAS at ST36 and SP6 with inactive surface electrodes and reports fatigue and recovery outcomes.,Eligible TEAS with separable sham control; BIS-guided propofol-remifentanil anaesthesia strongly supports general anaesthesia during the operative course.,high,results,yes,yes,inactive electrode sham,yes,not_applicable,yes,yes,yes,no,no,no,2026-07-23T13:05:42.617Z,,
18,220,[Clinical study of electroacupuncture therapy on postoperative rehabilitation of patients with knee fractures].,Li,2024,Chinese,yes,Maybe,UNCERTAIN_GENERAL_ANAESTHESIA,Randomly assigned surgical patients received identical conventional rehabilitation with or without postoperative EA; anaesthetic technique is not reported.,The EA contrast and early postoperative rehabilitation are plausible but knee-fracture surgery could use general or regional anaesthesia.,medium,results,unclear,yes,usual rehabilitation alone,yes,not_applicable,yes,yes,yes,no,yes,no,2026-07-23T13:06:32.732Z,,
19,221,"Transcutaneous electric nerve stimulation of acupuncture points improves tolerance in adults undergoing diagnostic upper gastrointestinal endoscopy: a single-center, double-blinded, randomized controlled trial.",Chuah,2024,English,yes,No,EXCLUDE_NON_SURGICAL,The trial concerns non-sedated diagnostic upper gastrointestinal endoscopy rather than operative surgery.,Non-operative diagnostic procedure is outside scope.,high,results,no,yes,placebo Acu-TENS,yes,not_applicable,yes,yes,yes,no,no,no,2026-07-23T13:06:59.780Z,,
20,222,[Electroacupuncture improves peripheral neuropathy by up-regulating Sirt1/PGC-1α/TFAM pathway in type 2 diabetes rats with peripheral neuropathy].,Yuan,2024,Chinese,yes,No,EXCLUDE_ANIMAL,The experiment was conducted in male SD rats with induced diabetic peripheral neuropathy.,Non-human study.,high,results,unclear,unclear,model control,yes,not_applicable,yes,unclear,no,yes,yes,no,2026-07-23T13:07:28.389Z,,
21,223,Effect of transcutaneous electrical acupoint stimulation on postoperative urinary function in elderly patients undergoing total hip arthroplasty.,Tu,2024,Chinese,yes,No,EXCLUDE_NO_GENERAL_ANAESTHESIA,The abstract explicitly reports fascia iliaca block plus subarachnoid block anaesthesia for total hip arthroplasty.,The operation used regional and neuraxial anaesthesia without general anaesthesia.,high,results,no,yes,sham TEAS,yes,not_applicable,yes,yes,yes,no,yes,no,2026-07-23T13:08:24.199Z,,
22,224,Effects of electroacupuncture on chronic urinary retention after pelvic or lumbosacral tumor resection surgeries: a retrospective cohort study.,Yang,2024,English,yes,No,EXCLUDE_TIMING,EA was administered three times weekly for 2–12 weeks to treat established chronic urinary retention after prior tumor surgery.,Treatment targets a chronic postoperative condition outside the acute 24-hour perioperative window.,high,results,unclear,no,no comparator,no,not_applicable,unclear,no,yes,no,no,no,2026-07-23T13:08:55.785Z,,
23,226,Comparison of Low-Frequency or High-Frequency Electrical Acupoint Stimulation on Hypotension After Spinal Anesthesia in Parturients: A Prospective Randomized Controlled Clinical Trial.,Liu,2024,English,yes,No,EXCLUDE_NO_GENERAL_ANAESTHESIA,Cesarean delivery was explicitly conducted under spinal anaesthesia.,The operative anaesthetic was neuraxial without general anaesthesia.,high,results,no,yes,no treatment,yes,not_applicable,yes,yes,yes,no,no,no,2026-07-23T13:09:24.657Z,,NCT05724095
24,228,"Effect of transcutaneous electrical acupoint stimulation based on the theory of ""qi ascending and descending movement"" on autonomic nervous system and gastrointestinal function in patients after general anesthesia laparoscopic cholecystectomy.",Cai,2024,Chinese,yes,Yes,INCLUDE_CLEAR,Patients undergoing laparoscopic cholecystectomy under explicit general anaesthesia were randomized to two TEAS regimens or no stimulation with clinical recovery outcomes.,All core criteria are explicit and the TEAS contrasts are independently estimable.,high,results,yes,yes,no stimulation,yes,not_applicable,yes,yes,yes,no,yes,no,2026-07-23T13:09:57.761Z,,
25,229,Clinical study of electroacupuncture on the recovery of gastrointestinal dysfunction after laparoscopic surgery for gastrointestinal cancer - study protocol for a randomized controlled trial.,Chung,2024,English,yes,No,EXCLUDE_PROTOCOL_NO_RESULTS,The title states study protocol and the abstract uses future-tense intervention and outcome language.,Protocol without participant outcome results.,high,protocol,yes,yes,placebo electroacupuncture,yes,yes,yes,yes,yes,no,no,no,2026-07-23T13:10:26.716Z,,ChiCTR2300078710
26,230,Electroacupuncture promotes gastrointestinal function recovery in patients undergoing laparoscopic gastrectomy : a randomized controlled trial.,Xu,2024,Chinese,yes,Yes,INCLUDE_CLEAR,Patients undergoing laparoscopic gastrectomy were randomized to EA at 24 hours after anaesthesia recovery; placebo EA; or routine treatment with clinical gastrointestinal outcomes.,Eligible separable randomized EA contrasts with a session at the 24-hour threshold and highly evident general anaesthesia.,high,results,yes,yes,placebo EA and usual care,yes,not_applicable,yes,yes,yes,no,yes,no,2026-07-23T13:10:58.579Z,,
27,231,A commentary on ''transcutaneous electrical acupoint stimulation for preventing postoperative nausea and vomiting after general anesthesia: a meta-analysis of randomized controlled trials''.,Wang,2024,English,no,No,EXCLUDE_PUBLICATION_TYPE,The title explicitly identifies a commentary on a meta-analysis.,Commentary without original participant results.,high,results,unclear,no,not applicable,unclear,not_applicable,unclear,unclear,no,unclear,no,no,,"2026-07-23T13:12:10.903Z — Pre-vote exact-title safety locator did not resolve a unique citation; no decision button was clicked and screening stopped.",
