study,comparison_id,modality,comparator_text,comparator_category,n_intervention,n_comparator,outcome_reported,time_window,original_unit,reporting_format,value_intervention,variance_intervention,value_comparator,variance_comparator,exact_0_24h,transformation_required,assumptions_required,mme_conversion_factor,mme_factor_source,tier_mme,smd_eligible,eligible_main_S0,reason,v32_primary_eligibility,v32_analysis_readiness,v32_pipeline_inc_primary,v32_pipeline_inc_sens,source_qc_issue,verified_against_pdf,source_url
Xing 2022,XING22_NTG_vs_NG_OPIOID24,TEAS,Sham TEAS + active TAPB,1_sham_placebo,29,29,Exact cumulative postoperative sufentanil delivered,0-24 h,µg sufentanil,Not reported,,,,,No,,,1.0,BC Ministry of Health equianalgesic table / FDA sufentanil label,F,No,No,Not an exact cumulative 0-24 h postoperative opioid endpoint.,No,EXCLUDE — DATA UNAVAILABLE,,,PCIA wording is internally contradictory and only press counts are reported,not individually PDF-verified in this pass,https://drive.google.com/file/d/1h3IGpQ56nSh7H16xBEVyTzCBkWOXRSxK/view?usp=drivesdk
Xie 2014,XIE14_EAS_vs_SHAM_TOTALSUF,EA,Sham needling PC4/PC6,1_sham_placebo,20,20,Total postoperative/perioperative sufentanil,Study PCA period; exact fixed window unclear,µg sufentanil,Mean/SD,115,6,133,7,No,,,1.0,BC Ministry of Health equianalgesic table / FDA sufentanil label,F,No,No,Not an exact cumulative 0-24 h postoperative opioid endpoint.,No,EXCLUDE — NOT PRIMARY 24H OPIOID,,,Infusion described through POD3; Discussion mentions lower use through 48 h; Table 2 does not define fixed window,not individually PDF-verified in this pass,https://drive.google.com/file/d/17faY_h0rMJTuhjPOC5PL_S59jYmHDPee/view?usp=drivesdk
Xie 2014,XIE14_EAS_vs_CONTROL_TOTALSUF,EA,General-anesthesia control,3_usual_care,20,20,Total postoperative/perioperative sufentanil,Study PCA period; exact fixed window unclear,µg sufentanil,Mean/SD,115,6,134,5.9,No,,,1.0,BC Ministry of Health equianalgesic table / FDA sufentanil label,F,No,No,Not an exact cumulative 0-24 h postoperative opioid endpoint.,No,EXCLUDE — NOT PRIMARY 24H OPIOID,,,Three-arm shared-intervention structure; exact fixed observation window not established,not individually PDF-verified in this pass,https://drive.google.com/file/d/17faY_h0rMJTuhjPOC5PL_S59jYmHDPee/view?usp=drivesdk
Xie 2014,XIE14_EAS_vs_SHAM_OPIOID24,EA,Sham needling PC4/PC6,1_sham_placebo,20,20,Exact cumulative postoperative sufentanil,0-24 h,µg sufentanil,Not reported,,,,,No,,,1.0,BC Ministry of Health equianalgesic table / FDA sufentanil label,F,No,No,Not an exact cumulative 0-24 h postoperative opioid endpoint.,No,EXCLUDE — DATA UNAVAILABLE,,,Directly reported total cannot be assigned to a fixed 24-h window,not individually PDF-verified in this pass,https://drive.google.com/file/d/17faY_h0rMJTuhjPOC5PL_S59jYmHDPee/view?usp=drivesdk
Wu 2022,WU22_PTEAS_vs_CTRL_OPIOID24,TEAS,No-current control,1_sham_placebo,44,40,Exact cumulative postoperative opioid consumption,0-24 h,mg/µg,Not reported,,,,,No,,,,unit not mapped to a sourced conversion factor,F,No,No,Not an exact cumulative 0-24 h postoperative opioid endpoint.,No,EXCLUDE — DATA UNAVAILABLE,,,"Standard end-of-surgery tramadol/fentanyl are reported, but no randomized group-specific 0-24-h opioid total is provided",not individually PDF-verified in this pass,https://drive.google.com/file/d/1XR_8qmeHR7ulwV7NaaI0CeYbpwKdc_ym/view?usp=drivesdk
Wu 2025,WU25_TEAS_vs_SHAM_OPIOID24,TEAS,Sham/no current,1_sham_placebo,50,50,Exact postoperative opioid/MME consumption,0-24 h,MME,Not calculable,,,,,No,,,,unit not mapped to a sourced conversion factor,F,No,No,Not an exact cumulative 0-24 h postoperative opioid endpoint.,No,EXCLUDE — DATA UNAVAILABLE,,,Oxycodone/acetaminophen rescue strength is not reported; rescue regimen is mixed opioid/non-opioid,not individually PDF-verified in this pass,https://drive.google.com/file/d/1ZV6JFjevGSPqnISdX61KPdcC_yEtq3vf/view?usp=drivesdk
Wang 2023,WANG23_TEAS_vs_SHAM_OPIOID24,TEAS,Sham/no current,1_sham_placebo,40,43,Exact cumulative postoperative opioid dose,0-24 h,mg/µg,Not reported,,,,,No,,,,unit not mapped to a sourced conversion factor,F,No,No,Not an exact cumulative 0-24 h postoperative opioid endpoint.,No,EXCLUDE — DATA UNAVAILABLE,,,Only rescue-dose counts are reported and the rescue drug is not identified,not individually PDF-verified in this pass,https://drive.google.com/file/d/177A4aH42GD90DhsvvtD-VOBSChBBpIWL/view?usp=drivesdk
Wang 2024,WANG24_POSTOP_OPIOID24,TEAS,OD within risk strata,9_unclassified,,,Postoperative opioid consumption,0-24 h,mg/µg,Not reported,,,,,No,,,,unit not mapped to a sourced conversion factor,F,No,No,Not an exact cumulative 0-24 h postoperative opioid endpoint.,No,EXCLUDE — DATA UNAVAILABLE,,,Postoperative rescue analgesia was non-opioid flurbiprofen; no postoperative opioid-consumption endpoint,not individually PDF-verified in this pass,https://drive.google.com/file/d/1U8tkq6mKFO0IkA2glfgLjN4Krwku3FZn/view?usp=drivesdk
Tu 2024,TU24_TEAS_vs_SHAM_OPIOID24,TEAS,Sham/no current,1_sham_placebo,57,58,Cumulative rescue tramadol consumption,0-24 h,mg tramadol,Not reported,,,,,No,,,,no sourced IV MME factor located for tramadol,F,No,No,Not an exact cumulative 0-24 h postoperative opioid endpoint.,No,EXCLUDE — DATA UNAVAILABLE,,,Only number of patients receiving rescue tramadol is reported; cumulative dose is unavailable,not individually PDF-verified in this pass,https://drive.google.com/file/d/1xQ9SbXVZblphUrb0-T9xpnAXk-_z5nBX/view?usp=drivesdk
Sun 2017,SUN17_POSTOP_OPIOID24,TEAS,All-period sham TEAS,1_sham_placebo,,,Postoperative opioid consumption,0-24 h,mg/µg,Not applicable / not reported,,,,,No,,,,unit not mapped to a sourced conversion factor,F,No,No,Not an exact cumulative 0-24 h postoperative opioid endpoint.,No,EXCLUDE — NOT PRIMARY 24H OPIOID,,,"Postoperative rescue analgesia was flurbiprofen axetil (NSAID), not an opioid",not individually PDF-verified in this pass,https://drive.google.com/file/d/1lELlw0IpkhqoB8OuintAI22fxKfNEcEd/view?usp=drivesdk
Sim 2002,SIM02_PREOP_vs_PLACEBO_MORPH24,EA,Placebo EA,1_sham_placebo,30,30,Cumulative postoperative IV PCA morphine,0-24 h,mg/kg morphine,Mean/SD,0.52,0.19,0.68,0.38,Yes,mg/kg -> absolute mg would require body weight.,Body weights not reported; group-average reconstruction prohibited.,,weight-normalized unit; absolute dose needs individual body weights,E,"Yes (mg/kg, mean/SD)",No,"Weight-normalized; excluded from absolute-MME primary, legitimate on SMD. Shared placebo control with the postoperative-EA arm: must not be double-counted.",Conditional,CONDITIONAL,0,1,Do not convert mg/kg to absolute mg using group mean body weight; aggregate means cannot reconstruct individual absolute dose,"v32 Opioid_24h_Candidates (mg/kg morphine, 0-24 h); PDF not re-verified this pass",https://drive.google.com/file/d/1YsNHL-J3Kgfu8mCanRrNu_bHk_roj0w6/view?usp=drivesdk
Sim 2002,SIM02_POSTOP_vs_PLACEBO_MORPH24,EA,Placebo EA,1_sham_placebo,30,30,Cumulative postoperative IV PCA morphine,0-24 h,mg/kg morphine,Mean/SD,0.58,0.27,0.68,0.38,Yes,mg/kg -> absolute mg would require body weight.,Body weights not reported. Shares the placebo arm with the preoperative-EA contrast.,,weight-normalized unit; absolute dose needs individual body weights,E,"Yes (mg/kg, mean/SD) - shared control",No,Same as the preoperative arm; additionally a correlated multi-arm contrast.,Conditional,CONDITIONAL,,,Postoperative EA is a distinct randomized timing arm and must not be merged with preoperative EA,"v32 Opioid_24h_Candidates (mg/kg morphine, 0-24 h); PDF not re-verified this pass",https://drive.google.com/file/d/1YsNHL-J3Kgfu8mCanRrNu_bHk_roj0w6/view?usp=drivesdk
Sim 2002,SIM02_PREOP_vs_PLACEBO_MORPH6_12,EA,Placebo EA,1_sham_placebo,30,30,Postoperative IV PCA morphine,6-12 h,mg/kg morphine,Median/IQR,0.03,None–None,0.1,None–None,No,,,,weight-normalized unit; absolute dose needs individual body weights,F,No,No,Not an exact cumulative 0-24 h postoperative opioid endpoint.,No,EXCLUDE — NOT PRIMARY 24H OPIOID,,,Source reports median (IQR) as 0.03 (0.05) vs 0.10 (0.11); IQR is reported as a single width rather than Q1/Q3,not individually PDF-verified in this pass,https://drive.google.com/file/d/1YsNHL-J3Kgfu8mCanRrNu_bHk_roj0w6/view?usp=drivesdk
Ntritsou 2014,NTRI14_EA_vs_SHAM_TRAMSUM,EA,Sham + tramadol/ketamine,1_sham_placebo,35,35,Total tramadol exposure,Perioperative / first 24 h most consistent with protocol; table does not restate window,mg tramadol,Mean/SD,443.7,67.4,461.5,63.2,Conditional,None available.,"Reported total tramadol includes scheduled/background tramadol, not only demand-driven postoperative consumption; rescue morphine quantity is not reported. Tramadol also has no sourced IV MME factor.",,no sourced IV MME factor located for tramadol,E,No,No,Endpoint is not the estimand (protocol-mandated background dosing included) and is not convertible to IV MME.,No,EXCLUDE — NOT PRIMARY 24H OPIOID,,,Includes scheduled/background tramadol and likely rescue tramadol; rescue morphine quantity not reported,v32 Opioid_24h_Candidates; PDF not re-verified this pass,https://drive.google.com/file/d/1u_kNuuXF8upB3gJA2aDq8NldYDfhnWy3/view?usp=drivesdk
Ntritsou 2014,NTRI14_EA_vs_SHAM_MME24,EA,Sham + tramadol/ketamine,1_sham_placebo,35,35,Complete 24-h opioid/MME exposure,0-24 h,MME,Not calculable,,,,,No,,,,unit not mapped to a sourced conversion factor,F,No,No,Not an exact cumulative 0-24 h postoperative opioid endpoint.,No,EXCLUDE — DATA UNAVAILABLE,,,Do not equate lower rescue use with significantly lower total opioid exposure,not individually PDF-verified in this pass,https://drive.google.com/file/d/1u_kNuuXF8upB3gJA2aDq8NldYDfhnWy3/view?usp=drivesdk
Ng 2013,NG13_EA_vs_SHAM_OPIOID24,TEAS,Sham acupuncture,1_sham_placebo,55,55,Cumulative pethidine consumption,0-24 h,mg pethidine,Not reported,,,,,No,,,,no sourced IV MME factor located for pethidine,F,No,No,Not an exact cumulative 0-24 h postoperative opioid endpoint.,No,EXCLUDE — DATA UNAVAILABLE,,,Do not multiply injection counts by 50 mg and call it a 24-h dose; source time window/dosing statement is ambiguous,not individually PDF-verified in this pass,https://drive.google.com/file/d/1R1zCiyfWvuSp99Hi2U_K1__8kgdi90gd/view?usp=drivesdk
Ma 2026,MA26_T_vs_S_OPIOID24,TEAS,"Group S: sleep disturbance, no TEAS",9_unclassified,17,16,Cumulative postoperative opioid consumption,0-24 h,mg/µg,Not reported,,,,,No,,,,unit not mapped to a sourced conversion factor,F,No,No,Not an exact cumulative 0-24 h postoperative opioid endpoint.,No,EXCLUDE — DATA UNAVAILABLE,,,Routine postoperative analgesia was non-opioid flurbiprofen; whether any postoperative opioid was given is not reported,not individually PDF-verified in this pass,https://drive.google.com/file/d/1tMEOwvRWIMeEmBmKfeHEt7YF10yxslUe/view?usp=drivesdk
Lu 2021,LU21_POSTOP_OPIOID24,TEAS,Sham/no current,1_sham_placebo,,,Cumulative postoperative sufentanil PCA consumption,0-24 h,µg sufentanil,Not reported,,,,,No,,,1.0,BC Ministry of Health equianalgesic table / FDA sufentanil label,F,No,No,Not an exact cumulative 0-24 h postoperative opioid endpoint.,No,EXCLUDE — DATA UNAVAILABLE,,,PCA opioid is sufentanil but prescription and cumulative 24-h consumption are not reported,not individually PDF-verified in this pass,https://drive.google.com/file/d/1MgD_OucfiyNEDdDe3osh8W01U1yYZs08/view?usp=drivesdk
Lu 2022,LU22_TEAS_vs_CTRL_OPIOID24,TEAS,No-current control + ERAS,1_sham_placebo,47,47,Exact cumulative PCA opioid consumption,0-24 h,mg/µg,Not reported,,,,,No,,,,unit not mapped to a sourced conversion factor,F,No,No,Not an exact cumulative 0-24 h postoperative opioid endpoint.,No,EXCLUDE — DATA UNAVAILABLE,,,The main article never identifies the PCA drug or dose,not individually PDF-verified in this pass,https://drive.google.com/file/d/12Y86huNMuLC8cPH-L2vwlEd7r1X1Qela/view?usp=drivesdk
Luo 2026,LUO26_TEAS_vs_SHAM_OPIOIDEQUIV,TEAS,Sham/no current + standard antiemetics,1_sham_placebo,138,139,Published 'sufentanil equivalents' metric,Perioperative,published as mg; definition/unit unresolved,Mean/SD,15.86,5.11,15.18,4.95,No,,,,unit not mapped to a sourced conversion factor,F,No,No,Not an exact cumulative 0-24 h postoperative opioid endpoint.,No,CONDITIONAL,0,0,Source labels approximately 15-16 as 'sufentanil equivalents (mg)' without explaining conversion; preserve verbatim,not individually PDF-verified in this pass,https://drive.google.com/file/d/1xxZle6mPpcnmHLblJbsy1kA4CyQHpvm2/view?usp=drivesdk
Luo 2026,LUO26_TEAS_vs_SHAM_OPIOID24,TEAS,Sham/no current + standard antiemetics,1_sham_placebo,138,139,Cumulative postoperative oxycodone consumption,0-24 h,mg oxycodone,Not reported,,,,,No,,,,no sourced IV MME factor located for oxycodone,F,No,No,Not an exact cumulative 0-24 h postoperative opioid endpoint.,No,EXCLUDE — DATA UNAVAILABLE,,,"Postoperative IV oxycodone is described, but schedule and group-specific cumulative 24-h consumption are not reported",not individually PDF-verified in this pass,https://drive.google.com/file/d/1xxZle6mPpcnmHLblJbsy1kA4CyQHpvm2/view?usp=drivesdk
Long 2025,LONG25_TEAS_vs_CTRL_OPIOID24,TEAS,Electrodes/no current,1_sham_placebo,27,26,Exact cumulative postoperative sufentanil consumption,0-24 h,µg sufentanil,Not reported,,,,,No,,,1.0,BC Ministry of Health equianalgesic table / FDA sufentanil label,F,No,No,Not an exact cumulative 0-24 h postoperative opioid endpoint.,No,EXCLUDE — DATA UNAVAILABLE,,,24-h PCIA volume/compressions are not reported; even 48-h volume cannot be converted exactly to sufentanil mass without body weight,not individually PDF-verified in this pass,https://drive.google.com/file/d/1LDqtQLq9-kZLP0Vv_G3iiK8QKjy4pRXP/view?usp=drivesdk
Li 2021,LI21_TEAS_vs_SHAM_OPIOID24,TEAS,Sham-point/no current,1_sham_placebo,140,140,Cumulative postoperative sufentanil consumption,0-24 h,published pump formulation says 250 mg sufentanil/250 mL,Not reported,,,,,No,,,,unit not mapped to a sourced conversion factor,F,No,No,Not an exact cumulative 0-24 h postoperative opioid endpoint.,No,EXCLUDE — DATA UNAVAILABLE,,,"Printed pump unit is clinically implausible, programming is missing, and actual 24-h delivered dose is not reported; do not silently change mg to µg",not individually PDF-verified in this pass,https://drive.google.com/file/d/1NvcLlsb17N6EMhtHs_L_WBnf40wsrtRz/view?usp=drivesdk
Liu 2026 (ESD),LIU26ESD_TEAS_vs_SHAM_MORPH24,TEAS,Sham-point/no current,1_sham_placebo,58,62,Cumulative postoperative morphine consumption,0-24 h,mg IV morphine,Not reported,,,,,No,,,1.0,BC Ministry of Health equianalgesic table / FDA sufentanil label,F,No,No,Not an exact cumulative 0-24 h postoperative opioid endpoint.,No,EXCLUDE — DATA UNAVAILABLE,,,"Binary morphine use is reported, but administration counts and cumulative dose are not",not individually PDF-verified in this pass,https://drive.google.com/file/d/1Hp7pCBP8iXkGGYVhlFY0BHTeaaM7bhdY/view?usp=drivesdk
