model_id,label,certainty,risk_of_bias,inconsistency,indirectness,imprecision,publication_bias
nausea48_TEAS_sham,ASTRA FINAL GRADE RECOMMENDATION,Low,Serious: single-blind study and exact nausea/vomiting result linkage incomplete; patient reporting/masking concerns.,Not assessable in one trial.,Not downgraded for48h tympanoplasty question; generalization beyond this setting limited.,"Serious:277 participants, few vomiting events and material uncertainty in absolute reduction.",No separate downgrade; absence of replication limits missing-results assessment.
vomiting48_TEAS_sham,ASTRA FINAL GRADE RECOMMENDATION,Low,Serious: single-blind study and exact nausea/vomiting result linkage incomplete; patient reporting/masking concerns.,Not assessable in one trial.,Not downgraded for48h tympanoplasty question; generalization beyond this setting limited.,"Serious:277 participants, few vomiting events and material uncertainty in absolute reduction.",No separate downgrade; absence of replication limits missing-results assessment.
ponv48_TEAS_usual,ASTRA FINAL GRADE RECOMMENDATION,Very low,Serious: comparator-specific masking/assessment concerns and incomplete exact linkage for active-current Song result.,Not assessable in one trial.,Not downgraded within exact comparator question; active current and usual care are not sham-equivalent questions.,"Very serious: small single trial; uncertain clinically important magnitude, with Song CI also crossing null.",No separate downgrade beyond floor.
nausea6to24_EA_usual,ASTRA FINAL GRADE RECOMMENDATION,Low,"Serious: unblinded active-vs-usual-care trial; exact assessment only available for selected vomiting contrast, not every combined arm/outcome.",Not assessable in a single trial.,Not downgraded for6–24h symptom question; indirect for cumulative0–24h and explicitly kept separate.,Serious: one multiarm trial provides limited replication and a range of potentially important effects; no registered symptom MCID.,No separate downgrade; registry/report comparability and publication bias unresolved.
vomiting6to24_EA_usual,ASTRA FINAL GRADE RECOMMENDATION,Low,"Serious: unblinded active-vs-usual-care trial; exact assessment only available for selected vomiting contrast, not every combined arm/outcome.",Not assessable in a single trial.,Not downgraded for6–24h symptom question; indirect for cumulative0–24h and explicitly kept separate.,Serious: one multiarm trial provides limited replication and a range of potentially important effects; no registered symptom MCID.,No separate downgrade; registry/report comparability and publication bias unresolved.
pain24_rest_TEAS_sham,ASTRA FINAL GRADE RECOMMENDATION,Low,Serious: Liu resting-pain exact assessment High; other masking and exact-linkage limitations.,Not downgraded: observed study differences do not overturn the pain-worsening-margin conclusion; statistical homogeneity alone is not proof of consistency.,Not downgraded for24h rest pain; separate trials from the opioid contributor create indirect pairing.,Serious: only218 participants and limited surgery representation; CI excludes+1 average worsening but is not a formal noninferiority trial.,No separate downgrade; missing unfavorable pain results remain possible.
pain24_movement_TEAS_sham,ASTRA FINAL GRADE RECOMMENDATION,Low,Serious: subjective cough pain with uncertain sensory masking and no independently established exact cough-pain RoB record.,Not assessable in one trial.,Not downgraded for coughing-pain question; not equivalent to every movement task.,"Serious:100 participants, one trial; upperCI below+1 does not establish paired clinical benefit in Szmit.",No separate downgrade; selective availability of movement pain remains possible.
pain24_rest_TEAS_usual,ASTRA FINAL GRADE RECOMMENDATION,Not rated — insufficient evidence,No eligible quantitative body.,Not applicable.,Not applicable.,No estimate.,Cannot assess.
pain24_movement_EA_sham,ASTRA FINAL GRADE RECOMMENDATION,Low,Serious: one three-arm trial; result assessment applies to contralateral comparison only and does not fully cover combined active arms.,Not assessable across independent trials.,Not downgraded for knee-movement question; not evidence across all surgeries.,"Serious:114 participants, single trial; modest effect and imprecise generalization.","No separate downgrade; He source-dispersion contradiction addressed by sensitivity, not invented data."
pain24_rest_EA_sham,ASTRA FINAL GRADE RECOMMENDATION,Not rated — insufficient evidence,No eligible quantitative body.,Not applicable.,Not applicable.,No estimate.,Cannot assess.
flatus_TEAS_sham,ASTRA FINAL GRADE RECOMMENDATION,Very low,"Serious: varying ascertainment of patient-reported flatus, sensory masking and incomplete exact-result RoB linkage.",Very serious: large clinically disparate time effects including little/no effect; prediction interval crosses no benefit and delay.,Not downgraded for time-to-flatus itself. It does not establish overall GI or functional recovery.,"Not separately downgraded: mean CI favors earlier flatus, while major uncertainty across settings is counted in inconsistency.",No extra downgrade; review-level omissions prevent a definitive comprehensive synthesis.
flatus_TEAS_usual,ASTRA FINAL GRADE RECOMMENDATION,Not rated — insufficient evidence,No eligible quantitative body.,Not applicable.,Not applicable.,No estimate.,Cannot assess.
flatus_EA_sham,ASTRA FINAL GRADE RECOMMENDATION,Very low,Serious: patient-reported event and exact flatus-specific assessment not established.,Not assessable in one trial.,Not downgraded for flatus question; postoperative timing/adherence limits transportability.,Very serious:110 participants and CI includes potentially important earlier passage and no benefit/delay.,No additional downgrade.
flatus_EA_usual,ASTRA FINAL GRADE RECOMMENDATION,Low,"Serious: unblinded usual-care comparisons, Huang High, and incomplete exact assessment of combined Zhu arms.",Serious: effects vary with surgical setting/protocol and baseline recovery time; same direction is insufficient to establish stable magnitude.,Not downgraded for flatus-hours question; no broad faster-recovery claim.,No extra downgrade: CI supports earlier mean flatus within this body; no registered flatus MCID to imply clinical importance.,No separate downgrade; selection completeness remains a separate blocker.
bowelsounds_TEAS_sham,ASTRA FINAL GRADE RECOMMENDATION,Low,Serious: observer/time-origin ascertainment varies and exact bowel-sounds RoB records are not established for all trials.,Serious: different measurement schedules and control recovery times make a stable magnitude uncertain.,"Not downgraded for audible bowel sounds; indirectness would be serious if interpreted as global recovery, which is not claimed.",No extra downgrade: CI supports earlier observed sounds but no validated clinical threshold establishes patient importance.,No separate downgrade; evidence-selection limitation applies.
defecation_TEAS_sham,ASTRA FINAL GRADE RECOMMENDATION,Very low,"Serious: ascertainment, masking and incomplete exact-outcome assessments; open-label EA/usual-care studies add concerns.",Serious: effect sizes vary materially with surgery and bowel-management protocols; EA/usual-care especially disparate.,Not downgraded for first-defecation timing; laxative/co-intervention context must remain explicit.,Serious: intervals include substantial earlier defecation and no benefit/delay.,No further downgrade; selective availability unresolved.
defecation_EA_sham,ASTRA FINAL GRADE RECOMMENDATION,Low,Serious: existing selected-result assessment Some concerns; patient-reported event and prespecification concerns.,Not assessable in one trial.,Not downgraded for this colorectal-surgery defecation question.,Serious: single110-participant trial; uncertain magnitude/generalizability despite CI excluding null.,No separate downgrade; absence of independent replication.
defecation_EA_usual,ASTRA FINAL GRADE RECOMMENDATION,Very low,"Serious: ascertainment, masking and incomplete exact-outcome assessments; open-label EA/usual-care studies add concerns.",Serious: effect sizes vary materially with surgery and bowel-management protocols; EA/usual-care especially disparate.,Not downgraded for first-defecation timing; laxative/co-intervention context must remain explicit.,Serious: intervals include substantial earlier defecation and no benefit/delay.,No further downgrade; selective availability unresolved.
opioid48_EA_usual_PCA,ASTRA FINAL GRADE RECOMMENDATION,Very low,"Serious: existing exact assessments High, postrandomization missingness/attrition.",Not assessable across independent studies.,"Serious: PCA exposure may omit other systemic analgesia; these are additional device outcomes, not24h primary exposure.","Serious: small single studies;72h CI includes no benefit/harm,48h effect magnitude remains uncertain.",No further downgrade.
opioid72_EA_sham_PCA,ASTRA FINAL GRADE RECOMMENDATION,Very low,"Serious: existing exact assessments High, postrandomization missingness/attrition.",Not assessable across independent studies.,"Serious: PCA exposure may omit other systemic analgesia; these are additional device outcomes, not24h primary exposure.","Serious: small single studies;72h CI includes no benefit/harm,48h effect magnitude remains uncertain.",No further downgrade.
intraop_remifentanil_TEAS_sham,ASTRA FINAL GRADE RECOMMENDATION,Very low,Serious: clinician titration/masking varies and exact assessments are incomplete.,"Serious: highly different surgery durations, baseline requirements and effects; PI permits increased dose.",Serious: intraoperative dose reduction does not establish postoperative opioid sparing or improved patient outcomes.,Not separately downgraded: average CI excludes null but transportability uncertainty counted above.,No extra downgrade; omissions in selection affect this secondary body directly.
intraop_remifentanil_TEAS_usual,ASTRA FINAL GRADE RECOMMENDATION,Not rated — insufficient evidence,No eligible quantitative body.,Not applicable.,Not applicable.,No estimate.,Cannot assess.
intraop_remifentanil_EA_usual,ASTRA FINAL GRADE RECOMMENDATION,Very low,Serious: exact outcome/combined-arm linkage incomplete and unblinded titration possible.,Not assessable in a single independent trial per stratum.,Serious: anaesthetic dose is indirect for postoperative clinical benefit.,Serious: CI permits reductions and increases.,No additional downgrade.
intraop_remifentanil_EA_sham,ASTRA FINAL GRADE RECOMMENDATION,Very low,Serious: exact outcome/combined-arm linkage incomplete and unblinded titration possible.,Not assessable in a single independent trial per stratum.,Serious: anaesthetic dose is indirect for postoperative clinical benefit.,Serious: CI permits reductions and increases.,No additional downgrade.
pethidine24_TEAS_usual_rescue,ASTRA FINAL GRADE RECOMMENDATION,Very low,"Serious: one small trial, exact rescue-result assessment unavailable, co-intervention/measurement concerns.",Not assessable in one trial.,Not downgraded for rescue pethidine; not total systemic consumption.,Very serious:31 participants and CI allows meaningful benefit and harm.,No separate downgrade.
pethidine24_TEAS_active_rescue,ASTRA FINAL GRADE RECOMMENDATION,Very low,"Serious: one small trial, exact rescue-result assessment unavailable, co-intervention/measurement concerns.",Not assessable in one trial.,Not downgraded for rescue pethidine; not total systemic consumption.,Very serious:31 participants and CI allows meaningful benefit and harm.,No separate downgrade.
ponv24_TEAS_active,ASTRA FINAL GRADE RECOMMENDATION,Very low,Serious: comparator-specific masking/assessment concerns and incomplete exact linkage for active-current Song result.,Not assessable in one trial.,Not downgraded within exact comparator question; active current and usual care are not sham-equivalent questions.,"Very serious: small single trial; uncertain clinically important magnitude, with Song CI also crossing null.",No separate downgrade beyond floor.
