assessment_id,result_id,study,question_id,short_question,answer,justification,final_domain_judgment,judgment_basis,source_text,source_pdf,result_location,reviewer,review_date
V38-AUDIT-0017,AUDIT-0017,Zhu 2022,3.1,All or nearly all outcome data?,PY,"13/413 omitted; limited fraction; reported EM handling, but complete-case denominators used here.",Low,Manual source-informed assessment; see domain rationale for uncertainty/author judgment. Not a software-generated rating.,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Zhu_2022.txt,TEAS EA Verification/Source PDFs/covidence_381_full_article.pdf,p. 422; Table 3,AI assistant under user delegation,2026-09-20
V38-AUDIT-0017,AUDIT-0017,Zhu 2022,3.2,Evidence missingness does not bias result?,NA,"13/413 omitted; limited fraction; reported EM handling, but complete-case denominators used here.",Low,Manual source-informed assessment; see domain rationale for uncertainty/author judgment. Not a software-generated rating.,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Zhu_2022.txt,TEAS EA Verification/Source PDFs/covidence_381_full_article.pdf,p. 422; Table 3,AI assistant under user delegation,2026-09-20
V38-AUDIT-0017,AUDIT-0017,Zhu 2022,3.3,Missingness could depend on outcome?,NA,"13/413 omitted; limited fraction; reported EM handling, but complete-case denominators used here.",Low,Manual source-informed assessment; see domain rationale for uncertainty/author judgment. Not a software-generated rating.,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Zhu_2022.txt,TEAS EA Verification/Source PDFs/covidence_381_full_article.pdf,p. 422; Table 3,AI assistant under user delegation,2026-09-20
V38-AUDIT-0017,AUDIT-0017,Zhu 2022,3.4,Such dependence likely?,NA,"13/413 omitted; limited fraction; reported EM handling, but complete-case denominators used here.",Low,Manual source-informed assessment; see domain rationale for uncertainty/author judgment. Not a software-generated rating.,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Zhu_2022.txt,TEAS EA Verification/Source PDFs/covidence_381_full_article.pdf,p. 422; Table 3,AI assistant under user delegation,2026-09-20
V38-AUDIT-0017,AUDIT-0017,Zhu 2022,4.1,Measurement method inappropriate?,PN,Nausea/flatus self-reports potentially influenced by awareness; vomiting and clinician-masked dose separately rated.,Some concerns,Manual source-informed assessment; see domain rationale for uncertainty/author judgment. Not a software-generated rating.,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Zhu_2022.txt,TEAS EA Verification/Source PDFs/covidence_381_full_article.pdf,p. 422; Table 3,AI assistant under user delegation,2026-09-20
V38-AUDIT-0017,AUDIT-0017,Zhu 2022,4.2,Measurement differs between arms?,PN,Nausea/flatus self-reports potentially influenced by awareness; vomiting and clinician-masked dose separately rated.,Some concerns,Manual source-informed assessment; see domain rationale for uncertainty/author judgment. Not a software-generated rating.,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Zhu_2022.txt,TEAS EA Verification/Source PDFs/covidence_381_full_article.pdf,p. 422; Table 3,AI assistant under user delegation,2026-09-20
V38-AUDIT-0017,AUDIT-0017,Zhu 2022,4.3,Outcome assessor aware?,PY,Nausea/flatus self-reports potentially influenced by awareness; vomiting and clinician-masked dose separately rated.,Some concerns,Manual source-informed assessment; see domain rationale for uncertainty/author judgment. Not a software-generated rating.,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Zhu_2022.txt,TEAS EA Verification/Source PDFs/covidence_381_full_article.pdf,p. 422; Table 3,AI assistant under user delegation,2026-09-20
V38-AUDIT-0017,AUDIT-0017,Zhu 2022,4.4,Awareness could influence measurement?,Y,Nausea/flatus self-reports potentially influenced by awareness; vomiting and clinician-masked dose separately rated.,Some concerns,Manual source-informed assessment; see domain rationale for uncertainty/author judgment. Not a software-generated rating.,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Zhu_2022.txt,TEAS EA Verification/Source PDFs/covidence_381_full_article.pdf,p. 422; Table 3,AI assistant under user delegation,2026-09-20
V38-AUDIT-0017,AUDIT-0017,Zhu 2022,4.5,Influence likely?,NI,Nausea/flatus self-reports potentially influenced by awareness; vomiting and clinician-masked dose separately rated.,Some concerns,Manual source-informed assessment; see domain rationale for uncertainty/author judgment. Not a software-generated rating.,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Zhu_2022.txt,TEAS EA Verification/Source PDFs/covidence_381_full_article.pdf,p. 422; Table 3,AI assistant under user delegation,2026-09-20
V38-AUDIT-0017,AUDIT-0017,Zhu 2022,5.1,Prospective analysis plan verified?,NI,Prospective result-level analysis plan not independently verified for this exact endpoint/window/contrast. Published outcome naming alone does not establish prespecification; no evidence sufficient to assert selective choice with High certainty.,Some concerns,Manual source-informed assessment; see domain rationale for uncertainty/author judgment. Not a software-generated rating.,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Zhu_2022.txt,TEAS EA Verification/Source PDFs/covidence_381_full_article.pdf,p. 422; Table 3,AI assistant under user delegation,2026-09-20
V38-AUDIT-0017,AUDIT-0017,Zhu 2022,5.2,Result selected from multiple measurements?,PN,Prospective result-level analysis plan not independently verified for this exact endpoint/window/contrast. Published outcome naming alone does not establish prespecification; no evidence sufficient to assert selective choice with High certainty.,Some concerns,Manual source-informed assessment; see domain rationale for uncertainty/author judgment. Not a software-generated rating.,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Zhu_2022.txt,TEAS EA Verification/Source PDFs/covidence_381_full_article.pdf,p. 422; Table 3,AI assistant under user delegation,2026-09-20
V38-AUDIT-0017,AUDIT-0017,Zhu 2022,5.3,Result selected from multiple analyses?,PN,Prospective result-level analysis plan not independently verified for this exact endpoint/window/contrast. Published outcome naming alone does not establish prespecification; no evidence sufficient to assert selective choice with High certainty.,Some concerns,Manual source-informed assessment; see domain rationale for uncertainty/author judgment. Not a software-generated rating.,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Zhu_2022.txt,TEAS EA Verification/Source PDFs/covidence_381_full_article.pdf,p. 422; Table 3,AI assistant under user delegation,2026-09-20
V38-AUDIT-0018,AUDIT-0018,Zhu 2022,1.1,Random sequence?,Y,"Computer sequence in opaque envelopes, but patient envelope selection leaves sequence implementation concerns.",Some concerns,Manual source-informed assessment; see domain rationale for uncertainty/author judgment. Not a software-generated rating.,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Zhu_2022.txt,TEAS EA Verification/Source PDFs/covidence_381_full_article.pdf,p. 422; Table 3,AI assistant under user delegation,2026-09-20
V38-AUDIT-0018,AUDIT-0018,Zhu 2022,1.2,Concealed allocation?,NI,"Computer sequence in opaque envelopes, but patient envelope selection leaves sequence implementation concerns.",Some concerns,Manual source-informed assessment; see domain rationale for uncertainty/author judgment. Not a software-generated rating.,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Zhu_2022.txt,TEAS EA Verification/Source PDFs/covidence_381_full_article.pdf,p. 422; Table 3,AI assistant under user delegation,2026-09-20
V38-AUDIT-0018,AUDIT-0018,Zhu 2022,1.3,Baseline pattern suggests randomization failure?,PN,"Computer sequence in opaque envelopes, but patient envelope selection leaves sequence implementation concerns.",Some concerns,Manual source-informed assessment; see domain rationale for uncertainty/author judgment. Not a software-generated rating.,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Zhu_2022.txt,TEAS EA Verification/Source PDFs/covidence_381_full_article.pdf,p. 422; Table 3,AI assistant under user delegation,2026-09-20
V38-AUDIT-0018,AUDIT-0018,Zhu 2022,2.1,Participant aware?,PY,Usual-care participants unblinded; recovery care/reporting could differ.,Some concerns,Manual source-informed assessment; see domain rationale for uncertainty/author judgment. Not a software-generated rating.,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Zhu_2022.txt,TEAS EA Verification/Source PDFs/covidence_381_full_article.pdf,p. 422; Table 3,AI assistant under user delegation,2026-09-20
V38-AUDIT-0018,AUDIT-0018,Zhu 2022,2.2,Care personnel aware?,PY,Usual-care participants unblinded; recovery care/reporting could differ.,Some concerns,Manual source-informed assessment; see domain rationale for uncertainty/author judgment. Not a software-generated rating.,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Zhu_2022.txt,TEAS EA Verification/Source PDFs/covidence_381_full_article.pdf,p. 422; Table 3,AI assistant under user delegation,2026-09-20
V38-AUDIT-0018,AUDIT-0018,Zhu 2022,2.3,Trial-context deviations?,NI,Usual-care participants unblinded; recovery care/reporting could differ.,Some concerns,Manual source-informed assessment; see domain rationale for uncertainty/author judgment. Not a software-generated rating.,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Zhu_2022.txt,TEAS EA Verification/Source PDFs/covidence_381_full_article.pdf,p. 422; Table 3,AI assistant under user delegation,2026-09-20
V38-AUDIT-0018,AUDIT-0018,Zhu 2022,2.4,Deviations affect outcome?,NI,Usual-care participants unblinded; recovery care/reporting could differ.,Some concerns,Manual source-informed assessment; see domain rationale for uncertainty/author judgment. Not a software-generated rating.,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Zhu_2022.txt,TEAS EA Verification/Source PDFs/covidence_381_full_article.pdf,p. 422; Table 3,AI assistant under user delegation,2026-09-20
V38-AUDIT-0018,AUDIT-0018,Zhu 2022,2.5,Deviations balanced?,NI,Usual-care participants unblinded; recovery care/reporting could differ.,Some concerns,Manual source-informed assessment; see domain rationale for uncertainty/author judgment. Not a software-generated rating.,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Zhu_2022.txt,TEAS EA Verification/Source PDFs/covidence_381_full_article.pdf,p. 422; Table 3,AI assistant under user delegation,2026-09-20
V38-AUDIT-0018,AUDIT-0018,Zhu 2022,2.6,Assignment-effect analysis appropriate?,PY,Usual-care participants unblinded; recovery care/reporting could differ.,Some concerns,Manual source-informed assessment; see domain rationale for uncertainty/author judgment. Not a software-generated rating.,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Zhu_2022.txt,TEAS EA Verification/Source PDFs/covidence_381_full_article.pdf,p. 422; Table 3,AI assistant under user delegation,2026-09-20
V38-AUDIT-0018,AUDIT-0018,Zhu 2022,2.7,Analysis departure materially consequential?,NA,Usual-care participants unblinded; recovery care/reporting could differ.,Some concerns,Manual source-informed assessment; see domain rationale for uncertainty/author judgment. Not a software-generated rating.,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Zhu_2022.txt,TEAS EA Verification/Source PDFs/covidence_381_full_article.pdf,p. 422; Table 3,AI assistant under user delegation,2026-09-20
V38-AUDIT-0018,AUDIT-0018,Zhu 2022,3.1,All or nearly all outcome data?,PY,"13/413 omitted; limited fraction; reported EM handling, but complete-case denominators used here.",Low,Manual source-informed assessment; see domain rationale for uncertainty/author judgment. Not a software-generated rating.,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Zhu_2022.txt,TEAS EA Verification/Source PDFs/covidence_381_full_article.pdf,p. 422; Table 3,AI assistant under user delegation,2026-09-20
V38-AUDIT-0018,AUDIT-0018,Zhu 2022,3.2,Evidence missingness does not bias result?,NA,"13/413 omitted; limited fraction; reported EM handling, but complete-case denominators used here.",Low,Manual source-informed assessment; see domain rationale for uncertainty/author judgment. Not a software-generated rating.,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Zhu_2022.txt,TEAS EA Verification/Source PDFs/covidence_381_full_article.pdf,p. 422; Table 3,AI assistant under user delegation,2026-09-20
V38-AUDIT-0018,AUDIT-0018,Zhu 2022,3.3,Missingness could depend on outcome?,NA,"13/413 omitted; limited fraction; reported EM handling, but complete-case denominators used here.",Low,Manual source-informed assessment; see domain rationale for uncertainty/author judgment. Not a software-generated rating.,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Zhu_2022.txt,TEAS EA Verification/Source PDFs/covidence_381_full_article.pdf,p. 422; Table 3,AI assistant under user delegation,2026-09-20
V38-AUDIT-0018,AUDIT-0018,Zhu 2022,3.4,Such dependence likely?,NA,"13/413 omitted; limited fraction; reported EM handling, but complete-case denominators used here.",Low,Manual source-informed assessment; see domain rationale for uncertainty/author judgment. Not a software-generated rating.,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Zhu_2022.txt,TEAS EA Verification/Source PDFs/covidence_381_full_article.pdf,p. 422; Table 3,AI assistant under user delegation,2026-09-20
V38-AUDIT-0018,AUDIT-0018,Zhu 2022,4.1,Measurement method inappropriate?,PN,Nausea/flatus self-reports potentially influenced by awareness; vomiting and clinician-masked dose separately rated.,Some concerns,Manual source-informed assessment; see domain rationale for uncertainty/author judgment. Not a software-generated rating.,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Zhu_2022.txt,TEAS EA Verification/Source PDFs/covidence_381_full_article.pdf,p. 422; Table 3,AI assistant under user delegation,2026-09-20
V38-AUDIT-0018,AUDIT-0018,Zhu 2022,4.2,Measurement differs between arms?,PN,Nausea/flatus self-reports potentially influenced by awareness; vomiting and clinician-masked dose separately rated.,Some concerns,Manual source-informed assessment; see domain rationale for uncertainty/author judgment. Not a software-generated rating.,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Zhu_2022.txt,TEAS EA Verification/Source PDFs/covidence_381_full_article.pdf,p. 422; Table 3,AI assistant under user delegation,2026-09-20
V38-AUDIT-0018,AUDIT-0018,Zhu 2022,4.3,Outcome assessor aware?,PY,Nausea/flatus self-reports potentially influenced by awareness; vomiting and clinician-masked dose separately rated.,Some concerns,Manual source-informed assessment; see domain rationale for uncertainty/author judgment. Not a software-generated rating.,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Zhu_2022.txt,TEAS EA Verification/Source PDFs/covidence_381_full_article.pdf,p. 422; Table 3,AI assistant under user delegation,2026-09-20
V38-AUDIT-0018,AUDIT-0018,Zhu 2022,4.4,Awareness could influence measurement?,Y,Nausea/flatus self-reports potentially influenced by awareness; vomiting and clinician-masked dose separately rated.,Some concerns,Manual source-informed assessment; see domain rationale for uncertainty/author judgment. Not a software-generated rating.,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Zhu_2022.txt,TEAS EA Verification/Source PDFs/covidence_381_full_article.pdf,p. 422; Table 3,AI assistant under user delegation,2026-09-20
V38-AUDIT-0018,AUDIT-0018,Zhu 2022,4.5,Influence likely?,NI,Nausea/flatus self-reports potentially influenced by awareness; vomiting and clinician-masked dose separately rated.,Some concerns,Manual source-informed assessment; see domain rationale for uncertainty/author judgment. Not a software-generated rating.,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Zhu_2022.txt,TEAS EA Verification/Source PDFs/covidence_381_full_article.pdf,p. 422; Table 3,AI assistant under user delegation,2026-09-20
V38-AUDIT-0018,AUDIT-0018,Zhu 2022,5.1,Prospective analysis plan verified?,NI,Prospective result-level analysis plan not independently verified for this exact endpoint/window/contrast. Published outcome naming alone does not establish prespecification; no evidence sufficient to assert selective choice with High certainty.,Some concerns,Manual source-informed assessment; see domain rationale for uncertainty/author judgment. Not a software-generated rating.,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Zhu_2022.txt,TEAS EA Verification/Source PDFs/covidence_381_full_article.pdf,p. 422; Table 3,AI assistant under user delegation,2026-09-20
V38-AUDIT-0018,AUDIT-0018,Zhu 2022,5.2,Result selected from multiple measurements?,PN,Prospective result-level analysis plan not independently verified for this exact endpoint/window/contrast. Published outcome naming alone does not establish prespecification; no evidence sufficient to assert selective choice with High certainty.,Some concerns,Manual source-informed assessment; see domain rationale for uncertainty/author judgment. Not a software-generated rating.,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Zhu_2022.txt,TEAS EA Verification/Source PDFs/covidence_381_full_article.pdf,p. 422; Table 3,AI assistant under user delegation,2026-09-20
V38-AUDIT-0018,AUDIT-0018,Zhu 2022,5.3,Result selected from multiple analyses?,PN,Prospective result-level analysis plan not independently verified for this exact endpoint/window/contrast. Published outcome naming alone does not establish prespecification; no evidence sufficient to assert selective choice with High certainty.,Some concerns,Manual source-informed assessment; see domain rationale for uncertainty/author judgment. Not a software-generated rating.,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Zhu_2022.txt,TEAS EA Verification/Source PDFs/covidence_381_full_article.pdf,p. 422; Table 3,AI assistant under user delegation,2026-09-20
V38-AUDIT-0019,AUDIT-0019,Zhu 2022,1.1,Random sequence?,Y,"Computer sequence in opaque envelopes, but patient envelope selection leaves sequence implementation concerns.",Some concerns,Manual source-informed assessment; see domain rationale for uncertainty/author judgment. Not a software-generated rating.,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Zhu_2022.txt,TEAS EA Verification/Source PDFs/covidence_381_full_article.pdf,p. 422; Table 3,AI assistant under user delegation,2026-09-20
V38-AUDIT-0019,AUDIT-0019,Zhu 2022,1.2,Concealed allocation?,NI,"Computer sequence in opaque envelopes, but patient envelope selection leaves sequence implementation concerns.",Some concerns,Manual source-informed assessment; see domain rationale for uncertainty/author judgment. Not a software-generated rating.,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Zhu_2022.txt,TEAS EA Verification/Source PDFs/covidence_381_full_article.pdf,p. 422; Table 3,AI assistant under user delegation,2026-09-20
V38-AUDIT-0019,AUDIT-0019,Zhu 2022,1.3,Baseline pattern suggests randomization failure?,PN,"Computer sequence in opaque envelopes, but patient envelope selection leaves sequence implementation concerns.",Some concerns,Manual source-informed assessment; see domain rationale for uncertainty/author judgment. Not a software-generated rating.,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Zhu_2022.txt,TEAS EA Verification/Source PDFs/covidence_381_full_article.pdf,p. 422; Table 3,AI assistant under user delegation,2026-09-20
V38-AUDIT-0019,AUDIT-0019,Zhu 2022,2.1,Participant aware?,PY,Usual-care participants unblinded; recovery care/reporting could differ.,Some concerns,Manual source-informed assessment; see domain rationale for uncertainty/author judgment. Not a software-generated rating.,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Zhu_2022.txt,TEAS EA Verification/Source PDFs/covidence_381_full_article.pdf,p. 422; Table 3,AI assistant under user delegation,2026-09-20
V38-AUDIT-0019,AUDIT-0019,Zhu 2022,2.2,Care personnel aware?,PY,Usual-care participants unblinded; recovery care/reporting could differ.,Some concerns,Manual source-informed assessment; see domain rationale for uncertainty/author judgment. Not a software-generated rating.,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Zhu_2022.txt,TEAS EA Verification/Source PDFs/covidence_381_full_article.pdf,p. 422; Table 3,AI assistant under user delegation,2026-09-20
V38-AUDIT-0019,AUDIT-0019,Zhu 2022,2.3,Trial-context deviations?,NI,Usual-care participants unblinded; recovery care/reporting could differ.,Some concerns,Manual source-informed assessment; see domain rationale for uncertainty/author judgment. Not a software-generated rating.,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Zhu_2022.txt,TEAS EA Verification/Source PDFs/covidence_381_full_article.pdf,p. 422; Table 3,AI assistant under user delegation,2026-09-20
V38-AUDIT-0019,AUDIT-0019,Zhu 2022,2.4,Deviations affect outcome?,NI,Usual-care participants unblinded; recovery care/reporting could differ.,Some concerns,Manual source-informed assessment; see domain rationale for uncertainty/author judgment. Not a software-generated rating.,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Zhu_2022.txt,TEAS EA Verification/Source PDFs/covidence_381_full_article.pdf,p. 422; Table 3,AI assistant under user delegation,2026-09-20
V38-AUDIT-0019,AUDIT-0019,Zhu 2022,2.5,Deviations balanced?,NI,Usual-care participants unblinded; recovery care/reporting could differ.,Some concerns,Manual source-informed assessment; see domain rationale for uncertainty/author judgment. Not a software-generated rating.,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Zhu_2022.txt,TEAS EA Verification/Source PDFs/covidence_381_full_article.pdf,p. 422; Table 3,AI assistant under user delegation,2026-09-20
V38-AUDIT-0019,AUDIT-0019,Zhu 2022,2.6,Assignment-effect analysis appropriate?,PY,Usual-care participants unblinded; recovery care/reporting could differ.,Some concerns,Manual source-informed assessment; see domain rationale for uncertainty/author judgment. Not a software-generated rating.,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Zhu_2022.txt,TEAS EA Verification/Source PDFs/covidence_381_full_article.pdf,p. 422; Table 3,AI assistant under user delegation,2026-09-20
V38-AUDIT-0019,AUDIT-0019,Zhu 2022,2.7,Analysis departure materially consequential?,NA,Usual-care participants unblinded; recovery care/reporting could differ.,Some concerns,Manual source-informed assessment; see domain rationale for uncertainty/author judgment. Not a software-generated rating.,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Zhu_2022.txt,TEAS EA Verification/Source PDFs/covidence_381_full_article.pdf,p. 422; Table 3,AI assistant under user delegation,2026-09-20
V38-AUDIT-0019,AUDIT-0019,Zhu 2022,3.1,All or nearly all outcome data?,PY,"13/413 omitted; limited fraction; reported EM handling, but complete-case denominators used here.",Low,Manual source-informed assessment; see domain rationale for uncertainty/author judgment. Not a software-generated rating.,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Zhu_2022.txt,TEAS EA Verification/Source PDFs/covidence_381_full_article.pdf,p. 422; Table 3,AI assistant under user delegation,2026-09-20
V38-AUDIT-0019,AUDIT-0019,Zhu 2022,3.2,Evidence missingness does not bias result?,NA,"13/413 omitted; limited fraction; reported EM handling, but complete-case denominators used here.",Low,Manual source-informed assessment; see domain rationale for uncertainty/author judgment. Not a software-generated rating.,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Zhu_2022.txt,TEAS EA Verification/Source PDFs/covidence_381_full_article.pdf,p. 422; Table 3,AI assistant under user delegation,2026-09-20
V38-AUDIT-0019,AUDIT-0019,Zhu 2022,3.3,Missingness could depend on outcome?,NA,"13/413 omitted; limited fraction; reported EM handling, but complete-case denominators used here.",Low,Manual source-informed assessment; see domain rationale for uncertainty/author judgment. Not a software-generated rating.,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Zhu_2022.txt,TEAS EA Verification/Source PDFs/covidence_381_full_article.pdf,p. 422; Table 3,AI assistant under user delegation,2026-09-20
V38-AUDIT-0019,AUDIT-0019,Zhu 2022,3.4,Such dependence likely?,NA,"13/413 omitted; limited fraction; reported EM handling, but complete-case denominators used here.",Low,Manual source-informed assessment; see domain rationale for uncertainty/author judgment. Not a software-generated rating.,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Zhu_2022.txt,TEAS EA Verification/Source PDFs/covidence_381_full_article.pdf,p. 422; Table 3,AI assistant under user delegation,2026-09-20
V38-AUDIT-0019,AUDIT-0019,Zhu 2022,4.1,Measurement method inappropriate?,PN,Nausea/flatus self-reports potentially influenced by awareness; vomiting and clinician-masked dose separately rated.,Some concerns,Manual source-informed assessment; see domain rationale for uncertainty/author judgment. Not a software-generated rating.,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Zhu_2022.txt,TEAS EA Verification/Source PDFs/covidence_381_full_article.pdf,p. 422; Table 3,AI assistant under user delegation,2026-09-20
