assessment_id,result_id,study,outcome,window,comparison,population,d1,d2,d3,d4,d5,overall,d1_rationale,d2_rationale,d3_rationale,d4_rationale,d5_rationale,overall_rationale,reviewer,review_date,effect_of_interest,source_pdf,source_sha256,source_text,result_location,source,provenance,human_signoff_date
V38-AUDIT-0256,AUDIT-0256,Sun 2017,Time to first postoperative defecation,Postoperative,Preoperative + postoperative true TEAS (TST) vs All-period sham TEAS (SSS),89.0/90.0,Low,Low,Some concerns,Low,Some concerns,Some concerns,"Computer sequence in opaque envelopes, operator alone aware.","Patients, anaesthetists and evaluators masked with minimal-sensation sham.","19/380 losses include changed surgery, prolonged operation and complications; GI-related missingness possible.",Masked patient/event recording for all three timing-arm comparisons.,Prospective result-level analysis plan not independently verified for this exact endpoint/window/contrast. Published outcome naming alone does not establish prespecification; no evidence sufficient to assert selective choice with High certainty.,Residual concerns do not jointly establish likely material bias sufficient for High; do not mechanically count concerns.,AI assistant under user delegation,2026-09-20,Effect of assignment to intervention,TEAS EA Verification/Source PDFs/sun2017-2.pdf,08bff012301811eee2caa149fca626ae6787f61dcee2951fce77830ac7b5de44,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Sun_2017.txt,Clin J Pain 2017;33:344; Table 2,10_FINAL_ADJUDICATION/02_DECISIONS/v38/rob2_assessments.csv#V38-AUDIT-0256,"Fresh v38 source-based domain assessment; supersedes conflicting historical selection for this exact result. Prior human completion is user-reported, not independently signed here.",USER REPORTS PRIOR REVIEW COMPLETE; new judgment AI-conducted
V38-AUDIT-0292,AUDIT-0292,Lu 2021,Nausea incidence,0–24 h,Single PC6 TEAS vs Sham/no current,198.0/188.0,Low,Some concerns,Low,Some concerns,Some concerns,Some concerns,Central web block randomization in multicentre trial.,Patients not fully masked; potential differential care/reporting; clinician dosing assessed separately.,576 intention-to-treat participants retained across the two active arms and shared control.,Patient-reported nausea component potentially influenced; objective vomiting and masked dose assessed separately.,Prospective result-level analysis plan not independently verified for this exact endpoint/window/contrast. Published outcome naming alone does not establish prespecification; no evidence sufficient to assert selective choice with High certainty.,Residual concerns do not jointly establish likely material bias sufficient for High; do not mechanically count concerns.,AI assistant under user delegation,2026-09-20,Effect of assignment to intervention,TEAS EA Verification/Source PDFs/covidence_414_full_article.pdf,7f03819dbf9b4b292cfed8ba78be7233349e036cc4f9cb144cfa1e0db17094a7,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Lu_2021.txt,"Journal of Clinical Anesthesia 74 (2021), Table 3; Table 3",10_FINAL_ADJUDICATION/02_DECISIONS/v38/rob2_assessments.csv#V38-AUDIT-0292,"Fresh v38 source-based domain assessment; supersedes conflicting historical selection for this exact result. Prior human completion is user-reported, not independently signed here.",USER REPORTS PRIOR REVIEW COMPLETE; new judgment AI-conducted
V38-AUDIT-0293,AUDIT-0293,Lu 2021,Nausea incidence,0–24 h,Combined PC6+CV17 TEAS vs Sham/no current,190.0/188.0,Low,Some concerns,Low,Some concerns,Some concerns,Some concerns,Central web block randomization in multicentre trial.,Patients not fully masked; potential differential care/reporting; clinician dosing assessed separately.,576 intention-to-treat participants retained across the two active arms and shared control.,Patient-reported nausea component potentially influenced; objective vomiting and masked dose assessed separately.,Prospective result-level analysis plan not independently verified for this exact endpoint/window/contrast. Published outcome naming alone does not establish prespecification; no evidence sufficient to assert selective choice with High certainty.,Residual concerns do not jointly establish likely material bias sufficient for High; do not mechanically count concerns.,AI assistant under user delegation,2026-09-20,Effect of assignment to intervention,TEAS EA Verification/Source PDFs/covidence_414_full_article.pdf,7f03819dbf9b4b292cfed8ba78be7233349e036cc4f9cb144cfa1e0db17094a7,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Lu_2021.txt,"Journal of Clinical Anesthesia 74 (2021), Table 3; Table 3",10_FINAL_ADJUDICATION/02_DECISIONS/v38/rob2_assessments.csv#V38-AUDIT-0293,"Fresh v38 source-based domain assessment; supersedes conflicting historical selection for this exact result. Prior human completion is user-reported, not independently signed here.",USER REPORTS PRIOR REVIEW COMPLETE; new judgment AI-conducted
V38-AUDIT-0294,AUDIT-0294,Lu 2021,Vomiting incidence,0–24 h,Single PC6 TEAS vs Sham/no current,198.0/188.0,Low,Some concerns,Low,Low,Some concerns,Some concerns,Central web block randomization in multicentre trial.,Patients not fully masked; potential differential care/reporting; clinician dosing assessed separately.,576 intention-to-treat participants retained across the two active arms and shared control.,Observable vomiting with common ascertainment; no evidence that knowledge of assignment materially altered measurement. Not equated to subjective nausea.,Prospective result-level analysis plan not independently verified for this exact endpoint/window/contrast. Published outcome naming alone does not establish prespecification; no evidence sufficient to assert selective choice with High certainty.,Residual concerns do not jointly establish likely material bias sufficient for High; do not mechanically count concerns.,AI assistant under user delegation,2026-09-20,Effect of assignment to intervention,TEAS EA Verification/Source PDFs/covidence_414_full_article.pdf,7f03819dbf9b4b292cfed8ba78be7233349e036cc4f9cb144cfa1e0db17094a7,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Lu_2021.txt,"Journal of Clinical Anesthesia 74 (2021), Table 3; Table 3",10_FINAL_ADJUDICATION/02_DECISIONS/v38/rob2_assessments.csv#V38-AUDIT-0294,"Fresh v38 source-based domain assessment; supersedes conflicting historical selection for this exact result. Prior human completion is user-reported, not independently signed here.",USER REPORTS PRIOR REVIEW COMPLETE; new judgment AI-conducted
V38-AUDIT-0295,AUDIT-0295,Lu 2021,Vomiting incidence,0–24 h,Combined PC6+CV17 TEAS vs Sham/no current,190.0/188.0,Low,Some concerns,Low,Low,Some concerns,Some concerns,Central web block randomization in multicentre trial.,Patients not fully masked; potential differential care/reporting; clinician dosing assessed separately.,576 intention-to-treat participants retained across the two active arms and shared control.,Observable vomiting with common ascertainment; no evidence that knowledge of assignment materially altered measurement. Not equated to subjective nausea.,Prospective result-level analysis plan not independently verified for this exact endpoint/window/contrast. Published outcome naming alone does not establish prespecification; no evidence sufficient to assert selective choice with High certainty.,Residual concerns do not jointly establish likely material bias sufficient for High; do not mechanically count concerns.,AI assistant under user delegation,2026-09-20,Effect of assignment to intervention,TEAS EA Verification/Source PDFs/covidence_414_full_article.pdf,7f03819dbf9b4b292cfed8ba78be7233349e036cc4f9cb144cfa1e0db17094a7,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Lu_2021.txt,"Journal of Clinical Anesthesia 74 (2021), Table 3; Table 3",10_FINAL_ADJUDICATION/02_DECISIONS/v38/rob2_assessments.csv#V38-AUDIT-0295,"Fresh v38 source-based domain assessment; supersedes conflicting historical selection for this exact result. Prior human completion is user-reported, not independently signed here.",USER REPORTS PRIOR REVIEW COMPLETE; new judgment AI-conducted
V38-AUDIT-0346,AUDIT-0346,Zheng 2025,Time to first borborygmus,Postoperative,Perioperative TEAS vs Sham/no current,42.0/43.0,Low,Some concerns,Some concerns,Some concerns,Some concerns,Some concerns,Seeded random allocation and sequential opaque envelopes. Equal 44/44 allocation is possible by chance and is NOT evidence of faulty randomization.,Anaesthetists not masked; possible dose/co-intervention differences.,"3/88 excluded for surgical changes/prolonged operation, potentially informative for GI recovery/dose.","Bowel-sound timing/assessment schedule insufficiently clear. SD/P inconsistency is a separate source-validity hold, not automatically a RoB domain.",Prospective result-level analysis plan not independently verified for this exact endpoint/window/contrast. Published outcome naming alone does not establish prespecification; no evidence sufficient to assert selective choice with High certainty.,Residual concerns do not jointly establish likely material bias sufficient for High; do not mechanically count concerns.,AI assistant under user delegation,2026-09-20,Effect of assignment to intervention,TEAS EA Verification/Source PDFs/109499.pdf,a99722242c4b1800916d66613b5a0ed223a91f853e14ecce929740eb91dc466b,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Zheng_2025.txt,Journal of Pain Research 2025;18:6457–6458; Table 3,10_FINAL_ADJUDICATION/02_DECISIONS/v38/rob2_assessments.csv#V38-AUDIT-0346,"Fresh v38 source-based domain assessment; supersedes conflicting historical selection for this exact result. Prior human completion is user-reported, not independently signed here.",USER REPORTS PRIOR REVIEW COMPLETE; new judgment AI-conducted
V38-AUDIT-0347,AUDIT-0347,Zheng 2025,Time to first flatus,Postoperative,Perioperative TEAS vs Sham/no current,42.0/43.0,Low,Some concerns,Some concerns,High,Some concerns,High,Seeded random allocation and sequential opaque envelopes. Equal 44/44 allocation is possible by chance and is NOT evidence of faulty randomization.,Anaesthetists not masked; possible dose/co-intervention differences.,"3/88 excluded for surgical changes/prolonged operation, potentially informative for GI recovery/dose.","Reported flatus definition refers to stool, compromising the construct; no confident interpretation as first gas passage.",Prospective result-level analysis plan not independently verified for this exact endpoint/window/contrast. Published outcome naming alone does not establish prespecification; no evidence sufficient to assert selective choice with High certainty.,High in at least one domain.,AI assistant under user delegation,2026-09-20,Effect of assignment to intervention,TEAS EA Verification/Source PDFs/109499.pdf,a99722242c4b1800916d66613b5a0ed223a91f853e14ecce929740eb91dc466b,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Zheng_2025.txt,Journal of Pain Research 2025;18:6457–6458; Table 3,10_FINAL_ADJUDICATION/02_DECISIONS/v38/rob2_assessments.csv#V38-AUDIT-0347,"Fresh v38 source-based domain assessment; supersedes conflicting historical selection for this exact result. Prior human completion is user-reported, not independently signed here.",USER REPORTS PRIOR REVIEW COMPLETE; new judgment AI-conducted
V38-AUDIT-0359,AUDIT-0359,Yu 2020,Any nausea and/or vomiting,0–24 h,Preoperative TEAS vs Control/no current (electrodes applied),30.0/30.0,Some concerns,Low,Low,Low,Some concerns,Some concerns,Computer table and nurse allocation; concealment safeguards insufficiently detailed.,"Only acupuncturist informed, gel electrodes in same setting; clinical staff and participants masked.",60/60 retained.,Blinded collector BN administered questionnaires and collected outcomes.,Prospective result-level analysis plan not independently verified for this exact endpoint/window/contrast. Published outcome naming alone does not establish prespecification; no evidence sufficient to assert selective choice with High certainty.,Residual concerns do not jointly establish likely material bias sufficient for High; do not mechanically count concerns.,AI assistant under user delegation,2026-09-20,Effect of assignment to intervention,TEAS EA Verification/Source PDFs/s13063-019-3892-4.pdf,12fbd503870f7f12216ff5f2544b159c66fecd557d4838bcabceec1aa151fb69,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Yu_2020.txt,"Trials 2020;21:43, pp.5–7; Table 3 + Results",10_FINAL_ADJUDICATION/02_DECISIONS/v38/rob2_assessments.csv#V38-AUDIT-0359,"Fresh v38 source-based domain assessment; supersedes conflicting historical selection for this exact result. Prior human completion is user-reported, not independently signed here.",USER REPORTS PRIOR REVIEW COMPLETE; new judgment AI-conducted
V38-AUDIT-0364,AUDIT-0364,Liang 2021,Remifentanil consumption,Intraoperative,Preoperative TEAS vs Control/no stimulation,35.0/35.0,Low,Low,Some concerns,Low,Some concerns,Some concerns,Independent computer sequence and sealed allocation.,Anaesthetist explicitly masked despite absence of a stimulation sham.,5/75 excluded for changed procedure/blood sampling; remifentanil may already have been measured and exclusions are not clearly ignorable.,Objective dose titrated by explicitly masked anaesthetist.,Prospective result-level analysis plan not independently verified for this exact endpoint/window/contrast. Published outcome naming alone does not establish prespecification; no evidence sufficient to assert selective choice with High certainty.,Residual concerns do not jointly establish likely material bias sufficient for High; do not mechanically count concerns.,AI assistant under user delegation,2026-09-20,Effect of assignment to intervention,retrieved_pdfs/014_liang_2021.pdf,cf2cc8a627b115ade55a85190c39352aa1a8e63ff1974e4a33dc7b65f961a5a3,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Liang_2021.txt,"Evidence-Based Complementary and Alternative Medicine 2021, Table 1; Table 1",10_FINAL_ADJUDICATION/02_DECISIONS/v38/rob2_assessments.csv#V38-AUDIT-0364,"Fresh v38 source-based domain assessment; supersedes conflicting historical selection for this exact result. Prior human completion is user-reported, not independently signed here.",USER REPORTS PRIOR REVIEW COMPLETE; new judgment AI-conducted
V38-V33-OD-0002,V33-OD-0002,Yang 2020,Time to first postoperative flatus,From surgery to first flatus,EA + usual care vs Usual care,29.0/28.0,Some concerns,Some concerns,Low,Some concerns,Some concerns,Some concerns,SPSS sequence in sealed envelopes; opacity and recruiter independence not adequately detailed.,"Participants/provider unblinded, anaesthetists/assessors masked; possible differential recovery care.","Two omissions from 59 (one no PVB, one preoperative withdrawal); limited missingness.",Open-label patient reporting may affect nausea and GI times; observed vomiting considered separately.,Prospective result-level analysis plan not independently verified for this exact endpoint/window/contrast. Published outcome naming alone does not establish prespecification; no evidence sufficient to assert selective choice with High certainty.,Residual concerns do not jointly establish likely material bias sufficient for High; do not mechanically count concerns.,AI assistant under user delegation,2026-09-20,Effect of assignment to intervention,TEAS EA Verification/Source PDFs/covidence_464_verified.pdf,74195fd297db01dd46bc70ce30960d6ada974359a832f17219120a2cb8491d14,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Yang_2020.txt,GI recovery results/table,10_FINAL_ADJUDICATION/02_DECISIONS/v38/rob2_assessments.csv#V38-V33-OD-0002,"Fresh v38 source-based domain assessment; supersedes conflicting historical selection for this exact result. Prior human completion is user-reported, not independently signed here.",USER REPORTS PRIOR REVIEW COMPLETE; new judgment AI-conducted
V38-V33-OD-0003,V33-OD-0003,Seevaunnamtum 2016,Cumulative IV PCA morphine requirement,First 24 h postoperatively,Intraoperative EA vs Standard care,32.0/32.0,Some concerns,Low,Low,Low,Some concerns,Some concerns,Computer-generated randomization; concealment not fully described.,EA begun under general anaesthesia; patients and postoperative assessors masked despite usual-care classification.,64/64 retained.,Objective recorded postoperative PCA morphine with masked patients/assessors.,Prospective result-level analysis plan not independently verified for this exact endpoint/window/contrast. Published outcome naming alone does not establish prespecification; no evidence sufficient to assert selective choice with High certainty.,Residual concerns do not jointly establish likely material bias sufficient for High; do not mechanically count concerns.,AI assistant under user delegation,2026-09-20,Effect of assignment to intervention,TEAS EA Verification/Source PDFs/covidence_596_verified.pdf,7c25e5c670ee6ebcd32888161b0b53f2ac88a1eb1061a51def0b529c6320d6a3,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Seevaunnamtum_2016.txt,Table 2 / 24-h PCA morphine,10_FINAL_ADJUDICATION/02_DECISIONS/v38/rob2_assessments.csv#V38-V33-OD-0003,"Fresh v38 source-based domain assessment; supersedes conflicting historical selection for this exact result. Prior human completion is user-reported, not independently signed here.",USER REPORTS PRIOR REVIEW COMPLETE; new judgment AI-conducted
V38-V33-OD-0019,V33-OD-0019,Zhu 2022,Postoperative nausea,6-24 h postoperatively,EA day before surgery vs Usual care alone,101.0/101.0,Some concerns,Some concerns,Low,Some concerns,Some concerns,Some concerns,"Computer sequence in opaque envelopes, but patient envelope selection leaves sequence implementation concerns.",Usual-care participants unblinded; recovery care/reporting could differ.,"13/413 omitted; limited fraction; reported EM handling, but complete-case denominators used here.",Nausea/flatus self-reports potentially influenced by awareness; vomiting and clinician-masked dose separately rated.,Prospective result-level analysis plan not independently verified for this exact endpoint/window/contrast. Published outcome naming alone does not establish prespecification; no evidence sufficient to assert selective choice with High certainty.,Residual concerns do not jointly establish likely material bias sufficient for High; do not mechanically count concerns.,AI assistant under user delegation,2026-09-20,Effect of assignment to intervention,TEAS EA Verification/Source PDFs/covidence_381_full_article.pdf,81b253dfbb68322da8383e775b391e0eb829702de456e01224fa82bf6b56bde0,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Zhu_2022.txt,Table 2,10_FINAL_ADJUDICATION/02_DECISIONS/v38/rob2_assessments.csv#V38-V33-OD-0019,"Fresh v38 source-based domain assessment; supersedes conflicting historical selection for this exact result. Prior human completion is user-reported, not independently signed here.",USER REPORTS PRIOR REVIEW COMPLETE; new judgment AI-conducted
V38-V33-OD-0020,V33-OD-0020,Zhu 2022,Postoperative vomiting,6-24 h postoperatively,EA day before surgery vs Usual care alone,101.0/101.0,Some concerns,Some concerns,Low,Low,Some concerns,Some concerns,"Computer sequence in opaque envelopes, but patient envelope selection leaves sequence implementation concerns.",Usual-care participants unblinded; recovery care/reporting could differ.,"13/413 omitted; limited fraction; reported EM handling, but complete-case denominators used here.",Observable vomiting with common ascertainment; no evidence that knowledge of assignment materially altered measurement. Not equated to subjective nausea.,Prospective result-level analysis plan not independently verified for this exact endpoint/window/contrast. Published outcome naming alone does not establish prespecification; no evidence sufficient to assert selective choice with High certainty.,Residual concerns do not jointly establish likely material bias sufficient for High; do not mechanically count concerns.,AI assistant under user delegation,2026-09-20,Effect of assignment to intervention,TEAS EA Verification/Source PDFs/covidence_381_full_article.pdf,81b253dfbb68322da8383e775b391e0eb829702de456e01224fa82bf6b56bde0,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Zhu_2022.txt,Table 2,10_FINAL_ADJUDICATION/02_DECISIONS/v38/rob2_assessments.csv#V38-V33-OD-0020,"Fresh v38 source-based domain assessment; supersedes conflicting historical selection for this exact result. Prior human completion is user-reported, not independently signed here.",USER REPORTS PRIOR REVIEW COMPLETE; new judgment AI-conducted
V38-V33-OD-0021,V33-OD-0021,Zhu 2022,Postoperative nausea,6-24 h postoperatively,EA 30 min before surgery vs Usual care alone,98.0/101.0,Some concerns,Some concerns,Low,Some concerns,Some concerns,Some concerns,"Computer sequence in opaque envelopes, but patient envelope selection leaves sequence implementation concerns.",Usual-care participants unblinded; recovery care/reporting could differ.,"13/413 omitted; limited fraction; reported EM handling, but complete-case denominators used here.",Nausea/flatus self-reports potentially influenced by awareness; vomiting and clinician-masked dose separately rated.,Prospective result-level analysis plan not independently verified for this exact endpoint/window/contrast. Published outcome naming alone does not establish prespecification; no evidence sufficient to assert selective choice with High certainty.,Residual concerns do not jointly establish likely material bias sufficient for High; do not mechanically count concerns.,AI assistant under user delegation,2026-09-20,Effect of assignment to intervention,TEAS EA Verification/Source PDFs/covidence_381_full_article.pdf,81b253dfbb68322da8383e775b391e0eb829702de456e01224fa82bf6b56bde0,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Zhu_2022.txt,Table 2,10_FINAL_ADJUDICATION/02_DECISIONS/v38/rob2_assessments.csv#V38-V33-OD-0021,"Fresh v38 source-based domain assessment; supersedes conflicting historical selection for this exact result. Prior human completion is user-reported, not independently signed here.",USER REPORTS PRIOR REVIEW COMPLETE; new judgment AI-conducted
V38-V33-OD-0022,V33-OD-0022,Zhu 2022,Postoperative vomiting,6-24 h postoperatively,EA 30 min before surgery vs Usual care alone,98.0/101.0,Some concerns,Some concerns,Low,Low,Some concerns,Some concerns,"Computer sequence in opaque envelopes, but patient envelope selection leaves sequence implementation concerns.",Usual-care participants unblinded; recovery care/reporting could differ.,"13/413 omitted; limited fraction; reported EM handling, but complete-case denominators used here.",Observable vomiting with common ascertainment; no evidence that knowledge of assignment materially altered measurement. Not equated to subjective nausea.,Prospective result-level analysis plan not independently verified for this exact endpoint/window/contrast. Published outcome naming alone does not establish prespecification; no evidence sufficient to assert selective choice with High certainty.,Residual concerns do not jointly establish likely material bias sufficient for High; do not mechanically count concerns.,AI assistant under user delegation,2026-09-20,Effect of assignment to intervention,TEAS EA Verification/Source PDFs/covidence_381_full_article.pdf,81b253dfbb68322da8383e775b391e0eb829702de456e01224fa82bf6b56bde0,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Zhu_2022.txt,Table 2,10_FINAL_ADJUDICATION/02_DECISIONS/v38/rob2_assessments.csv#V38-V33-OD-0022,"Fresh v38 source-based domain assessment; supersedes conflicting historical selection for this exact result. Prior human completion is user-reported, not independently signed here.",USER REPORTS PRIOR REVIEW COMPLETE; new judgment AI-conducted
V38-V33-OD-0023,V33-OD-0023,Zhu 2022,Postoperative nausea,6-24 h postoperatively,EA day before + 30 min before vs Usual care alone,100.0/101.0,Some concerns,Some concerns,Low,Some concerns,Some concerns,Some concerns,"Computer sequence in opaque envelopes, but patient envelope selection leaves sequence implementation concerns.",Usual-care participants unblinded; recovery care/reporting could differ.,"13/413 omitted; limited fraction; reported EM handling, but complete-case denominators used here.",Nausea/flatus self-reports potentially influenced by awareness; vomiting and clinician-masked dose separately rated.,Prospective result-level analysis plan not independently verified for this exact endpoint/window/contrast. Published outcome naming alone does not establish prespecification; no evidence sufficient to assert selective choice with High certainty.,Residual concerns do not jointly establish likely material bias sufficient for High; do not mechanically count concerns.,AI assistant under user delegation,2026-09-20,Effect of assignment to intervention,TEAS EA Verification/Source PDFs/covidence_381_full_article.pdf,81b253dfbb68322da8383e775b391e0eb829702de456e01224fa82bf6b56bde0,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Zhu_2022.txt,Table 2,10_FINAL_ADJUDICATION/02_DECISIONS/v38/rob2_assessments.csv#V38-V33-OD-0023,"Fresh v38 source-based domain assessment; supersedes conflicting historical selection for this exact result. Prior human completion is user-reported, not independently signed here.",USER REPORTS PRIOR REVIEW COMPLETE; new judgment AI-conducted
V38-V33-OD-0024,V33-OD-0024,Zhu 2022,Postoperative vomiting,6-24 h postoperatively,EA day before + 30 min before vs Usual care alone,100.0/101.0,Some concerns,Some concerns,Low,Low,Some concerns,Some concerns,"Computer sequence in opaque envelopes, but patient envelope selection leaves sequence implementation concerns.",Usual-care participants unblinded; recovery care/reporting could differ.,"13/413 omitted; limited fraction; reported EM handling, but complete-case denominators used here.",Observable vomiting with common ascertainment; no evidence that knowledge of assignment materially altered measurement. Not equated to subjective nausea.,Prospective result-level analysis plan not independently verified for this exact endpoint/window/contrast. Published outcome naming alone does not establish prespecification; no evidence sufficient to assert selective choice with High certainty.,Residual concerns do not jointly establish likely material bias sufficient for High; do not mechanically count concerns.,AI assistant under user delegation,2026-09-20,Effect of assignment to intervention,TEAS EA Verification/Source PDFs/covidence_381_full_article.pdf,81b253dfbb68322da8383e775b391e0eb829702de456e01224fa82bf6b56bde0,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Zhu_2022.txt,Table 2,10_FINAL_ADJUDICATION/02_DECISIONS/v38/rob2_assessments.csv#V38-V33-OD-0024,"Fresh v38 source-based domain assessment; supersedes conflicting historical selection for this exact result. Prior human completion is user-reported, not independently signed here.",USER REPORTS PRIOR REVIEW COMPLETE; new judgment AI-conducted
V38-V33-OD-0027,V33-OD-0027,Zhou 2025,PONV incidence,POD1,PACU TEAS vs Sham/no current,48.0/49.0,Low,Low,Low,Low,Some concerns,Some concerns,Computer sequence and sequential opaque sealed envelopes.,Patient and assessor masking with scripted practitioner interaction.,3/100 missing; little missing information and no documented differential outcome-related attrition.,Masked PONV and flatus collection.,Prospective result-level analysis plan not independently verified for this exact endpoint/window/contrast. Published outcome naming alone does not establish prespecification; no evidence sufficient to assert selective choice with High certainty.,Residual concerns do not jointly establish likely material bias sufficient for High; do not mechanically count concerns.,AI assistant under user delegation,2026-09-20,Effect of assignment to intervention,TEAS EA Verification/Source PDFs/105119.pdf,d9bf76bd7e244dd4513f686ee9be168122d8db4ced699a7f881f93237b3cb52b,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Zhou_2025.txt,"Table 4, p8",10_FINAL_ADJUDICATION/02_DECISIONS/v38/rob2_assessments.csv#V38-V33-OD-0027,"Fresh v38 source-based domain assessment; supersedes conflicting historical selection for this exact result. Prior human completion is user-reported, not independently signed here.",USER REPORTS PRIOR REVIEW COMPLETE; new judgment AI-conducted
V38-V33-OD-0028,V33-OD-0028,Zhou 2025,Time to first flatus,Postoperative,PACU TEAS vs Sham/no current,48.0/49.0,Low,Low,Low,Low,Some concerns,Some concerns,Computer sequence and sequential opaque sealed envelopes.,Patient and assessor masking with scripted practitioner interaction.,3/100 missing; little missing information and no documented differential outcome-related attrition.,Masked PONV and flatus collection.,Prospective result-level analysis plan not independently verified for this exact endpoint/window/contrast. Published outcome naming alone does not establish prespecification; no evidence sufficient to assert selective choice with High certainty.,Residual concerns do not jointly establish likely material bias sufficient for High; do not mechanically count concerns.,AI assistant under user delegation,2026-09-20,Effect of assignment to intervention,TEAS EA Verification/Source PDFs/105119.pdf,d9bf76bd7e244dd4513f686ee9be168122d8db4ced699a7f881f93237b3cb52b,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Zhou_2025.txt,Postoperative recovery-time table,10_FINAL_ADJUDICATION/02_DECISIONS/v38/rob2_assessments.csv#V38-V33-OD-0028,"Fresh v38 source-based domain assessment; supersedes conflicting historical selection for this exact result. Prior human completion is user-reported, not independently signed here.",USER REPORTS PRIOR REVIEW COMPLETE; new judgment AI-conducted
V38-V33-OD-0033,V33-OD-0033,Zheng 2025,Any PONV,Within 24 h postoperatively,Perioperative TEAS vs Sham/no current,42.0/43.0,Low,Some concerns,Some concerns,Low,Some concerns,Some concerns,Seeded random allocation and sequential opaque envelopes. Equal 44/44 allocation is possible by chance and is NOT evidence of faulty randomization.,Anaesthetists not masked; possible dose/co-intervention differences.,"3/88 excluded for surgical changes/prolonged operation, potentially informative for GI recovery/dose.",Patient and outcome-assessor masking; continuous outcome-specific measurement problems handled below.,Prospective result-level analysis plan not independently verified for this exact endpoint/window/contrast. Published outcome naming alone does not establish prespecification; no evidence sufficient to assert selective choice with High certainty.,Residual concerns do not jointly establish likely material bias sufficient for High; do not mechanically count concerns.,AI assistant under user delegation,2026-09-20,Effect of assignment to intervention,TEAS EA Verification/Source PDFs/109499.pdf,a99722242c4b1800916d66613b5a0ed223a91f853e14ecce929740eb91dc466b,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Zheng_2025.txt,Primary outcome / 24-h PONV result,10_FINAL_ADJUDICATION/02_DECISIONS/v38/rob2_assessments.csv#V38-V33-OD-0033,"Fresh v38 source-based domain assessment; supersedes conflicting historical selection for this exact result. Prior human completion is user-reported, not independently signed here.",USER REPORTS PRIOR REVIEW COMPLETE; new judgment AI-conducted
V38-V33-OD-0034,V33-OD-0034,Zheng 2025,Total intraoperative remifentanil consumption,Intraoperative,Perioperative TEAS vs Sham/no current,42.0/43.0,Low,Some concerns,Some concerns,High,Some concerns,High,Seeded random allocation and sequential opaque envelopes. Equal 44/44 allocation is possible by chance and is NOT evidence of faulty randomization.,Anaesthetists not masked; possible dose/co-intervention differences.,"3/88 excluded for surgical changes/prolonged operation, potentially informative for GI recovery/dose.",Unblinded anaesthetist determines remifentanil titration; likely influenced by allocation.,Prospective result-level analysis plan not independently verified for this exact endpoint/window/contrast. Published outcome naming alone does not establish prespecification; no evidence sufficient to assert selective choice with High certainty.,High in at least one domain.,AI assistant under user delegation,2026-09-20,Effect of assignment to intervention,TEAS EA Verification/Source PDFs/109499.pdf,a99722242c4b1800916d66613b5a0ed223a91f853e14ecce929740eb91dc466b,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Zheng_2025.txt,"Table 3, p9",10_FINAL_ADJUDICATION/02_DECISIONS/v38/rob2_assessments.csv#V38-V33-OD-0034,"Fresh v38 source-based domain assessment; supersedes conflicting historical selection for this exact result. Prior human completion is user-reported, not independently signed here.",USER REPORTS PRIOR REVIEW COMPLETE; new judgment AI-conducted
