"previous_screening_sequence","previous_covidence_number","next_screening_sequence","next_covidence_number","gap_size","previous_vote_registered","queue_count_changed","next_citation_distinct","visible_citation_bypassed","notes"
"85","109","86","112","2","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in the ascending active queue; no visible citation was bypassed."
"89","115","90","117","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in the ascending active queue; no visible citation was bypassed."
"92","119","93","121","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in the ascending active queue; no visible citation was bypassed."
"101","129","102","131","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in the ascending active queue; no visible citation was bypassed."
"115","144","116","146","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in the ascending active queue; no visible citation was bypassed."
"117","147","118","149","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in the ascending active queue; no visible citation was bypassed."
"124","155","125","159","3","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in the ascending active queue; no visible citation was bypassed."
"125","159","126","161","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in the ascending active queue; no visible citation was bypassed."
"127","162","128","165","2","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in the ascending active queue; no visible citation was bypassed."
"128","165","129","167","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in the ascending active queue; no visible citation was bypassed."
"132","170","133","172","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in the ascending active queue; no visible citation was bypassed."
"133","172","134","174","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in the ascending active queue; no visible citation was bypassed."
"139","179","140","183","3","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in the ascending active queue; no visible citation was bypassed."
"140","183","141","185","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in the ascending active queue; no visible citation was bypassed."
"142","186","143","188","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in the ascending active queue; no visible citation was bypassed."
"145","190","146","192","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in the ascending active queue; no visible citation was bypassed."
"151","197","152","199","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in the ascending active queue; no visible citation was bypassed."
"161","208","162","211","2","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in the ascending active queue; no visible citation was bypassed."
"163","212","164","214","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in the ascending active queue; no visible citation was bypassed."
"165","215","166","217","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in the ascending active queue; no visible citation was bypassed."
"166","217","167","219","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in the ascending active queue; no visible citation was bypassed."
"172","224","173","226","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in the ascending active queue; no visible citation was bypassed."
"173","226","174","228","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in the ascending active queue; no visible citation was bypassed."
"177","231","178","234","2","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in the ascending active queue; no visible citation was bypassed."
"180","236","181","238","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in the ascending active queue; no visible citation was bypassed."
"182","239","183","241","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in the ascending active queue; no visible citation was bypassed."
"183","241","184","243","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in the ascending active queue; no visible citation was bypassed."
"187","246","188","248","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in the ascending active queue; no visible citation was bypassed."
"190","250","191","252","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in the ascending active queue; no visible citation was bypassed."
"191","252","192","255","2","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in the ascending active queue; no visible citation was bypassed."
"192","255","193","257","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in the ascending active queue; no visible citation was bypassed."
"194","258","195","260","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in the ascending active queue; no visible citation was bypassed."
"196","261","197","263","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in the ascending active queue; no visible citation was bypassed."
"197","263","198","266","2","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in the ascending active queue; no visible citation was bypassed."
"208","276","209","278","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in the ascending active queue; no visible citation was bypassed."
"214","283","215","285","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in the ascending active queue; no visible citation was bypassed."
"217","287","218","289","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in the ascending active queue; no visible citation was bypassed."
"220","291","221","295","3","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in the ascending active queue; no visible citation was bypassed."
"221","295","222","297","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in the ascending active queue; no visible citation was bypassed."
"227","302","228","304","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in the ascending active queue; no visible citation was bypassed."
"229","305","230","307","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in the ascending active queue; no visible citation was bypassed."
"234","311","235","313","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in the ascending active queue; no visible citation was bypassed."
"239","317","240","320","2","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in the ascending active queue; no visible citation was bypassed."
"240","320","241","322","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in the ascending active queue; no visible citation was bypassed."
"257","338","258","340","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in the ascending active queue; no visible citation was bypassed."
"259","341","260","343","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in the ascending active queue; no visible citation was bypassed."
"261","344","262","347","2","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in the ascending active queue; no visible citation was bypassed."
"267","352","268","354","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in the ascending active queue; no visible citation was bypassed."
"269","355","270","357","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in the ascending active queue; no visible citation was bypassed."
"273","360","274","362","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in the ascending active queue; no visible citation was bypassed."
"274","362","275","364","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in the ascending active queue; no visible citation was bypassed."
"275","364","276","367","2","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in the ascending active queue; no visible citation was bypassed."
"277","368","278","370","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in the ascending active queue; no visible citation was bypassed."
"284","376","285","378","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in the ascending active queue; no visible citation was bypassed."
"285","378","286","380","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in the ascending active queue; no visible citation was bypassed."
"288","382","289","385","2","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in the ascending active queue; no visible citation was bypassed."
"289","385","290","387","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in the ascending active queue; no visible citation was bypassed."
"291","388","292","391","2","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in the ascending active queue; no visible citation was bypassed."
"292","391","293","393","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in the ascending active queue; no visible citation was bypassed."
"307","407","308","410","2","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in the ascending active queue; no visible citation was bypassed."
"313","415","314","419","3","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in the ascending active queue; no visible citation was bypassed."
"329","434","330","437","2","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in the ascending active queue; no visible citation was bypassed."
"339","446","340","448","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in the ascending active queue; no visible citation was bypassed."
"341","449","342","451","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in the ascending active queue; no visible citation was bypassed."
"353","462","354","464","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in the ascending active queue; no visible citation was bypassed."
"360","470","361","472","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in the ascending active queue; no visible citation was bypassed."
"365","476","366","478","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in the ascending active queue; no visible citation was bypassed."
"377","489","378","491","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in the ascending active queue; no visible citation was bypassed."
"381","494","382","496","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in the ascending active queue; no visible citation was bypassed."
"388","502","389","504","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in the ascending active queue; no visible citation was bypassed."
"395","510","396","512","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in the ascending active queue; no visible citation was bypassed."
"400","516","401","518","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in the ascending active queue; no visible citation was bypassed."
"417","534","418","536","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in the ascending active queue; no visible citation was bypassed."
"419","537","420","539","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in the ascending active queue; no visible citation was bypassed."
"427","546","428","549","2","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in the ascending active queue; no visible citation was bypassed."
"441","562","442","564","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in the ascending active queue; no visible citation was bypassed."
"444","566","445","568","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in the ascending active queue; no visible citation was bypassed."
"447","570","448","572","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in the ascending active queue; no visible citation was bypassed."
"474","598","475","600","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in the ascending active queue; no visible citation was bypassed."
"480","605","481","608","2","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in the ascending active queue; no visible citation was bypassed."
"492","619","493","621","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in the ascending active queue; no visible citation was bypassed."
"493","621","494","623","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in the ascending active queue; no visible citation was bypassed."
