"screening_sequence","covidence_number","decision","covidence_reason","decision_basis","status"
"16","426","Exclude","Wrong outcomes","Report does not provide cumulative systemic postoperative opioid consumption to approximately 24 hours or pain at approximately 24 hours/POD1; secondary outcomes alone are insufficient.","submitted_in_covidence"
"17","431","Include","","English participant-results report retained with an eligible approximately 24-hour/POD1 pain or postoperative opioid outcome, or under the prespecified sensitivity-first rule where no positive exclusion evidence was present.","submitted_in_covidence"
"18","432","Include","","English participant-results report retained with an eligible approximately 24-hour/POD1 pain or postoperative opioid outcome, or under the prespecified sensitivity-first rule where no positive exclusion evidence was present.","submitted_in_covidence"
"19","433","Include","","English participant-results report retained with an eligible approximately 24-hour/POD1 pain or postoperative opioid outcome, or under the prespecified sensitivity-first rule where no positive exclusion evidence was present.","submitted_in_covidence"
"20","434","Exclude","Publication language","Full-text report is published only in a language other than English; English abstract/translated title does not satisfy the amended English-full-text eligibility criterion.","submitted_in_covidence"
"21","437","Include","","English participant-results report retained with an eligible approximately 24-hour/POD1 pain or postoperative opioid outcome, or under the prespecified sensitivity-first rule where no positive exclusion evidence was present.","submitted_in_covidence"
"22","438","Include","","English participant-results report retained with an eligible approximately 24-hour/POD1 pain or postoperative opioid outcome, or under the prespecified sensitivity-first rule where no positive exclusion evidence was present.","submitted_in_covidence"
"23","440","Exclude","Publication language","Full-text report is published only in a language other than English; English abstract/translated title does not satisfy the amended English-full-text eligibility criterion.","submitted_in_covidence"
"24","441","Include","","English participant-results report retained with an eligible approximately 24-hour/POD1 pain or postoperative opioid outcome, or under the prespecified sensitivity-first rule where no positive exclusion evidence was present.","submitted_in_covidence"
"25","444","Exclude","Publication language","Full-text report is published only in a language other than English; English abstract/translated title does not satisfy the amended English-full-text eligibility criterion.","submitted_in_covidence"
"26","449","Include","","English participant-results report retained with an eligible approximately 24-hour/POD1 pain or postoperative opioid outcome, or under the prespecified sensitivity-first rule where no positive exclusion evidence was present.","submitted_in_covidence"
"27","452","Exclude","Publication language","Full-text report is published only in a language other than English; English abstract/translated title does not satisfy the amended English-full-text eligibility criterion.","submitted_in_covidence"
"28","458","Exclude","Wrong outcomes","Report does not provide cumulative systemic postoperative opioid consumption to approximately 24 hours or pain at approximately 24 hours/POD1; secondary outcomes alone are insufficient.","submitted_in_covidence"
"29","460","Exclude","Wrong outcomes","Report does not provide cumulative systemic postoperative opioid consumption to approximately 24 hours or pain at approximately 24 hours/POD1; secondary outcomes alone are insufficient.","submitted_in_covidence"
"30","464","Include","","English participant-results report retained with an eligible approximately 24-hour/POD1 pain or postoperative opioid outcome, or under the prespecified sensitivity-first rule where no positive exclusion evidence was present.","submitted_in_covidence"
"31","465","Exclude","Publication language","Full-text report is published only in a language other than English; English abstract/translated title does not satisfy the amended English-full-text eligibility criterion.","submitted_in_covidence"
"32","469","Exclude","Publication language","Full-text report is published only in a language other than English; English abstract/translated title does not satisfy the amended English-full-text eligibility criterion.","submitted_in_covidence"
"33","473","Include","","English participant-results report retained with an eligible approximately 24-hour/POD1 pain or postoperative opioid outcome, or under the prespecified sensitivity-first rule where no positive exclusion evidence was present.","submitted_in_covidence"
"34","475","Exclude","Publication language","Full-text report is published only in a language other than English; English abstract/translated title does not satisfy the amended English-full-text eligibility criterion.","submitted_in_covidence"
"35","476","Exclude","Publication language","Full-text report is published only in a language other than English; English abstract/translated title does not satisfy the amended English-full-text eligibility criterion.","submitted_in_covidence"
"36","478","Exclude","Publication language","Full-text report is published only in a language other than English; English abstract/translated title does not satisfy the amended English-full-text eligibility criterion.","submitted_in_covidence"
"37","480","Include","","English participant-results report retained with an eligible approximately 24-hour/POD1 pain or postoperative opioid outcome, or under the prespecified sensitivity-first rule where no positive exclusion evidence was present.","submitted_in_covidence"
"38","493","Exclude","Publication language","Full-text report is published only in a language other than English; English abstract/translated title does not satisfy the amended English-full-text eligibility criterion.","submitted_in_covidence"
"39","505","Include","","English participant-results report retained with an eligible approximately 24-hour/POD1 pain or postoperative opioid outcome, or under the prespecified sensitivity-first rule where no positive exclusion evidence was present.","submitted_in_covidence"
"40","519","Exclude","Wrong intervention","Eligible TEAS/EA is inseparably bundled with an ineligible or unequal co-intervention, so its independent effect cannot be estimated.","submitted_in_covidence"
"41","521","Exclude","Publication language","Full-text report is published only in a language other than English; English abstract/translated title does not satisfy the amended English-full-text eligibility criterion.","submitted_in_covidence"
"42","757","Exclude","Publication language","Full-text report is published only in a language other than English; English abstract/translated title does not satisfy the amended English-full-text eligibility criterion.","submitted_in_covidence"
"43","759","Exclude","Wrong outcomes","Report does not provide cumulative systemic postoperative opioid consumption to approximately 24 hours or pain at approximately 24 hours/POD1; secondary outcomes alone are insufficient.","submitted_in_covidence"
"44","765","Exclude","Wrong outcomes","Report does not provide cumulative systemic postoperative opioid consumption to approximately 24 hours or pain at approximately 24 hours/POD1; secondary outcomes alone are insufficient.","submitted_in_covidence"
"45","774","Exclude","Wrong outcomes","Report does not provide cumulative systemic postoperative opioid consumption to approximately 24 hours or pain at approximately 24 hours/POD1; secondary outcomes alone are insufficient.","submitted_in_covidence"
"46","775","Include","","English participant-results report retained with an eligible approximately 24-hour/POD1 pain or postoperative opioid outcome, or under the prespecified sensitivity-first rule where no positive exclusion evidence was present.","submitted_in_covidence"
"47","778","Exclude","Publication language","Full-text report is published only in a language other than English; English abstract/translated title does not satisfy the amended English-full-text eligibility criterion.","submitted_in_covidence"
"48","786","Exclude","Wrong outcomes","Report does not provide cumulative systemic postoperative opioid consumption to approximately 24 hours or pain at approximately 24 hours/POD1; secondary outcomes alone are insufficient.","submitted_in_covidence"
"49","790","Exclude","Wrong setting","Full report positively establishes that surgery was not performed under general anaesthesia.","submitted_in_covidence"
"50","799","Exclude","Publication language","Full-text report is published only in a language other than English; English abstract/translated title does not satisfy the amended English-full-text eligibility criterion.","submitted_in_covidence"
"51","812","Include","","English participant-results report retained with an eligible approximately 24-hour/POD1 pain or postoperative opioid outcome, or under the prespecified sensitivity-first rule where no positive exclusion evidence was present.","submitted_in_covidence"
"52","813","Exclude","Publication language","Full-text report is published only in a language other than English; English abstract/translated title does not satisfy the amended English-full-text eligibility criterion.","submitted_in_covidence"
"53","819","Include","","English participant-results report retained with an eligible approximately 24-hour/POD1 pain or postoperative opioid outcome, or under the prespecified sensitivity-first rule where no positive exclusion evidence was present.","submitted_in_covidence"
"54","828","Include","","English participant-results report retained with an eligible approximately 24-hour/POD1 pain or postoperative opioid outcome, or under the prespecified sensitivity-first rule where no positive exclusion evidence was present.","submitted_in_covidence"
"55","833","Exclude","Publication language","Full-text report is published only in a language other than English; English abstract/translated title does not satisfy the amended English-full-text eligibility criterion.","submitted_in_covidence"
"56","839","Include","","English participant-results report retained with an eligible approximately 24-hour/POD1 pain or postoperative opioid outcome, or under the prespecified sensitivity-first rule where no positive exclusion evidence was present.","submitted_in_covidence"
"57","847","Exclude","Publication language","Full-text report is published only in a language other than English; English abstract/translated title does not satisfy the amended English-full-text eligibility criterion.","submitted_in_covidence"
"58","851","Exclude","Wrong outcomes","Report does not provide cumulative systemic postoperative opioid consumption to approximately 24 hours or pain at approximately 24 hours/POD1; secondary outcomes alone are insufficient.","submitted_in_covidence"
"59","865","Exclude","Publication language","Full-text report is published only in a language other than English; English abstract/translated title does not satisfy the amended English-full-text eligibility criterion.","submitted_in_covidence"
"60","868","Include","","English participant-results report retained with an eligible approximately 24-hour/POD1 pain or postoperative opioid outcome, or under the prespecified sensitivity-first rule where no positive exclusion evidence was present.","submitted_in_covidence"
"61","882","Include","","English participant-results report retained with an eligible approximately 24-hour/POD1 pain or postoperative opioid outcome, or under the prespecified sensitivity-first rule where no positive exclusion evidence was present.","submitted_in_covidence"
"62","889","Exclude","Publication language","Full-text report is published only in a language other than English; English abstract/translated title does not satisfy the amended English-full-text eligibility criterion.","submitted_in_covidence"
"63","893","Include","","English participant-results report retained with an eligible approximately 24-hour/POD1 pain or postoperative opioid outcome, or under the prespecified sensitivity-first rule where no positive exclusion evidence was present.","submitted_in_covidence"
"64","912","Include","","English participant-results report retained with an eligible approximately 24-hour/POD1 pain or postoperative opioid outcome, or under the prespecified sensitivity-first rule where no positive exclusion evidence was present.","submitted_in_covidence"
"65","930","Exclude","Wrong comparator","No eligible sham, no-stimulation, or usual-care contrast isolates the electrical acupoint intervention.","submitted_in_covidence"
"66","933","Exclude","Wrong setting","Full report positively establishes that surgery was not performed under general anaesthesia.","submitted_in_covidence"
"67","950","Exclude","Wrong outcomes","Report does not provide cumulative systemic postoperative opioid consumption to approximately 24 hours or pain at approximately 24 hours/POD1; secondary outcomes alone are insufficient.","submitted_in_covidence"
"68","951","Include","","English participant-results report retained with an eligible approximately 24-hour/POD1 pain or postoperative opioid outcome, or under the prespecified sensitivity-first rule where no positive exclusion evidence was present.","submitted_in_covidence"
"69","952","Include","","English participant-results report retained with an eligible approximately 24-hour/POD1 pain or postoperative opioid outcome, or under the prespecified sensitivity-first rule where no positive exclusion evidence was present.","submitted_in_covidence"
"70","962","Exclude","Wrong outcomes","Report does not provide cumulative systemic postoperative opioid consumption to approximately 24 hours or pain at approximately 24 hours/POD1; secondary outcomes alone are insufficient.","submitted_in_covidence"
"71","968","Exclude","Wrong setting","Full report positively establishes that surgery was not performed under general anaesthesia.","submitted_in_covidence"
"72","969","Include","","English participant-results report retained with an eligible approximately 24-hour/POD1 pain or postoperative opioid outcome, or under the prespecified sensitivity-first rule where no positive exclusion evidence was present.","submitted_in_covidence"
"73","973","Exclude","Wrong intervention","Eligible TEAS/EA is inseparably bundled with an ineligible or unequal co-intervention, so its independent effect cannot be estimated.","submitted_in_covidence"
"74","985","Include","","English participant-results report retained with an eligible approximately 24-hour/POD1 pain or postoperative opioid outcome, or under the prespecified sensitivity-first rule where no positive exclusion evidence was present.","submitted_in_covidence"
"75","1141","Include","","English participant-results report retained with an eligible approximately 24-hour/POD1 pain or postoperative opioid outcome, or under the prespecified sensitivity-first rule where no positive exclusion evidence was present.","submitted_in_covidence"
"76","1185","Exclude","Publication language","Full-text report is published only in a language other than English; English abstract/translated title does not satisfy the amended English-full-text eligibility criterion.","submitted_in_covidence"
"77","1186","Exclude","Publication language","Full-text report is published only in a language other than English; English abstract/translated title does not satisfy the amended English-full-text eligibility criterion.","submitted_in_covidence"
"78","1194","Exclude","Publication language","Full-text report is published only in a language other than English; English abstract/translated title does not satisfy the amended English-full-text eligibility criterion.","submitted_in_covidence"
"79","1244","Exclude","Publication language","Full-text report is published only in a language other than English; English abstract/translated title does not satisfy the amended English-full-text eligibility criterion.","submitted_in_covidence"
"80","1299","Exclude","Wrong study design","Report is a conference abstract/proceedings item rather than an eligible full participant-results RCT report.","submitted_in_covidence"
"81","1334","Exclude","Wrong setting","Full report positively establishes that surgery was not performed under general anaesthesia.","submitted_in_covidence"
"82","1389","Include","","English participant-results report retained with an eligible approximately 24-hour/POD1 pain or postoperative opioid outcome, or under the prespecified sensitivity-first rule where no positive exclusion evidence was present.","submitted_in_covidence"
"83","1435","Exclude","Publication language","Full-text report is published only in a language other than English; English abstract/translated title does not satisfy the amended English-full-text eligibility criterion.","submitted_in_covidence"
"84","1448","Include","","English participant-results report retained with an eligible approximately 24-hour/POD1 pain or postoperative opioid outcome, or under the prespecified sensitivity-first rule where no positive exclusion evidence was present.","submitted_in_covidence"
"85","1470","Exclude","Wrong intervention","Eligible TEAS/EA is inseparably bundled with an ineligible or unequal co-intervention, so its independent effect cannot be estimated.","submitted_in_covidence"
"86","1471","Include","","English participant-results report retained with an eligible approximately 24-hour/POD1 pain or postoperative opioid outcome, or under the prespecified sensitivity-first rule where no positive exclusion evidence was present.","submitted_in_covidence"
"87","1480","Exclude","Publication language","Full-text report is published only in a language other than English; English abstract/translated title does not satisfy the amended English-full-text eligibility criterion.","submitted_in_covidence"
"88","1485","Exclude","Wrong intervention","Eligible TEAS/EA is inseparably bundled with an ineligible or unequal co-intervention, so its independent effect cannot be estimated.","submitted_in_covidence"
"89","1499","Exclude","Publication language","Full-text report is published only in a language other than English; English abstract/translated title does not satisfy the amended English-full-text eligibility criterion.","submitted_in_covidence"
"90","1500","Exclude","Wrong outcomes","Report does not provide cumulative systemic postoperative opioid consumption to approximately 24 hours or pain at approximately 24 hours/POD1; secondary outcomes alone are insufficient.","submitted_in_covidence"
"91","1512","Exclude","Wrong intervention","Eligible TEAS/EA is inseparably bundled with an ineligible or unequal co-intervention, so its independent effect cannot be estimated.","submitted_in_covidence"
"92","1523","Exclude","Wrong intervention","Eligible TEAS/EA is inseparably bundled with an ineligible or unequal co-intervention, so its independent effect cannot be estimated.","submitted_in_covidence"
"93","1535","Exclude","Wrong outcomes","Report does not provide cumulative systemic postoperative opioid consumption to approximately 24 hours or pain at approximately 24 hours/POD1; secondary outcomes alone are insufficient.","submitted_in_covidence"
"94","1556","Exclude","Wrong outcomes","Report does not provide cumulative systemic postoperative opioid consumption to approximately 24 hours or pain at approximately 24 hours/POD1; secondary outcomes alone are insufficient.","submitted_in_covidence"
"95","1724","Exclude","Wrong outcomes","Report does not provide cumulative systemic postoperative opioid consumption to approximately 24 hours or pain at approximately 24 hours/POD1; secondary outcomes alone are insufficient.","submitted_in_covidence"
"96","1906","Exclude","Wrong outcomes","Report does not provide cumulative systemic postoperative opioid consumption to approximately 24 hours or pain at approximately 24 hours/POD1; secondary outcomes alone are insufficient.","submitted_in_covidence"
"97","1920","Exclude","Wrong intervention","Eligible TEAS/EA is inseparably bundled with an ineligible or unequal co-intervention, so its independent effect cannot be estimated.","submitted_in_covidence"
"98","1930","Include","","English participant-results report retained with an eligible approximately 24-hour/POD1 pain or postoperative opioid outcome, or under the prespecified sensitivity-first rule where no positive exclusion evidence was present.","submitted_in_covidence"
"99","1965","Include","","English participant-results report retained with an eligible approximately 24-hour/POD1 pain or postoperative opioid outcome, or under the prespecified sensitivity-first rule where no positive exclusion evidence was present.","submitted_in_covidence"
"100","1970","Include","","English participant-results report retained with an eligible approximately 24-hour/POD1 pain or postoperative opioid outcome, or under the prespecified sensitivity-first rule where no positive exclusion evidence was present.","submitted_in_covidence"
"101","2044","Include","","English participant-results report retained with an eligible approximately 24-hour/POD1 pain or postoperative opioid outcome, or under the prespecified sensitivity-first rule where no positive exclusion evidence was present.","submitted_in_covidence"
"102","2047","Include","","English participant-results report retained with an eligible approximately 24-hour/POD1 pain or postoperative opioid outcome, or under the prespecified sensitivity-first rule where no positive exclusion evidence was present.","submitted_in_covidence"
"103","2153","Exclude","Publication language","Full-text report is published only in a language other than English; English abstract/translated title does not satisfy the amended English-full-text eligibility criterion.","submitted_in_covidence"
"104","2241","Exclude","Publication language","Full-text report is published only in a language other than English; English abstract/translated title does not satisfy the amended English-full-text eligibility criterion.","submitted_in_covidence"
"105","2267","Exclude","Wrong setting","Full report positively establishes that surgery was not performed under general anaesthesia.","submitted_in_covidence"
"106","2386","Exclude","Wrong outcomes","Report does not provide cumulative systemic postoperative opioid consumption to approximately 24 hours or pain at approximately 24 hours/POD1; secondary outcomes alone are insufficient.","submitted_in_covidence"
"107","2426","Include","","English participant-results report retained with an eligible approximately 24-hour/POD1 pain or postoperative opioid outcome, or under the prespecified sensitivity-first rule where no positive exclusion evidence was present.","submitted_in_covidence"
"108","2446","Exclude","Wrong comparator","No eligible sham, no-stimulation, or usual-care contrast isolates the electrical acupoint intervention.","submitted_in_covidence"
"109","2470","Include","","English participant-results report retained with an eligible approximately 24-hour/POD1 pain or postoperative opioid outcome, or under the prespecified sensitivity-first rule where no positive exclusion evidence was present.","submitted_in_covidence"
"110","2545","Exclude","Wrong intervention","Eligible TEAS/EA is inseparably bundled with an ineligible or unequal co-intervention, so its independent effect cannot be estimated.","submitted_in_covidence"
"111","2625","Include","","English participant-results report retained with an eligible approximately 24-hour/POD1 pain or postoperative opioid outcome, or under the prespecified sensitivity-first rule where no positive exclusion evidence was present.","submitted_in_covidence"
"112","2807","Exclude","Publication language","Full-text report is published only in a language other than English; English abstract/translated title does not satisfy the amended English-full-text eligibility criterion.","submitted_in_covidence"
"113","3157","Include","","English participant-results report retained with an eligible approximately 24-hour/POD1 pain or postoperative opioid outcome, or under the prespecified sensitivity-first rule where no positive exclusion evidence was present.","submitted_in_covidence"
"114","3690","Include","","English participant-results report retained with an eligible approximately 24-hour/POD1 pain or postoperative opioid outcome, or under the prespecified sensitivity-first rule where no positive exclusion evidence was present.","submitted_in_covidence"
"115","3715","Include","","English participant-results report retained with an eligible approximately 24-hour/POD1 pain or postoperative opioid outcome, or under the prespecified sensitivity-first rule where no positive exclusion evidence was present.","submitted_in_covidence"
"116","3795","Include","","English participant-results report retained with an eligible approximately 24-hour/POD1 pain or postoperative opioid outcome, or under the prespecified sensitivity-first rule where no positive exclusion evidence was present.","submitted_in_covidence"
"117","3811","Include","","English participant-results report retained with an eligible approximately 24-hour/POD1 pain or postoperative opioid outcome, or under the prespecified sensitivity-first rule where no positive exclusion evidence was present.","submitted_in_covidence"
"118","3818","Include","","English participant-results report retained with an eligible approximately 24-hour/POD1 pain or postoperative opioid outcome, or under the prespecified sensitivity-first rule where no positive exclusion evidence was present.","submitted_in_covidence"
"119","4322","Exclude","Wrong outcomes","Report does not provide cumulative systemic postoperative opioid consumption to approximately 24 hours or pain at approximately 24 hours/POD1; secondary outcomes alone are insufficient.","submitted_in_covidence"
"120","4330","Include","","English participant-results report retained with an eligible approximately 24-hour/POD1 pain or postoperative opioid outcome, or under the prespecified sensitivity-first rule where no positive exclusion evidence was present.","submitted_in_covidence"
"121","4383","Exclude","Wrong outcomes","Report does not provide cumulative systemic postoperative opioid consumption to approximately 24 hours or pain at approximately 24 hours/POD1; secondary outcomes alone are insufficient.","submitted_in_covidence"
"122","4655","Exclude","Wrong outcomes","Report does not provide cumulative systemic postoperative opioid consumption to approximately 24 hours or pain at approximately 24 hours/POD1; secondary outcomes alone are insufficient.","submitted_in_covidence"
"123","4693","Include","","English participant-results report retained with an eligible approximately 24-hour/POD1 pain or postoperative opioid outcome, or under the prespecified sensitivity-first rule where no positive exclusion evidence was present.","submitted_in_covidence"
"124","4701","Exclude","Wrong setting","Full report positively establishes that surgery was not performed under general anaesthesia.","submitted_in_covidence"
"125","527","Exclude","Wrong outcomes","Report does not provide cumulative systemic postoperative opioid consumption to approximately 24 hours or pain at approximately 24 hours/POD1; secondary outcomes alone are insufficient.","submitted_in_covidence"
"126","528","Exclude","Publication language","Full-text report is published only in a language other than English; English abstract/translated title does not satisfy the amended English-full-text eligibility criterion.","submitted_in_covidence"
"127","529","Exclude","Publication language","Full-text report is published only in a language other than English; English abstract/translated title does not satisfy the amended English-full-text eligibility criterion.","submitted_in_covidence"
"128","537","Include","","English participant-results report retained with an eligible approximately 24-hour/POD1 pain or postoperative opioid outcome, or under the prespecified sensitivity-first rule where no positive exclusion evidence was present.","submitted_in_covidence"
"129","539","Exclude","Wrong outcomes","Report does not provide cumulative systemic postoperative opioid consumption to approximately 24 hours or pain at approximately 24 hours/POD1; secondary outcomes alone are insufficient.","submitted_in_covidence"
"130","541","Exclude","Publication language","Full-text report is published only in a language other than English; English abstract/translated title does not satisfy the amended English-full-text eligibility criterion.","submitted_in_covidence"
"131","542","Exclude","Wrong outcomes","Report does not provide cumulative systemic postoperative opioid consumption to approximately 24 hours or pain at approximately 24 hours/POD1; secondary outcomes alone are insufficient.","submitted_in_covidence"
"132","546","Exclude","Wrong outcomes","Report does not provide cumulative systemic postoperative opioid consumption to approximately 24 hours or pain at approximately 24 hours/POD1; secondary outcomes alone are insufficient.","submitted_in_covidence"
"133","556","Include","","English participant-results report retained with an eligible approximately 24-hour/POD1 pain or postoperative opioid outcome, or under the prespecified sensitivity-first rule where no positive exclusion evidence was present.","submitted_in_covidence"
"134","557","Exclude","Wrong outcomes","Report does not provide cumulative systemic postoperative opioid consumption to approximately 24 hours or pain at approximately 24 hours/POD1; secondary outcomes alone are insufficient.","submitted_in_covidence"
"135","560","Exclude","Publication language","Full-text report is published only in a language other than English; English abstract/translated title does not satisfy the amended English-full-text eligibility criterion.","submitted_in_covidence"
"136","562","Exclude","Wrong intervention","Eligible TEAS/EA is inseparably bundled with an ineligible or unequal co-intervention, so its independent effect cannot be estimated.","submitted_in_covidence"
"137","566","Exclude","Wrong outcomes","Report does not provide cumulative systemic postoperative opioid consumption to approximately 24 hours or pain at approximately 24 hours/POD1; secondary outcomes alone are insufficient.","submitted_in_covidence"
"138","575","Exclude","Publication language","Full-text report is published only in a language other than English; English abstract/translated title does not satisfy the amended English-full-text eligibility criterion.","submitted_in_covidence"
"139","577","Exclude","Publication language","Full-text report is published only in a language other than English; English abstract/translated title does not satisfy the amended English-full-text eligibility criterion.","submitted_in_covidence"
"140","578","Exclude","Publication language","Full-text report is published only in a language other than English; English abstract/translated title does not satisfy the amended English-full-text eligibility criterion.","submitted_in_covidence"
"141","579","Exclude","Publication language","Full-text report is published only in a language other than English; English abstract/translated title does not satisfy the amended English-full-text eligibility criterion.","submitted_in_covidence"
"142","583","Exclude","Publication language","Full-text report is published only in a language other than English; English abstract/translated title does not satisfy the amended English-full-text eligibility criterion.","submitted_in_covidence"
"143","589","Exclude","Wrong outcomes","Report does not provide cumulative systemic postoperative opioid consumption to approximately 24 hours or pain at approximately 24 hours/POD1; secondary outcomes alone are insufficient.","submitted_in_covidence"
"144","592","Exclude","Publication language","Full-text report is published only in a language other than English; English abstract/translated title does not satisfy the amended English-full-text eligibility criterion.","submitted_in_covidence"
"145","596","Include","","English participant-results report retained with an eligible approximately 24-hour/POD1 pain or postoperative opioid outcome, or under the prespecified sensitivity-first rule where no positive exclusion evidence was present.","submitted_in_covidence"
"146","600","Include","","English participant-results report retained with an eligible approximately 24-hour/POD1 pain or postoperative opioid outcome, or under the prespecified sensitivity-first rule where no positive exclusion evidence was present.","submitted_in_covidence"
"147","604","Exclude","Wrong outcomes","Report does not provide cumulative systemic postoperative opioid consumption to approximately 24 hours or pain at approximately 24 hours/POD1; secondary outcomes alone are insufficient.","submitted_in_covidence"
"148","611","Exclude","Wrong outcomes","Report does not provide cumulative systemic postoperative opioid consumption to approximately 24 hours or pain at approximately 24 hours/POD1; secondary outcomes alone are insufficient.","submitted_in_covidence"
"149","614","Exclude","Wrong outcomes","Report does not provide cumulative systemic postoperative opioid consumption to approximately 24 hours or pain at approximately 24 hours/POD1; secondary outcomes alone are insufficient.","submitted_in_covidence"
"150","617","Exclude","Wrong outcomes","Report does not provide cumulative systemic postoperative opioid consumption to approximately 24 hours or pain at approximately 24 hours/POD1; secondary outcomes alone are insufficient.","submitted_in_covidence"
"151","625","Include","","English participant-results report retained with an eligible approximately 24-hour/POD1 pain or postoperative opioid outcome, or under the prespecified sensitivity-first rule where no positive exclusion evidence was present.","submitted_in_covidence"
"152","626","Exclude","Publication language","Full-text report is published only in a language other than English; English abstract/translated title does not satisfy the amended English-full-text eligibility criterion.","submitted_in_covidence"
"153","632","Include","","English participant-results report retained with an eligible approximately 24-hour/POD1 pain or postoperative opioid outcome, or under the prespecified sensitivity-first rule where no positive exclusion evidence was present.","submitted_in_covidence"
"154","638","Exclude","Publication language","Full-text report is published only in a language other than English; English abstract/translated title does not satisfy the amended English-full-text eligibility criterion.","submitted_in_covidence"
"155","643","Include","","English participant-results report retained with an eligible approximately 24-hour/POD1 pain or postoperative opioid outcome, or under the prespecified sensitivity-first rule where no positive exclusion evidence was present.","submitted_in_covidence"
"156","644","Exclude","Publication language","Full-text report is published only in a language other than English; English abstract/translated title does not satisfy the amended English-full-text eligibility criterion.","submitted_in_covidence"
"157","647","Exclude","Publication language","Full-text report is published only in a language other than English; English abstract/translated title does not satisfy the amended English-full-text eligibility criterion.","submitted_in_covidence"
"158","655","Exclude","Publication language","Full-text report is published only in a language other than English; English abstract/translated title does not satisfy the amended English-full-text eligibility criterion.","submitted_in_covidence"
"159","657","Include","","English participant-results report retained with an eligible approximately 24-hour/POD1 pain or postoperative opioid outcome, or under the prespecified sensitivity-first rule where no positive exclusion evidence was present.","submitted_in_covidence"
"160","659","Exclude","Publication language","Full-text report is published only in a language other than English; English abstract/translated title does not satisfy the amended English-full-text eligibility criterion.","submitted_in_covidence"
"161","666","Include","","English participant-results report retained with an eligible approximately 24-hour/POD1 pain or postoperative opioid outcome, or under the prespecified sensitivity-first rule where no positive exclusion evidence was present.","submitted_in_covidence"
"162","671","Include","","English participant-results report retained with an eligible approximately 24-hour/POD1 pain or postoperative opioid outcome, or under the prespecified sensitivity-first rule where no positive exclusion evidence was present.","submitted_in_covidence"
"163","673","Include","","English participant-results report retained with an eligible approximately 24-hour/POD1 pain or postoperative opioid outcome, or under the prespecified sensitivity-first rule where no positive exclusion evidence was present.","submitted_in_covidence"
"164","677","Exclude","Wrong intervention","Eligible TEAS/EA is inseparably bundled with an ineligible or unequal co-intervention, so its independent effect cannot be estimated.","submitted_in_covidence"
"165","681","Include","","English participant-results report retained with an eligible approximately 24-hour/POD1 pain or postoperative opioid outcome, or under the prespecified sensitivity-first rule where no positive exclusion evidence was present.","submitted_in_covidence"
"166","682","Exclude","Wrong setting","Full report positively establishes that surgery was not performed under general anaesthesia.","submitted_in_covidence"
