result_id,outcome,timepoint,contrast,population,n_i,n_c,rob2_assessment_id,linkage_status,overall,d1,d2,d3,d4,d5,selection_rule,alternative_assessments,provenance,human_final_signoff,models
V33-OD-0036,Exact cumulative postoperative sufentanil mass,0-24 h,ZHENG25_TEAS_vs_SHAM_OPIOID24,Outcome-specific analyzed population,42.0,43.0,,UNLINKED — no exact existing assessment established,UNLINKED,,,,,,,,Study-level record retained only as background; not an exact-result assessment.,NOT INDEPENDENTLY DOCUMENTED,
V33-OD-0037,VAS pain intensity,24 h postoperatively,ZHAN20_TAPTEAS_vs_TAP_PAIN24,Outcome-specific analyzed population,30.0,30.0,,UNLINKED — no exact existing assessment established,UNLINKED,,,,,,,,Study-level record retained only as background; not an exact-result assessment.,NOT INDEPENDENTLY DOCUMENTED,
V33-OD-0038,Actual cumulative postoperative sufentanil consumption,0-24 h,ZHAN20_TAPTEAS_vs_TAP_OPIOID24,Outcome-specific analyzed population,30.0,30.0,,UNLINKED — no exact existing assessment established,UNLINKED,,,,,,,,Study-level record retained only as background; not an exact-result assessment.,NOT INDEPENDENTLY DOCUMENTED,
V33-OD-0039,Total sufentanil consumption,POD1; approximately 24 h but exact clock window not explicit,ZHANG25_TEAS_vs_SHAM_SUFPOD1,Outcome-specific analyzed population,45.0,48.0,CORRECTED-V34-012,LINKED EXISTING RESULT ASSESSMENT,High,Low,High,High,Low,Some concerns,Exact result applicability manually mapped to latest consolidated corrected record; supersedes legacy selector.,,v34 master: Corrected_RoB2 row13,NOT INDEPENDENTLY DOCUMENTED,
V33-OD-0040,Any rescue analgesia demand,POD1 / postoperative period reported in Table 4,ZHANG25_TEAS_vs_SHAM_RESCUE,Outcome-specific analyzed population,45.0,48.0,AF26-F-mixed/undefined-002,LINKED EXISTING RESULT ASSESSMENT,Some concerns,Low,Some concerns,Some concerns,Some concerns,Some concerns,Exact source contrast and outcome statistics/population match to existing AF result assessment.,,06_FINAL_ANALYSIS_V26/01_DATA/target_F_exploratory.csv#F-mixed/undefined-002,NOT INDEPENDENTLY DOCUMENTED,
V33-OD-0041,Moderate-to-severe visceral pain,POD1,ZHANG25_TEAS_vs_SHAM_VISCERAL_POD1,Outcome-specific analyzed population,45.0,48.0,,UNLINKED — no exact existing assessment established,UNLINKED,,,,,,,,Study-level record retained only as background; not an exact-result assessment.,NOT INDEPENDENTLY DOCUMENTED,
V33-OD-0042,Time to first spontaneous void,Postoperative,ZHANG23_TEAS_vs_SHAM_VOID,Outcome-specific analyzed population,922.0,916.0,,UNLINKED — no exact existing assessment established,UNLINKED,,,,,,,,Study-level record retained only as background; not an exact-result assessment.,NOT INDEPENDENTLY DOCUMENTED,
V33-OD-0043,Delayed urinary recovery (>12 h without spontaneous void),Postoperative,ZHANG23_TEAS_vs_SHAM_DELAYED,Outcome-specific analyzed population,922.0,916.0,,UNLINKED — no exact existing assessment established,UNLINKED,,,,,,,,Study-level record retained only as background; not an exact-result assessment.,NOT INDEPENDENTLY DOCUMENTED,
V33-OD-0044,Postoperative urinary retention,Postoperative,ZHANG23_TEAS_vs_SHAM_POUR,Outcome-specific analyzed population,922.0,916.0,,UNLINKED — no exact existing assessment established,UNLINKED,,,,,,,,Study-level record retained only as background; not an exact-result assessment.,NOT INDEPENDENTLY DOCUMENTED,
V33-OD-0045,Postoperative IV morphine-equivalent consumption,Within 48 h,ZHANG23_TEAS_vs_SHAM_MME48,Outcome-specific analyzed population,922.0,916.0,AF26-A-002,LINKED EXISTING RESULT ASSESSMENT,Some concerns,Low,Some concerns,Some concerns,Low,Some concerns,Exact source contrast and outcome statistics/population match to existing AF result assessment.,,06_FINAL_ANALYSIS_V26/01_DATA/target_A_48h.csv#A-002,NOT INDEPENDENTLY DOCUMENTED,
V33-OD-0046,Exact cumulative postoperative opioid dose,0-24 h,ZHANG23_TEAS_vs_SHAM_OPIOID24,Outcome-specific analyzed population,922.0,916.0,,UNLINKED — no exact existing assessment established,UNLINKED,,,,,,,,Study-level record retained only as background; not an exact-result assessment.,NOT INDEPENDENTLY DOCUMENTED,
V33-OD-0047,Recovery-room stay,Recovery-room discharge,ZHANG14_TEAS_vs_SHAM_RR,Outcome-specific analyzed population,33.0,32.0,,UNLINKED — no exact existing assessment established,UNLINKED,,,,,,,,Study-level record retained only as background; not an exact-result assessment.,NOT INDEPENDENTLY DOCUMENTED,
V33-OD-0048,Remifentanil consumption rate,Intraoperative,ZHANG14_TEAS_vs_SHAM_REMI,Outcome-specific analyzed population,33.0,32.0,AF26-F-intra-003,LINKED EXISTING RESULT ASSESSMENT,Some concerns,Some concerns,Low,Low,Low,Some concerns,Exact source contrast and outcome statistics/population match to existing AF result assessment.,,06_FINAL_ANALYSIS_V26/01_DATA/target_F_exploratory.csv#F-intra-003,NOT INDEPENDENTLY DOCUMENTED,
V33-OD-0049,Postoperative nausea,Postoperative,ZHANG14_TEAS_vs_SHAM_NAUSEA,Outcome-specific analyzed population,33.0,32.0,,UNLINKED — no exact existing assessment established,UNLINKED,,,,,,,,Study-level record retained only as background; not an exact-result assessment.,NOT INDEPENDENTLY DOCUMENTED,
V33-OD-0050,Postoperative vomiting,Postoperative,ZHANG14_TEAS_vs_SHAM_VOMIT,Outcome-specific analyzed population,33.0,32.0,,UNLINKED — no exact existing assessment established,UNLINKED,,,,,,,,Study-level record retained only as background; not an exact-result assessment.,NOT INDEPENDENTLY DOCUMENTED,
V33-OD-0051,Exact cumulative postoperative opioid dose,0-24 h,ZHANG14_TEAS_vs_SHAM_OPIOID24,Outcome-specific analyzed population,33.0,32.0,,UNLINKED — no exact existing assessment established,UNLINKED,,,,,,,,Study-level record retained only as background; not an exact-result assessment.,NOT INDEPENDENTLY DOCUMENTED,
V33-OD-0052,Morphine use via IV PCA,First 24 h / POD1,YANG24_EA_vs_UC_MORPH24,Outcome-specific analyzed population,90.0,90.0,CORRECTED-V34-015,LINKED EXISTING RESULT ASSESSMENT,Some concerns,Low,Low,Low,Low,Some concerns,Exact result applicability manually mapped to latest consolidated corrected record; supersedes legacy selector.,,v34 master: Corrected_RoB2 row16,NOT INDEPENDENTLY DOCUMENTED,;opioid24_EA_usual_expanded
V33-OD-0053,Time to first flatus,Postoperative,YANG24_EA_vs_UC_FLATUS,Outcome-specific analyzed population,90.0,90.0,AF26-E-003,LINKED EXISTING RESULT ASSESSMENT,High,Low,Low,Low,High,Some concerns,Exact source contrast and outcome statistics/population match to existing AF result assessment.,,06_FINAL_ANALYSIS_V26/01_DATA/target_E_flatus.csv#E-003,NOT INDEPENDENTLY DOCUMENTED,;flatus_EA_usual;flatus_EA_usual_SMD_sensitivity
V33-OD-0054,Time to first defecation,Postoperative,YANG24_EA_vs_UC_DEFEC,Outcome-specific analyzed population,90.0,90.0,,UNLINKED — no exact existing assessment established,UNLINKED,,,,,,,,Study-level record retained only as background; not an exact-result assessment.,NOT INDEPENDENTLY DOCUMENTED,;defecation_EA_usual
V33-OD-0055,Postoperative vomiting,0-24 h after surgery,YANG24_EA_vs_UC_VOMIT,Outcome-specific analyzed population,90.0,90.0,AF26-D-009,LINKED EXISTING RESULT ASSESSMENT,Some concerns,Low,Low,Low,Some concerns,Some concerns,Exact source contrast and outcome statistics/population match to existing AF result assessment.,,06_FINAL_ANALYSIS_V26/01_DATA/target_D_ponv.csv#D-009,NOT INDEPENDENTLY DOCUMENTED,;vomiting24_EA_usual
V33-OD-0056,Any PONV,Within 48 h,XIONG21_TEAS_vs_CTRL_PONV48,Outcome-specific analyzed population,31.0,31.0,CORRECTED-V34-016,LINKED EXISTING RESULT ASSESSMENT,Some concerns,Low,Low,Low,Some concerns,Some concerns,Exact result applicability manually mapped to latest consolidated corrected record; supersedes legacy selector.,AF26-D-003,v34 master: Corrected_RoB2 row17,NOT INDEPENDENTLY DOCUMENTED,;ponv48_TEAS_sham
V33-OD-0057,Clinically important PONV,Within 48 h,XIONG21_TEAS_vs_CTRL_CIPONV,Outcome-specific analyzed population,31.0,31.0,,UNLINKED — no exact existing assessment established,UNLINKED,,,,,,,,Study-level record retained only as background; not an exact-result assessment.,NOT INDEPENDENTLY DOCUMENTED,
V33-OD-0058,Any rescue antiemetic medication,Within 48 h,XIONG21_TEAS_vs_CTRL_RESCUEAE,Outcome-specific analyzed population,31.0,31.0,,UNLINKED — no exact existing assessment established,UNLINKED,,,,,,,,Study-level record retained only as background; not an exact-result assessment.,NOT INDEPENDENTLY DOCUMENTED,
V33-OD-0059,Postoperative opioid consumption,Postoperative window unclear,XIONG21_TEAS_vs_CTRL_POSTOPMME,Outcome-specific analyzed population,31.0,31.0,,UNLINKED — no exact existing assessment established,UNLINKED,,,,,,,,Study-level record retained only as background; not an exact-result assessment.,NOT INDEPENDENTLY DOCUMENTED,
V33-OD-0060,Exact cumulative postoperative opioid dose,0-24 h,XIONG21_TEAS_vs_CTRL_OPIOID24,Outcome-specific analyzed population,31.0,31.0,,UNLINKED — no exact existing assessment established,UNLINKED,,,,,,,,Study-level record retained only as background; not an exact-result assessment.,NOT INDEPENDENTLY DOCUMENTED,
V33-OD-0061,Total remifentanil consumption,Intraoperative,XING22_NTG_vs_NG_REMI,Outcome-specific analyzed population,29.0,29.0,AF26-F-intra-007,LINKED EXISTING RESULT ASSESSMENT,Some concerns,Low,Some concerns,Low,Low,Some concerns,Exact source contrast and outcome statistics/population match to existing AF result assessment.,,06_FINAL_ANALYSIS_V26/01_DATA/target_F_exploratory.csv#F-intra-007,NOT INDEPENDENTLY DOCUMENTED,;intraop_remifentanil_TEAS_sham;intraop_remifentanil_TEAS_sham_without_Zheng2025
V33-OD-0062,Time to first flatus,Postoperative,XING22_NTG_vs_NG_FLATUS,Outcome-specific analyzed population,29.0,29.0,AF26-E-004,LINKED EXISTING RESULT ASSESSMENT,Some concerns,Low,Some concerns,Low,Some concerns,Some concerns,Exact source contrast and outcome statistics/population match to existing AF result assessment.,,06_FINAL_ANALYSIS_V26/01_DATA/target_E_flatus.csv#E-004,NOT INDEPENDENTLY DOCUMENTED,;flatus_TEAS_sham;flatus_TEAS_sham_SMD_sensitivity;flatus_TEAS_sham_without_Zheng2025
V33-OD-0063,PONV incidence,Postoperative,XING22_NTG_vs_NG_PONV,Outcome-specific analyzed population,29.0,29.0,AF26-D-004,LINKED EXISTING RESULT ASSESSMENT,High,Some concerns,Some concerns,Low,High,Some concerns,Exact source contrast and outcome statistics/population match to existing AF result assessment.,,06_FINAL_ANALYSIS_V26/01_DATA/target_D_ponv.csv#D-004,NOT INDEPENDENTLY DOCUMENTED,
V33-OD-0064,Rest pain VAS,24 h,XING22_NTG_vs_NG_RESTVAS24,Outcome-specific analyzed population,29.0,29.0,AF26-C-001,LINKED EXISTING RESULT ASSESSMENT,High,Low,Some concerns,Low,High,Low,Exact source contrast and outcome statistics/population match to existing AF result assessment.,,06_FINAL_ANALYSIS_V26/01_DATA/target_C_pain24h.csv#C-001,NOT INDEPENDENTLY DOCUMENTED,;pain24_rest_TEAS_sham
V33-OD-0065,PCIA pump press count,48-h / 2-day PCIA period,XING22_NTG_vs_NG_PRESS,Outcome-specific analyzed population,29.0,29.0,,UNLINKED — no exact existing assessment established,UNLINKED,,,,,,,,Study-level record retained only as background; not an exact-result assessment.,NOT INDEPENDENTLY DOCUMENTED,
V33-OD-0066,Exact cumulative postoperative sufentanil delivered,0-24 h,XING22_NTG_vs_NG_OPIOID24,Outcome-specific analyzed population,29.0,29.0,,UNLINKED — no exact existing assessment established,UNLINKED,,,,,,,,Study-level record retained only as background; not an exact-result assessment.,NOT INDEPENDENTLY DOCUMENTED,
V33-OD-0067,Total postoperative/perioperative sufentanil,Study PCA period; exact fixed window unclear,XIE14_EAS_vs_SHAM_TOTALSUF,Outcome-specific analyzed population,20.0,20.0,CORRECTED-V34-018,LINKED EXISTING RESULT ASSESSMENT,Some concerns,Some concerns,Low,Low,Low,Some concerns,Exact result applicability manually mapped to latest consolidated corrected record; supersedes legacy selector.,,v34 master: Corrected_RoB2 row19,NOT INDEPENDENTLY DOCUMENTED,
V33-OD-0068,Total postoperative/perioperative sufentanil,Study PCA period; exact fixed window unclear,XIE14_EAS_vs_CONTROL_TOTALSUF,Outcome-specific analyzed population,20.0,20.0,,UNLINKED — no exact existing assessment established,UNLINKED,,,,,,,,Study-level record retained only as background; not an exact-result assessment.,NOT INDEPENDENTLY DOCUMENTED,
V33-OD-0069,Patient-controlled analgesia demand count,Study PCA period,XIE14_EAS_vs_SHAM_PCADEMAND,Outcome-specific analyzed population,20.0,20.0,,UNLINKED — no exact existing assessment established,UNLINKED,,,,,,,,Study-level record retained only as background; not an exact-result assessment.,NOT INDEPENDENTLY DOCUMENTED,
V33-OD-0070,Exact cumulative postoperative sufentanil,0-24 h,XIE14_EAS_vs_SHAM_OPIOID24,Outcome-specific analyzed population,20.0,20.0,,UNLINKED — no exact existing assessment established,UNLINKED,,,,,,,,Study-level record retained only as background; not an exact-result assessment.,NOT INDEPENDENTLY DOCUMENTED,
V33-OD-0071,VAS pain intensity,POD1,WU22_PTEAS_vs_CTRL_PAINPOD1,Outcome-specific analyzed population,44.0,40.0,CORRECTED-V34-019,LINKED EXISTING RESULT ASSESSMENT,High,Some concerns,Some concerns,High,High,Some concerns,Exact result applicability manually mapped to latest consolidated corrected record; supersedes legacy selector.,,v34 master: Corrected_RoB2 row20,NOT INDEPENDENTLY DOCUMENTED,;pain24_unclassified_TEAS_sham
