Canonicalstudy,Reconciliationbatch,Solreconciliationstatus,Solsourcecorrectionnote,Identitycorrection,Antigravitystudylabel,Antigravitystudykey,CovidenceinternalID,Candidatesourceresultsummary,Knownfabricatedpayloadsignatu,Antigravityauthorcontactflag,CorrectedRoB2complete,CorrectedselectedRoBresult,Correctedresulttimepoint,CorrectedoverallRoB2,Analysisreadiness,Masteruserule,Sourcesummarystatus,Sourcehierarchy,Projectsourcefolder,Reconciliationindex,Sourcenormalizedoutcomerows
Yeh 2011,Batch 2,SPECIAL / SOURCE-QC,Possible cohort overlap with Yeh 2010; do not count both as independent until resolved.,Yeh 2010 (ATHM) → Yeh 2011,Yeh 2010 (ATHM),823,1879897273,**Cumulative postoperative systemic opioid consumption at 24h (PRIMARY)**: EG1 True AES (n=33) 18.6 ± 9.7 mg vs EG2 Sham AES (n=30) 21.6 ± 13.1 mg (P = 0.364...,Yes,Yes,Yes,24-h IV morphine PCA dose,First 24 postoperative hours,Some concerns,SOURCE-NORMALIZED — DUPLICATE/OVERLAP HOLD,Do not count independently from Yeh 2010 until cohort overlap is resolved.,SOURCE-NORMALIZED OUTCOME ROWS ADDED,Source PDF / supplement / protocol / registration > reconciled source extraction > derivative model output,https://drive.google.com/drive/folders/1EWdZyTQjPSuoxt8n1nIr1t8D98PC-mso,https://docs.google.com/document/d/1hR0UuZSmPpwZi384Vzn3sZt5Y5_ZwYxW6b3u4nq2-40/edit,2
Yao 2015,Batch 4,FULL REPLACEMENT,"RoB changes sample, intervention and QoR-40 values.",,Yao 2015,671,1879897026,"**Quality of recovery (QoR-40 global score at 24h) (PRIMARY)**: TEAS (n=35) 176.5 ± 10.2 vs Sham TEAS (n=36) 164.8 ± 14.7 (P < 0.001*) [MD 11.70, 95% CI 5.80...",Yes,Yes,Yes,Global QoR-40,24 h,High,PARTIALLY READY — corrected RoB available for one selected result; confirm outcome matches planned synthesis,Use source data; DO NOT use original stored RoB. Rebuild result-specific RoB.,Candidate summary from Antigravity report; use only after source-level confirmation,Source PDF / supplement / protocol / registration > reconciled source extraction > derivative model output,https://drive.google.com/drive/folders/1EWdZyTQjPSuoxt8n1nIr1t8D98PC-mso,https://docs.google.com/document/d/1hR0UuZSmPpwZi384Vzn3sZt5Y5_ZwYxW6b3u4nq2-40/edit,1
Yang 2020,Batch 20,FULL REPLACEMENT,Wang-labeled RoB is a fabricated laparoscopic-cholecystectomy sham trial; true source is open-label VATS EA/usual-care study.,,Yang 2020,464,1879896661,"**Postoperative nausea incidence 0-24h (PRIMARY)**: EA (n=29) 8/29 (27.59%) vs Usual care (n=28) 8/28 (28.57%) (P = 0.934) [RR 0.97, 95% CI 0.42 to 2.24]. **...",Yes,Yes,Yes,Time to first postoperative flatus,Time to event,Some concerns,PARTIALLY READY — corrected RoB available for one selected result; confirm outcome matches planned synthesis,Use source data; DO NOT use original stored RoB. Rebuild result-specific RoB.,Candidate summary from Antigravity report; use only after source-level confirmation,Source PDF / supplement / protocol / registration > reconciled source extraction > derivative model output,https://drive.google.com/drive/folders/1EWdZyTQjPSuoxt8n1nIr1t8D98PC-mso,https://docs.google.com/document/d/1hR0UuZSmPpwZi384Vzn3sZt5Y5_ZwYxW6b3u4nq2-40/edit,1
Yang 2024,Batch 14,FULL REPLACEMENT,"Zhang-labeled RoB changes study identity, surgery, comparator, blinding and PONV result.",Yang 2023 → Yang 2024,Yang 2023,252,1879896323,**Cumulative postoperative systemic opioid consumption on POD 1 (24h) (PRIMARY)**: EA (n=90) 43.7 ± 4.7 mg vs Usual care (n=90) 44.0 ± 4.9 mg (P = 0.733) [MD...,Yes,Yes,Yes,Morphine use via IV PCA,First 24 h / POD1,Some concerns,PARTIAL — selected RoB corrected; exact 24-h morphine row added,Exact 24-h morphine endpoint is directly usable; retain open-label design in interpretation,SOURCE-NORMALIZED OUTCOME ROWS ADDED,Source PDF / supplement / protocol / registration > reconciled source extraction > derivative model output,https://drive.google.com/drive/folders/1EWdZyTQjPSuoxt8n1nIr1t8D98PC-mso,https://docs.google.com/document/d/1hR0UuZSmPpwZi384Vzn3sZt5Y5_ZwYxW6b3u4nq2-40/edit,4
Xiong 2021,Batch 7,RE-ADJUDICATE,"Correct study/result, but cointervention doses, caregiver awareness, baseline evidence and prespecification handling are wrong.",,Xiong 2021,431,1879896608,"**Composite PONV incidence 0-24h (PRIMARY)**: TEAS (n=31) 12/31 (38.7%) vs Sham TEAS (n=31) 24/31 (77.4%) (P = 0.002*) [RR 0.50, 95% CI 0.31 to 0.81]. **Comp...",Yes,Yes,Yes,Any PONV,Within 48 h,Some concerns,PARTIAL — source-matched RoB re-adjudicated; PONV/opioid rows added,48-h PONV usable; postoperative opioid-equivalent window remains unclear,SOURCE-NORMALIZED OUTCOME ROWS ADDED,Source PDF / supplement / protocol / registration > reconciled source extraction > derivative model output,https://drive.google.com/drive/folders/1EWdZyTQjPSuoxt8n1nIr1t8D98PC-mso,https://docs.google.com/document/d/1hR0UuZSmPpwZi384Vzn3sZt5Y5_ZwYxW6b3u4nq2-40/edit,5
Xing 2022,Batch 10,FULL REPLACEMENT,Attached Wang RoB is a different colorectal trial with fabricated flatus values.,,Xing 2022,338,1879896460,"**Pain intensity at rest at 24h (PRIMARY)**: TEAS+TAPB (n=29) 1.18 ± 0.42 vs Sham TEAS+TAPB (n=29) 1.40 ± 0.52 (P < 0.05*) [MD -0.22, 95% CI -0.46 to 0.02]; ...",Yes,Yes,Yes,Total intraoperative remifentanil consumption,Intraoperative,Some concerns,PARTIAL — selected RoB corrected; three-arm incremental TEAS rows added,Use NTG vs NG for TEAS-specific effect; exact 24-h postoperative sufentanil remains unavailable,SOURCE-NORMALIZED OUTCOME ROWS ADDED,Source PDF / supplement / protocol / registration > reconciled source extraction > derivative model output,https://drive.google.com/drive/folders/1EWdZyTQjPSuoxt8n1nIr1t8D98PC-mso,https://docs.google.com/document/d/1hR0UuZSmPpwZi384Vzn3sZt5Y5_ZwYxW6b3u4nq2-40/edit,6
Xie 2014,Batch 4,FULL REPLACEMENT,Stored RoB describes a different laparoscopic-cholecystectomy trial/result.,,Xie 2014,701,1879897074,**Cumulative postoperative systemic opioid consumption through POD 3 (PRIMARY)**: EAS (n=20) 115.0 ± 6.0 µg vs Sham EA (n=20) 133.5 ± 7.0 µg (P < 0.05*) [MD ...,Yes,Yes,Yes,Total postoperative/perioperative sufentanil,Study PCA period,Some concerns,PARTIAL — selected RoB corrected; total-sufentanil and demand rows added,Do not relabel total sufentanil as 24-h; preserve three arms and unresolved PCA time window,SOURCE-NORMALIZED OUTCOME ROWS ADDED,Source PDF / supplement / protocol / registration > reconciled source extraction > derivative model output,https://drive.google.com/drive/folders/1EWdZyTQjPSuoxt8n1nIr1t8D98PC-mso,https://docs.google.com/document/d/1hR0UuZSmPpwZi384Vzn3sZt5Y5_ZwYxW6b3u4nq2-40/edit,4
Wu 2022,Batch 9,FULL REPLACEMENT,Gemini and attached Xiao RoB are cross-contaminated with different studies.,,Wu 2022,332,1879896450,"**Pain intensity at 24h (PRIMARY)**: pTEAS (n=44) 1.77 ± 0.91 vs Control (n=40) 2.25 ± 0.71 (P = 0.009*) [MD -0.48, 95% CI -0.83 to -0.13]. **Pain intensity ...",Yes,Yes,Yes,VAS pain intensity,POD1,High,PARTIAL — selected RoB corrected; pain/intraop-opioid rows added,Do not infer 24-h postoperative opioid consumption; asymmetric attrition materially affects subjective outcomes,SOURCE-NORMALIZED OUTCOME ROWS ADDED,Source PDF / supplement / protocol / registration > reconciled source extraction > derivative model output,https://drive.google.com/drive/folders/1EWdZyTQjPSuoxt8n1nIr1t8D98PC-mso,https://docs.google.com/document/d/1hR0UuZSmPpwZi384Vzn3sZt5Y5_ZwYxW6b3u4nq2-40/edit,4
Wu 2025,Batch 15,FULL REPLACEMENT,"Changes surgery/protocol, pain values and falsely claims complete 24-h follow-up.",,Wu 2025,122,1879896116,"**Pain intensity at rest at 24h (PRIMARY)**: TEAS (n=50) 1.7 ± 0.9 vs Sham TEAS (n=50) 4.0 ± 1.4 (P < 0.001*) [MD -2.30, 95% CI -2.76 to -1.84]. **Pain inten...",Yes,Yes,Yes,VAS pain intensity,24 h,High,PARTIAL — selected RoB corrected; exact 24-h pain and missing-opioid rows added,24-h pain usable with high RoB; continuous 24-h MME cannot be calculated from mixed rescue regimen,SOURCE-NORMALIZED OUTCOME ROWS ADDED,Source PDF / supplement / protocol / registration > reconciled source extraction > derivative model output,https://drive.google.com/drive/folders/1EWdZyTQjPSuoxt8n1nIr1t8D98PC-mso,https://docs.google.com/document/d/1hR0UuZSmPpwZi384Vzn3sZt5Y5_ZwYxW6b3u4nq2-40/edit,5
Wong 2006,Batch 3,SPECIAL / SOURCE-QC,POD labels are not exact 0–24-h intervals; two sham-only post-randomization exclusions; scheduled non-morphine opioid exposure.,,Wong 2006,912,1879897414,"**Postoperative systemic opioid consumption Day 1 (24h) (PRIMARY)**: EA (n=13) 18.0 ± 8.8 mg vs Sham EA (n=12) 18.8 ± 9.8 mg [MD -0.80 mg, 95% CI -8.14 to 6....",Yes,Yes,Yes,Total IV PCA morphine,First 3 postoperative days,High,SOURCE-NORMALIZED — EXACT 24H ENDPOINT UNAVAILABLE,Calendar Day 0/1/2 values are not exact consecutive 24-h windows; scheduled dextropropoxyphene adds opioid exposure.,SOURCE-NORMALIZED OUTCOME ROWS ADDED,Source PDF / supplement / protocol / registration > reconciled source extraction > derivative model output,https://drive.google.com/drive/folders/1EWdZyTQjPSuoxt8n1nIr1t8D98PC-mso,https://docs.google.com/document/d/1hR0UuZSmPpwZi384Vzn3sZt5Y5_ZwYxW6b3u4nq2-40/edit,5
Wang 2023,Batch 12,FULL REPLACEMENT,"Stored sleep RoB changes sample, protocol and invents exact graph-only AIS values.",,Wang 2023,297,1879896394,"**Pain intensity during activity at 24h (PRIMARY)**: TEAS (n=40) 5.06 ± 0.91 vs Sham TEAS (n=43) 6.04 ± 1.05 (P < 0.05*) [MD -0.98, 95% CI -1.40 to -0.56]. *...",Yes,Yes,Yes,Postoperative sleep quality (PSQI/AIS),POD1,High,PARTIAL — selected RoB corrected; graph-only sleep/pain and rescue-dose rows added,Do not use fabricated exact AIS/PSQI values; formal digitization or author data required for continuous sleep outcomes,SOURCE-NORMALIZED OUTCOME ROWS ADDED,Source PDF / supplement / protocol / registration > reconciled source extraction > derivative model output,https://drive.google.com/drive/folders/1EWdZyTQjPSuoxt8n1nIr1t8D98PC-mso,https://docs.google.com/document/d/1hR0UuZSmPpwZi384Vzn3sZt5Y5_ZwYxW6b3u4nq2-40/edit,5
Wang 2024,Batch 13,FULL REPLACEMENT,RoB collapses stratified randomized contrasts and fabricates pooled 24-h PONV result.,,Wang 2024,212,1879896259,"**Composite PONV incidence 0–24h (PRIMARY)**: TEAS pooled (n=68) 19/68 (27.9%) vs Sham TEAS pooled (n=70) 30/70 (42.9%) (P = 0.065) [RR 0.65, 95% CI 0.41 to ...",Yes,Yes,Yes,PONV incidence (SNVP randomized contrast),12-24 h,High,PARTIAL — selected RoB corrected; stratified PONV/intraop-opioid rows added,Never pool SNVP and MNVP into a single randomized TEAS contrast; postoperative opioid endpoint absent,SOURCE-NORMALIZED OUTCOME ROWS ADDED,Source PDF / supplement / protocol / registration > reconciled source extraction > derivative model output,https://drive.google.com/drive/folders/1EWdZyTQjPSuoxt8n1nIr1t8D98PC-mso,https://docs.google.com/document/d/1hR0UuZSmPpwZi384Vzn3sZt5Y5_ZwYxW6b3u4nq2-40/edit,9
Tu 2024,Batch 13,RE-ADJUDICATE,Source-correct study/results; Domains 3 and 5 too optimistic given post-randomization exclusions and unverified exact prespecification.,Tu 2023 → Tu 2024,Tu 2023,244,1879896309,**Postoperative pain intensity at 6–24h (PRIMARY)**: TEAS (n=57) median 2 (IQR 0.5 to 3) [Wan mean 1.83 ± 1.85] vs Sham TEAS (n=58) median 4 (IQR 3 to 4) [Wa...,Yes,Yes,Yes,Vomiting incidence,2-6 h,High,PARTIAL — source-matched RoB re-adjudicated; vomiting/pain/rescue-opioid rows added,Binary rescue tramadol use is available; cumulative 24-h tramadol dose is not,SOURCE-NORMALIZED OUTCOME ROWS ADDED,Source PDF / supplement / protocol / registration > reconciled source extraction > derivative model output,https://drive.google.com/drive/folders/1EWdZyTQjPSuoxt8n1nIr1t8D98PC-mso,https://docs.google.com/document/d/1hR0UuZSmPpwZi384Vzn3sZt5Y5_ZwYxW6b3u4nq2-40/edit,5
Sun 2017,Batch 5,RE-ADJUDICATE,Correct study family but stored result is misclassified as 24-h opioid consumption; sham and attrition details need fresh assessment.,,Sun 2017,632,1879896963,**Pain intensity on movement 24h (PRIMARY)**: Group TST (n=89) median 3.0 (IQR 3.0 to 4.0) [Wan mean 3.33 ± 0.74] vs Group SSS (n=90) median 4.0 (IQR 3.8 to ...,Yes,Yes,Yes,Activity-evoked VAS,24 h,Some concerns,PARTIAL — source-matched RoB re-adjudicated; four-arm pain/NSAID-rescue rows added,"Postoperative rescue is NSAID, not opioid; preserve four timing arms and shared sham control",SOURCE-NORMALIZED OUTCOME ROWS ADDED,Source PDF / supplement / protocol / registration > reconciled source extraction > derivative model output,https://drive.google.com/drive/folders/1EWdZyTQjPSuoxt8n1nIr1t8D98PC-mso,https://docs.google.com/document/d/1hR0UuZSmPpwZi384Vzn3sZt5Y5_ZwYxW6b3u4nq2-40/edit,8
Sim 2002,Batch 3,SPECIAL / SOURCE-QC,Three randomized timing arms must remain separate; do not merge pre- and postoperative EA.,,Sim 2002,952,1879897479,**Cumulative 24h postoperative PCA morphine consumption (PRIMARY)**: Group II Preop EA (n=30) 0.52 ± 0.19 mg/kg (31.20 ± 11.40 mg) vs Group I Placebo EA (n=3...,Yes,Yes,Yes,Cumulative postoperative IV PCA morphine,0-24 h,Some concerns,PARTIAL — selected RoB corrected; three randomized timing arms preserved,Use weight-normalized 24-h morphine as reported; never merge preop and postop EA timing arms,SOURCE-NORMALIZED OUTCOME ROWS ADDED,Source PDF / supplement / protocol / registration > reconciled source extraction > derivative model output,https://drive.google.com/drive/folders/1EWdZyTQjPSuoxt8n1nIr1t8D98PC-mso,https://docs.google.com/document/d/1hR0UuZSmPpwZi384Vzn3sZt5Y5_ZwYxW6b3u4nq2-40/edit,4
Seevaunnamtum 2016,Batch 20,FULL REPLACEMENT,Correct article identity but wrong acupoints and wrong primary 24-h control morphine mean/SD/P value.,PraveenaSeevaunnamtum 2016 → Seevaunnamtum 2016,PraveenaSeevaunnamtum 2016,596,1879896891,**Cumulative 24h postoperative PCA morphine consumption (mg) (PRIMARY)**: EA Group (n=32) 21.38 ± 14.38 vs Control Group (n=32) 33.94 ± 20.24 (P = 0.006*) [M...,Yes,Yes,Yes,Cumulative IV PCA morphine,0-24 h,Some concerns,PARTIALLY READY — corrected RoB available for one selected result; confirm outcome matches planned synthesis,Use source data; DO NOT use original stored RoB. Rebuild result-specific RoB.,Candidate summary from Antigravity report; use only after source-level confirmation,Source PDF / supplement / protocol / registration > reconciled source extraction > derivative model output,https://drive.google.com/drive/folders/1EWdZyTQjPSuoxt8n1nIr1t8D98PC-mso,https://docs.google.com/document/d/1hR0UuZSmPpwZi384Vzn3sZt5Y5_ZwYxW6b3u4nq2-40/edit,1
Pan 2023,Batch 10,FULL REPLACEMENT,"Changes randomized n, sham structure, intervention and flatus distribution; ignores 15 post-randomization exclusions.",,Pan 2023,298,1879896396,"**Pain intensity on movement 24h (PRIMARY)**: Group T (TEAS, n=52) median 2 (IQR 2, 3) [Wan mean 2.33 ± 0.74] vs Group C (Control, n=53) median 3 (IQR 3, 4) ...",Yes,Yes,Yes,Time to first postoperative flatus,Time to event,High,PARTIALLY READY — corrected RoB available for one selected result; confirm outcome matches planned synthesis,Use source data; DO NOT use original stored RoB. Rebuild result-specific RoB.,Candidate summary from Antigravity report; use only after source-level confirmation,Source PDF / supplement / protocol / registration > reconciled source extraction > derivative model output,https://drive.google.com/drive/folders/1EWdZyTQjPSuoxt8n1nIr1t8D98PC-mso,https://docs.google.com/document/d/1hR0UuZSmPpwZi384Vzn3sZt5Y5_ZwYxW6b3u4nq2-40/edit,1
Ntritsou 2014,Batch 3,SPECIAL / SOURCE-QC,Distinguish total tramadol exposure from rescue analgesia; five clinically relevant post-randomization exclusions.,,Ntritsou 2014,729,1879897120,**Cumulative 24h postoperative tramadol consumption (mg) (PRIMARY)**: EA group (n=35) 443.7 ± 67.4 vs Sham group (n=35) 461.5 ± 63.2 (P = 0.257) [MD -17.80 m...,Yes,Yes,Yes,Total tramadol exposure,First 24 h most consistent with protocol,High,PARTIAL — selected RoB corrected; tramadol/remifentanil/rescue rows added,Total tramadol is not rescue-only; complete 24-h MME remains unresolved because rescue morphine quantity is missing,SOURCE-NORMALIZED OUTCOME ROWS ADDED,Source PDF / supplement / protocol / registration > reconciled source extraction > derivative model output,https://drive.google.com/drive/folders/1EWdZyTQjPSuoxt8n1nIr1t8D98PC-mso,https://docs.google.com/document/d/1hR0UuZSmPpwZi384Vzn3sZt5Y5_ZwYxW6b3u4nq2-40/edit,4
Ng 2013,Batch 2,SPECIAL / SOURCE-QC,No defensible exact cumulative 0–24-h opioid endpoint in source; preserve as secondary/descriptive unless exact window found.,Ng 2012 / 2013 → Ng 2013,Ng 2012 / 2013,775,1879897195,**Pain intensity Day 1 (~24h point assessment) (PRIMARY)**: EA group (n=55) 5.6 ± 2.0 vs Sham group (n=55) 5.8 ± 1.9 vs Usual care (n=55) 5.5 ± 2.3 (P = 0.65...,Yes,Yes,Yes,Time to first bowel motion,Postoperative,Some concerns,PARTIAL — selected RoB corrected; GI/pain/pethidine rows added,Pethidine injection count is not a 24-h dose; dosing and observation window require author clarification,SOURCE-NORMALIZED OUTCOME ROWS ADDED,Source PDF / supplement / protocol / registration > reconciled source extraction > derivative model output,https://drive.google.com/drive/folders/1EWdZyTQjPSuoxt8n1nIr1t8D98PC-mso,https://docs.google.com/document/d/1hR0UuZSmPpwZi384Vzn3sZt5Y5_ZwYxW6b3u4nq2-40/edit,6
