analysis_id,analysis_group,endpoint_stratum,provisional_status,strict_k_lock_items,sensitivity_k_lock_items,effect_data_rule,pooling_rule,mandatory_sensitivity_or_hold,notes
F_POSTOP_DELIVERED_DOSE_OR_SOLUTION,Target F,F_postop_delivered_dose_or_solution,EXPLORATORY,2,4,Delivered dose can be quantitative; mixed solution volume stays native volume.,Pool only compatible drugs/units after prespecified conversion; volume proxies separate.,Yeh duplicate family hold; high-RoB older trials sensitivity.,Narrative/hold lock items: 4.
F_RESCUE_MIXED_OR_UNDEFINED,Target F,F_rescue_mixed_or_undefined,NARRATIVE / HOLD,0,1,Preserve raw source metric only.,No pooled opioid effect until drug/unit/window are known.,"Zhang2025, Liang2021, Zhou2021 etc remain excluded from opioid-specific models.",Narrative/hold lock items: 6.
F_RESCUE_NONOPIOID,Target F,F_rescue_nonopioid,EXPLORATORY / SEPARATE,0,1,Binary or medication-specific native metric.,Never relabel as opioid rescue.,Keep drug-specific/non-opioid strata.,Narrative/hold lock items: 3.
F_RESCUE_OPIOID,Target F,F_rescue_opioid,EXPLORATORY,6,0,Binary incidence -> RR; counts/median-IQR remain separate count estimands.,Do not pool incidence with administration counts or different undefined windows.,Use raw events when publication P conflicts; undefined windows remain separate.,Narrative/hold lock items: 3.
STATA EXPORT RULES,,,,,,,,,
1,No imputation of unreported values.,,,,,,,,
2,No conversion of PCA volume/presses/counts into opioid dose without an explicit source-supported concentration and prespecified conversion.,,,,,,,,
3,Use events/denominators—not conflicting publication P values—for binary meta-analysis.,,,,,,,,
4,Preserve medians/IQR as medians/IQR unless the statistical analysis plan explicitly specifies a valid method.,,,,,,,,
5,Final publication dataset remains held for the JAMA Surgery colorectal-EA scope/completeness adjudication.,,,,,,,,
,,,,,,,,,
,,,,,,,,,
STATA EXPORT RULES,,,,,,,,,
1,No imputation of unreported values.,,,,,,,,
2,No conversion of PCA volume/presses/counts into opioid dose without explicit source-supported concentration and prespecified conversion.,,,,,,,,
3,Use events/denominators—not conflicting publication P values—for binary meta-analysis.,,,,,,,,
4,Preserve medians/IQR as medians/IQR unless the statistical analysis plan explicitly specifies a valid method.,,,,,,,,
5,Dataset completeness hold resolved: Yu Wang JAMA Surgery 2023 was excluded at full text for wrong outcomes.,,,,,,,,
