LockID,Target,Canonicalmasterstudy,Sourcestudylabel,Outcomeestimand,Window,Sourceverifiedresult,D1,D2,D3,D4,D5,OverallRoB,Endpointstratum,Synthesisstatus,Includestrictmodel,Includesensitivitymodel,Narrativeevidencemap,Excludeholdreason,Authorcontactpriority,Overlapfamily,v20comparisonIDs,v20matchcount,Reconciliationaction,Reconciliationnote,KeyQCnote,SourceRoBfile,v20sourceURLs
B-001,B,Yang 2024,Yang 2024,Cumulative postoperative morphine,0–72 h,127.0±12.0 vs 127.5±12.5 mg,Low,Low,Low,Low,Some concerns,Some concerns,B_0-72h_cumulative_opioid,PRIMARY strict,1,0,0,,,,YANG24_EA_vs_UC_MORPH72,1,NORMALIZED_V22,Normalized into Outcome_Data_AF_LOCK in v22 (1 new source-scale row(s)); original v20 Outcome_Data remains unchanged.,PCA-device records; full ITT.,Yang_2024_RoB2_0-72h_cumulative_morphine.md,
B-002,B,Wong 2006,Wong 2006,Total PCA morphine,first 3 postoperative days (~72 h),33.9±12.8 vs 42.3±21.3 mg,Low,Some concerns,Some concerns,Low,Some concerns,Some concerns,B_0-72h_cumulative_opioid,SENSITIVITY / approximate 72 h,0,1,0,,,,WONG06_EA_vs_SHAM_MORPHTOTAL,1,MATCHED,Existing v20 row(s) represent this source-verified estimand.,Exact surgery-to-72.0-h clock cutoff not reported.,Wong_2006_RoB2_three_day_cumulative_PCA_morphine.md,https://drive.google.com/file/d/1-XmRdgXyZmOmKIDRhL80sxha5M2P00jd/view?usp=drivesdk
B-003,B,Zhang 2025,Zhang 2025,Eligibility audit,POD1,No 72-h cumulative opioid result,—,—,—,—,—,—,B_0-72h_cumulative_opioid,EXCLUDE,0,0,1,EXCLUDE,,,,0,NO_DATA_ROW_REQUIRED,Eligibility/exclusion decision only; no new numerical outcome row required.,24-h only.,—,
B-004,B,Xie 2014,Xie 2014,Eligibility audit,through 48 h,No 72-h cumulative opioid result,—,—,—,—,—,—,B_0-72h_cumulative_opioid,EXCLUDE / reclassify A,0,0,1,EXCLUDE / reclassify A,,,,0,NO_DATA_ROW_REQUIRED,Eligibility/exclusion decision only; no new numerical outcome row required.,Reclassified to broader Target A.,—,
C-001,C,Xing 2022,Xing 2022,Pain intensity at rest,24 h,1.18±0.42 vs 1.40±0.52,Low,Some concerns,Low,High,Low,High,C_rest_pain_~24h,PRIMARY strict,1,0,0,,,,XING22_NTG_vs_NG_RESTVAS24,1,MATCHED,Existing v20 row(s) represent this source-verified estimand.,Subjective resting pain; sensory masking concern drives High RoB.,Xing_2022_RoB2_24h_resting_pain.md,https://drive.google.com/file/d/1h3IGpQ56nSh7H16xBEVyTzCBkWOXRSxK/view?usp=drivesdk
C-002,C,Liu 2021,Liu 2021,Pain intensity at rest,24 h,2.52±0.505 vs 2.66±0.626; P=0.221,Some concerns,Low,Low,High,Some concerns,High,C_rest_pain_~24h,PRIMARY strict,1,0,0,,,,LIU21_TEAS_vs_CTRL_VASREST24,1,MATCHED,Existing v20 row(s) represent this source-verified estimand.,Subjective resting pain; participant masking concern drives High RoB.,Liu_2021_RoB2_24h_resting_pain.md,https://drive.google.com/file/d/1TA4BstaUWY3EdQbDNEvvGxF35ekGanrm/view?usp=drivesdk
C-003,C,Zhou 2021,Zhou 2021,Eligibility audit,~24 h/POD1,—,—,—,—,—,—,—,C_rest_pain_~24h,EXCLUDE,0,0,1,EXCLUDE,,,,0,NO_DATA_ROW_REQUIRED,Eligibility/exclusion decision only; no new numerical outcome row required.,POD1 pain not explicitly at rest,—,
C-004,C,Wu 2022,Wu 2022,Eligibility audit,~24 h/POD1,—,—,—,—,—,—,—,C_rest_pain_~24h,EXCLUDE,0,0,1,EXCLUDE,,,,0,NO_DATA_ROW_REQUIRED,Eligibility/exclusion decision only; no new numerical outcome row required.,POD1 pain not explicitly at rest,—,
C-005,C,Wu 2025,Wu 2025,Eligibility audit,~24 h/POD1,—,—,—,—,—,—,—,C_rest_pain_~24h,EXCLUDE,0,0,1,EXCLUDE,,,,0,NO_DATA_ROW_REQUIRED,Eligibility/exclusion decision only; no new numerical outcome row required.,24-h pain not explicitly at rest,—,
C-006,C,Ng 2013,Ng 2013,Eligibility audit,~24 h/POD1,—,—,—,—,—,—,—,C_rest_pain_~24h,EXCLUDE,0,0,1,EXCLUDE,,,,0,NO_DATA_ROW_REQUIRED,Eligibility/exclusion decision only; no new numerical outcome row required.,POD1 pain not explicitly at rest,—,
C-007,C,Luo 2026,Luo 2026,Eligibility audit,~24 h/POD1,—,—,—,—,—,—,—,C_rest_pain_~24h,EXCLUDE,0,0,1,EXCLUDE,,,,0,NO_DATA_ROW_REQUIRED,Eligibility/exclusion decision only; no new numerical outcome row required.,24-h pain not explicitly at rest,—,
C-008,C,Long 2025,Long 2025,Eligibility audit,~24 h/POD1,—,—,—,—,—,—,—,C_rest_pain_~24h,EXCLUDE,0,0,1,EXCLUDE,,,,0,NO_DATA_ROW_REQUIRED,Eligibility/exclusion decision only; no new numerical outcome row required.,24-h pain not explicitly at rest,—,
C-009,C,Liu 2026 (ESD),Liu 2026 ESD,Eligibility audit,~24 h/POD1,—,—,—,—,—,—,—,C_rest_pain_~24h,EXCLUDE,0,0,1,EXCLUDE,,,,0,NO_DATA_ROW_REQUIRED,Eligibility/exclusion decision only; no new numerical outcome row required.,24-h pain not explicitly at rest,—,
D-001,D,Zheng 2025,Zheng 2025,Composite PONV incidence,0–24 h,18/42 vs 29/43,Low,Some concerns,Low,Some concerns,Some concerns,Some concerns,D_PONV_0-24h,PRIMARY composite 24 h,1,0,0,,,,ZHENG25_TEAS_vs_SHAM_PONV,1,MATCHED,Existing v20 row(s) represent this source-verified estimand.,,Zheng_2025_RoB2_PONV_0_24h.md,https://drive.google.com/file/d/1-JWKZgQXaQQQBZgMSDqyIP-vG9aAxBqb/view?usp=drivesdk
D-002,D,Lu 2021,Lu 2021,Composite PONV incidence,by 24 h,35/190 vs 68/188,Low,Low,Low,High,Some concerns,High,D_PONV_0-24h,PRIMARY composite 24 h,1,0,0,,,,LU21_COMB_vs_SHAM_PONV24,1,MATCHED,Existing v20 row(s) represent this source-verified estimand.,,Lu_2021_RoB2_PONV_24h.md,https://drive.google.com/file/d/1MgD_OucfiyNEDdDe3osh8W01U1yYZs08/view?usp=drivesdk
D-003,D,Xiong 2021,Xiong 2021,Composite PONV incidence,0–48 h,13/31 vs 24/31,Some concerns,Low,Low,High,Some concerns,High,D_PONV_0-48h,PRIMARY composite 48 h,1,0,0,,,,XIONG21_TEAS_vs_CTRL_PONV48,1,MATCHED,Existing v20 row(s) represent this source-verified estimand.,,Xiong_2021_RoB2_PONV_0_48h.md,https://drive.google.com/file/d/1sNaquYeWpsts7_e3XYP9c0CwM-tbQS6T/view?usp=drivesdk
D-004,D,Xing 2022,Xing 2022,Composite PONV incidence,within 48 h,5/29 vs 11/29,Some concerns,Some concerns,Low,High,Some concerns,High,D_PONV_0-48h,PRIMARY composite 48 h,1,0,0,,,,XING22_NTG_vs_NG_PONV,1,MATCHED,Existing v20 row(s) represent this source-verified estimand.,,Xing_2022_RoB2_PONV_0_48h.md,https://drive.google.com/file/d/1h3IGpQ56nSh7H16xBEVyTzCBkWOXRSxK/view?usp=drivesdk
D-005,D,Zhou 2025,Zhou 2025,Composite PONV incidence,POD1,10/48 vs 19/49,Low,Low,Low,Some concerns,Some concerns,Some concerns,D_PONV_other,SENSITIVITY / near 24 h,0,1,0,,P2,,ZHOU25_TEAS_vs_SHAM_PONV,1,MATCHED,Existing v20 row(s) represent this source-verified estimand.,POD1 not explicitly 0–24 h.,Zhou_2025_RoB2_PONV_POD1.md,https://drive.google.com/file/d/1gpNBuoukUttXKWiAAeZSqdIaaHSMOwDU/view?usp=drivesdk
D-006,D,Yang 2024,Yang 2024,Nausea incidence,0–24 h,24/90 vs 40/90,Low,Low,Low,High,Some concerns,High,D_nausea_0-24h,SEPARATE nausea,1,0,0,,,,YANG24_EA_vs_UC_NAUSEA24,1,NORMALIZED_V22,Normalized into Outcome_Data_AF_LOCK in v22 (1 new source-scale row(s)); original v20 Outcome_Data remains unchanged.,,Yang_2024_RoB2_nausea_0_24h.md,
D-007,D,Ma 2026,Ma 2026,Nausea incidence,0–24 h,6/17 vs 8/16,Some concerns,Some concerns,Low,High,Some concerns,High,D_nausea_0-24h,SEPARATE nausea,1,0,0,,,,MA26_T_vs_S_NAUSEA24,1,MATCHED,Existing v20 row(s) represent this source-verified estimand.,,Ma_2026_RoB2_nausea_0_24h.md,https://drive.google.com/file/d/1tMEOwvRWIMeEmBmKfeHEt7YF10yxslUe/view?usp=drivesdk
D-008,D,Luo 2026,Luo 2026,Nausea incidence,0–48 h,24/138 vs 53/139,Low,Low,Low,High,Some concerns,High,D_nausea_0-48h,SEPARATE nausea,1,0,0,,,,LUO26_TEAS_vs_SHAM_NAUSEA48,1,MATCHED,Existing v20 row(s) represent this source-verified estimand.,,Luo_2026_RoB2_nausea_0_48h.md,https://drive.google.com/file/d/1xxZle6mPpcnmHLblJbsy1kA4CyQHpvm2/view?usp=drivesdk
D-009,D,Yang 2024,Yang 2024,Vomiting incidence,0–24 h,12/90 vs 25/90,Low,Low,Low,Some concerns,Some concerns,Some concerns,D_vomiting_0-24h,SEPARATE vomiting,1,0,0,,,,YANG24_EA_vs_UC_VOMIT,1,CORRECTED_V22,Existing v20 row retained in original Outcome_Data; source-level value/window correction applied only in Outcome_Data_AF_LOCK v22.,,Yang_2024_RoB2_vomiting_0_24h.md,https://drive.google.com/file/d/160N3psd5tLEphwXHJzUEZ3uJfaIXcs5V/view?usp=drivesdk
D-010,D,Ma 2026,Ma 2026,Vomiting incidence,0–24 h,6/17 vs 7/16,Some concerns,Some concerns,Low,Some concerns,Some concerns,Some concerns,D_vomiting_0-24h,SEPARATE vomiting,1,0,0,,,,MA26_T_vs_S_VOMIT24,1,MATCHED,Existing v20 row(s) represent this source-verified estimand.,,Ma_2026_RoB2_vomiting_0_24h.md,https://drive.google.com/file/d/1tMEOwvRWIMeEmBmKfeHEt7YF10yxslUe/view?usp=drivesdk
D-011,D,Luo 2026,Luo 2026,Vomiting incidence,0–48 h,9/138 vs 27/139,Low,Low,Low,Some concerns,Some concerns,Some concerns,D_vomiting_0-48h,SEPARATE vomiting,1,0,0,,,,LUO26_TEAS_vs_SHAM_VOMIT48,1,MATCHED,Existing v20 row(s) represent this source-verified estimand.,,Luo_2026_RoB2_vomiting_0_48h.md,https://drive.google.com/file/d/1xxZle6mPpcnmHLblJbsy1kA4CyQHpvm2/view?usp=drivesdk
D-012,D,Zhu 2022,Zhu 2022,Eligibility audit,—,—,—,—,—,—,—,—,D_vomiting_other,EXCLUDE strict composite,0,0,1,EXCLUDE strict composite,,,,0,NO_DATA_ROW_REQUIRED,Eligibility/exclusion decision only; no new numerical outcome row required.,Interval nausea/vomiting only; no unique cumulative composite,—,
D-013,D,Zhang 2014,Zhang 2014,Eligibility audit,—,—,—,—,—,—,—,—,D_vomiting_other,EXCLUDE strict composite,0,0,1,EXCLUDE strict composite,,,,0,NO_DATA_ROW_REQUIRED,Eligibility/exclusion decision only; no new numerical outcome row required.,PONV window not verifiable as 0–24/0–48 h,—,
D-014,D,Wang 2024,Wang 2024,Eligibility audit,—,—,—,—,—,—,—,—,D_vomiting_other,EXCLUDE strict composite,0,0,1,EXCLUDE strict composite,P3,,,0,NO_DATA_ROW_REQUIRED,Eligibility/exclusion decision only; no new numerical outcome row required.,Cumulative PONV window is 0–36 h,—,
D-015,D,Long 2025,Long 2025,Eligibility audit,—,—,—,—,—,—,—,—,D_vomiting_other,EXCLUDE strict composite,0,0,1,EXCLUDE strict composite,P3,,,0,NO_DATA_ROW_REQUIRED,Eligibility/exclusion decision only; no new numerical outcome row required.,PONV time window not reported,—,
D-016,D,Liu 2026 (ESD),Liu 2026 ESD,Eligibility audit,—,—,—,—,—,—,—,—,D_vomiting_other,EXCLUDE strict composite,0,0,1,EXCLUDE strict composite,P3,,,0,NO_DATA_ROW_REQUIRED,Eligibility/exclusion decision only; no new numerical outcome row required.,PONV-type count but exact cumulative window not stated,—,
E-001,E,Zhou 2025,Zhou 2025,Time to first postoperative flatus,postoperative,14.10±3.19 vs 15.88±3.78 h,Low,Some concerns,Low,Some concerns,Some concerns,Some concerns,E_time_to_first_flatus,PRIMARY / timing caveat,1,0,0,,P2,,ZHOU25_TEAS_vs_SHAM_FLATUS,1,MATCHED,Existing v20 row(s) represent this source-verified estimand.,Time origin/ascertainment not reported.,Zhou_2025_RoB2_time_to_first_flatus.md,https://drive.google.com/file/d/1gpNBuoukUttXKWiAAeZSqdIaaHSMOwDU/view?usp=drivesdk
E-002,E,Yang 2020,Yang 2020,Time to first postoperative flatus,postoperative,20.8±4.6 vs 24.1±6.2 h,Low,Some concerns,Low,Some concerns,Some concerns,Some concerns,E_time_to_first_flatus,PRIMARY / timing caveat,1,0,0,,P2,,YANG20_EA_vs_UC,1,MATCHED,Existing v20 row(s) represent this source-verified estimand.,'Checked regularly'; exact reporter/time origin incomplete.,Yang_2020_RoB2_time_to_first_flatus.md,https://drive.google.com/file/d/1hsQR_K6W-5QNP4rqkVxHQaopRp4f1XF0/view?usp=drivesdk
E-003,E,Yang 2024,Yang 2024,Time to first postoperative flatus,postoperative,15.4±3.2 vs 17.0±3.7 h,Low,Low,Low,High,Some concerns,High,E_time_to_first_flatus,PRIMARY,1,0,0,,,,YANG24_EA_vs_UC_FLATUS,1,MATCHED,Existing v20 row(s) represent this source-verified estimand.,Patient-recorded in open-label trial; High measurement bias.,Yang_2024_RoB2_time_to_first_flatus.md,https://drive.google.com/file/d/160N3psd5tLEphwXHJzUEZ3uJfaIXcs5V/view?usp=drivesdk
E-004,E,Xing 2022,Xing 2022,Time to first postoperative flatus,postoperative,32.57±6.94 vs 36.83±6.19 h,Low,Some concerns,Low,Some concerns,Some concerns,Some concerns,E_time_to_first_flatus,PRIMARY / timing caveat,1,0,0,,P2,,XING22_NTG_vs_NG_FLATUS,1,MATCHED,Existing v20 row(s) represent this source-verified estimand.,Detection method/time origin incompletely described.,Xing_2022_RoB2_time_to_first_flatus.md,https://drive.google.com/file/d/1h3IGpQ56nSh7H16xBEVyTzCBkWOXRSxK/view?usp=drivesdk
E-005,E,Wang 2023,Wang 2023,Time to first postoperative flatus,from surgery end,44.3 (37.0–58.2) vs 58.9 (48.2–67.4) h,Low,Low,Low,Low,Low,Low,E_time_to_first_flatus,EXCLUDE — wrong outcomes,0,0,0,Excluded at full text for wrong outcomes.,,,,0,NO_DATA_ROW_REQUIRED,"Resolved by review screening decision: Yu Wang et al., JAMA Surgery 2023 was excluded at full text for wrong outcomes. It is not a missing eligible study and must not be added to the canonical dataset.",Screening decision governs eligibility. Retain only as an exclusion audit trail; do not create a numerical Target-E outcome row.,Wang_2023_RoB2_time_to_first_flatus.md,
E-006,E,Lu 2022,Lu 2022,Time to first postoperative flatus,postoperative,34.5±16.7 vs 42.4±22.9 h,Low,Some concerns,Some concerns,Some concerns,Some concerns,Some concerns,E_time_to_first_flatus,PRIMARY / timing caveat,1,0,0,,P2,,LU22_TEAS_vs_CTRL_FLATUS,1,MATCHED,Existing v20 row(s) represent this source-verified estimand.,6/100 post-randomization exclusions; ascertainment/time origin not reported.,Lu_2022_RoB2_time_to_first_flatus.md,https://drive.google.com/file/d/12Y86huNMuLC8cPH-L2vwlEd7r1X1Qela/view?usp=drivesdk
E-007,E,Ng 2013,Ng 2013,Time to first postoperative flatus,postoperative,2.0±0.9 vs 2.3±1.1 days,Some concerns,Low,Low,Low,Low,Some concerns,E_time_to_first_flatus,PRIMARY / timing caveat,1,0,0,,P2,,NG13_EA_vs_SHAM_FLATUS,1,MATCHED,Existing v20 row(s) represent this source-verified estimand.,Nonopaque envelope; exact flatus verification/time origin not explicit.,Ng_2013_RoB2_time_to_first_flatus.md,https://drive.google.com/file/d/1R1zCiyfWvuSp99Hi2U_K1__8kgdi90gd/view?usp=drivesdk
F-intra-001,F-intra,Liu 2026 (burn),Liu 2026 burn,remifentanil,intraoperative,0.70 (0.50–1.10) vs0.90 (0.65–1.25); P=0.039,Low,Some concerns,Low,Low,Some concerns,Some concerns,F_intraop_titrated_requirement,UNRESOLVED before pooling,0,0,1,UNRESOLVED before pooling,P1,,LIU26BURN_TEAS_vs_SHAM_REMI,1,MATCHED,Existing v20 row(s) represent this source-verified estimand. v25 result-specific P1 disposition: RESOLVED_BY_SOURCE_HIERARCHY.,Abstract values differ from main text.,Liu_2026_burn_RoB2_intraoperative_remifentanil.md,https://drive.google.com/file/d/1mvekGtHD2JAKCRbIXrvLw1Nz7hbQ1dZ3/view?usp=drivesdk
F-intra-002,F-intra,Hou 2023,Hou 2023,remifentanil,intraoperative,950 (750–1238) vs1000 (881–1144) μg; P=0.572,Some concerns,Some concerns,Low,Low,Some concerns,Some concerns,F_intraop_titrated_requirement,CANDIDATE,1,0,0,,,,HOU23_TEAS_vs_SHAM_REMI,1,NORMALIZED_V22,Normalized into Outcome_Data_AF_LOCK in v22 (1 new source-scale row(s)); original v20 Outcome_Data remains unchanged.,TCI target range; within-range algorithm incomplete.,Hou_2023_RoB2_intraoperative_remifentanil.md,
F-intra-003,F-intra,Zhang 2014,Zhang 2014,remifentanil,intraoperative,0.06±0.02 vs0.09±0.03 μg/kg/min; P=0.01,Some concerns,Low,Low,Low,Some concerns,Some concerns,F_intraop_titrated_requirement,CANDIDATE,1,0,0,,P3,,ZHANG14_TEAS_vs_SHAM_REMI,1,MATCHED,Existing v20 row(s) represent this source-verified estimand.,Blinded titrating anesthesiologist.,Zhang_2014_RoB2_intraoperative_remifentanil.md,https://drive.google.com/file/d/1lws1zFpIE-wbLY8X9ewYyTuIP-WySa-c/view?usp=drivesdk
F-intra-004,F-intra,Huang 2017,Huang 2017,remifentanil-equivalent opioid,intraoperative,0.1128±0.034 vs0.1617±0.037 μg/kg/min; P≤0.001,Some concerns,Some concerns,Low,Low,Some concerns,Some concerns,F_intraop_titrated_requirement,SENSITIVITY,0,1,0,,P2,,HUANG17_2100_vs_CTRL_REMI,1,MATCHED,Existing v20 row(s) represent this source-verified estimand.,Titrating anesthesiologist masking not reported.,Huang_2017_RoB2_intraoperative_opioid_2_100Hz.md,https://drive.google.com/file/d/1RJGi1PYvw75qVW9UK8CBtJPH4G035ASs/view?usp=drivesdk
F-intra-005,F-intra,Sim 2002,Sim 2002,alfentanil,intraoperative,0.44±0.15 vs0.51±0.21 μg/kg/min; P=0.472,Some concerns,Some concerns,Low,Low,Some concerns,Some concerns,F_intraop_titrated_requirement,CANDIDATE,1,0,0,,,,SIM02_PREOP_vs_PLACEBO_ALFENT,1,MATCHED,Existing v20 row(s) represent this source-verified estimand.,"Relevant comparison is preop EA vs placebo, not preop vs postop.",Sim_2002_RoB2_intraoperative_alfentanil.md,https://drive.google.com/file/d/1YsNHL-J3Kgfu8mCanRrNu_bHk_roj0w6/view?usp=drivesdk
F-intra-006,F-intra,Wu 2022,Wu 2022,remifentanil,intraoperative,1383±494 vs1637±630 μg; P=0.042,Some concerns,Some concerns,Some concerns,Low,Some concerns,Some concerns,F_intraop_titrated_requirement,SENSITIVITY,0,1,0,,,,WU22_PTEAS_vs_CTRL_REMI,1,MATCHED,Existing v20 row(s) represent this source-verified estimand.,"6/90 excluded, imbalance 1 vs5.",Wu_2022_RoB2_intraoperative_remifentanil.md,https://drive.google.com/file/d/1XR_8qmeHR7ulwV7NaaI0CeYbpwKdc_ym/view?usp=drivesdk
F-intra-007,F-intra,Xing 2022,Xing 2022,remifentanil,intraoperative,1182.61±253.61 vs1415.41±295.67 μg; P<0.05,Low,Some concerns,Low,Low,Some concerns,Some concerns,F_intraop_titrated_requirement,CANDIDATE,1,0,0,,,,XING22_NTG_vs_NG_REMI,1,MATCHED,Existing v20 row(s) represent this source-verified estimand.,NTG vs NG; anesthesiologist blinded.,Xing_2022_RoB2_intraoperative_remifentanil.md,https://drive.google.com/file/d/1h3IGpQ56nSh7H16xBEVyTzCBkWOXRSxK/view?usp=drivesdk
F-intra-008,F-intra,Lu 2021,Lu 2021,remifentanil,intraoperative,1.2±0.5 vs1.4±0.7 mg; MD −0.20 mg; P<0.001,Low,Low,Low,Low,Some concerns,Some concerns,F_intraop_titrated_requirement,CANDIDATE,1,0,0,,,,LU21_COMB_vs_SHAM_REMI,1,MATCHED,Existing v20 row(s) represent this source-verified estimand.,One of the cleanest blinded titration results.,Lu_2021_RoB2_intraoperative_remifentanil.md,https://drive.google.com/file/d/1MgD_OucfiyNEDdDe3osh8W01U1yYZs08/view?usp=drivesdk
F-intra-009,F-intra,Zheng 2025,Zheng 2025,remifentanil,intraoperative,233.1±29.6 vs289.5±37.9 μg; P=0.031,Low,Some concerns,Low,Low,Some concerns,Some concerns,F_intraop_titrated_requirement,SENSITIVITY,0,1,0,,,,ZHENG25_TEAS_vs_SHAM_REMI,1,MATCHED,Existing v20 row(s) represent this source-verified estimand.,Anesthesiologist explicitly unblinded.,Zheng_2025_RoB2_intraoperative_remifentanil.md,https://drive.google.com/file/d/1-JWKZgQXaQQQBZgMSDqyIP-vG9aAxBqb/view?usp=drivesdk
F-intra-010,F-intra,Guo 2023,Guo 2023,remifentanil,intraoperative,0.87±0.30 vs1.01±0.39 mg; P=0.040,Some concerns,Some concerns,Some concerns,Low,Some concerns,Some concerns,F_intraop_titrated_requirement,SENSITIVITY,0,1,0,,,,GUO23_TEAS_vs_SHAM_REMI,1,MATCHED,Existing v20 row(s) represent this source-verified estimand.,18/128 randomized excluded.,Guo_2023_RoB2_intraoperative_remifentanil.md,https://drive.google.com/file/d/1Idfl7rfZhgAUJHDpsmgzp17ADiGvrU8C/view?usp=drivesdk
F-intra-011,F-intra,Yang 2024,Yang 2024,remifentanil,intraoperative,0.5 (0.3–0.6) vs0.5 (0.4–0.7) mg; P=0.75,Low,Low,Low,Low,Some concerns,Some concerns,F_intraop_titrated_requirement,CANDIDATE,1,0,0,,,,YANG24_EA_vs_UC_REMI,1,NORMALIZED_V22,Normalized into Outcome_Data_AF_LOCK in v22 (1 new source-scale row(s)); original v20 Outcome_Data remains unchanged.,Preoperative EA occurred before surgery; anesthetist blinded.,Yang_2024_RoB2_intraoperative_remifentanil.md,
F-intra-012,F-intra,Liang 2021,Liang 2021,remifentanil,intraoperative,"521.5±206.8 vs464.7±156.0 μg; exact P NR, stated NS",Low,Some concerns,Some concerns,Low,Some concerns,Some concerns,F_intraop_titrated_requirement,SENSITIVITY,0,1,0,,,,LIANG21_TEAS_vs_CTRL_REMI,1,NORMALIZED_V22,Normalized into Outcome_Data_AF_LOCK in v22 (1 new source-scale row(s)); original v20 Outcome_Data remains unchanged.,5/75 excluded; printed sufentanil unit anomaly.,Liang_2021_RoB2_intraoperative_remifentanil.md,
