model_id,role,construct,modality,comparator,measure,unit,k,N,studies,result_ids,status,effect,ci_low,ci_high,tau2,I2,pi_low,pi_high,rob2_linked_results,grade,note
ponv24_TEAS_sham_point_window_sensitivity,SENSITIVITY,PONV_24h_including_point_window_uncertain,TEAS,sham,RR,risk ratio,11,3541,Zhou 2025;Zheng 2025;Lu 2021;Liu 2026 (burn);Jiang 2026;He 2026 (hepatectomy/JIS);Chen 2015;Chen 2015 (Hyperalgesia);Gao 2022;Yu 2020;Lu 2022,V33-OD-0027;V33-OD-0033;V33-OD-0130;V33-OD-0131;V33-OD-0168;V33-OD-0195;V33-OD-0215;V33-OD-0257;V33-OD-0261;V33-OD-0276;AUDIT-0359;AUDIT-0127,REML + safeguarded Hartung–Knapp,0.669,0.517,0.866,0.0851,69.9,-1.101,0.298,4/12,NOT GRADED (sensitivity diagnostic),Adds Lu2022 24h assessment; cumulative window not presumed in main body. v36: Liang2021 removed (no-stimulation control without sham procedure).
nausea24_EA_usual,ADDITIONAL,nausea_0_24h,EA,usual_care,RR,risk ratio,2,237,Yang 2020;Yang 2024,AUDIT-0077;V34-OD-0759,REML + safeguarded Hartung–Knapp,0.660,0.059,7.441,0.0010,0.9,,,1/2,Very low,Source construct/window/contrast reviewed; direct data admitted.
vomiting24_EA_usual,ADDITIONAL,vomiting_0_24h,EA,usual_care,RR,risk ratio,2,237,Yang 2024;Yang 2020,V33-OD-0055;AUDIT-0078,REML + safeguarded Hartung–Knapp,0.529,0.017,16.691,0.0000,0.0,,,1/2,Very low,Source construct/window/contrast reviewed; direct data admitted.
nausea24_TEAS_sham,ADDITIONAL,nausea_0_24h,TEAS,sham,RR,risk ratio,3,735,Yao 2015;Liu 2015;Lu 2021,V33-OD-0371;V33-OD-0293;AUDIT-0292;AUDIT-0293,REML + safeguarded Hartung–Knapp,0.668,0.287,1.553,0.0308,35.1,,,0/4,Very low,Source construct/window/contrast reviewed; direct data admitted.
vomiting24_TEAS_sham,ADDITIONAL,vomiting_0_24h,TEAS,sham,RR,risk ratio,4,2390,Yao 2015;Liu 2015;Gao 2022;Lu 2021,V33-OD-0372;V33-OD-0296;V33-OD-0277;AUDIT-0294;AUDIT-0295,REML + safeguarded Hartung–Knapp,0.680,0.345,1.342,0.0828,55.3,,,0/5,Very low,v36: Pan2023 moved to usual-care body (control did not undergo TEAS; no sham procedure).
vomiting24_TEAS_usual,ADDITIONAL,vomiting_0_24h,TEAS,usual_care,RR,risk ratio,1,105,Pan 2023,AUDIT-0100,SINGLE STUDY — NOT POOLED,0.483,0.241,0.967,0.0000,,,,0/1,Very low,v36: Pan2023 no-TEAS control; supportive comparison.
persistent_nausea24_TEAS_sham,ADDITIONAL,persistent_nausea_over5min_0_24h,TEAS,sham,RR,risk ratio,1,1655,Gao 2022,V33-OD-0278,SINGLE STUDY — NOT POOLED,0.429,0.249,0.739,0.0000,,,,0/1,Low,Source construct/window/contrast reviewed; direct data admitted.
nausea48_TEAS_sham,ADDITIONAL,nausea_0_48h,TEAS,sham,RR,risk ratio,1,277,Luo 2026,V33-OD-0139,SINGLE STUDY — NOT POOLED,0.456,0.299,0.695,0.0000,,,,1/1,Low,Source construct/window/contrast reviewed; direct data admitted.
vomiting48_TEAS_sham,ADDITIONAL,vomiting_0_48h,TEAS,sham,RR,risk ratio,1,277,Luo 2026,V33-OD-0140,SINGLE STUDY — NOT POOLED,0.336,0.164,0.687,0.0000,,,,1/1,Low,Source construct/window/contrast reviewed; direct data admitted.
ponv48_TEAS_sham,ADDITIONAL,composite_PONV_0_48h,TEAS,sham,RR,risk ratio,1,62,Xiong 2021,V33-OD-0056,SINGLE STUDY — NOT POOLED,0.542,0.343,0.854,0.0000,,,,1/1,Very low,v36: Xiong2021 control had electrodes applied and connected without stimulation (sham); formerly ponv48_TEAS_usual.
nausea6to24_EA_usual,ADDITIONAL,nausea_6_24h,EA,usual_care,RR,risk ratio,1,400,Zhu 2022,V33-OD-0019;V33-OD-0021;V33-OD-0023,SINGLE STUDY — NOT POOLED,0.500,0.325,0.772,0.0000,,,,0/3,Low,Source construct/window/contrast reviewed; direct data admitted.
vomiting6to24_EA_usual,ADDITIONAL,vomiting_6_24h,EA,usual_care,RR,risk ratio,1,400,Zhu 2022,V33-OD-0020;V33-OD-0022;V33-OD-0024,SINGLE STUDY — NOT POOLED,0.338,0.196,0.583,0.0000,,,,0/3,Low,Source construct/window/contrast reviewed; direct data admitted.
pain24_rest_TEAS_sham,ADDITIONAL,pain_rest_approximately24h,TEAS,sham,MD,0–10 points,3,218,Liu 2021;Yu 2020;Xing 2022,V33-OD-0163;V33-OD-0367;V33-OD-0064,REML + safeguarded Hartung–Knapp,-0.213,-0.754,0.327,0.0000,0.0,,,2/3,Low,Source construct/window/contrast reviewed; direct data admitted.
pain24_movement_TEAS_sham,ADDITIONAL,pain_movement_approximately24h,TEAS,sham,MD,0–10 points,1,100,Liu 2021,V33-OD-0164,SINGLE STUDY — NOT POOLED,0.040,-0.206,0.286,0.0000,,,,0/1,Low,Source construct/window/contrast reviewed; direct data admitted.
pain24_rest_TEAS_usual,ADDITIONAL,pain_rest_approximately24h,TEAS,usual_care,MD,0–10 points,0,0,,,NO ELIGIBLE QUANTITATIVE DATA,,,,,,,,0/0,Not rated — insufficient evidence,Xing NTG vs NG isolates TEAS added to balanced TAP block.
pain24_movement_EA_sham,ADDITIONAL,pain_movement_approximately24h,EA,sham,MD,0–10 points,1,114,Huang 2024,V33-OD-0201;V33-OD-0202,SINGLE STUDY — NOT POOLED,-0.338,-0.728,0.052,0.0000,,,,1/2,Low,Source construct/window/contrast reviewed; direct data admitted.
pain24_rest_EA_sham,ADDITIONAL,pain_rest_approximately24h,EA,sham,MD,0–10 points,0,0,,,NO ELIGIBLE QUANTITATIVE DATA,,,,,,,,0/0,Not rated — insufficient evidence,Source construct/window/contrast reviewed; direct data admitted.
pain24_movement_EA_sham_with_He,SENSITIVITY,pain_movement_approximately24h,EA,sham,MD,0–10 points,2,244,Huang 2024;He 2026 (breast/WJCO),V33-OD-0201;V33-OD-0202;V33-OD-0218,REML + safeguarded Hartung–Knapp,-0.740,-5.520,4.040,0.2637,92.8,,,1/3,NOT GRADED (sensitivity diagnostic),He2026 reported SDs conflict with threshold counts; retain literal SD only as diagnostic.
pain24_rest_EA_sham_He_reported_SD,SENSITIVITY,pain_rest_approximately24h,EA,sham,MD,0–10 points,1,130,He 2026 (breast/WJCO),V33-OD-0219,SINGLE STUDY — NOT POOLED,-0.903,-0.963,-0.843,0.0000,,,,0/1,NOT GRADED (sensitivity diagnostic),He2026 extremely small repeated SDs cannot be reconciled with threshold counts; no fabricated replacement.
pain24_unclassified_TEAS_sham,SENSITIVITY,pain_setting_unspecified_24h,TEAS,sham,MD,0–10 points,7,863,Chen 2020;Wu 2022;Wu 2025;Luo 2026;Liu 2026 (ESD);Gu 2019;Zheng 2025,V33-OD-0015;V33-OD-0071;V33-OD-0075;V33-OD-0142;V33-OD-0158;V33-OD-0221;AUDIT-0342,REML + safeguarded Hartung–Knapp,-1.288,-2.277,-0.298,1.1092,98.1,-4.048,1.473,2/7,NOT GRADED (sensitivity diagnostic),Rest/movement not established. Never use this mixed-setting body to assert registered pain co-outcome criterion.
pain24_Lee_low_arm_only,SENSITIVITY,pain_setting_unspecified_24h,TEAS,sham,MD,0–10 points,1,22,Lee 2011,V33-OD-0187,SINGLE STUDY — NOT POOLED,-1.330,-2.277,-0.383,0.0000,,,,0/1,NOT GRADED (sensitivity diagnostic),Available low-frequency arm only; not admitted as a complete multiarm evidence body.
pain24_Ng_unspecified,SENSITIVITY,pain_setting_unspecified_POD1,EA,sham,MD,0–10 points,1,110,Ng 2013,V33-OD-0118,SINGLE STUDY — NOT POOLED,-0.200,-0.929,0.529,0.0000,,,,0/1,NOT GRADED (sensitivity diagnostic),Source construct/window/contrast reviewed; direct data admitted.
pain6to24_movement_EA_usual,SENSITIVITY,pain_movement_interval6_24h,EA,usual_care,MD,0–10 points,1,400,Zhu 2022,AUDIT-0002;AUDIT-0003;AUDIT-0004,SINGLE STUDY — NOT POOLED,-0.293,-0.574,-0.012,0.0000,,,,0/3,NOT GRADED (sensitivity diagnostic),Interval summary cannot be assumed a point24h co-outcome.
flatus_TEAS_sham,ADDITIONAL,time_first_flatus,TEAS,sham,MD,hours,8,1505,Zhou 2025;Wang 2023;Lu 2022;Gu 2019;Gao 2021;Xing 2022;Sun 2017;Zheng 2025,V33-OD-0028;V33-OD-0082;V33-OD-0134;V33-OD-0223;V33-OD-0239;V33-OD-0062;AUDIT-0251;AUDIT-0252;AUDIT-0253;AUDIT-0347,REML + safeguarded Hartung–Knapp,-5.335,-9.092,-1.578,14.9676,87.4,-15.224,4.555,4/10,Very low,Source construct/window/contrast reviewed; direct data admitted.
flatus_TEAS_usual,ADDITIONAL,time_first_flatus,TEAS,usual_care,MD,hours,0,0,,,NO ELIGIBLE QUANTITATIVE DATA,,,,,,,,0/0,Not rated — insufficient evidence,Source construct/window/contrast reviewed; direct data admitted.
flatus_EA_sham,ADDITIONAL,time_first_flatus,EA,sham,MD,hours,1,110,Ng 2013,V33-OD-0117,SINGLE STUDY — NOT POOLED,-7.200,-16.215,1.815,0.0000,,,,1/1,Very low,Source construct/window/contrast reviewed; direct data admitted.
flatus_EA_usual,ADDITIONAL,time_first_flatus,EA,usual_care,MD,hours,4,725,Yang 2020;Yang 2024;Huang 2025;Zhu 2022,V33-OD-0002;V33-OD-0053;V33-OD-0198;AUDIT-0017;AUDIT-0018;AUDIT-0019,REML + safeguarded Hartung–Knapp,-2.888,-5.387,-0.388,1.2482,56.0,,,3/6,Low,Source construct/window/contrast reviewed; direct data admitted.
bowelsounds_TEAS_sham,ADDITIONAL,time_first_bowel_sounds,TEAS,sham,MD,hours,3,812,Gu 2019;Gao 2021;Zheng 2025,V33-OD-0222;AUDIT-0173;AUDIT-0346,REML + safeguarded Hartung–Knapp,-7.191,-11.618,-2.763,1.6635,51.6,,,0/3,Very low,Source construct/window/contrast reviewed; direct data admitted.
defecation_TEAS_sham,ADDITIONAL,time_first_defecation,TEAS,sham,MD,hours,4,1182,Lu 2022;Gu 2019;Gao 2021;Sun 2017,V33-OD-0135;V33-OD-0224;V33-OD-0240;AUDIT-0254;AUDIT-0255;AUDIT-0256,REML + safeguarded Hartung–Knapp,-7.769,-17.468,1.930,18.9628,52.3,,,0/6,Very low,Source construct/window/contrast reviewed; direct data admitted.
defecation_EA_sham,ADDITIONAL,time_first_defecation,EA,sham,MD,hours,1,110,Ng 2013,V33-OD-0115,SINGLE STUDY — NOT POOLED,-21.600,-37.095,-6.105,0.0000,,,,1/1,Low,Source construct/window/contrast reviewed; direct data admitted.
defecation_EA_usual,ADDITIONAL,time_first_defecation,EA,usual_care,MD,hours,4,435,Yang 2024;Ng 2013;Huang 2025;Yang 2020,V33-OD-0054;V33-OD-0116;V33-OD-0199;V33-OD-0380,REML + safeguarded Hartung–Knapp,-10.106,-32.890,12.678,149.4451,97.6,,,0/4,Very low,Source construct/window/contrast reviewed; direct data admitted.
opioid48_EA_usual_PCA,ADDITIONAL,PCA_fentanyl_0_48h,EA,usual_care,MD,mg IVMME,1,81,An 2014,V33-OD-0254,SINGLE STUDY — NOT POOLED,-6.000,-10.628,-1.372,0.0000,,,,1/1,Very low,Source construct/window/contrast reviewed; direct data admitted.
opioid72_EA_usual_PCA,SENSITIVITY,PCA_morphine_0_72h,EA,usual_care,MD,mg IV morphine,1,180,Yang 2024,V35-YANG24-72,SINGLE STUDY — NOT POOLED,-0.500,-4.080,3.080,0.0000,,,,1/1,NOT GRADED (sensitivity diagnostic),Yang unquantified IM rescue not included in device total.
opioid72_EA_sham_PCA,ADDITIONAL,PCA_morphine_0_72h,EA,sham,MD,mg IV morphine,1,25,Wong 2006,V33-OD-0250,SINGLE STUDY — NOT POOLED,-8.400,-22.316,5.516,0.0000,,,,1/1,Very low,Published three-day PCA mean/SD; separate from strict systemic24h outcome.
opioid48_TEAS_sham_uncertain_suf0.25,SENSITIVITY,PCA_or_author_equivalent_0_48h,TEAS,sham,MD,assumed mg IVMME,2,239,Chen 2020;He 2026 (hepatectomy/JIS),V35-CHEN20-48;V35-HE26-48,REML + safeguarded Hartung–Knapp,-3.219,-31.844,25.405,9.6168,94.7,,,1/2,NOT GRADED (sensitivity diagnostic),Chen unresolved basal contradiction and He unknown equivalence basis; no principal claim.
opioid48_TEAS_sham_uncertain_suf0.5,SENSITIVITY,PCA_or_author_equivalent_0_48h,TEAS,sham,MD,assumed mg IVMME,2,239,Chen 2020;He 2026 (hepatectomy/JIS),V35-CHEN20-48;V35-HE26-48,REML + safeguarded Hartung–Knapp,-5.850,-68.841,57.141,48.2427,98.1,,,1/2,NOT GRADED (sensitivity diagnostic),Chen unresolved basal contradiction and He unknown equivalence basis; no principal claim.
opioid48_TEAS_sham_uncertain_suf1,SENSITIVITY,PCA_or_author_equivalent_0_48h,TEAS,sham,MD,assumed mg IVMME,2,239,Chen 2020;He 2026 (hepatectomy/JIS),V35-CHEN20-48;V35-HE26-48,REML + safeguarded Hartung–Knapp,-11.190,-142.887,120.506,212.4800,98.9,,,1/2,NOT GRADED (sensitivity diagnostic),Chen unresolved basal contradiction and He unknown equivalence basis; no principal claim.
intraop_remifentanil_TEAS_sham,ADDITIONAL,intraop_remifentanil,TEAS,sham,MD,µg remifentanil,6,1013,Zheng 2025;Wu 2022;Wu 2025;Lu 2021;Guo 2023;Xing 2022,V33-OD-0034;V33-OD-0072;V33-OD-0078;V33-OD-0128;V33-OD-0129;V33-OD-0232;V33-OD-0061,REML + safeguarded Hartung–Knapp,-114.812,-199.686,-29.937,3331.6739,60.4,-285.748,56.124,6/7,Very low,v36: Pan2023 and Liang2021 no-stimulation controls moved to usual-care body.
intraop_remifentanil_TEAS_usual,ADDITIONAL,intraop_remifentanil,TEAS,usual_care,MD,µg remifentanil,2,175,Pan 2023;Liang 2021,V33-OD-0379;AUDIT-0364,REML + safeguarded Hartung–Knapp,-25.279,-1108.956,1058.399,12093.6193,83.0,,,2/2,Very low,v36: Pan2023 and Liang2021 controls received no TEAS/no stimulation without a described sham procedure.
intraop_remifentanil_EA_usual,ADDITIONAL,intraop_remifentanil,EA,usual_care,MD,µg remifentanil,1,400,Zhu 2022,V33-OD-0376;V33-OD-0377;V33-OD-0378,SINGLE STUDY — NOT POOLED,-16.756,-74.250,40.738,0.0000,,,,0/3,Very low,Source construct/window/contrast reviewed; direct data admitted.
intraop_remifentanil_EA_sham,ADDITIONAL,intraop_remifentanil,EA,sham,MD,µg remifentanil,1,70,Ntritsou 2014,V33-OD-0112,SINGLE STUDY — NOT POOLED,-38.300,-309.984,233.384,0.0000,,,,1/1,Very low,Source construct/window/contrast reviewed; direct data admitted.
tramadol24_TEAS_usual_PCA,SENSITIVITY,PCA_tramadol_0_24h,TEAS,usual_care,MD,mg IV tramadol,1,31,Oztas 2019,V33-OD-0299,SINGLE STUDY — NOT POOLED,-129.410,-204.590,-54.230,0.0000,,,,1/1,NOT GRADED (sensitivity diagnostic),Source construct/window/contrast reviewed; direct data admitted.
tramadol24_TEAS_active_PCA,SENSITIVITY,PCA_tramadol_0_24h,TEAS,active_electrical,MD,mg IV tramadol,1,31,Oztas 2019,V33-OD-0300,SINGLE STUDY — NOT POOLED,-29.280,-84.142,25.582,0.0000,,,,0/1,NOT GRADED (sensitivity diagnostic),Source construct/window/contrast reviewed; direct data admitted.
pethidine24_TEAS_usual_rescue,ADDITIONAL,rescue_pethidine_0_24h,TEAS,usual_care,MD,mg IM pethidine,1,31,Oztas 2019,V33-OD-0303,SINGLE STUDY — NOT POOLED,-12.460,-37.694,12.774,0.0000,,,,0/1,Very low,Source construct/window/contrast reviewed; direct data admitted.
pethidine24_TEAS_active_rescue,ADDITIONAL,rescue_pethidine_0_24h,TEAS,active_electrical,MD,mg IM pethidine,1,31,Oztas 2019,V33-OD-0304,SINGLE STUDY — NOT POOLED,-13.090,-44.187,18.007,0.0000,,,,0/1,Very low,Source construct/window/contrast reviewed; direct data admitted.
ponv24_TEAS_active,ADDITIONAL,composite_PONV_0_24h,TEAS,active_electrical,RR,risk ratio,1,85,Song 2020,V33-OD-0331,SINGLE STUDY — NOT POOLED,0.307,0.091,1.038,0.0000,,,,1/1,Very low,Song matched non-acupoint electrical stimulation; conservative active-control category. Broad-sham sensitivity available.
pain24_TEAS_active_unspecified,SENSITIVITY,pain_setting_unspecified_24h,TEAS,active_electrical,MD,0–10 points,1,85,Song 2020,V33-OD-0328,SINGLE STUDY — NOT POOLED,-0.470,-0.938,-0.002,0.0000,,,,1/1,NOT GRADED (sensitivity diagnostic),Source construct/window/contrast reviewed; direct data admitted.
ponv24_TEAS_broad_sham_sensitivity,SENSITIVITY,composite_PONV_0_24h_broad_sham,TEAS,sham,RR,risk ratio,11,3532,Zhou 2025;Zheng 2025;Lu 2021;Liu 2026 (burn);Jiang 2026;He 2026 (hepatectomy/JIS);Chen 2015;Chen 2015 (Hyperalgesia);Gao 2022;Song 2020;Yu 2020,V33-OD-0027;V33-OD-0033;V33-OD-0130;V33-OD-0131;V33-OD-0168;V33-OD-0195;V33-OD-0215;V33-OD-0257;V33-OD-0261;V33-OD-0276;V33-OD-0331;AUDIT-0359,REML + safeguarded Hartung–Knapp,0.627,0.506,0.776,0.0378,47.8,-0.950,0.016,5/12,NOT GRADED (sensitivity diagnostic),Includes Song non-acupoint active-current sham as permitted by broader registered sham definition; diagnostic against conservative main taxonomy.
flatus_TEAS_sham_SMD_sensitivity,SENSITIVITY,time_first_flatus,TEAS,sham,SMD,Hedges g,8,1505,Zhou 2025;Wang 2023;Lu 2022;Gu 2019;Gao 2021;Xing 2022;Sun 2017;Zheng 2025,V33-OD-0028;V33-OD-0082;V33-OD-0134;V33-OD-0223;V33-OD-0239;V33-OD-0062;AUDIT-0251;AUDIT-0252;AUDIT-0253;AUDIT-0347,REML + safeguarded Hartung–Knapp,-0.584,-1.099,-0.068,0.3247,92.1,-2.026,0.859,4/10,NOT GRADED (sensitivity diagnostic),Same construct and membership as hours MD; no selection by I² or P.
flatus_TEAS_usual_SMD_sensitivity,SENSITIVITY,time_first_flatus,TEAS,usual_care,SMD,Hedges g,0,0,,,NO ELIGIBLE QUANTITATIVE DATA,,,,,,,,0/0,NOT GRADED (sensitivity diagnostic),Same construct and membership as hours MD; no selection by I² or P.
flatus_EA_sham_SMD_sensitivity,SENSITIVITY,time_first_flatus,EA,sham,SMD,Hedges g,1,110,Ng 2013,V33-OD-0117,SINGLE STUDY — NOT POOLED,-0.296,-0.672,0.079,0.0000,,,,1/1,NOT GRADED (sensitivity diagnostic),Same construct and membership as hours MD; no selection by I² or P.
flatus_EA_usual_SMD_sensitivity,SENSITIVITY,time_first_flatus,EA,usual_care,SMD,Hedges g,4,725,Yang 2020;Yang 2024;Huang 2025;Zhu 2022,V33-OD-0002;V33-OD-0053;V33-OD-0198;AUDIT-0017;AUDIT-0018;AUDIT-0019,REML + safeguarded Hartung–Knapp,-0.487,-0.745,-0.229,0.0000,0.0,,,3/6,NOT GRADED (sensitivity diagnostic),Same construct and membership as hours MD; no selection by I² or P.
flatus_TEAS_sham_without_Zheng2025,SENSITIVITY,time_first_flatus,TEAS,sham,MD,hours,7,1420,Zhou 2025;Wang 2023;Lu 2022;Gu 2019;Gao 2021;Xing 2022;Sun 2017,V33-OD-0028;V33-OD-0082;V33-OD-0134;V33-OD-0223;V33-OD-0239;V33-OD-0062;AUDIT-0251;AUDIT-0252;AUDIT-0253,REML + safeguarded Hartung–Knapp,-4.983,-9.507,-0.459,17.6702,83.1,-16.220,6.253,4/9,NOT GRADED (sensitivity diagnostic),Leave-out diagnostic: Zheng2025 printed SD/P internal inconsistency unresolved; not a replacement body.
